,MU,TKR,SCHW,FICO,PGR,V,BRK.B,CMCSA,QCOM,CBRE,ANTM,PRI,LOW,GOOG,MA,SPGI,BAM,AAPL,JLL,FB,UNH,AMT,GS,KKR,FRC,MSFT,TMHC,FND,MCO,ORCL,FGXXX,C,AXP,WFC,AMZN,DIS,SUM
01/11/2022,3.76,3.69,3.68,3.56,3.55,3.44,3.4,3.39,3.36,3.35,3.35,3.33,3.31,3.31,3.29,3.27,3.26,3.24,3.22,3.2,3.2,3.19,3.19,3.17,3.17,3.15,3.14,3.11,3.01,2.81,0.89,0.0,0.0,0.0,0.0,0.0,99.99000000000002
01/12/2022,3.75,3.69,3.75,3.56,3.71,3.43,3.5,3.39,3.29,3.35,3.35,3.37,3.26,3.33,3.31,3.26,3.28,3.28,3.24,3.23,3.16,3.24,3.22,3.15,3.22,3.18,3.0,3.06,3.02,2.87,0.55,0.0,0.0,0.0,0.0,0.0,100.0
01/13/2022,3.75,3.69,3.75,3.56,3.71,3.43,3.5,3.39,3.29,3.35,3.35,3.37,3.26,3.33,3.31,3.26,3.28,3.28,3.24,3.23,3.16,3.24,3.22,3.15,3.22,3.18,3.0,3.06,3.02,2.87,0.55,0.0,0.0,0.0,0.0,0.0,100.0
01/14/2022,3.71,3.55,3.81,3.6,3.67,3.36,3.47,3.44,3.35,3.34,3.46,3.38,3.21,3.37,3.25,3.19,3.32,3.3,3.24,3.22,3.2,3.14,3.24,3.22,3.22,3.16,3.1,3.03,2.95,2.88,0.6,0.0,0.0,0.0,0.0,0.0,99.98
01/17/2022,3.78,3.67,3.81,3.54,3.7,3.38,3.5,3.47,3.34,3.37,3.42,3.41,3.24,3.37,3.29,3.17,3.32,3.27,3.26,3.16,3.21,3.09,3.15,3.16,3.16,3.07,3.22,2.97,2.93,2.87,0.71,0.0,0.0,0.0,0.0,0.0,100.01
01/18/2022,3.78,3.67,3.81,3.54,3.7,3.38,3.5,3.47,3.34,3.37,3.42,3.41,3.24,3.37,3.29,3.17,3.32,3.27,3.26,3.16,3.21,3.09,3.15,3.16,3.16,3.07,3.22,2.97,2.93,2.87,0.71,0.0,0.0,0.0,0.0,0.0,100.01
01/19/2022,3.78,3.67,3.81,3.54,3.7,3.38,3.5,3.47,3.34,3.37,3.42,3.41,3.24,3.37,3.29,3.17,3.32,3.27,3.26,3.16,3.21,3.09,3.15,3.16,3.16,3.07,3.22,2.97,2.93,2.87,0.71,0.0,0.0,0.0,0.0,0.0,100.01
01/20/2022,3.78,3.67,3.81,3.54,3.7,3.38,3.5,3.47,3.34,3.37,3.42,3.41,3.24,3.37,3.29,3.17,3.32,3.27,3.26,3.16,3.21,3.09,3.15,3.16,3.16,3.07,3.22,2.97,2.93,2.87,0.71,0.0,0.0,0.0,0.0,0.0,100.01
01/21/2022,3.78,3.76,3.87,3.62,3.83,3.49,3.59,3.49,3.34,3.33,3.53,3.46,3.17,3.4,3.36,3.17,3.26,3.31,3.22,3.17,3.25,3.12,2.94,3.16,2.91,3.14,3.12,2.83,2.86,2.88,0.63,0.0,0.0,0.0,0.0,0.0,99.98999999999998
01/24/2022,3.72,3.7,3.9,3.7,3.81,3.53,3.58,3.56,3.27,3.29,3.59,3.45,3.17,3.43,3.36,3.21,3.27,3.29,3.18,3.23,3.31,3.15,2.93,3.16,2.86,3.2,3.09,2.85,2.92,2.85,0.42,0.0,0.0,0.0,0.0,0.0,99.98
01/25/2022,3.55,3.67,3.93,3.67,3.83,3.56,3.58,3.58,3.19,3.35,3.66,3.47,3.05,3.41,3.42,3.2,3.3,3.29,3.23,3.24,3.35,3.14,2.96,3.2,2.86,3.21,3.05,2.82,2.94,2.85,0.42,0.0,0.0,0.0,0.0,0.0,99.97999999999998
01/26/2022,3.55,3.67,3.93,3.67,3.83,3.56,3.58,3.58,3.19,3.35,3.66,3.47,3.05,3.41,3.42,3.2,3.3,3.29,3.23,3.24,3.35,3.14,2.96,3.2,2.86,3.21,3.05,2.82,2.94,2.85,0.42,0.0,0.0,0.0,0.0,0.0,99.97999999999998
01/27/2022,3.47,0.0,3.9,3.69,3.93,3.48,3.57,3.61,0.0,3.47,3.63,3.5,0.0,3.38,3.39,3.25,3.26,3.3,3.3,3.15,3.39,3.18,2.98,3.19,2.83,3.2,0.0,0.0,2.96,2.88,0.44,3.23,3.22,3.2,3.03,3.01,100.02
01/28/2022,3.5,0.0,3.86,3.78,3.98,3.39,3.53,3.61,0.0,3.43,3.68,3.51,0.0,3.37,3.32,3.24,3.26,3.27,3.33,3.19,3.38,3.21,2.96,3.16,2.94,3.19,0.0,0.0,2.96,2.88,0.44,3.19,3.21,3.16,3.06,3.0,99.98999999999998
01/31/2022,3.39,0.0,3.98,3.71,3.97,3.53,3.65,3.53,0.0,3.31,3.63,3.48,0.0,3.4,3.4,3.12,3.24,3.28,3.23,3.1,3.44,3.11,2.99,3.24,2.81,3.29,0.0,0.0,2.86,2.84,0.36,3.33,3.54,3.25,2.98,3.01,100.0
02/01/2022,3.39,0.0,3.98,3.71,3.97,3.53,3.65,3.53,0.0,3.31,3.63,3.48,0.0,3.4,3.4,3.12,3.24,3.28,3.23,3.1,3.44,3.11,2.99,3.24,2.81,3.29,0.0,0.0,2.86,2.84,0.36,3.33,3.54,3.25,2.98,3.01,100.0
02/02/2022,3.39,0.0,3.98,3.71,3.97,3.53,3.65,3.53,0.0,3.31,3.63,3.48,0.0,3.4,3.4,3.12,3.24,3.28,3.23,3.1,3.44,3.11,2.99,3.24,2.81,3.29,0.0,0.0,2.86,2.84,0.36,3.33,3.54,3.25,2.98,3.01,100.0
02/03/2022,3.3,0.0,3.82,4.19,3.88,3.78,3.59,3.54,0.0,3.3,3.57,3.46,0.0,3.4,3.59,3.11,3.19,3.4,3.2,3.08,3.37,3.15,2.95,3.25,2.8,3.28,0.0,0.0,2.86,2.77,0.25,3.25,3.53,3.17,2.97,2.99,99.99
02/04/2022,3.37,0.0,3.71,4.14,3.82,3.69,3.54,3.5,0.0,3.35,3.51,3.49,0.0,3.41,3.57,3.13,3.25,3.44,3.25,3.15,3.36,3.16,2.97,3.33,2.83,3.25,0.0,0.0,2.87,2.75,0.25,3.22,3.53,3.1,3.04,3.03,100.01
02/07/2022,3.39,0.0,3.74,4.14,3.77,3.76,3.54,3.43,0.0,3.34,3.46,3.43,0.0,3.64,3.59,3.11,3.23,3.39,3.24,3.18,3.34,3.1,2.98,3.36,2.85,3.21,0.0,0.0,2.85,2.74,0.3,3.21,3.55,3.16,2.99,2.97,99.98999999999998
