,CLVT,VRT,HEI,MSFT,DND.TO,MTD,INFO,CPRT,MSCI,KDP,FISV,MORN,CSGP,TDG,MANH,AME,TYL,n/a,CRCT,EFX,MRVL,TTD,MISXX,MSUXX,SUM
08/19/2021,9.18,7.94,5.96,5.65,5.43,5.06,4.92,4.77,4.66,4.55,4.45,4.41,4.14,4.06,3.97,3.97,3.71,3.17,3.01,2.84,2.17,1.95,0.0,0.0,99.97
08/20/2021,9.32,7.99,5.94,5.65,5.36,5.04,4.92,4.74,4.68,4.51,4.5,4.4,4.16,4.08,3.96,3.96,3.69,3.19,2.91,2.87,2.16,1.97,0.0,0.0,100.0
08/23/2021,9.54,7.93,5.95,5.76,5.33,5.06,4.84,4.72,4.56,4.57,4.66,4.38,4.14,4.01,3.93,3.92,3.7,3.21,2.87,2.85,2.19,1.89,0.0,0.0,100.01
08/24/2021,9.74,8.0,5.89,5.84,5.31,4.97,4.83,4.75,4.58,4.52,4.6,4.35,4.11,4.01,3.98,3.89,3.68,3.17,2.85,2.82,2.2,1.91,0.0,0.0,100.0
08/25/2021,9.74,8.0,5.89,5.84,5.31,4.97,4.83,4.75,4.58,4.52,4.6,4.35,4.11,4.01,3.98,3.89,3.68,3.17,2.85,2.82,2.2,1.91,0.0,0.0,100.0
08/26/2021,9.79,7.97,5.88,5.79,5.43,4.92,4.82,4.68,4.55,4.49,4.62,4.32,4.12,4.02,3.98,3.87,3.66,3.14,2.94,2.8,2.25,1.94,0.0,0.0,99.98
08/27/2021,9.85,7.99,5.91,5.71,5.54,4.87,4.78,4.71,4.5,4.46,4.62,4.29,4.13,4.03,4.02,3.87,3.61,3.12,3.02,2.77,2.26,1.96,0.0,0.0,100.02
08/30/2021,10.08,8.11,5.76,5.65,5.34,4.98,4.79,4.77,4.55,4.46,4.58,4.29,4.06,3.94,4.03,3.87,3.64,3.12,2.99,2.82,2.28,1.91,0.0,0.0,100.02
08/31/2021,10.02,8.16,5.77,5.62,5.32,4.97,4.76,4.78,4.55,4.45,4.57,4.23,4.05,4.0,4.06,3.86,3.62,3.1,3.12,2.84,2.2,1.94,0.0,0.0,99.99
09/01/2021,10.02,8.16,5.77,5.62,5.32,4.97,4.76,4.78,4.55,4.45,4.57,4.23,4.05,4.0,4.06,3.86,3.62,3.1,3.12,2.84,2.2,1.94,0.0,0.0,99.99
09/02/2021,10.02,8.21,5.66,5.68,5.35,5.03,4.81,4.77,4.6,4.45,4.52,4.31,4.08,3.96,4.03,3.86,3.62,3.09,2.94,2.83,2.21,1.94,0.0,0.0,99.97
09/03/2021,10.06,8.1,5.71,5.64,5.48,4.91,4.8,4.76,4.57,4.5,4.55,4.32,4.11,3.98,3.99,3.82,3.68,3.11,2.9,2.89,2.19,1.92,0.0,0.0,99.99000000000002
09/06/2021,10.41,8.11,5.63,5.55,5.41,4.89,4.78,4.72,4.62,4.47,4.41,4.4,4.17,3.94,3.98,3.77,3.64,3.05,3.13,2.91,2.16,1.85,0.0,0.0,99.99999999999996
09/07/2021,10.38,8.01,5.54,5.57,5.45,4.93,4.81,4.76,4.64,4.4,4.41,4.46,4.21,3.91,3.99,3.77,3.66,3.01,3.15,2.92,2.17,1.86,0.0,0.0,100.01
09/08/2021,10.38,8.01,5.54,5.57,5.45,4.93,4.81,4.76,4.64,4.4,4.41,4.46,4.21,3.91,3.99,3.77,3.66,3.01,3.15,2.92,2.17,1.86,0.0,0.0,100.01
09/09/2021,10.37,8.01,5.54,5.56,5.45,4.92,4.81,4.75,4.64,4.4,4.41,4.45,4.21,3.9,3.99,3.77,3.66,0.0,3.15,2.92,2.17,1.86,3.06,0.0,100.0
09/10/2021,10.51,8.02,5.51,5.58,5.51,4.97,4.76,4.7,4.7,4.37,4.42,4.48,4.23,3.86,3.95,3.73,3.65,0.0,3.17,2.89,2.18,1.8,3.01,0.0,100.0
09/14/2021,9.6,7.13,5.66,5.59,4.22,5.05,4.87,4.78,4.74,4.45,4.32,4.55,4.42,5.1,4.02,3.71,3.61,3.58,3.68,2.93,2.21,1.77,0.0,0.0,99.99
09/17/2021,9.78,6.98,5.74,5.62,4.23,4.93,4.96,4.77,4.69,4.49,4.3,4.46,4.39,5.21,4.01,3.72,3.57,0.0,3.65,2.94,2.26,1.73,3.57,0.01,100.01
