,NLY,AGNC,STWD,HASI,NRZ,CIM,BXMT,TWO,PMT,ABR,ARI,MFA,NYMT,LADR,BRMK,RWT,RC,IVR,EFC,BRSP,ARR,ACRE,DX,KREF,ORC,PNL.AS,PNL.AS.1,PTBL.TA,GVMXX,n/a,SUM
07/09/2021,12.61,8.93,7.74,5.61,5.08,5.04,4.92,4.58,4.37,4.36,4.31,3.95,3.79,3.34,2.78,2.52,2.44,2.23,1.85,1.83,1.76,1.52,1.42,1.35,1.3,0.35,0.0,0.0,0.0,0.0,99.98
07/14/2021,12.7,8.93,7.77,5.6,5.07,5.02,4.91,4.51,4.38,4.45,4.28,4.07,3.86,3.32,2.78,2.55,2.34,2.15,1.77,1.85,1.77,1.8,1.42,1.34,1.34,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,12.67,8.87,7.78,5.7,5.01,5.04,4.93,4.49,4.35,4.47,4.29,4.0,3.86,3.32,2.78,2.58,2.36,2.11,1.76,1.92,1.78,1.83,1.42,1.34,1.33,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,12.67,8.87,7.78,5.7,5.01,5.04,4.93,4.49,4.35,4.47,4.29,4.0,3.86,3.32,2.78,2.58,2.36,2.11,1.76,1.92,1.78,1.83,1.42,1.34,1.33,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,12.55,8.88,7.94,5.58,4.89,5.04,5.04,4.1,4.25,4.53,4.34,4.09,3.86,3.38,2.83,2.58,2.37,2.16,1.8,2.03,1.75,1.87,1.44,1.38,1.34,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,12.57,8.88,7.88,5.6,4.87,5.04,5.04,4.08,4.25,4.53,4.35,4.11,3.85,3.37,2.85,2.55,2.41,2.13,1.84,2.01,1.76,1.88,1.44,1.38,1.33,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,12.57,8.88,7.88,5.6,4.87,5.04,5.04,4.08,4.25,4.53,4.35,4.11,3.85,3.37,2.85,2.55,2.41,2.13,1.84,2.01,1.76,1.88,1.44,1.38,1.33,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,12.57,8.88,7.88,5.6,4.87,5.04,5.04,4.08,4.25,4.53,4.35,4.11,3.85,3.37,2.85,2.55,2.41,2.13,1.84,2.01,1.76,1.88,1.44,1.38,1.33,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,12.57,8.88,7.88,5.6,4.87,5.04,5.04,4.08,4.25,4.53,4.35,4.11,3.85,3.37,2.85,2.55,2.41,2.13,1.84,2.01,1.76,1.88,1.44,1.38,1.33,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,12.52,8.91,7.92,5.89,4.78,5.08,5.11,4.03,4.24,4.5,4.37,4.1,3.87,3.32,2.82,2.57,2.37,2.17,1.83,1.92,1.72,1.86,1.39,1.37,1.34,0.0,0.0,0.0,0.0,0.0,100.0
