,AGG,JNK,DGL,XLY,XLRE,XLE,XLP,Materials Select Sector SPDR® ETF,Us Dollars,XLB,Energy Select Sector SPDR® ETF,n/a,XLV,XLC,XLK,XLI,XLF,BND,SUM
07/09/2021,45.27,20.13,9.51,5.32,5.0,4.92,4.89,4.71,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,45.11,19.88,10.08,5.01,5.06,0.0,4.97,0.0,0.31,4.89,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,45.11,19.88,10.08,5.01,5.06,0.0,4.97,0.0,0.31,4.89,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,44.88,19.88,10.1,5.04,5.12,0.0,4.99,0.0,0.23,4.97,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,44.83,19.87,10.08,5.08,5.16,0.0,4.98,0.0,0.23,4.99,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,44.9,19.89,10.13,5.03,5.11,0.0,5.0,0.0,0.22,4.96,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,45.04,19.86,10.22,4.99,5.15,0.0,5.05,0.0,0.22,4.94,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,45.19,19.91,10.17,4.95,5.18,0.0,5.08,0.0,0.22,4.89,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/21/2021,45.19,19.91,10.17,4.95,5.18,0.0,5.08,0.0,0.22,4.89,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/22/2021,45.19,19.91,10.17,4.95,5.18,0.0,5.08,0.0,0.22,4.89,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/23/2021,45.57,19.84,10.2,4.9,5.11,0.0,5.08,0.0,0.22,4.8,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,45.26,19.89,10.12,5.04,5.13,0.0,5.03,0.0,0.22,4.88,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,45.16,19.9,10.07,5.08,5.17,0.0,5.09,0.0,0.22,4.91,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,45.16,19.9,10.07,5.08,5.17,0.0,5.09,0.0,0.22,4.91,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,45.08,19.85,10.04,5.11,5.16,0.0,5.09,0.0,0.21,4.95,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,45.15,19.82,10.05,5.05,5.2,0.0,5.1,0.0,0.22,4.95,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,44.98,19.81,10.18,5.08,5.14,0.0,5.06,0.0,0.21,5.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,44.98,19.81,10.18,5.08,5.14,0.0,5.06,0.0,0.21,5.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,44.98,19.81,10.18,5.08,5.14,0.0,5.06,0.0,0.21,5.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/05/2021,44.98,19.81,10.18,5.08,5.14,0.0,5.06,0.0,0.21,5.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
