,HEAR,SWBI,SAM,CHUY,IGT,RGR,RICK,GLPI,FLL,VICI,RRR,TACO,BYD,PENN,CZR,WING,ATVI,DKNG,NAPA,CMPS,MMED.NE,TPB,LVMUY,MCRI,YUMC,STZ,JACK,MCD,TAP,TTWO,BUD,Pernod Ricard SA ADR,UVV,BMTA.,PM,MO,DGE$.L,BF.B,Blackrock Treasury Trust Instl 62,Cash,PDRDY,Diageo PLC ADR,VGR,n/a,SUM
07/09/2021,6.23,5.68,5.67,4.39,4.28,4.22,4.0,3.96,3.91,3.82,3.65,3.57,3.42,3.04,2.96,2.79,2.74,2.73,2.31,2.01,2.0,1.94,1.84,1.81,1.8,1.74,1.65,1.58,1.32,1.15,1.11,1.03,1.02,1.01,0.96,0.93,0.83,0.73,0.14,0.06,0.0,0.0,0.0,0.0,100.03
07/12/2021,6.38,5.25,5.98,4.34,4.21,4.28,3.94,4.08,3.55,3.92,3.57,3.65,3.2,3.05,2.85,2.89,2.79,2.68,2.45,1.9,2.0,2.03,1.85,1.77,1.85,1.78,1.65,1.64,1.35,1.15,1.13,0.0,1.03,1.01,0.98,0.95,0.0,0.76,0.21,0.04,1.05,0.85,0.0,0.0,100.04
07/13/2021,6.38,5.25,5.98,4.34,4.21,4.28,3.94,4.08,3.55,3.92,3.57,3.65,3.2,3.05,2.85,2.89,2.79,2.68,2.45,1.9,2.0,2.03,1.85,1.77,1.85,1.78,1.65,1.64,1.35,1.15,1.13,0.0,1.03,1.01,0.98,0.95,0.0,0.76,0.21,0.04,1.05,0.85,0.0,0.0,100.04
07/14/2021,6.33,5.39,5.9,4.4,4.28,4.21,4.03,4.07,3.52,3.93,3.63,3.65,3.23,3.04,2.85,2.86,2.73,2.66,2.37,2.01,2.1,1.98,1.87,1.83,1.8,1.75,1.65,1.63,1.33,1.13,1.11,0.0,0.99,1.0,0.97,0.95,0.0,0.74,0.21,0.0,1.03,0.84,0.0,0.0,100.0
07/15/2021,6.32,5.26,5.91,4.47,4.25,4.19,4.08,4.08,3.51,3.97,3.69,3.58,3.28,3.02,2.89,2.81,2.74,2.66,2.34,2.04,2.17,2.0,1.88,1.82,1.8,1.73,1.64,1.62,1.31,1.13,1.1,0.0,0.99,1.0,0.96,0.94,0.0,0.73,0.23,0.0,1.03,0.84,0.0,0.0,100.01
07/16/2021,6.22,5.15,5.8,4.51,4.23,4.22,3.99,4.11,3.51,3.98,3.65,3.62,3.24,2.98,2.9,2.93,2.81,2.63,2.3,2.16,2.06,2.01,1.92,1.8,1.83,1.76,1.66,1.66,1.31,1.17,1.12,0.0,0.99,1.02,0.97,0.95,0.0,0.73,0.23,0.0,1.05,0.87,0.0,0.0,100.05
07/19/2021,6.18,5.0,5.88,4.38,4.13,4.23,3.86,4.24,3.56,4.09,3.64,3.63,3.23,2.97,2.9,2.91,2.8,2.54,2.33,1.99,2.02,2.06,1.95,1.78,1.88,1.8,1.65,1.7,1.33,1.16,1.13,0.0,1.02,1.05,1.01,0.99,0.0,0.76,0.24,0.0,1.08,0.89,0.0,0.0,99.99
07/20/2021,6.18,4.89,5.95,4.41,3.87,4.24,3.86,4.31,3.55,4.13,3.57,3.54,3.19,2.91,2.81,2.98,2.88,2.52,2.41,2.04,2.01,2.08,1.95,1.78,1.9,1.82,1.68,1.72,1.34,1.2,1.15,0.0,1.02,1.08,1.02,1.0,0.0,0.77,0.24,0.0,1.11,0.9,0.0,0.0,100.00999999999998
07/21/2021,6.18,4.89,5.95,4.41,3.87,4.24,3.86,4.31,3.55,4.13,3.57,3.54,3.19,2.91,2.81,2.98,2.88,2.52,2.41,2.04,2.01,2.08,1.95,1.78,1.9,1.82,1.68,1.72,1.34,1.2,1.15,0.0,1.02,1.08,1.02,1.0,0.0,0.77,0.24,0.0,1.11,0.9,0.0,0.0,100.00999999999998
07/22/2021,6.18,4.89,5.95,4.41,3.87,4.24,3.86,4.31,3.55,4.13,3.57,3.54,3.19,2.91,2.81,2.98,2.88,2.52,2.41,2.04,2.01,2.08,1.95,1.78,1.9,1.82,1.68,1.72,1.34,1.2,1.15,0.0,1.02,1.08,1.02,1.0,0.0,0.77,0.24,0.0,1.11,0.9,0.0,0.0,100.00999999999998
07/23/2021,6.53,4.93,6.19,4.31,3.72,4.28,3.81,4.27,3.35,4.08,3.58,3.48,3.13,2.95,2.78,3.01,2.87,2.6,2.43,2.11,2.03,2.05,1.92,1.76,1.89,1.83,1.66,1.7,1.35,1.2,1.13,0.0,1.0,1.05,1.02,1.0,0.0,0.77,0.25,0.0,1.09,0.89,0.0,0.0,100.0
07/26/2021,6.57,4.56,5.95,4.5,3.9,4.04,3.75,4.24,3.4,4.1,3.66,3.63,3.29,3.09,2.83,3.15,2.78,2.77,2.64,2.1,1.95,1.97,1.93,1.75,1.88,1.78,1.69,1.71,1.31,1.17,1.12,0.0,0.95,1.01,0.98,0.97,0.0,0.74,0.19,0.0,1.08,0.87,0.0,0.0,100.0
07/27/2021,6.66,4.61,4.48,4.57,3.88,4.15,3.77,4.33,3.36,4.22,3.72,3.54,3.35,3.07,2.81,3.24,2.86,2.82,2.73,2.13,1.94,2.06,2.0,1.78,1.93,1.82,1.75,1.77,1.31,1.21,1.14,0.0,0.97,1.05,1.01,1.0,0.0,0.76,0.2,0.0,1.11,0.9,0.0,0.0,100.01000000000002
07/28/2021,6.66,4.61,4.48,4.57,3.88,4.15,3.77,4.33,3.36,4.22,3.72,3.54,3.35,3.07,2.81,3.24,2.86,2.82,2.73,2.13,1.94,2.06,2.0,1.78,1.93,1.82,1.75,1.77,1.31,1.21,1.14,0.0,0.97,1.05,1.01,1.0,0.0,0.76,0.2,0.0,1.11,0.9,0.0,0.0,100.01000000000002
