,MORN,POOL,MCY,MSFT,WST,DGX,TGT,TTC,INTU,TROW,UPS,OKE,AOS,EXR,LAD,LOW,TSCO,LECO,LII,NDAQ,SYK,MDT,GGG,ETN,PM,XYL,HRC,CMCSA,TXN,UNH,CSL,RSG,AXP,WM,HUBB,AGO,EXPD,JNJ,ADI,JBHT,ALB,SBUX,NEE,PEP,RJF,AFG,ALL,ANTM,EMR,CUBE,BLK,EVR,CPT,HSY,MAA,UDR,SHW,DOV,GPC,NSC,BMY,ELS,AVB,RHI,GD,TRV,MPC,DUK,UGI,HON,JPM,ABC,PEG,CSCO,BOKF,ATR,ESS,RBC,IPG,CINF,AJG,CMA,IDA,KO,WHR,INGR,PPG,IP,OMC,MO,USB,SO,SYY,CMI,MAN,XEL,AMP,MCHP,SLGN,CFR,LNT,FRT,SJM,ORI,GLW,AVY,AIZ,MDU,CASY,NFG,NNN,LEG,STLD,WSM,SNA,FHN,PBCT,IRM,ADM,LNC,NUE,BEN,WLK,WBA,RS,DTE,DTM WI,Cash,SUM
07/09/2021,0.87,0.86,0.86,0.86,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.72,0.71,0.71,0.65,0.12,0.02,100.02999999999996
07/12/2021,0.9,0.89,0.85,0.9,0.89,0.87,0.87,0.87,0.88,0.88,0.87,0.83,0.85,0.88,0.83,0.84,0.84,0.86,0.86,0.84,0.85,0.85,0.87,0.85,0.83,0.84,0.86,0.84,0.83,0.84,0.83,0.85,0.85,0.84,0.83,0.8,0.84,0.84,0.81,0.82,0.81,0.85,0.84,0.83,0.81,0.8,0.82,0.82,0.82,0.84,0.85,0.8,0.84,0.83,0.84,0.84,0.82,0.82,0.81,0.82,0.82,0.84,0.83,0.79,0.81,0.81,0.76,0.81,0.8,0.8,0.78,0.79,0.81,0.8,0.76,0.8,0.82,0.77,0.78,0.79,0.8,0.75,0.8,0.8,0.8,0.81,0.8,0.79,0.78,0.77,0.77,0.79,0.77,0.78,0.77,0.8,0.78,0.77,0.79,0.75,0.79,0.76,0.78,0.77,0.77,0.78,0.78,0.77,0.77,0.77,0.78,0.76,0.78,0.79,0.78,0.73,0.73,0.76,0.75,0.72,0.74,0.75,0.72,0.71,0.71,0.67,0.12,-1.94,100.02
07/13/2021,0.9,0.89,0.85,0.9,0.89,0.87,0.87,0.87,0.88,0.88,0.87,0.83,0.85,0.88,0.83,0.84,0.84,0.86,0.86,0.84,0.85,0.85,0.87,0.85,0.83,0.84,0.86,0.84,0.83,0.84,0.83,0.85,0.85,0.84,0.83,0.8,0.84,0.84,0.81,0.82,0.81,0.85,0.84,0.83,0.81,0.8,0.82,0.82,0.82,0.84,0.85,0.8,0.84,0.83,0.84,0.84,0.82,0.82,0.81,0.82,0.82,0.84,0.83,0.79,0.81,0.81,0.76,0.81,0.8,0.8,0.78,0.79,0.81,0.8,0.76,0.8,0.82,0.77,0.78,0.79,0.8,0.75,0.8,0.8,0.8,0.81,0.8,0.79,0.78,0.77,0.77,0.79,0.77,0.78,0.77,0.8,0.78,0.77,0.79,0.75,0.79,0.76,0.78,0.77,0.77,0.78,0.78,0.77,0.77,0.77,0.78,0.76,0.78,0.79,0.78,0.73,0.73,0.76,0.75,0.72,0.74,0.75,0.72,0.71,0.71,0.67,0.12,-1.94,100.02
07/14/2021,0.88,0.9,0.84,0.89,0.89,0.87,0.87,0.87,0.87,0.87,0.86,0.85,0.83,0.88,0.86,0.84,0.83,0.85,0.83,0.83,0.84,0.85,0.85,0.85,0.83,0.84,0.85,0.83,0.83,0.84,0.83,0.84,0.85,0.83,0.84,0.81,0.83,0.84,0.81,0.81,0.84,0.85,0.83,0.83,0.82,0.81,0.82,0.82,0.82,0.85,0.85,0.77,0.86,0.82,0.86,0.85,0.81,0.82,0.81,0.79,0.81,0.85,0.84,0.79,0.81,0.81,0.76,0.81,0.79,0.81,0.79,0.78,0.8,0.8,0.78,0.79,0.83,0.78,0.79,0.8,0.79,0.76,0.8,0.8,0.81,0.81,0.79,0.8,0.78,0.78,0.78,0.78,0.78,0.79,0.76,0.79,0.78,0.76,0.79,0.75,0.79,0.78,0.79,0.77,0.78,0.77,0.78,0.77,0.78,0.77,0.78,0.76,0.78,0.79,0.78,0.74,0.73,0.78,0.75,0.73,0.75,0.74,0.72,0.7,0.71,0.68,0.12,-1.91,100.05
07/15/2021,0.88,0.89,0.85,0.88,0.89,0.87,0.88,0.86,0.87,0.89,0.86,0.84,0.83,0.89,0.86,0.83,0.83,0.86,0.83,0.85,0.84,0.84,0.85,0.85,0.82,0.84,0.84,0.83,0.83,0.84,0.83,0.84,0.85,0.83,0.84,0.82,0.82,0.83,0.81,0.81,0.89,0.85,0.82,0.82,0.83,0.81,0.82,0.83,0.82,0.85,0.86,0.78,0.86,0.82,0.87,0.85,0.81,0.82,0.81,0.78,0.81,0.84,0.85,0.78,0.8,0.81,0.76,0.81,0.79,0.81,0.8,0.78,0.8,0.79,0.77,0.78,0.84,0.78,0.78,0.8,0.79,0.76,0.79,0.79,0.8,0.78,0.79,0.79,0.77,0.78,0.78,0.78,0.76,0.78,0.76,0.79,0.78,0.77,0.78,0.75,0.79,0.79,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.79,0.75,0.79,0.79,0.77,0.74,0.73,0.79,0.74,0.74,0.75,0.74,0.71,0.7,0.71,0.68,0.12,-1.88,99.95
07/16/2021,0.88,0.89,0.85,0.9,0.89,0.87,0.89,0.85,0.88,0.88,0.86,0.83,0.83,0.88,0.86,0.84,0.84,0.86,0.82,0.85,0.83,0.85,0.85,0.86,0.82,0.84,0.84,0.83,0.83,0.86,0.83,0.84,0.86,0.83,0.84,0.81,0.83,0.84,0.82,0.82,0.88,0.87,0.83,0.85,0.83,0.81,0.82,0.85,0.82,0.84,0.86,0.8,0.86,0.82,0.87,0.85,0.82,0.83,0.8,0.79,0.82,0.84,0.85,0.78,0.81,0.81,0.75,0.82,0.78,0.81,0.79,0.78,0.79,0.8,0.76,0.78,0.84,0.78,0.78,0.8,0.79,0.76,0.79,0.81,0.79,0.76,0.79,0.79,0.76,0.77,0.78,0.79,0.75,0.79,0.77,0.79,0.78,0.77,0.78,0.75,0.79,0.78,0.78,0.76,0.77,0.77,0.77,0.77,0.77,0.76,0.78,0.74,0.78,0.79,0.77,0.73,0.73,0.79,0.74,0.74,0.74,0.71,0.71,0.71,0.71,0.68,0.12,-1.9,100.0
07/19/2021,0.86,0.87,0.82,0.9,0.89,0.86,0.89,0.86,0.88,0.87,0.86,0.81,0.83,0.88,0.84,0.84,0.85,0.86,0.77,0.85,0.82,0.83,0.84,0.86,0.83,0.83,0.83,0.83,0.82,0.86,0.84,0.86,0.86,0.85,0.85,0.81,0.83,0.83,0.8,0.83,0.89,0.86,0.85,0.86,0.82,0.82,0.8,0.84,0.83,0.85,0.83,0.76,0.87,0.84,0.88,0.86,0.82,0.83,0.81,0.79,0.82,0.85,0.86,0.78,0.81,0.82,0.71,0.83,0.79,0.84,0.79,0.77,0.81,0.8,0.76,0.78,0.86,0.78,0.77,0.8,0.79,0.76,0.82,0.83,0.8,0.77,0.8,0.77,0.77,0.78,0.81,0.8,0.74,0.78,0.76,0.81,0.78,0.73,0.78,0.75,0.8,0.78,0.79,0.76,0.77,0.77,0.78,0.77,0.77,0.76,0.8,0.73,0.78,0.76,0.77,0.73,0.73,0.79,0.74,0.72,0.74,0.7,0.69,0.69,0.71,0.68,0.12,-1.81,99.98999999999998
07/20/2021,0.86,0.87,0.82,0.9,0.89,0.86,0.89,0.86,0.88,0.87,0.86,0.81,0.83,0.88,0.84,0.84,0.85,0.86,0.77,0.85,0.82,0.83,0.84,0.86,0.83,0.83,0.83,0.83,0.82,0.86,0.84,0.86,0.86,0.85,0.85,0.81,0.83,0.83,0.8,0.83,0.89,0.86,0.85,0.86,0.82,0.82,0.8,0.84,0.83,0.85,0.83,0.76,0.87,0.84,0.88,0.86,0.82,0.83,0.81,0.79,0.82,0.85,0.86,0.78,0.81,0.82,0.71,0.83,0.79,0.84,0.79,0.77,0.81,0.8,0.76,0.78,0.86,0.78,0.77,0.8,0.79,0.76,0.82,0.83,0.8,0.77,0.8,0.77,0.77,0.78,0.81,0.8,0.74,0.78,0.76,0.81,0.78,0.73,0.78,0.75,0.8,0.78,0.79,0.76,0.77,0.77,0.78,0.77,0.77,0.76,0.8,0.73,0.78,0.76,0.77,0.73,0.73,0.79,0.74,0.72,0.74,0.7,0.69,0.69,0.71,0.68,0.12,-1.81,99.98999999999998
07/21/2021,0.86,0.87,0.82,0.9,0.89,0.86,0.89,0.86,0.88,0.87,0.86,0.81,0.83,0.88,0.84,0.84,0.85,0.86,0.77,0.85,0.82,0.83,0.84,0.86,0.83,0.83,0.83,0.83,0.82,0.86,0.84,0.86,0.86,0.85,0.85,0.81,0.83,0.83,0.8,0.83,0.89,0.86,0.85,0.86,0.82,0.82,0.8,0.84,0.83,0.85,0.83,0.76,0.87,0.84,0.88,0.86,0.82,0.83,0.81,0.79,0.82,0.85,0.86,0.78,0.81,0.82,0.71,0.83,0.79,0.84,0.79,0.77,0.81,0.8,0.76,0.78,0.86,0.78,0.77,0.8,0.79,0.76,0.82,0.83,0.8,0.77,0.8,0.77,0.77,0.78,0.81,0.8,0.74,0.78,0.76,0.81,0.78,0.73,0.78,0.75,0.8,0.78,0.79,0.76,0.77,0.77,0.78,0.77,0.77,0.76,0.8,0.73,0.78,0.76,0.77,0.73,0.73,0.79,0.74,0.72,0.74,0.7,0.69,0.69,0.71,0.68,0.12,-1.81,99.98999999999998
07/22/2021,0.88,0.87,0.83,0.91,0.9,0.87,0.89,0.86,0.88,0.87,0.86,0.8,0.83,0.89,0.83,0.85,0.85,0.86,0.78,0.85,0.83,0.84,0.85,0.85,0.83,0.83,0.83,0.83,0.82,0.86,0.84,0.87,0.85,0.86,0.85,0.8,0.83,0.84,0.79,0.82,0.87,0.87,0.87,0.87,0.8,0.83,0.81,0.84,0.82,0.86,0.83,0.75,0.88,0.85,0.89,0.88,0.84,0.84,0.81,0.79,0.82,0.87,0.87,0.78,0.81,0.83,0.7,0.85,0.79,0.84,0.78,0.78,0.82,0.81,0.75,0.79,0.86,0.78,0.76,0.8,0.79,0.74,0.84,0.83,0.8,0.76,0.8,0.76,0.76,0.79,0.79,0.81,0.74,0.78,0.76,0.82,0.78,0.72,0.77,0.74,0.82,0.78,0.81,0.76,0.76,0.76,0.78,0.78,0.78,0.75,0.8,0.73,0.76,0.75,0.76,0.69,0.71,0.78,0.73,0.71,0.72,0.69,0.67,0.69,0.7,0.7,0.12,-1.8,100.04
