,XTSLA,CROMPTON.NS,SRF.NS,VOLTAS.NS,LAURUSLABS.NS,MFSL.NS,ZEEL.NS,ASTRAL.NS,ASHOKLEY.NS,MPHASIS.NS,TATAPOWER.NS,AARTIIND.NS,SUNDARMFIN.NS,JINDALSTEL.NS,GODREJPROP.NS,TATACOMM.NS,DALBHARAT.NS,TATAELXSI.NS,DIXON.NS,MINDTREE.NS,LICHSGFIN.NS,PERSISTENT.NS,RAMCOCEM.NS,ATUL.NS,SUPREMEIND.NS,DEEPAKNTR.NS,FEDERALBNK.NS,TATACHEM.NS,NAVINFLUOR.NS,IDFCFIRSTB.NS,IRCTC.NS,GUJGASLTD.NS,LALPATHLAB.NS,FORH.NS,EMAMILTD.NS,VBL.NS,CUMMINSIND.NS,TIINDIA.NS,COROMANDEL.NS,NATCOPHARM.NS,JKCEMENT.NS,AAVAS.NS,M&MFIN.NS,INDHOTEL.NS,AIAENG.NS,GLENMARK.NS,GSPL.NS,INDIAMART.NS,APLAPOLLO.NS,COFORGE.NS,MANAPPURAM.NS,AUBANK.NS,ADANIPOWER.NS,OBEROIRLTY.NS,MAXHEALTH.NS,BATAINDIA.NS,ESCORTS.NS,OFSS.NS,PHOENIXLTD.NS,TORNTPOWER.NS,KAJARIACER.NS,SUNDRMFAST.NS,LTTS.NS,RBLBANK.NS,REDINGTON.NS,BAYERCROP.NS,IDEA.NS,METROPOLIS.NS,POLYCAB.NS,APOLLOTYRE.NS,CYIENT.NS,EXIDEIND.NS,SYNGENE.NS,3MINDIA.NS,L&TFH.NS,HAPPSTMNDS.NS,NATIONALUM.NS,IBULHSGFIN.NS,CAMS.NS,CARBORUNIV.NS,PVR.NS,SANOFI.NS,MGL.NS,ABFRL.NS,THERMAX.NS,JBCHEPHARM.NS,CHOLAHLDNG.NS,CUB.NS,RELAXO.NS,SKFINDIA.NS,CASTROLIND.NS,APLLTD.NS,TANLA.NS,IDFC.NS,BHEL.NS,AJANTPHARM.NS,INTELLECT.NS,AMARAJABAT.NS,ISEC.NS,ENDURANCE.NS,GMRINFRA.NS,IEX.NS,BSOFT.NS,RADICO.NS,QUESS.NS,ABCAPITAL.NS,CDSL.NS,FSL.NS,VINATIORGA.NS,AMBER.NS,CANBK.NS,CHAMBLFERT.NS,KEC.NS,INR,BLUESTARCO.NS,OIL.NS,AEGISCHEM.NS,ALKYLAMINE.NS,BAJAJELEC.NS,JUBLPHARMA.NS,STAR.NS,SONATSOFTW.NS,GRANULES.NS,NAM-INDIA.NS,AFFLE.NS,CESC.NS,VGUARD.NS,STLTECH.NS,FINPIPE.NS,SCHAEFFLER.NS,IIFLWAM.NS,CGPOWER.NS,MINDAIND.NS,BALRAMCHIN.NS,SUMICHEM.NS,SUVENPHAR.NS,PGHL.NS,MINDSPACE.NS,SUNTV.NS,KPITTECH.NS,ROUTE.NS,PNBHOUSING.NS,ORIENTELEC.NS,CRISIL.NS,SHRIRAMCIT.NS,VAIBHAVGBL.NS,PRESTIGE.NS,JSWENERGY.NS,TEAMLEASE.NS,TTKPRESTIG.NS,MCX.NS,EDELWEISS.NS,JKLAKSHMI.NS,KEI.NS,NBCC.NS,GESHIP.NS,JMFINANCIL.NS,UTIAMC.NS,LINDEINDIA.NS,GRAPHITE.NS,DHANI.NS,GILLETTE.NS,NCC.NS,FINCABLES.NS,EPL.NS,YESBANK.NS,AVANTIFEED.NS,RAJESHEXPO.NS,NH.NS,JUSTDIAL.NS,RAIN.NS,RATNAMANI.NS,CREDITACC.NS,BIRLACORPN.NS,ALOKINDS.NS,GALAXYSURF.NS,MOTILALOFS.NS,GMMPFAUDLR.NS,CANFINHOME.NS,GARFIBRES.NS,CENTURYTEX.NS,VTL.NS,KNRCON.NS,CEATLTD.NS,EIDPARRY.NS,VMART.NS,GPPL.NS,CCL.NS,IIFL.NS,KALPATPOWR.NS,BALAMINES.NS,WELSPUNIND.NS,BRIGADE.NS,INDIACEM.NS,ZYDUSWELL.NS,BLUEDART.NS,WESTLIFE.NS,GNFC.NS,TIMKEN.NS,BAJAJCON.NS,KPRMILL.NS,GODREJIND.NS,FLUOROCHEM.NS,BASF.NS,ANSGR.IS,PNCINFRA.NS,MAHINDCIE.NS,IBREALEST.NS,BURGERKING.NS,ZENSARTECH.NS,SUM
07/09/2021,2.02,1.51,1.45,1.42,1.41,1.4,1.23,1.22,1.17,1.16,1.15,1.06,1.05,1.04,1.03,1.01,0.97,0.96,0.96,0.95,0.92,0.91,0.91,0.89,0.89,0.84,0.83,0.82,0.79,0.79,0.79,0.75,0.74,0.72,0.72,0.72,0.7,0.7,0.69,0.69,0.68,0.66,0.65,0.63,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.56,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.12000000000002
07/12/2021,2.24,1.53,1.45,1.41,1.43,1.41,1.21,1.19,1.18,1.19,1.15,1.06,1.04,1.02,1.05,1.0,1.0,0.93,0.95,0.94,0.91,0.88,0.91,0.89,0.9,0.86,0.82,0.82,0.8,0.78,0.8,0.75,0.74,0.7,0.71,0.76,0.7,0.69,0.68,0.63,0.69,0.67,0.64,0.64,0.59,0.59,0.57,0.58,0.58,0.62,0.57,0.58,0.54,0.55,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.49,0.51,0.5,0.52,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.45,0.46,0.45,0.43,0.42,0.44,0.4,0.41,0.41,0.41,0.39,0.41,0.4,0.38,0.38,0.38,0.37,0.38,0.37,0.38,0.38,0.37,0.36,0.37,0.37,0.37,0.38,0.38,0.35,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.3,0.34,0.3,0.31,0.3,0.29,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.25,0.27,0.26,0.26,0.27,0.27,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.26,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.22,0.21,0.21,0.22,0.22,0.23,0.2,0.2,0.2,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.0,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.49
07/13/2021,2.24,1.53,1.45,1.41,1.43,1.41,1.21,1.19,1.18,1.19,1.15,1.06,1.04,1.02,1.05,1.0,1.0,0.93,0.95,0.94,0.91,0.88,0.91,0.89,0.9,0.86,0.82,0.82,0.8,0.78,0.8,0.75,0.74,0.7,0.71,0.76,0.7,0.69,0.68,0.63,0.69,0.67,0.64,0.64,0.59,0.59,0.57,0.58,0.58,0.62,0.57,0.58,0.54,0.55,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.49,0.51,0.5,0.52,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.45,0.45,0.46,0.45,0.43,0.42,0.44,0.4,0.41,0.41,0.41,0.39,0.41,0.4,0.38,0.38,0.38,0.37,0.38,0.37,0.38,0.38,0.37,0.36,0.37,0.37,0.37,0.38,0.38,0.35,0.36,0.35,0.34,0.34,0.35,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.3,0.34,0.3,0.31,0.3,0.29,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.25,0.27,0.26,0.26,0.27,0.27,0.25,0.25,0.26,0.24,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.26,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.22,0.21,0.21,0.22,0.22,0.23,0.2,0.2,0.2,0.19,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.0,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.49
07/14/2021,2.23,1.51,1.46,1.41,1.42,1.44,1.21,1.19,1.19,1.21,1.16,1.06,1.04,1.04,1.06,0.98,1.02,0.95,0.95,0.94,0.89,0.87,0.91,0.88,0.89,0.86,0.82,0.82,0.81,0.79,0.8,0.75,0.74,0.69,0.73,0.76,0.69,0.68,0.68,0.63,0.69,0.66,0.64,0.62,0.57,0.61,0.58,0.58,0.56,0.6,0.58,0.6,0.54,0.55,0.53,0.52,0.52,0.55,0.52,0.52,0.51,0.48,0.5,0.51,0.52,0.49,0.51,0.5,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.44,0.41,0.43,0.41,0.41,0.41,0.41,0.39,0.41,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.38,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.38,0.35,0.37,0.35,0.34,0.35,0.35,0.32,0.33,0.32,0.32,0.31,0.0,0.32,0.3,0.34,0.3,0.31,0.3,0.29,0.3,0.32,0.3,0.29,0.31,0.29,0.29,0.29,0.27,0.27,0.27,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.29,0.25,0.25,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.29,0.24,0.25,0.25,0.24,0.26,0.24,0.24,0.24,0.27,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.24,0.26,0.22,0.22,0.22,0.22,0.21,0.24,0.2,0.2,0.2,0.19,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.39
07/15/2021,2.23,1.51,1.46,1.41,1.42,1.44,1.21,1.19,1.19,1.21,1.16,1.06,1.04,1.04,1.06,0.98,1.02,0.95,0.95,0.94,0.89,0.87,0.91,0.88,0.89,0.86,0.82,0.82,0.81,0.79,0.8,0.75,0.74,0.69,0.73,0.76,0.69,0.68,0.68,0.63,0.69,0.66,0.64,0.62,0.57,0.61,0.58,0.58,0.56,0.6,0.58,0.6,0.54,0.55,0.53,0.52,0.52,0.55,0.52,0.52,0.51,0.48,0.5,0.51,0.52,0.49,0.51,0.5,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.44,0.41,0.43,0.41,0.41,0.41,0.41,0.39,0.41,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.38,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.38,0.35,0.37,0.35,0.34,0.35,0.35,0.32,0.33,0.32,0.32,0.31,0.0,0.32,0.3,0.34,0.3,0.31,0.3,0.29,0.3,0.32,0.3,0.29,0.31,0.29,0.29,0.29,0.27,0.27,0.27,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.29,0.25,0.25,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.29,0.24,0.25,0.25,0.24,0.26,0.24,0.24,0.24,0.27,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.24,0.26,0.22,0.22,0.22,0.22,0.21,0.24,0.2,0.2,0.2,0.19,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.0,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.39
07/16/2021,2.16,1.55,1.44,1.42,1.38,1.43,1.19,1.18,1.19,1.18,1.14,1.05,1.03,1.03,1.08,0.99,1.05,0.94,0.95,0.92,0.89,0.85,0.92,0.88,0.88,0.85,0.84,0.83,0.79,0.78,0.81,0.75,0.73,0.68,0.72,0.76,0.69,0.7,0.66,0.63,0.72,0.65,0.64,0.63,0.57,0.59,0.59,0.56,0.54,0.59,0.6,0.59,0.53,0.57,0.5,0.51,0.52,0.55,0.52,0.51,0.5,0.48,0.47,0.5,0.57,0.49,0.49,0.46,0.46,0.48,0.45,0.45,0.45,0.44,0.45,0.45,0.46,0.46,0.42,0.43,0.4,0.41,0.41,0.44,0.38,0.41,0.39,0.38,0.37,0.37,0.36,0.36,0.4,0.4,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.34,0.36,0.34,0.36,0.41,0.35,0.32,0.32,0.32,0.32,0.31,0.25,0.32,0.29,0.31,0.31,0.3,0.31,0.3,0.31,0.32,0.3,0.29,0.32,0.28,0.29,0.28,0.27,0.28,0.27,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.28,0.26,0.25,0.26,0.25,0.27,0.26,0.27,0.25,0.26,0.33,0.25,0.25,0.25,0.24,0.26,0.23,0.24,0.24,0.27,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.24,0.23,0.25,0.22,0.21,0.23,0.22,0.22,0.24,0.2,0.21,0.2,0.2,0.24,0.2,0.19,0.0,0.21,0.19,0.18,0.2,0.2,0.0,0.19,0.2,0.0,0.18,0.18,0.19,0.18,0.18,0.18,0.2,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.26
07/19/2021,2.31,1.55,1.44,1.42,1.37,1.39,1.15,1.2,1.19,1.27,1.13,1.04,1.02,1.02,1.09,1.0,1.07,0.97,0.95,1.0,0.9,0.87,0.91,0.88,0.86,0.84,0.82,0.81,0.78,0.77,0.8,0.74,0.72,0.68,0.72,0.76,0.69,0.69,0.65,0.64,0.71,0.64,0.63,0.62,0.54,0.59,0.57,0.56,0.54,0.62,0.61,0.62,0.51,0.58,0.49,0.51,0.51,0.56,0.51,0.51,0.5,0.47,0.57,0.49,0.53,0.5,0.48,0.45,0.45,0.46,0.49,0.44,0.46,0.43,0.44,0.55,0.44,0.43,0.47,0.43,0.39,0.4,0.4,0.42,0.37,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.4,0.38,0.36,0.36,0.39,0.35,0.37,0.36,0.35,0.38,0.37,0.35,0.31,0.34,0.45,0.36,0.31,0.32,0.31,0.32,0.3,0.5,0.31,0.28,0.3,0.3,0.3,0.28,0.29,0.31,0.32,0.31,0.28,0.31,0.28,0.3,0.28,0.27,0.29,0.26,0.31,0.27,0.28,0.26,0.27,0.26,0.27,0.27,0.27,0.27,0.25,0.25,0.26,0.25,0.28,0.29,0.27,0.25,0.27,0.29,0.24,0.24,0.24,0.25,0.29,0.24,0.23,0.25,0.29,0.24,0.23,0.23,0.21,0.22,0.22,0.21,0.23,0.24,0.25,0.21,0.22,0.23,0.22,0.21,0.24,0.19,0.21,0.2,0.2,0.23,0.21,0.2,0.18,0.2,0.18,0.18,0.19,0.19,0.18,0.2,0.21,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.2,0.18,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,94.54
07/20/2021,2.31,1.55,1.44,1.42,1.37,1.39,1.15,1.2,1.19,1.27,1.13,1.04,1.02,1.02,1.09,1.0,1.07,0.97,0.95,1.0,0.9,0.87,0.91,0.88,0.86,0.84,0.82,0.81,0.78,0.77,0.8,0.74,0.72,0.68,0.72,0.76,0.69,0.69,0.65,0.64,0.71,0.64,0.63,0.62,0.54,0.59,0.57,0.56,0.54,0.62,0.61,0.62,0.51,0.58,0.49,0.51,0.51,0.56,0.51,0.51,0.5,0.47,0.57,0.49,0.53,0.5,0.48,0.45,0.45,0.46,0.49,0.44,0.46,0.43,0.44,0.55,0.44,0.43,0.47,0.43,0.39,0.4,0.4,0.42,0.37,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.4,0.38,0.36,0.36,0.39,0.35,0.37,0.36,0.35,0.38,0.37,0.35,0.31,0.34,0.45,0.36,0.31,0.32,0.31,0.32,0.3,0.5,0.31,0.28,0.3,0.3,0.3,0.28,0.29,0.31,0.32,0.31,0.28,0.31,0.28,0.3,0.28,0.27,0.29,0.26,0.31,0.27,0.28,0.26,0.27,0.26,0.27,0.27,0.27,0.27,0.25,0.25,0.26,0.25,0.28,0.29,0.27,0.25,0.27,0.29,0.24,0.24,0.24,0.25,0.29,0.24,0.23,0.25,0.29,0.24,0.23,0.23,0.21,0.22,0.22,0.21,0.23,0.24,0.25,0.21,0.22,0.23,0.22,0.21,0.24,0.19,0.21,0.2,0.2,0.23,0.21,0.2,0.18,0.2,0.18,0.18,0.19,0.19,0.18,0.2,0.21,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.2,0.18,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,94.54
07/21/2021,2.21,1.57,1.45,1.42,1.35,1.39,1.14,1.19,1.18,1.26,1.12,1.03,1.01,1.04,1.1,0.98,1.06,0.93,0.94,0.99,0.89,0.86,0.92,0.87,0.85,0.84,0.82,0.81,0.79,0.77,0.86,0.74,0.71,0.67,0.7,0.76,0.67,0.68,0.64,0.63,0.69,0.64,0.63,0.63,0.55,0.61,0.6,0.55,0.55,0.61,0.6,0.6,0.51,0.57,0.49,0.52,0.51,0.54,0.52,0.51,0.5,0.47,0.56,0.49,0.52,0.5,0.51,0.45,0.45,0.46,0.55,0.44,0.5,0.44,0.44,0.55,0.47,0.44,0.48,0.43,0.39,0.4,0.39,0.42,0.37,0.41,0.38,0.37,0.36,0.36,0.36,0.36,0.39,0.39,0.36,0.35,0.39,0.43,0.39,0.37,0.36,0.38,0.37,0.37,0.32,0.36,0.47,0.4,0.31,0.32,0.31,0.32,0.3,0.0,0.32,0.27,0.28,0.3,0.3,0.28,0.29,0.31,0.33,0.32,0.28,0.31,0.28,0.3,0.28,0.27,0.31,0.26,0.31,0.27,0.28,0.26,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.25,0.26,0.24,0.29,0.3,0.27,0.24,0.27,0.29,0.24,0.24,0.24,0.25,0.3,0.25,0.22,0.25,0.28,0.25,0.24,0.23,0.2,0.22,0.22,0.21,0.22,0.23,0.25,0.21,0.22,0.23,0.22,0.21,0.26,0.19,0.2,0.19,0.2,0.25,0.2,0.2,0.18,0.2,0.18,0.0,0.19,0.2,0.18,0.2,0.2,0.0,0.18,0.0,0.18,0.0,0.18,0.0,0.2,0.0,0.2,0.18,0.29,0.18,0.18,0.0,0.0,0.0,94.47
07/22/2021,2.24,1.57,1.47,1.41,1.35,1.4,1.13,1.18,1.16,1.25,1.14,1.04,1.01,1.02,1.1,1.0,1.05,0.92,0.93,1.0,0.88,0.86,0.91,0.87,0.85,0.84,0.8,0.82,0.79,0.75,0.86,0.74,0.72,0.68,0.69,0.74,0.68,0.67,0.64,0.63,0.7,0.64,0.61,0.62,0.55,0.61,0.59,0.54,0.54,0.61,0.6,0.6,0.5,0.57,0.49,0.52,0.51,0.55,0.52,0.51,0.5,0.47,0.56,0.48,0.51,0.5,0.5,0.45,0.46,0.45,0.53,0.44,0.5,0.44,0.42,0.57,0.47,0.43,0.48,0.42,0.39,0.41,0.39,0.41,0.37,0.42,0.39,0.36,0.37,0.36,0.36,0.36,0.39,0.38,0.35,0.35,0.39,0.43,0.4,0.36,0.35,0.4,0.36,0.39,0.33,0.36,0.5,0.4,0.32,0.32,0.31,0.32,0.3,0.38,0.32,0.27,0.29,0.3,0.3,0.29,0.29,0.31,0.33,0.32,0.28,0.32,0.28,0.3,0.28,0.27,0.31,0.25,0.31,0.27,0.28,0.26,0.26,0.27,0.27,0.28,0.27,0.26,0.27,0.28,0.26,0.24,0.3,0.31,0.27,0.24,0.28,0.3,0.25,0.24,0.24,0.25,0.3,0.25,0.22,0.24,0.28,0.25,0.23,0.23,0.2,0.22,0.22,0.21,0.22,0.22,0.26,0.21,0.21,0.23,0.22,0.21,0.25,0.19,0.2,0.2,0.2,0.25,0.21,0.2,0.19,0.2,0.18,0.18,0.19,0.2,0.0,0.21,0.19,0.0,0.0,0.0,0.18,0.18,0.18,0.0,0.2,0.18,0.21,0.19,0.0,0.0,0.18,0.0,0.0,0.0,94.57
