,2330.TW,700.HK,9988.HK,3690.HK,939.HK,2382.HK,2454.TW,006400.KS,INFY.NS,2308.TW,2688.HK,066570.KS,NPN.JO,035420.KS,017670.KS,TCS.NS,FEMSAUBD.MX,NIO,HINDUNILVR.NS,2318.HK,003550.KS,YUMC,AXISBANK.NS,300750.SZ,2269.HK,2327.TW,1211.SR,055550.KS,105560.KS,POWERGRID.NS,BY6.,GGBR4.SA,2020.SR,PLZL.L,000810.KS,2359.HK,NAUKRI.NS,AOT/F.BK,2018.HK,KFH.,GRASIM.NS,034220.KS,CSAN3.SA,FAB.,BBDC4.SA,BGNE,688.HK,2881.TW,FSR.JO,LI,OMU.JO,FIVE.L,2882.TW,WEGE3.SA,VIVT3.SA,2280.SR,010950.KS,2357.TW,601318.SS,B3SA3.SA,NTES,002594.SZ,601166.SS,021240.KS,6618.HK,WIPRO.NS,603259.SS,M4B.,PTTGC/F.BK,IMP.JO,992.HK,SBIN.NS,BBCA.JK,UPL.NS,4190.SR,PEL.NS,JGS.PM,ENELAM.SN,KIO.JO,2050.SR,267250.KS,PBBANK.KL,010130.KS,BANDHANBNK.NS,ISA.BC,DIALOG.KL,UGPA3.SA,UNVR.JK,2202.HK,MTN.JO,2128.HK,KOFUBL.MX,KOTAKBANK.NS,AXIATA.KL,2319.HK,KGH.WA,489.HK,QFLS.QA,DLF.NS,DELTA/F.BK,4013.SR,006360.KS,TCELL.IS,005830.KS,PEO.WA,KLBN11.SA,QGTS.QA,600887.SS,241.HK,SMPH.PM,6185.HK,KLBF.JK,GAPB.MX,TOP/F.BK,011170.KS,XPEV,2238.HK,Federal Agricultural Mortgage Corporation,POLY.L,2060.SR,152.HK,2777.HK,ASIANPAINT.NS,BRPT.JK,SLM.JO,ORDS.QA,BAP,BTOW3.SA,BBDC3.SA,D7N.,ALE.WA,000538.SZ,PETDAG.KL,220.HK,1303.TW,4.HK,GNDI3.SA,603799.SS,002460.SZ,300759.SZ,HCM,3799.HK,3319.HK,282330.KS,6098.HK,CCRO3.SA,2208.HK,ETISALAT.,839.HK,051905.KQ,601688.SS,000625.SZ,OTP.BD,TIMS3.SA,000100.SZ,018260.KS,MDKA.JK,PPB.KL,603659.SS,000002.SZ,604.HK,001979.SZ,CENCOSHOPP.SN,NESTLEIND.NS,300595.SZ,011780.KS,GFNORTEO.MX,HEROMOTOCO.NS,CMPC.SN,VIPS,M&M.NS,009830.KS,SUPERMX.KL,AGRO,BELA.AT,ADANIGREEN.NS,601939.SS,688208.SS,000069.SZ,600176.SS,000157.SZ,000938.SZ,600219.SS,300144.SZ,HTO.AT,600196.SS,813.HK,6186.HK,601360.SS,HARTA.KL,1157.HK,RENT3.SA,BRITANNIA.NS,1530.HK,600066.SS,688208.SS.1,SIEMENS.NS,BCOLOMBIA.BC,603993.SS,2324.TW,FAMCDN 0 07/09/13,URC.V,601598.SS,FAMCDN 0 07/12/17,FAMCDN 0 07/13/17,FFCBDN 0 07/14/17,Us Dollars,FHLBDN 0 07/23/13,AMER3.SA,000629.SZ,FAMCDN 0 07/26/17,1164.HK,Federal Home Loan Banks,FHLBDN 0 08/11/17,n/a,TCELL.E.IS,BIDI11.SA,SUM
07/09/2021,7.34,6.13,5.69,2.71,1.98,1.9,1.86,1.76,1.69,1.59,1.46,1.42,1.32,1.31,1.3,1.22,1.18,1.13,1.12,1.09,1.08,1.05,1.01,0.96,0.91,0.87,0.86,0.85,0.84,0.84,0.81,0.79,0.78,0.77,0.71,0.65,0.65,0.65,0.62,0.61,0.61,0.6,0.58,0.58,0.58,0.57,0.55,0.54,0.52,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.43,0.42,0.42,0.42,0.4,0.4,0.4,0.4,0.38,0.38,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.35
07/12/2021,7.55,5.8,5.45,2.46,1.88,1.89,1.84,1.82,1.73,1.65,1.47,1.41,1.26,1.36,1.32,1.23,1.2,1.05,1.14,1.07,1.09,1.07,1.05,1.06,0.86,0.94,0.91,0.84,0.82,0.88,0.82,0.76,0.82,0.79,0.69,0.65,0.67,0.64,0.59,0.63,0.62,0.57,0.58,0.58,0.54,0.55,0.57,0.57,0.56,0.51,0.51,0.46,0.51,0.48,0.48,0.48,0.48,0.51,0.48,0.47,0.45,0.51,0.48,0.45,0.44,0.46,0.43,0.41,0.42,0.42,0.42,0.41,0.4,0.42,0.39,0.38,0.36,0.35,0.36,0.36,0.34,0.35,0.35,0.33,0.32,0.33,0.32,0.31,0.32,0.31,0.29,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.26,0.23,0.22,0.24,0.21,0.23,0.24,0.22,0.22,0.21,0.24,0.0,0.22,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.16,0.2,0.18,0.15,0.16,0.15,0.16,0.15,0.15,0.17,0.17,0.14,0.14,0.14,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.11,0.13,0.11,0.12,0.11,0.13,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.29,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39
07/13/2021,7.55,5.8,5.45,2.46,1.88,1.89,1.84,1.82,1.73,1.65,1.47,1.41,1.26,1.36,1.32,1.23,1.2,1.05,1.14,1.07,1.09,1.07,1.05,1.06,0.86,0.94,0.91,0.84,0.82,0.88,0.82,0.76,0.82,0.79,0.69,0.65,0.67,0.64,0.59,0.63,0.62,0.57,0.58,0.58,0.54,0.55,0.57,0.57,0.56,0.51,0.51,0.46,0.51,0.48,0.48,0.48,0.48,0.51,0.48,0.47,0.45,0.51,0.48,0.45,0.44,0.46,0.43,0.41,0.42,0.42,0.42,0.41,0.4,0.42,0.39,0.38,0.36,0.35,0.36,0.36,0.34,0.35,0.35,0.33,0.32,0.33,0.32,0.31,0.32,0.31,0.29,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.26,0.23,0.22,0.24,0.21,0.23,0.24,0.22,0.22,0.21,0.24,0.0,0.22,0.21,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.16,0.2,0.18,0.15,0.16,0.15,0.16,0.15,0.15,0.17,0.17,0.14,0.14,0.14,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.11,0.13,0.11,0.12,0.11,0.13,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.29,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39
07/14/2021,7.48,5.91,5.4,2.56,1.87,1.9,1.83,1.82,1.73,1.61,1.49,1.4,1.26,1.34,1.33,1.21,1.2,1.05,1.14,1.07,1.07,1.07,1.04,1.03,0.9,0.93,0.91,0.82,0.79,0.87,0.81,0.76,0.82,0.78,0.68,0.65,0.67,0.64,0.6,0.63,0.64,0.56,0.58,0.58,0.54,0.56,0.56,0.57,0.57,0.51,0.52,0.49,0.5,0.48,0.48,0.48,0.48,0.5,0.48,0.47,0.46,0.5,0.47,0.44,0.44,0.46,0.43,0.41,0.42,0.42,0.42,0.41,0.4,0.42,0.39,0.38,0.35,0.36,0.38,0.36,0.33,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.3,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.3,0.3,0.27,0.26,0.27,0.25,0.25,0.25,0.26,0.23,0.23,0.23,0.21,0.23,0.24,0.21,0.21,0.2,0.25,0.0,0.22,0.21,0.2,0.19,0.2,0.21,0.19,0.18,0.18,0.18,0.16,0.22,0.18,0.15,0.16,0.15,0.16,0.15,0.15,0.18,0.18,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.15,0.12,0.11,0.13,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.04,0.03,0.0,0.07,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44
07/15/2021,7.54,5.81,5.4,2.59,1.85,1.84,1.85,1.79,1.7,1.62,1.47,1.38,1.25,1.34,1.34,1.2,1.2,1.06,1.12,1.06,1.07,1.06,1.04,1.06,0.9,0.93,0.87,0.83,0.8,0.86,0.87,0.8,0.81,0.77,0.68,0.68,0.67,0.64,0.59,0.62,0.64,0.56,0.62,0.58,0.56,0.56,0.56,0.58,0.56,0.52,0.51,0.48,0.52,0.49,0.49,0.46,0.49,0.51,0.47,0.48,0.46,0.53,0.47,0.45,0.45,0.45,0.45,0.42,0.39,0.42,0.41,0.41,0.41,0.42,0.38,0.37,0.36,0.36,0.37,0.34,0.34,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.31,0.31,0.29,0.29,0.28,0.29,0.28,0.31,0.3,0.26,0.27,0.26,0.26,0.24,0.25,0.26,0.23,0.23,0.23,0.21,0.23,0.23,0.21,0.21,0.2,0.24,0.0,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.22,0.19,0.15,0.16,0.15,0.16,0.15,0.15,0.2,0.2,0.16,0.13,0.14,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.15,0.12,0.12,0.13,0.11,0.11,0.11,0.13,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.04,0.03,0.0,0.06,0.03,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39
07/16/2021,7.64,5.98,5.55,2.66,1.83,1.81,1.82,1.82,1.68,1.65,1.48,1.41,1.24,1.4,1.33,1.18,1.17,1.02,1.11,1.05,1.08,1.05,1.05,1.05,0.87,0.91,0.87,0.83,0.81,0.85,0.86,0.8,0.81,0.78,0.69,0.66,0.63,0.64,0.59,0.61,0.66,0.56,0.62,0.57,0.56,0.56,0.56,0.57,0.52,0.51,0.49,0.48,0.52,0.48,0.48,0.46,0.48,0.5,0.47,0.49,0.47,0.52,0.46,0.44,0.46,0.45,0.44,0.41,0.41,0.43,0.4,0.41,0.4,0.42,0.38,0.37,0.34,0.35,0.37,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.3,0.29,0.3,0.31,0.3,0.29,0.28,0.29,0.28,0.31,0.29,0.27,0.27,0.26,0.26,0.24,0.25,0.25,0.24,0.23,0.22,0.2,0.23,0.23,0.21,0.22,0.2,0.24,0.0,0.21,0.22,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.2,0.18,0.15,0.16,0.15,0.16,0.15,0.15,0.19,0.2,0.16,0.13,0.14,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.06,0.03,0.0,0.0,0.27,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33
07/26/2021,7.5,5.9,5.66,2.54,1.82,1.92,1.82,1.8,1.75,1.64,1.65,1.43,1.32,1.4,1.26,1.2,1.16,1.05,1.09,1.07,1.06,1.06,1.03,1.05,0.89,0.94,0.88,0.81,0.8,0.88,0.83,0.8,0.82,0.76,0.7,0.68,0.64,0.6,0.55,0.63,0.66,0.54,0.64,0.57,0.53,0.55,0.57,0.63,0.52,0.52,0.48,0.46,0.56,0.48,0.48,0.47,0.45,0.49,0.46,0.48,0.48,0.5,0.45,0.47,0.45,0.5,0.46,0.42,0.41,0.41,0.38,0.41,0.41,0.42,0.37,0.36,0.35,0.35,0.37,0.34,0.34,0.34,0.4,0.31,0.31,0.32,0.31,0.31,0.29,0.31,0.28,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.33,0.29,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.21,0.22,0.19,0.23,0.23,0.19,0.22,0.22,0.22,0.0,0.21,0.22,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.0,0.16,0.22,0.19,0.15,0.16,0.14,0.16,0.15,0.14,0.19,0.24,0.15,0.15,0.13,0.13,0.14,0.12,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.0,0.07,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.04,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.22,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43999999999998
07/27/2021,7.48,5.8,5.64,2.5,1.82,1.86,1.86,1.85,1.76,1.65,1.66,1.46,1.3,1.45,1.25,1.21,1.19,1.01,1.09,1.06,1.07,1.08,1.05,1.04,0.87,0.94,0.88,0.82,0.81,0.88,0.85,0.82,0.82,0.75,0.7,0.67,0.64,0.6,0.54,0.63,0.65,0.55,0.64,0.58,0.54,0.54,0.58,0.65,0.52,0.49,0.48,0.46,0.56,0.49,0.48,0.47,0.45,0.47,0.46,0.48,0.44,0.52,0.45,0.5,0.45,0.52,0.44,0.42,0.4,0.41,0.37,0.42,0.4,0.42,0.38,0.37,0.34,0.34,0.37,0.34,0.35,0.34,0.43,0.32,0.31,0.32,0.31,0.3,0.29,0.31,0.28,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.33,0.28,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.23,0.21,0.21,0.18,0.23,0.24,0.19,0.23,0.21,0.23,0.0,0.2,0.22,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.0,0.16,0.22,0.18,0.15,0.16,0.14,0.16,0.15,0.14,0.18,0.23,0.14,0.14,0.13,0.13,0.14,0.12,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.0,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.22,0.05,0.0,0.0,0.0,0.0,0.0,99.34
07/28/2021,7.48,5.8,5.64,2.5,1.82,1.86,1.86,1.85,1.76,1.65,1.66,1.46,1.3,1.45,1.25,1.21,1.19,1.01,1.09,1.06,1.07,1.08,1.05,1.04,0.87,0.94,0.88,0.82,0.81,0.88,0.85,0.82,0.82,0.75,0.7,0.67,0.64,0.6,0.54,0.63,0.65,0.55,0.64,0.58,0.54,0.54,0.58,0.65,0.52,0.49,0.48,0.46,0.56,0.49,0.48,0.47,0.45,0.47,0.46,0.48,0.44,0.52,0.45,0.5,0.45,0.52,0.44,0.42,0.4,0.41,0.37,0.42,0.4,0.42,0.38,0.37,0.34,0.34,0.37,0.34,0.35,0.34,0.43,0.32,0.31,0.32,0.31,0.3,0.29,0.31,0.28,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.33,0.28,0.27,0.27,0.26,0.26,0.24,0.24,0.25,0.23,0.21,0.21,0.18,0.23,0.24,0.19,0.23,0.21,0.23,0.0,0.2,0.22,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.0,0.16,0.22,0.18,0.15,0.16,0.14,0.16,0.15,0.14,0.18,0.23,0.14,0.14,0.13,0.13,0.14,0.12,0.13,0.14,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.0,0.06,0.07,0.06,0.07,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.22,0.05,0.0,0.0,0.0,0.0,0.0,99.34
08/06/2021,7.17,4.58,5.0,1.82,1.73,1.77,1.76,1.74,1.73,1.48,1.62,1.29,1.11,1.29,1.19,1.16,1.2,0.96,1.04,0.97,0.99,0.94,0.96,0.94,0.79,0.83,0.9,0.78,0.76,0.83,0.91,0.78,0.81,0.74,0.66,0.64,0.63,0.56,0.49,0.61,0.64,0.51,0.57,0.56,0.51,0.55,0.5,0.55,0.52,0.49,0.48,0.45,0.49,0.47,0.45,0.43,0.43,0.41,0.4,0.43,0.37,0.5,0.38,0.46,0.31,0.49,0.43,0.38,0.39,0.44,0.33,0.41,0.39,0.38,0.36,0.38,0.33,0.31,0.4,0.34,0.32,0.32,0.4,0.29,0.28,0.29,0.27,0.26,0.26,0.32,0.27,0.32,0.28,0.27,0.28,0.28,0.27,0.27,0.33,0.28,0.28,0.25,0.25,0.26,0.24,0.21,0.24,0.23,0.17,0.21,0.22,0.21,0.23,0.18,0.21,0.2,0.21,2.88,0.2,0.21,0.18,0.15,0.19,0.23,0.17,0.17,0.14,0.0,0.15,0.2,0.16,0.13,0.15,0.14,0.15,0.14,0.13,0.15,0.2,0.15,0.14,0.12,0.1,0.13,0.1,0.12,0.16,0.13,0.1,0.1,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.0,0.06,0.07,0.06,0.07,0.06,0.04,0.05,0.05,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.0,4.98,0.0,0.12,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,99.4
