,700.HK,3690.HK,BIDU,2382.HK,BILI,GDS,TME,268.HK,1024.HK,601012 C1,772.HK,ATHM,YY,WB,KC,1347.HK,909.HK,000725 C2,MOMO,603501 C1,696.HK,DADA,300782 C2,002371 C2,600703 C1,002230 C2,OCFT,002027 C2,900926 CH,603986 C1,002129 C2,600588 C1,002049 C2,600570 C1,300408 C2,3396.HK,600584 C1,688008 C1,002600 C2,300316 C2,300496 C2,002414 C2,300033 C2,600183 C1,300661 C2,688002 C1,300751 C2,200725 CH,002185 C2,000066 C2,600845 C1,300223 C2,000977 C2,603019 C1,300454 C2,300253 C2,002153 C2,600392 C1,300001 C2,002156 C2,000050 C2,300724 C2,000938 C2,002008 C2,002938 C2,600536 C1,002841 C2,000021 C2,AGPXX,002463 C2,300115 C2,002065 C2,002456 C2,300458 C2,002028 C2,002056 C2,300383 C2,002212 C2,300296 C2,603160 C1,002916 C2,300376 C2,000997 C2,603000 C1,002273 C2,000062 C2,002373 C2,300212 C2,002268 C2,300017 C2,300188 C2,601231 C1,600446 C1,300166 C2,002368 C2,300085 C2,300369 C2,002635 C2,300002 C2,300113 C2,603228 C1,002195 C2,300078 C2,603927 C1,300010 C2,-China Yua,-HongKong,Cash/Receivables/Payables,n/a,700 HK,2382 HK,3690 HK,268 HK,772 HK,1024 HK,1347 HK,909 HK,696 HK,3396 HK,SUM
07/09/2021,9.56,8.65,8.13,7.41,6.96,3.9,3.72,3.65,3.34,2.87,2.41,2.15,1.93,1.9,1.65,1.49,1.48,1.33,1.33,1.25,1.15,0.97,0.94,0.92,0.91,0.91,0.83,0.79,0.78,0.76,0.71,0.65,0.6,0.57,0.48,0.47,0.46,0.46,0.4,0.39,0.39,0.38,0.36,0.35,0.35,0.29,0.28,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.01,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,9.35,8.46,8.0,7.47,6.94,3.66,3.45,3.67,3.03,3.22,2.49,2.26,1.9,2.0,1.65,1.53,1.58,1.38,1.28,1.29,1.08,1.01,0.94,1.06,0.94,0.88,0.78,0.78,0.8,0.81,0.78,0.65,0.67,0.57,0.5,0.47,0.48,0.46,0.42,0.42,0.38,0.4,0.36,0.36,0.38,0.31,0.3,0.28,0.28,0.28,0.25,0.25,0.26,0.28,0.24,0.22,0.22,0.26,0.23,0.21,0.24,0.23,0.2,0.19,0.19,0.18,0.18,0.17,0.0,0.18,0.17,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.04,0.04,0.04,0.03,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/13/2021,9.35,8.46,8.0,7.47,6.94,3.66,3.45,3.67,3.03,3.22,2.49,2.26,1.9,2.0,1.65,1.53,1.58,1.38,1.28,1.29,1.08,1.01,0.94,1.06,0.94,0.88,0.78,0.78,0.8,0.81,0.78,0.65,0.67,0.57,0.5,0.47,0.48,0.46,0.42,0.42,0.38,0.4,0.36,0.36,0.38,0.31,0.3,0.28,0.28,0.28,0.25,0.25,0.26,0.28,0.24,0.22,0.22,0.26,0.23,0.21,0.24,0.23,0.2,0.19,0.19,0.18,0.18,0.17,0.0,0.18,0.17,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.04,0.04,0.04,0.03,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/14/2021,9.35,8.46,8.0,7.47,6.94,3.66,3.45,3.67,3.03,3.22,2.49,2.26,1.9,2.0,1.65,1.53,1.58,1.38,1.28,1.29,1.08,1.01,0.94,1.06,0.94,0.88,0.78,0.78,0.8,0.81,0.78,0.65,0.67,0.57,0.5,0.47,0.48,0.46,0.42,0.42,0.38,0.4,0.36,0.36,0.38,0.31,0.3,0.28,0.28,0.28,0.25,0.25,0.26,0.28,0.24,0.22,0.22,0.26,0.23,0.21,0.24,0.23,0.2,0.19,0.19,0.18,0.18,0.17,0.0,0.18,0.17,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.12,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.04,0.04,0.04,0.03,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,9.21,8.58,7.91,7.24,6.91,3.64,3.28,3.8,2.94,3.19,2.54,2.22,1.82,2.0,1.61,1.62,1.62,1.39,1.26,1.33,1.05,1.01,0.92,1.07,0.96,0.89,0.75,0.78,0.82,0.82,0.81,0.68,0.66,0.58,0.53,0.47,0.47,0.46,0.38,0.44,0.39,0.41,0.37,0.36,0.37,0.31,0.3,0.28,0.27,0.28,0.26,0.3,0.26,0.28,0.28,0.24,0.22,0.27,0.23,0.21,0.23,0.23,0.22,0.19,0.19,0.19,0.18,0.17,0.29,0.17,0.16,0.16,0.15,0.17,0.14,0.15,0.15,0.15,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.11,0.09,0.09,0.08,0.08,0.08,0.09,0.06,0.06,0.06,0.07,0.04,0.04,0.04,0.03,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,9.41,8.73,7.95,7.06,7.01,3.75,3.4,3.67,3.06,3.07,2.51,2.26,1.92,2.02,1.67,1.61,1.6,1.37,1.27,1.26,1.03,0.99,0.79,1.02,0.91,0.87,0.76,0.79,0.79,0.75,0.81,0.69,0.61,0.57,0.51,0.48,0.43,0.47,0.34,0.43,0.36,0.4,0.36,0.35,0.34,0.3,0.3,0.27,0.25,0.3,0.26,0.28,0.26,0.28,0.28,0.23,0.21,0.25,0.24,0.19,0.23,0.24,0.21,0.19,0.19,0.19,0.18,0.17,0.37,0.17,0.15,0.16,0.14,0.16,0.13,0.15,0.14,0.16,0.14,0.13,0.13,0.1,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.1,0.11,0.08,0.08,0.08,0.09,0.08,0.09,0.06,0.06,0.06,0.07,0.04,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/19/2021,9.61,8.63,8.02,7.18,7.02,3.74,3.25,3.72,3.01,3.21,2.52,2.24,1.94,2.05,1.63,1.55,1.59,1.36,1.27,1.24,1.0,1.0,0.82,1.05,0.9,0.87,0.74,0.79,0.8,0.74,0.87,0.68,0.62,0.58,0.55,0.47,0.43,0.45,0.34,0.44,0.35,0.39,0.35,0.35,0.36,0.29,0.31,0.28,0.25,0.28,0.26,0.28,0.28,0.28,0.28,0.23,0.21,0.26,0.21,0.19,0.22,0.25,0.21,0.19,0.2,0.19,0.18,0.16,0.25,0.16,0.14,0.16,0.14,0.15,0.13,0.15,0.15,0.15,0.13,0.12,0.12,0.1,0.1,0.1,0.11,0.1,0.1,0.12,0.14,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.1,0.06,0.06,0.06,0.07,0.04,0.05,0.04,0.03,0.0,0.02,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,9.76,8.78,7.9,7.31,7.07,3.75,3.12,3.74,2.98,3.12,2.59,2.21,1.92,2.0,1.61,1.52,1.61,1.42,1.22,1.22,1.01,0.96,0.79,1.04,0.88,0.88,0.75,0.78,0.82,0.72,0.88,0.68,0.65,0.6,0.54,0.49,0.43,0.43,0.34,0.43,0.35,0.41,0.35,0.35,0.37,0.31,0.3,0.29,0.25,0.28,0.27,0.29,0.29,0.29,0.27,0.23,0.21,0.28,0.21,0.19,0.22,0.26,0.22,0.19,0.21,0.19,0.18,0.16,0.0,0.16,0.15,0.16,0.14,0.15,0.13,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.11,0.1,0.12,0.1,0.1,0.12,0.14,0.1,0.1,0.08,0.09,0.08,0.08,0.07,0.1,0.06,0.06,0.06,0.07,0.04,0.05,0.04,0.03,0.01,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/21/2021,9.76,8.78,7.9,7.31,7.07,3.75,3.12,3.74,2.98,3.12,2.59,2.21,1.92,2.0,1.61,1.52,1.61,1.42,1.22,1.22,1.01,0.96,0.79,1.04,0.88,0.88,0.75,0.78,0.82,0.72,0.88,0.68,0.65,0.6,0.54,0.49,0.43,0.43,0.34,0.43,0.35,0.41,0.35,0.35,0.37,0.31,0.3,0.29,0.25,0.28,0.27,0.29,0.29,0.29,0.27,0.23,0.21,0.28,0.21,0.19,0.22,0.26,0.22,0.19,0.21,0.19,0.18,0.16,0.0,0.16,0.15,0.16,0.14,0.15,0.13,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.11,0.1,0.12,0.1,0.1,0.12,0.14,0.1,0.1,0.08,0.09,0.08,0.08,0.07,0.1,0.06,0.06,0.06,0.07,0.04,0.05,0.04,0.03,0.01,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/22/2021,9.64,8.46,7.87,7.28,7.13,3.81,3.08,3.87,2.85,3.12,2.54,2.2,1.86,2.04,1.65,1.5,1.61,1.41,1.18,1.25,1.02,0.98,0.8,1.05,0.9,0.9,0.7,0.79,0.82,0.74,0.89,0.71,0.64,0.59,0.54,0.48,0.43,0.43,0.33,0.43,0.35,0.4,0.35,0.35,0.4,0.31,0.33,0.29,0.25,0.29,0.27,0.28,0.3,0.3,0.27,0.23,0.21,0.28,0.21,0.19,0.22,0.28,0.24,0.19,0.21,0.19,0.18,0.16,0.09,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.16,0.15,0.15,0.13,0.13,0.14,0.11,0.1,0.12,0.1,0.11,0.12,0.14,0.1,0.11,0.08,0.09,0.08,0.09,0.08,0.11,0.06,0.06,0.06,0.07,0.04,0.05,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
