,ASML.AS,ROG.SW,NESN.SW,1299.HK,NOVO B.CO,ULVR.L,ALV.DE,WES.AX,TRP.TO,388.HK,RIO.L,STLA.MI,KER.PA,7974.T,SAP.DE,CSL.AX,RMS.PA,CNR.TO,NESTE.HE,GSK.L,PRU.L,OR.PA,ZURN.SW,9433.T,6098.T,IBE.MC,DPW.DE,DGE.L,PGHN.SW,AI.PA,CP.TO,4063.T,ITX.MC,8035.T,ATCO A.ST,RKT.L,LSEG.L,RACE.MI,DB1.DE,EVO.ST,CS.PA,MFC.TO,VWS.CO,RIO.AX,9432.T,GEBN.SW,KNEBV.HE,GIVN.SW,GMG.AX,PPL.TO,AAL.L,FERG.L,7741.T,ADYEN.AS,NG.L,AHT.L,EXPN.L,SLF.TO,7309.T,WKL.AS,FMG.AX,PNDORA.CO,O39.SI,SAND.ST,8766.T,CSU.TO,BA.L,9843.T,ASSA B.ST,669.HK,PSN.L,ATCOB.ST,SAMPO.HE,KNIN.SW,FNV.TO,1925.T,2413.T,G.MI,IFC.TO,ORSTED.CO,MONC.MI,LOGN.SW,AV.L,ATD.B.TO,16.HK,COLO B.CO,GMAB.CO,SGRO.L,NZYM B.CO,Z74.SI,11.HK,8697.T,EPI A.ST,2.HK,1928.T,1878.T,SOON.SW,8725.T,SCMN.SW,POW.TO,3.HK,NCM.AX,III.L,STJ.L,OMV.VI,SPX.L,SCHP.SW,KEY.TO,KL.TO,ASX.AX,ITRK.L,8630.T,NIBE B.ST,BRBY.L,HL.L,STMN.SW,BDEV.L,4507.T,6920.T,SLHN.SW,SY1.DE,ADM.L,KRX.IR,RO.SW,IMB.L,FPH.NZ,IPL.TO,8113.T,CRDA.L,UPM.HE,NN.AS,FBK.MI,GIB.A.TO,4689.T,BNR.DE,BNZL.L,1802.T,CHKP,FDJ.PA,BKG.L,HEN3.DE,6857.T,2127.T,1605.T,ELISA.HE,6586.T,SK3.IR,3659.T,JPY,CARL B.CO,MNDI.L,DIM.PA,HNR1.DE,6988.T,AUTO.L,BXB.AX,HLMA.L,ALD.AX,TW.L,REA.AX,SKA B.ST,8795.T,MNG.L,4684.T,4204.T,BOL.ST,7276.T,FORTUM.HE,GWO.TO,JHX.AX,EMSN.SW,HUSQ B.ST,MFG.AX,BEI.DE,LUMI.TA,3092.T,ELUX B.ST,ALFA.ST,ASM.AS,9143.T,7832.T,MGR.AX,868.HK,3064.T,9962.T,4751.T,SRG.MI,8951.T,SOF.BR,MPL.AX,SPK.NZ,6.HK,4519.T,BALN.SW,SGP.AX,CHR.CO,KBX.DE,4021.T,4307.T,EPIB.ST,1812.T,DXS.AX,4704.T,VPK.AS,GN.CO,SLA.L,4732.T,SDR.L,6383.T,2371.T,9532.T,SKF B.ST,4452.T,9735.T,2914.T,CHF,ELE.MC,A17U.SI,8952.T,GBP,IAG.TO,SCHN.SW,ANSGR.IS,TRYG.CO,SUM
07/09/2021,4.0,3.8,3.43,2.25,2.2,1.73,1.66,1.62,1.61,1.54,1.47,1.41,1.4,1.33,1.28,1.24,1.16,1.07,1.01,1.01,1.0,0.99,0.98,0.93,0.92,0.89,0.89,0.88,0.87,0.86,0.86,0.76,0.75,0.75,0.73,0.7,0.7,0.7,0.63,0.62,0.62,0.61,0.61,0.6,0.59,0.57,0.56,0.56,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.48,0.48,0.47,0.44,0.44,0.44,0.42,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.86
07/12/2021,3.94,3.86,3.5,2.2,2.25,1.73,1.65,1.65,1.61,1.61,1.47,1.36,1.38,1.28,1.32,1.24,1.15,1.09,1.0,1.0,0.97,0.98,0.98,0.95,0.92,0.87,0.88,0.88,0.87,0.86,0.82,0.74,0.74,0.74,0.75,0.7,0.69,0.7,0.63,0.61,0.61,0.59,0.6,0.6,0.6,0.58,0.57,0.57,0.57,0.55,0.54,0.53,0.52,0.51,0.51,0.48,0.48,0.47,0.46,0.45,0.45,0.42,0.39,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.38,0.36,0.36,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.16,0.17,0.17,0.17,0.18,0.16,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.12,0.12,0.0,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.77
07/13/2021,3.94,3.86,3.5,2.2,2.25,1.73,1.65,1.65,1.61,1.61,1.47,1.36,1.38,1.28,1.32,1.24,1.15,1.09,1.0,1.0,0.97,0.98,0.98,0.95,0.92,0.87,0.88,0.88,0.87,0.86,0.82,0.74,0.74,0.74,0.75,0.7,0.69,0.7,0.63,0.61,0.61,0.59,0.6,0.6,0.6,0.58,0.57,0.57,0.57,0.55,0.54,0.53,0.52,0.51,0.51,0.48,0.48,0.47,0.46,0.45,0.45,0.42,0.39,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.38,0.36,0.36,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.29,0.3,0.3,0.3,0.29,0.3,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.16,0.17,0.17,0.17,0.18,0.16,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.12,0.12,0.0,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.77
07/14/2021,4.02,3.82,3.46,2.19,2.25,1.73,1.67,1.62,1.62,1.6,1.52,1.38,1.4,1.26,1.33,1.22,1.17,1.1,1.01,1.01,1.0,0.99,0.98,0.94,0.9,0.87,0.88,0.87,0.87,0.87,0.84,0.71,0.75,0.73,0.75,0.7,0.69,0.7,0.62,0.61,0.62,0.6,0.58,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.53,0.51,0.52,0.51,0.49,0.48,0.47,0.45,0.45,0.45,0.42,0.4,0.42,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.38,0.36,0.35,0.34,0.33,0.31,0.33,0.33,0.33,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.3,0.28,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.0,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.84
07/15/2021,4.02,3.82,3.46,2.19,2.25,1.73,1.67,1.62,1.62,1.6,1.52,1.38,1.4,1.26,1.33,1.22,1.17,1.1,1.01,1.01,1.0,0.99,0.98,0.94,0.9,0.87,0.88,0.87,0.87,0.87,0.84,0.71,0.75,0.73,0.75,0.7,0.69,0.7,0.62,0.61,0.62,0.6,0.58,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.53,0.51,0.52,0.51,0.49,0.48,0.47,0.45,0.45,0.45,0.42,0.4,0.42,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.38,0.36,0.35,0.34,0.33,0.31,0.33,0.33,0.33,0.32,0.32,0.3,0.31,0.3,0.29,0.29,0.3,0.28,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.0,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.84
07/16/2021,4.08,3.81,3.44,2.23,2.22,1.73,1.65,1.61,1.6,1.64,1.5,1.35,1.41,1.25,1.34,1.23,1.18,1.07,1.02,1.0,0.97,0.99,0.98,0.94,0.91,0.86,0.88,0.88,0.88,0.87,0.81,0.73,0.73,0.73,0.75,0.69,0.68,0.7,0.62,0.6,0.61,0.59,0.59,0.6,0.6,0.59,0.57,0.57,0.57,0.55,0.55,0.54,0.51,0.53,0.51,0.5,0.49,0.47,0.45,0.46,0.47,0.42,0.4,0.42,0.4,0.39,0.39,0.37,0.39,0.38,0.36,0.38,0.35,0.36,0.34,0.34,0.31,0.33,0.32,0.33,0.32,0.31,0.29,0.31,0.3,0.3,0.3,0.3,0.28,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.13,0.0,0.0,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.13,0.13,0.0,0.0,0.12,0.0,0.13,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.81
07/19/2021,4.1,3.81,3.42,2.22,2.25,1.72,1.65,1.62,1.59,1.64,1.53,1.33,1.41,1.26,1.32,1.21,1.19,1.07,1.03,0.98,0.98,0.99,0.97,0.95,0.92,0.85,0.88,0.88,0.87,0.87,0.81,0.72,0.7,0.74,0.75,0.69,0.66,0.69,0.61,0.59,0.62,0.6,0.55,0.61,0.6,0.59,0.57,0.57,0.57,0.54,0.56,0.52,0.51,0.53,0.5,0.49,0.5,0.47,0.44,0.46,0.48,0.42,0.4,0.42,0.41,0.4,0.39,0.38,0.38,0.38,0.36,0.38,0.36,0.36,0.36,0.34,0.3,0.33,0.32,0.32,0.32,0.3,0.29,0.32,0.31,0.3,0.3,0.3,0.28,0.25,0.25,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.23,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.2,0.18,0.16,0.16,0.16,0.17,0.17,0.16,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.12,0.12,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79
07/20/2021,4.1,3.81,3.42,2.22,2.25,1.72,1.65,1.62,1.59,1.64,1.53,1.33,1.41,1.26,1.32,1.21,1.19,1.07,1.03,0.98,0.98,0.99,0.97,0.95,0.92,0.85,0.88,0.88,0.87,0.87,0.81,0.72,0.7,0.74,0.75,0.69,0.66,0.69,0.61,0.59,0.62,0.6,0.55,0.61,0.6,0.59,0.57,0.57,0.57,0.54,0.56,0.52,0.51,0.53,0.5,0.49,0.5,0.47,0.44,0.46,0.48,0.42,0.4,0.42,0.41,0.4,0.39,0.38,0.38,0.38,0.36,0.38,0.36,0.36,0.36,0.34,0.3,0.33,0.32,0.32,0.32,0.3,0.29,0.32,0.31,0.3,0.3,0.3,0.28,0.25,0.25,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.23,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.2,0.18,0.16,0.16,0.16,0.17,0.17,0.16,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.12,0.12,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79
07/21/2021,4.04,3.86,3.45,2.23,2.28,1.75,1.63,1.63,1.58,1.71,1.47,1.31,1.4,1.24,1.33,1.22,1.17,1.07,1.02,0.99,0.98,1.0,0.98,0.94,0.92,0.86,0.88,0.89,0.89,0.87,0.81,0.72,0.71,0.73,0.77,0.7,0.66,0.7,0.61,0.6,0.61,0.59,0.54,0.61,0.6,0.59,0.57,0.57,0.58,0.54,0.54,0.52,0.5,0.54,0.51,0.49,0.51,0.47,0.44,0.46,0.48,0.41,0.4,0.4,0.41,0.39,0.4,0.39,0.38,0.38,0.36,0.38,0.36,0.35,0.35,0.34,0.3,0.33,0.32,0.32,0.32,0.3,0.29,0.32,0.31,0.3,0.3,0.3,0.28,0.25,0.25,0.26,0.25,0.25,0.25,0.26,0.24,0.24,0.24,0.24,0.24,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.23,0.22,0.21,0.22,0.21,0.2,0.21,0.22,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.16,0.16,0.16,0.16,0.18,0.16,0.18,0.16,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.13,0.12,0.12,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79999999999998
07/22/2021,4.02,3.9,3.5,2.19,2.31,1.75,1.6,1.65,1.55,1.72,1.44,1.28,1.38,1.25,1.32,1.25,1.18,1.05,1.01,0.99,0.94,1.01,0.97,0.96,0.93,0.86,0.88,0.87,0.88,0.87,0.8,0.72,0.7,0.73,0.77,0.7,0.67,0.7,0.62,0.6,0.61,0.58,0.56,0.6,0.61,0.59,0.57,0.59,0.58,0.54,0.52,0.52,0.5,0.53,0.51,0.49,0.5,0.47,0.46,0.47,0.48,0.41,0.4,0.4,0.41,0.39,0.39,0.4,0.38,0.38,0.35,0.39,0.35,0.35,0.35,0.34,0.31,0.32,0.32,0.32,0.32,0.3,0.28,0.32,0.31,0.31,0.3,0.3,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.27,0.24,0.24,0.24,0.24,0.25,0.25,0.22,0.22,0.21,0.22,0.23,0.2,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.22,0.19,0.2,0.2,0.19,0.2,0.21,0.2,0.19,0.19,0.19,0.18,0.19,0.2,0.19,0.19,0.18,0.19,0.21,0.19,0.19,0.2,0.18,0.16,0.16,0.16,0.16,0.18,0.16,0.19,0.17,0.15,0.15,0.0,0.15,0.16,0.18,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.13,0.12,0.12,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.13,0.0,0.12,0.12,0.0,0.12,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.77
