,AM,BEN,IPG,NWL,FANG,WSO,FNF,NLOK,CNA,WU,PNW,ARES,WSM,FHN,HUBB,NRG,UGI,NI,OGE,PBCT,CF,SNA,JNPR,STLD,MDU,RS,IRM,HRB,TFSL,NYCB,ORI,SON,GLPI,WRK,OMF,VST,HBI,FLO,APAM,AOS,LEG,OLN,ACI,WTRG,SCI,UNM,DKS,SNV,BWA,IDA,PII,HII,CC,LII,R,RHI,VLY,MPW,XRX,CBOE,FAF,SMG,AFG,SBNY,LECO,UMPQ,CFR,NFG,EWBC,SEE,TTC,INGR,UBSI,CWEN,MRO,REYN,JEF,DCI,ERIE,CCOI,PAG,MAN,GNTX,UDR,CUBE,EVR,NWSA,XEC,BC,PB,COG,BPOP,HE,WBS,POR,BKH,OZK,NJR,BOKF,RGA,TNL,AIZ,SR,ATR,WLK,ALE,HUN,FHB,LPX,TRGP,NATI,MSM,NXST,THG,TKR,WAL,NNN,LW,OC,CSL,SWX,STOR,CPT,PPBI,NWE,VVV,OSK,GBCI,CBSH,CR,MDC,VIRT,SXT,KIM,LAMR,COR,LCII,ESI,FLS,LSI,MSA,EHC,MOS,SRC,OGS,AGCO,ITT,THO,XRAY,SLM,AVT,BRX,HOMB,HLI,AVNT,BWXT,BOH,NEU,SLG,ELS,NSP,CBU,SLGN,WOR,LPLA,RDN,SEIC,DLB,FFIN,LANC,FL,KMPR,ACC,STAG,CONE,PINC,AAP,GPK,KRC,PRI,AIT,SPB,HR,CNO,WEN,FR,RGLD,TTEC,VMI,HTA,MMS,ENR,KBR,TGNA,EGP,MTG,CASY,AWR,SSD,SBRA,SAIC,RXN,SF,DLN,SUM
07/09/2021,1.7,1.42,1.3,1.23,1.1,1.1,0.99,0.98,0.95,0.93,0.93,0.92,0.89,0.89,0.88,0.87,0.86,0.83,0.82,0.8,0.8,0.79,0.78,0.78,0.77,0.72,0.72,0.71,0.7,0.69,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.62,0.62,0.58,0.58,0.57,0.57,0.56,0.55,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,87.69
07/12/2021,1.68,1.44,1.29,1.21,1.0,1.13,0.99,1.01,0.96,0.93,0.94,0.93,0.91,0.86,0.89,0.88,0.87,0.85,0.82,0.78,0.79,0.8,0.79,0.79,0.78,0.72,0.72,0.71,0.7,0.7,0.67,0.69,0.67,0.67,0.66,0.67,0.62,0.64,0.66,0.64,0.62,0.57,0.57,0.59,0.58,0.55,0.55,0.52,0.51,0.54,0.52,0.51,0.5,0.53,0.51,0.5,0.5,0.5,0.5,0.49,0.5,0.48,0.48,0.47,0.48,0.45,0.45,0.47,0.45,0.46,0.47,0.47,0.43,0.46,0.42,0.44,0.42,0.45,0.44,0.43,0.42,0.42,0.42,0.43,0.43,0.41,0.4,0.39,0.4,0.39,0.38,0.38,0.39,0.37,0.39,0.37,0.36,0.37,0.35,0.36,0.35,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.35,0.32,0.34,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.29,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.0,0.18,0.19,0.18,0.18,0.18,0.0,0.0,0.0,87.7
07/13/2021,1.68,1.44,1.29,1.21,1.0,1.13,0.99,1.01,0.96,0.93,0.94,0.93,0.91,0.86,0.89,0.88,0.87,0.85,0.82,0.78,0.79,0.8,0.79,0.79,0.78,0.72,0.72,0.71,0.7,0.7,0.67,0.69,0.67,0.67,0.66,0.67,0.62,0.64,0.66,0.64,0.62,0.57,0.57,0.59,0.58,0.55,0.55,0.52,0.51,0.54,0.52,0.51,0.5,0.53,0.51,0.5,0.5,0.5,0.5,0.49,0.5,0.48,0.48,0.47,0.48,0.45,0.45,0.47,0.45,0.46,0.47,0.47,0.43,0.46,0.42,0.44,0.42,0.45,0.44,0.43,0.42,0.42,0.42,0.43,0.43,0.41,0.4,0.39,0.4,0.39,0.38,0.38,0.39,0.37,0.39,0.37,0.36,0.37,0.35,0.36,0.35,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.35,0.32,0.34,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.29,0.31,0.3,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.0,0.18,0.19,0.18,0.18,0.18,0.0,0.0,0.0,87.7
07/14/2021,1.72,1.43,1.31,1.22,1.01,1.1,1.0,1.0,0.95,0.93,0.93,0.92,0.91,0.86,0.9,0.88,0.86,0.84,0.81,0.78,0.79,0.8,0.79,0.79,0.77,0.71,0.73,0.72,0.7,0.7,0.67,0.68,0.68,0.67,0.67,0.67,0.64,0.64,0.65,0.62,0.62,0.56,0.59,0.58,0.58,0.55,0.56,0.53,0.51,0.53,0.52,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.5,0.47,0.48,0.49,0.48,0.46,0.45,0.46,0.47,0.46,0.47,0.47,0.43,0.45,0.42,0.43,0.41,0.44,0.42,0.43,0.43,0.41,0.41,0.44,0.43,0.39,0.4,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.35,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.35,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.29,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.25,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.0,0.19,0.18,0.0,0.18,0.18,0.18,0.0,0.0,87.69
07/15/2021,1.72,1.43,1.31,1.22,1.01,1.1,1.0,1.0,0.95,0.93,0.93,0.92,0.91,0.86,0.9,0.88,0.86,0.84,0.81,0.78,0.79,0.8,0.79,0.79,0.77,0.71,0.73,0.72,0.7,0.7,0.67,0.68,0.68,0.67,0.67,0.67,0.64,0.64,0.65,0.62,0.62,0.56,0.59,0.58,0.58,0.55,0.56,0.53,0.51,0.53,0.52,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.5,0.47,0.48,0.49,0.48,0.46,0.45,0.46,0.47,0.46,0.47,0.47,0.43,0.45,0.42,0.43,0.41,0.44,0.42,0.43,0.43,0.41,0.41,0.44,0.43,0.39,0.4,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.35,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.34,0.35,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.29,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.25,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.0,0.19,0.18,0.0,0.18,0.18,0.18,0.0,0.0,87.69
07/16/2021,1.69,1.43,1.3,1.23,1.01,1.11,1.01,0.98,0.95,0.92,0.93,0.92,0.91,0.87,0.91,0.87,0.86,0.84,0.81,0.78,0.78,0.8,0.78,0.8,0.77,0.72,0.74,0.72,0.7,0.71,0.67,0.68,0.68,0.66,0.68,0.66,0.64,0.64,0.65,0.63,0.61,0.57,0.58,0.57,0.58,0.55,0.55,0.53,0.51,0.53,0.52,0.5,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.5,0.47,0.48,0.49,0.48,0.46,0.45,0.47,0.47,0.45,0.46,0.45,0.44,0.45,0.43,0.42,0.42,0.44,0.42,0.44,0.44,0.41,0.41,0.44,0.44,0.4,0.4,0.41,0.4,0.39,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.34,0.34,0.34,0.34,0.32,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.32,0.33,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.25,0.25,0.25,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.0,0.19,0.0,0.18,0.18,0.0,0.18,0.18,0.19,0.18,0.0,87.64000000000001
07/19/2021,1.66,1.36,1.3,1.24,0.97,1.1,1.0,0.98,0.95,0.95,0.95,0.91,0.9,0.85,0.92,0.87,0.86,0.86,0.81,0.78,0.78,0.8,0.82,0.8,0.78,0.71,0.75,0.72,0.71,0.7,0.66,0.69,0.68,0.66,0.67,0.66,0.65,0.65,0.65,0.63,0.61,0.56,0.58,0.58,0.59,0.55,0.57,0.53,0.52,0.54,0.51,0.5,0.5,0.47,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.47,0.49,0.49,0.48,0.46,0.45,0.47,0.46,0.45,0.47,0.45,0.44,0.45,0.41,0.43,0.44,0.45,0.42,0.44,0.44,0.42,0.41,0.45,0.44,0.39,0.4,0.38,0.4,0.39,0.38,0.39,0.39,0.36,0.39,0.38,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.35,0.34,0.36,0.35,0.35,0.33,0.34,0.35,0.34,0.32,0.34,0.33,0.33,0.34,0.32,0.31,0.33,0.34,0.32,0.34,0.29,0.31,0.3,0.3,0.29,0.29,0.29,0.27,0.26,0.27,0.29,0.28,0.28,0.28,0.27,0.28,0.28,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.23,0.23,0.23,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.0,0.2,0.0,0.18,0.19,0.18,0.18,0.18,0.18,0.0,0.0,87.68
07/20/2021,1.62,1.34,1.28,1.26,0.91,1.1,1.02,0.96,0.97,0.96,0.99,0.9,0.88,0.82,0.93,0.88,0.88,0.89,0.84,0.77,0.75,0.79,0.81,0.79,0.79,0.72,0.74,0.72,0.71,0.71,0.67,0.69,0.69,0.64,0.67,0.67,0.63,0.67,0.64,0.63,0.6,0.55,0.59,0.6,0.6,0.55,0.54,0.53,0.51,0.57,0.5,0.5,0.48,0.49,0.5,0.5,0.49,0.51,0.47,0.5,0.51,0.47,0.51,0.47,0.49,0.46,0.45,0.47,0.46,0.45,0.47,0.45,0.44,0.45,0.39,0.44,0.44,0.45,0.43,0.45,0.44,0.42,0.41,0.46,0.45,0.39,0.39,0.37,0.39,0.39,0.37,0.38,0.4,0.35,0.4,0.39,0.36,0.37,0.35,0.36,0.34,0.37,0.37,0.36,0.33,0.37,0.35,0.34,0.31,0.33,0.34,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.31,0.33,0.35,0.33,0.35,0.29,0.33,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.29,0.28,0.29,0.28,0.26,0.28,0.28,0.25,0.25,0.24,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.2,0.21,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.2,0.2,0.21,0.22,0.2,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.19,0.2,0.0,0.2,0.18,0.19,0.2,0.18,0.19,0.19,0.0,0.0,0.0,87.72
07/21/2021,1.62,1.34,1.28,1.26,0.91,1.1,1.02,0.96,0.97,0.96,0.99,0.9,0.88,0.82,0.93,0.88,0.88,0.89,0.84,0.77,0.75,0.79,0.81,0.79,0.79,0.72,0.74,0.72,0.71,0.71,0.67,0.69,0.69,0.64,0.67,0.67,0.63,0.67,0.64,0.63,0.6,0.55,0.59,0.6,0.6,0.55,0.54,0.53,0.51,0.57,0.5,0.5,0.48,0.49,0.5,0.5,0.49,0.51,0.47,0.5,0.51,0.47,0.51,0.47,0.49,0.46,0.45,0.47,0.46,0.45,0.47,0.45,0.44,0.45,0.39,0.44,0.44,0.45,0.43,0.45,0.44,0.42,0.41,0.46,0.45,0.39,0.39,0.37,0.39,0.39,0.37,0.38,0.4,0.35,0.4,0.39,0.36,0.37,0.35,0.36,0.34,0.37,0.37,0.36,0.33,0.37,0.35,0.34,0.31,0.33,0.34,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.31,0.33,0.35,0.33,0.35,0.29,0.33,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.29,0.28,0.29,0.28,0.26,0.28,0.28,0.25,0.25,0.24,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.2,0.21,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.2,0.2,0.21,0.22,0.2,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.19,0.2,0.0,0.2,0.18,0.19,0.2,0.18,0.19,0.19,0.0,0.0,0.0,87.72
07/22/2021,1.62,1.34,1.28,1.26,0.91,1.1,1.02,0.96,0.97,0.96,0.99,0.9,0.88,0.82,0.93,0.88,0.88,0.89,0.84,0.77,0.75,0.79,0.81,0.79,0.79,0.72,0.74,0.72,0.71,0.71,0.67,0.69,0.69,0.64,0.67,0.67,0.63,0.67,0.64,0.63,0.6,0.55,0.59,0.6,0.6,0.55,0.54,0.53,0.51,0.57,0.5,0.5,0.48,0.49,0.5,0.5,0.49,0.51,0.47,0.5,0.51,0.47,0.51,0.47,0.49,0.46,0.45,0.47,0.46,0.45,0.47,0.45,0.44,0.45,0.39,0.44,0.44,0.45,0.43,0.45,0.44,0.42,0.41,0.46,0.45,0.39,0.39,0.37,0.39,0.39,0.37,0.38,0.4,0.35,0.4,0.39,0.36,0.37,0.35,0.36,0.34,0.37,0.37,0.36,0.33,0.37,0.35,0.34,0.31,0.33,0.34,0.34,0.32,0.34,0.32,0.33,0.34,0.32,0.31,0.33,0.35,0.33,0.35,0.29,0.33,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.29,0.28,0.29,0.28,0.26,0.28,0.28,0.25,0.25,0.24,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.25,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.2,0.21,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.2,0.2,0.21,0.22,0.2,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.19,0.2,0.0,0.2,0.18,0.19,0.2,0.18,0.19,0.19,0.0,0.0,0.0,87.72
