,XOM,JNJ,VZ,CVX,PG,PM,MRK,KO,CSCO,AVGO,PEP,BMY,AMGN,MCD,TXN,MMM,DUK,SO,LMT,TFC,USB,D,WMB,OKE,KMB,CL,AEP,PSX,EXC,SRE,GIS,GD,TROW,PEG,XEL,EOG,PAYX,WEC,TRV,CMI,AMCR,DTE,FAST,CMS,GPC,LNT,WU,PNW,HAS,EMN,XTSLA,JHG,WSO,SNA,ORI,IVZ,APAM,WTRG,ALV,COG,FLO,USD,NFG,NATI,CCOI,CHK,MC,IDA,CG,PNM,RDN,THG,MCY,REYN,TFSL,CNS,UBFUT,SUM
07/09/2021,9.09,7.12,6.47,6.29,5.44,4.8,4.37,3.99,3.86,3.78,3.63,2.82,2.61,2.44,2.43,2.1,1.84,1.7,1.58,1.42,1.37,1.26,1.18,1.08,1.01,0.96,0.94,0.91,0.91,0.84,0.76,0.68,0.65,0.64,0.6,0.6,0.56,0.53,0.53,0.47,0.44,0.43,0.41,0.32,0.3,0.25,0.23,0.23,0.22,0.21,0.21,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.02,100.02
07/12/2021,8.94,7.2,6.41,6.23,5.51,4.81,4.39,4.02,3.9,3.77,3.66,2.83,2.62,2.45,2.4,2.12,1.86,1.71,1.6,1.39,1.35,1.28,1.18,1.07,1.02,0.97,0.94,0.87,0.92,0.83,0.76,0.69,0.64,0.65,0.61,0.57,0.57,0.54,0.52,0.47,0.44,0.44,0.41,0.32,0.3,0.25,0.23,0.23,0.23,0.21,0.11,0.16,0.17,0.16,0.15,0.14,0.13,0.15,0.11,0.12,0.1,0.15,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.02,99.98
07/13/2021,8.94,7.2,6.41,6.23,5.51,4.81,4.39,4.02,3.9,3.77,3.66,2.83,2.62,2.45,2.4,2.12,1.86,1.71,1.6,1.39,1.35,1.28,1.18,1.07,1.02,0.97,0.94,0.87,0.92,0.83,0.76,0.69,0.64,0.65,0.61,0.57,0.57,0.54,0.52,0.47,0.44,0.44,0.41,0.32,0.3,0.25,0.23,0.23,0.23,0.21,0.11,0.16,0.17,0.16,0.15,0.14,0.13,0.15,0.11,0.12,0.1,0.15,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.02,99.98
07/14/2021,9.02,7.16,6.39,6.26,5.46,4.81,4.34,4.01,3.89,3.81,3.62,2.83,2.61,2.46,2.4,2.13,1.85,1.69,1.59,1.44,1.39,1.26,1.19,1.1,1.01,0.96,0.93,0.88,0.91,0.83,0.75,0.69,0.65,0.64,0.6,0.58,0.58,0.53,0.54,0.48,0.44,0.44,0.42,0.32,0.3,0.25,0.23,0.23,0.23,0.22,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.12,0.12,0.1,0.08,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,100.04000000000002
07/15/2021,9.02,7.16,6.39,6.26,5.46,4.81,4.34,4.01,3.89,3.81,3.62,2.83,2.61,2.46,2.4,2.13,1.85,1.69,1.59,1.44,1.39,1.26,1.19,1.1,1.01,0.96,0.93,0.88,0.91,0.83,0.75,0.69,0.65,0.64,0.6,0.58,0.58,0.53,0.54,0.48,0.44,0.44,0.42,0.32,0.3,0.25,0.23,0.23,0.23,0.22,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.12,0.12,0.1,0.08,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,100.04000000000002
07/16/2021,8.99,7.15,6.41,6.27,5.47,4.74,4.33,4.06,3.87,3.85,3.71,2.84,2.61,2.47,2.42,2.12,1.87,1.69,1.57,1.43,1.39,1.24,1.17,1.07,1.01,0.96,0.93,0.87,0.91,0.83,0.75,0.68,0.66,0.64,0.6,0.59,0.58,0.53,0.54,0.48,0.44,0.44,0.41,0.32,0.3,0.25,0.23,0.23,0.23,0.21,0.11,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.12,0.12,0.1,0.15,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,100.02
07/19/2021,8.69,7.11,6.46,6.1,5.55,4.81,4.34,4.16,3.89,3.8,3.76,2.84,2.63,2.47,2.38,2.15,1.91,1.73,1.57,1.46,1.43,1.27,1.14,1.04,1.02,0.97,0.95,0.83,0.93,0.83,0.76,0.69,0.65,0.65,0.61,0.54,0.58,0.55,0.54,0.47,0.44,0.44,0.41,0.33,0.3,0.25,0.23,0.23,0.22,0.21,0.13,0.17,0.16,0.16,0.15,0.15,0.13,0.14,0.12,0.11,0.1,0.14,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,99.97
07/20/2021,8.69,7.11,6.46,6.1,5.55,4.81,4.34,4.16,3.89,3.8,3.76,2.84,2.63,2.47,2.38,2.15,1.91,1.73,1.57,1.46,1.43,1.27,1.14,1.04,1.02,0.97,0.95,0.83,0.93,0.83,0.76,0.69,0.65,0.65,0.61,0.54,0.58,0.55,0.54,0.47,0.44,0.44,0.41,0.33,0.3,0.25,0.23,0.23,0.22,0.21,0.13,0.17,0.16,0.16,0.15,0.15,0.13,0.14,0.12,0.11,0.1,0.14,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,99.97
07/22/2021,8.34,7.2,6.52,5.91,5.72,4.85,4.39,4.2,3.94,3.78,3.86,2.86,2.69,2.44,2.41,2.14,1.95,1.77,1.58,1.39,1.36,1.29,1.12,0.98,1.06,1.0,0.96,0.77,0.94,0.83,0.79,0.68,0.64,0.65,0.62,0.51,0.58,0.56,0.54,0.47,0.44,0.44,0.42,0.33,0.3,0.26,0.23,0.24,0.22,0.2,0.13,0.17,0.16,0.15,0.15,0.14,0.13,0.15,0.11,0.11,0.1,0.14,0.1,0.09,0.09,0.08,0.08,0.1,0.08,0.08,0.07,0.07,0.05,0.03,0.03,0.03,0.01,100.0
07/23/2021,8.39,7.23,6.46,5.91,5.67,4.68,4.32,4.18,3.96,3.79,3.84,2.86,2.68,2.49,2.41,2.17,1.94,1.76,1.61,1.43,1.39,1.28,1.13,1.02,1.05,0.98,0.95,0.77,0.95,0.84,0.77,0.7,0.66,0.66,0.62,0.51,0.58,0.55,0.54,0.48,0.44,0.45,0.43,0.33,0.3,0.26,0.23,0.24,0.22,0.21,0.13,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.11,0.1,0.1,0.15,0.1,0.1,0.09,0.08,0.09,0.1,0.08,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.01,99.98
