,TQQQ,AAPL,MSFT,AMZN,FB,TSLA,NVDA,GOOG,GOOGL,ProShares Ultra QQQ,PYPL,ADBE,CMCSA,INTC,NFLX,CSCO,PEP,AVGO,TXN,COST,QCOM,AMGN,SBUX,CHTR,AMAT,INTU,AMD,ISRG,BKNG,LRCX,GILD,MDLZ,MU,ADP,CSX,ATVI,MELI,ILMN,ADSK,ADI,FISV,BIIB,TMUS,NXPI,EBAY,IDXX,VRTX,KLAC,REGN,ZM,ALGN,ROST,LULU,EXC,ORLY,MRNA,DOCU,ALXN,SNPS,EA,WDAY,CTSH,DXCM,CDNS,MAR,XLNX,CRWD,WBA,XEL,PAYX,FTNT,MNST,MCHP,CTAS,ROKU,SWKS,PCAR,TEAM,FAST,CSGP,ANSS,MXIM,MRVL,CPRT,AEP,KHC,LBRDK,ODFL,MTCH,CERN,TTD,PTON,DLTR,VRSN,OKTA,SPLK,KDP,Us Dollars,TCOM,SGEN,SIRI,AZN,SUM
07/09/2021,19.88,8.46,8.46,5.7,4.3,3.24,3.0,2.37,2.31,2.26,2.12,1.76,1.67,1.51,1.45,1.32,1.3,1.14,1.12,1.08,1.0,0.9,0.84,0.79,0.78,0.77,0.7,0.66,0.57,0.56,0.56,0.55,0.55,0.5,0.47,0.44,0.44,0.43,0.4,0.39,0.38,0.37,0.35,0.35,0.33,0.33,0.32,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.11,0.05,0.0,100.04000000000002
07/12/2021,19.92,8.66,8.45,6.06,4.19,3.12,2.91,2.37,2.3,2.26,2.15,1.8,1.66,1.48,1.44,1.31,1.3,1.14,1.1,1.1,0.97,0.88,0.85,0.8,0.74,0.78,0.66,0.67,0.55,0.53,0.54,0.56,0.53,0.5,0.45,0.43,0.43,0.43,0.4,0.37,0.37,0.39,0.35,0.33,0.33,0.34,0.31,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.28,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.04,0.0,99.98
07/13/2021,19.92,8.66,8.45,6.06,4.19,3.12,2.91,2.37,2.3,2.26,2.15,1.8,1.66,1.48,1.44,1.31,1.3,1.14,1.1,1.1,0.97,0.88,0.85,0.8,0.74,0.78,0.66,0.67,0.55,0.53,0.54,0.56,0.53,0.5,0.45,0.43,0.43,0.43,0.4,0.37,0.37,0.39,0.35,0.33,0.33,0.34,0.31,0.29,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.28,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.04,0.0,99.98
07/14/2021,20.08,8.69,8.39,5.99,4.21,3.11,2.91,2.36,2.29,2.27,2.17,1.78,1.64,1.48,1.44,1.32,1.29,1.16,1.1,1.11,0.99,0.88,0.85,0.78,0.75,0.77,0.66,0.66,0.56,0.54,0.54,0.55,0.54,0.5,0.46,0.43,0.43,0.43,0.4,0.37,0.37,0.37,0.35,0.34,0.33,0.34,0.31,0.29,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.25,0.24,0.23,0.24,0.23,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.12,0.06,0.11,0.1,0.04,0.0,99.98000000000002
07/15/2021,20.23,8.61,8.33,5.95,4.22,3.23,2.96,2.37,2.3,2.28,2.18,1.75,1.64,1.49,1.44,1.3,1.28,1.16,1.1,1.09,0.99,0.87,0.85,0.76,0.76,0.77,0.66,0.66,0.56,0.54,0.54,0.55,0.54,0.5,0.45,0.43,0.42,0.44,0.39,0.37,0.37,0.36,0.35,0.34,0.32,0.33,0.31,0.3,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.06,0.1,0.1,0.04,0.0,99.96000000000002
07/16/2021,20.23,8.68,8.44,5.89,4.21,3.15,2.93,2.38,2.31,2.28,2.17,1.77,1.63,1.5,1.45,1.3,1.31,1.16,1.1,1.09,0.98,0.87,0.86,0.75,0.76,0.77,0.65,0.66,0.55,0.54,0.54,0.55,0.53,0.5,0.45,0.43,0.43,0.44,0.4,0.37,0.38,0.37,0.35,0.34,0.32,0.33,0.31,0.29,0.28,0.27,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.12,0.12,0.06,0.1,0.1,0.04,0.0,100.03000000000002
07/19/2021,20.09,8.93,8.52,5.87,4.16,3.09,2.76,2.4,2.33,2.27,2.15,1.79,1.65,1.48,1.47,1.32,1.34,1.15,1.09,1.11,0.99,0.89,0.86,0.75,0.74,0.77,0.64,0.66,0.55,0.54,0.54,0.56,0.53,0.51,0.46,0.42,0.42,0.42,0.4,0.37,0.38,0.34,0.35,0.33,0.32,0.33,0.32,0.29,0.28,0.26,0.28,0.27,0.28,0.28,0.28,0.3,0.26,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.22,0.2,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.15,0.14,0.13,0.12,0.12,0.06,0.1,0.1,0.04,0.0,99.93
07/20/2021,19.82,8.9,8.61,5.84,4.17,3.1,2.68,2.44,2.35,2.26,2.16,1.81,1.66,1.48,1.45,1.33,1.36,1.14,1.09,1.12,0.99,0.9,0.87,0.77,0.73,0.78,0.64,0.67,0.55,0.52,0.55,0.57,0.52,0.52,0.46,0.43,0.43,0.43,0.4,0.37,0.39,0.34,0.36,0.33,0.33,0.34,0.32,0.28,0.28,0.26,0.28,0.26,0.28,0.28,0.28,0.33,0.27,0.25,0.26,0.25,0.24,0.23,0.25,0.23,0.22,0.2,0.22,0.21,0.23,0.23,0.23,0.22,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.06,0.1,0.1,0.04,0.0,99.99
07/21/2021,19.82,8.9,8.61,5.84,4.17,3.1,2.68,2.44,2.35,2.26,2.16,1.81,1.66,1.48,1.45,1.33,1.36,1.14,1.09,1.12,0.99,0.9,0.87,0.77,0.73,0.78,0.64,0.67,0.55,0.52,0.55,0.57,0.52,0.52,0.46,0.43,0.43,0.43,0.4,0.37,0.39,0.34,0.36,0.33,0.33,0.34,0.32,0.28,0.28,0.26,0.28,0.26,0.28,0.28,0.28,0.33,0.27,0.25,0.26,0.25,0.24,0.23,0.25,0.23,0.22,0.2,0.22,0.21,0.23,0.23,0.23,0.22,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.06,0.1,0.1,0.04,0.0,99.99
07/22/2021,19.82,8.9,8.61,5.84,4.17,3.1,2.68,2.44,2.35,2.26,2.16,1.81,1.66,1.48,1.45,1.33,1.36,1.14,1.09,1.12,0.99,0.9,0.87,0.77,0.73,0.78,0.64,0.67,0.55,0.52,0.55,0.57,0.52,0.52,0.46,0.43,0.43,0.43,0.4,0.37,0.39,0.34,0.36,0.33,0.33,0.34,0.32,0.28,0.28,0.26,0.28,0.26,0.28,0.28,0.28,0.33,0.27,0.25,0.26,0.25,0.24,0.23,0.25,0.23,0.22,0.2,0.22,0.21,0.23,0.23,0.23,0.22,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.06,0.1,0.1,0.04,0.0,99.99
