,2330.TW,700.HK,9988.HK,005930.KS,1299.HK,3690.HK,RELIANCE.NS,388.HK,INFY.NS,939.HK,NIO,HDFC.NS,2318.HK,000660.KS,005935.KQ,BIDU,2269.HK,2317.TW,2454.TW,035420.KS,1398.HK,JD,TCS.NS,1810.HK,PDD,D05.SI,035720.KS,051910.KS,006400.KS,M4B.,NTES,O39.SI,HINDUNILVR.NS,005380.KS,3988.HK,600519.SS,BILI,2331.HK,U11.SI,2020.HK,068270.KS,2308.TW,AXISBANK.NS,2303.TW,BY6.,2603.TW,669.HK,1.HK,823.HK,16.HK,000270.KS,005490.KS,2382.HK,BAJFINANCE.NS,BBCA.JK,1301.TW,2881.TW,2319.HK,TCOM,2313.HK,ASIANPAINT.NS,105560.KS,XPEV,2002.TW,1303.TW,055550.KS,PTT-R.BK,175.HK,27.HK,2.HK,3.HK,BHARTIARTL.NS,012330.KS,2882.TW,066570.KS,1113.HK,PBBANK.KL,2412.TW,LI,2891.TW,1801.HK,11.HK,HCLTECH.NS,291.HK,2688.HK,3711.TW,BBRI.JK,6098.HK,CHL.,051900.KS,LT.NS,ICICIBANK.NS,J36.SI,Z74.SI,SNPMF,MARUTI.NS,096770.KS,2886.TW,1216.TW,036570.KS,2388.HK,1109.HK,600036.SS,TATASTEEL.NS,000858.SZ,2884.TW,EDU,086790.KS,3008.TW,HTHT,2885.TW,MAYBANK.KL,011200.KS,ULTRACEMCO.NS,SBIN.NS,3034.TW,1326.TW,1288.HK,SCVUF,1093.HK,960.HK,857.HK,5871.TW,1101.TW,1928.HK,BEKE,M&M.NS,2333.HK,207940.KS,2327.TW,028260.KS,TITAN.NS,TLKM.JK,CPALL-R.BK,SM.PM,SUNPHARMA.NS,DRREDDY.NS,WIPRO.NS,ZLAB,6415.TW,688.HK,6969.HK,241.HK,JSWSTEEL.NS,1997.HK,TENAGA.KL,384.HK,009150.KS,2357.TW,1177.HK,TAL,868.HK,992.HK,NESTLEIND.NS,6.HK,268.HK,2601.HK,GDS,2007.HK,2892.TW,—,033780.KS,TME,2382.TW,AOT-R.BK,2379.TW,TECHM.NS,ITC.NS,034730.KS,F34.SI,ADANIPORTS.NS,601318.SS,TATAMOTORS.NS,1918.HK,6488,6690.HK,288.HK,2899.HK,5880.TW,GRASIM.NS,BMRI.JK,VIPS,HINDALCO.NS,SCB-R.BK,968.HK,A17U.SI,003550.KS,DIVISLAB.NS,CIMB.KL,66.HK,17.HK,2207.TW,S68.SI,SMPH.PM,586.HK,HDFCLIFE.NS,091990.KQ,2883.TW,1590.TW,ASII.JK,POWERGRID.NS,2615.TW,C31.SI,2409.TW,C38U.SI,090430.KS,788.HK,NTPC.NS,3037.TW,CIPLA.NS,2359.HK,BDMS-R.BK,BJFIN.NS,881.HK,DMART.NS,1088.HK,2880.TW,1821.HK,2345.TW,TATACONSUM.NS,2887.TW,000810.KS,BPCL.NS,SBILIFE.NS,916.HK,1658.HK,AQE.,3045.TW,002594.SZ,1919.HK,12.HK,BAJAJFINSV.NS,NVAA.,2912.TW,APOLLOHOSP.NS,BRITANNIA.NS,NAUKRI.NS,DELTA-R.BK,3323.HK,ADANIGREEN.NS,6030.HK,SUM
07/09/2021,6.66,5.64,5.02,4.42,1.97,1.9,1.16,1.0,0.99,0.9,0.85,0.76,0.75,0.75,0.7,0.68,0.68,0.65,0.64,0.63,0.61,0.6,0.59,0.58,0.55,0.54,0.5,0.46,0.45,0.42,0.42,0.41,0.38,0.38,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.86000000000001
07/12/2021,6.76,5.46,4.85,4.4,1.97,1.79,1.17,1.08,1.01,0.9,0.79,0.79,0.73,0.74,0.7,0.65,0.7,0.65,0.65,0.66,0.61,0.6,0.6,0.58,0.54,0.53,0.52,0.46,0.45,0.41,0.41,0.41,0.39,0.37,0.36,0.36,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.26,0.27,0.26,0.27,0.28,0.26,0.26,0.26,0.26,0.27,0.24,0.27,0.23,0.23,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.2,0.22,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.12,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.11,0.0,0.09,0.0,0.09,0.0,0.0,0.09,0.09,0.0,0.0,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.56000000000002
07/13/2021,6.76,5.46,4.85,4.4,1.97,1.79,1.17,1.08,1.01,0.9,0.79,0.79,0.73,0.74,0.7,0.65,0.7,0.65,0.65,0.66,0.61,0.6,0.6,0.58,0.54,0.53,0.52,0.46,0.45,0.41,0.41,0.41,0.39,0.37,0.36,0.36,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.26,0.27,0.26,0.27,0.28,0.26,0.26,0.26,0.26,0.27,0.24,0.27,0.23,0.23,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.2,0.22,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.12,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.11,0.0,0.09,0.0,0.09,0.0,0.0,0.09,0.09,0.0,0.0,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.56000000000002
07/14/2021,6.7,5.56,4.8,4.35,1.98,1.87,1.16,1.08,1.01,0.89,0.79,0.78,0.73,0.72,0.69,0.67,0.74,0.64,0.65,0.65,0.61,0.62,0.59,0.61,0.55,0.53,0.51,0.44,0.45,0.41,0.42,0.41,0.39,0.36,0.36,0.36,0.36,0.35,0.33,0.35,0.32,0.31,0.3,0.29,0.29,0.24,0.27,0.26,0.27,0.28,0.26,0.25,0.26,0.26,0.27,0.24,0.26,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.22,0.22,0.21,0.22,0.23,0.23,0.22,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.18,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.09,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.52000000000001
07/15/2021,6.77,5.49,4.82,4.35,1.95,1.9,1.16,1.1,1.0,0.84,0.8,0.77,0.72,0.72,0.69,0.67,0.74,0.65,0.66,0.65,0.6,0.61,0.59,0.6,0.55,0.53,0.51,0.45,0.44,0.41,0.42,0.41,0.39,0.37,0.36,0.35,0.35,0.33,0.33,0.35,0.31,0.31,0.3,0.29,0.31,0.23,0.28,0.26,0.27,0.28,0.26,0.26,0.25,0.26,0.27,0.24,0.27,0.23,0.22,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.17,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.11,0.1,0.11,0.1,0.09,0.11,0.1,0.09,0.1,0.1,0.11,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.1,0.09,0.0,0.0,0.09,0.09,0.09,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.48000000000002
07/16/2021,6.86,5.63,4.95,4.31,1.99,1.94,1.15,1.09,0.98,0.88,0.77,0.79,0.72,0.73,0.69,0.67,0.71,0.65,0.64,0.68,0.59,0.63,0.58,0.6,0.55,0.53,0.5,0.44,0.45,0.41,0.43,0.41,0.38,0.37,0.36,0.35,0.36,0.33,0.33,0.34,0.31,0.32,0.31,0.29,0.3,0.2,0.28,0.26,0.27,0.28,0.26,0.26,0.25,0.26,0.26,0.24,0.27,0.23,0.22,0.23,0.24,0.23,0.22,0.21,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.17,0.15,0.15,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.11,0.09,0.0,0.09,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.74000000000001
07/19/2021,6.92,5.69,5.05,4.34,1.96,1.9,1.14,1.08,1.0,0.88,0.74,0.78,0.73,0.73,0.69,0.67,0.74,0.66,0.66,0.69,0.59,0.63,0.58,0.6,0.54,0.52,0.5,0.43,0.45,0.42,0.44,0.41,0.37,0.37,0.35,0.35,0.36,0.35,0.33,0.35,0.31,0.33,0.31,0.3,0.28,0.2,0.27,0.26,0.27,0.28,0.26,0.26,0.25,0.25,0.27,0.24,0.28,0.23,0.22,0.22,0.24,0.23,0.21,0.21,0.24,0.22,0.21,0.22,0.22,0.23,0.23,0.21,0.21,0.23,0.2,0.21,0.19,0.2,0.18,0.19,0.2,0.19,0.2,0.2,0.21,0.2,0.18,0.17,0.18,0.17,0.19,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.15,0.16,0.16,0.15,0.18,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.13,0.12,0.12,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.1,0.09,0.11,0.1,0.12,0.12,0.11,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.0,0.1,0.1,0.11,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9
07/22/2021,6.66,5.65,4.95,4.32,1.93,1.84,1.16,1.14,0.99,0.89,0.75,0.77,0.74,0.72,0.7,0.65,0.76,0.66,0.65,0.69,0.6,0.62,0.59,0.64,0.52,0.52,0.49,0.44,0.45,0.42,0.44,0.41,0.38,0.37,0.36,0.36,0.36,0.34,0.33,0.35,0.32,0.32,0.31,0.29,0.27,0.23,0.28,0.26,0.27,0.28,0.26,0.25,0.25,0.25,0.27,0.24,0.29,0.23,0.2,0.21,0.24,0.23,0.27,0.21,0.24,0.22,0.21,0.21,0.22,0.23,0.23,0.22,0.21,0.24,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.21,0.2,0.18,0.17,0.18,0.17,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.18,0.15,0.15,0.12,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.13,0.12,0.11,0.13,0.15,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.0,0.11,0.09,0.11,0.1,0.12,0.12,0.11,0.1,0.0,0.09,0.0,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.1,0.09,0.1,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.69000000000001
07/23/2021,6.66,5.65,4.95,4.32,1.93,1.84,1.16,1.14,0.99,0.89,0.75,0.77,0.74,0.72,0.7,0.65,0.76,0.66,0.65,0.69,0.6,0.62,0.59,0.64,0.52,0.52,0.49,0.44,0.45,0.42,0.44,0.41,0.38,0.37,0.36,0.36,0.36,0.34,0.33,0.35,0.32,0.32,0.31,0.29,0.27,0.23,0.28,0.26,0.27,0.28,0.26,0.25,0.25,0.25,0.27,0.24,0.29,0.23,0.2,0.21,0.24,0.23,0.27,0.21,0.24,0.22,0.21,0.21,0.22,0.23,0.23,0.22,0.21,0.24,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.21,0.2,0.18,0.17,0.18,0.17,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.18,0.15,0.15,0.12,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.14,0.13,0.12,0.11,0.13,0.15,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.1,0.11,0.1,0.11,0.0,0.11,0.09,0.11,0.1,0.12,0.12,0.11,0.1,0.0,0.09,0.0,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.1,0.09,0.1,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.1,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.69000000000001
07/26/2021,6.73,5.56,5.04,4.32,1.98,1.85,1.17,1.17,1.02,0.87,0.79,0.77,0.73,0.71,0.7,0.66,0.73,0.62,0.64,0.68,0.6,0.63,0.59,0.61,0.52,0.53,0.46,0.43,0.44,0.42,0.44,0.41,0.38,0.36,0.35,0.35,0.36,0.34,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.18,0.28,0.26,0.27,0.28,0.26,0.26,0.26,0.26,0.27,0.24,0.3,0.23,0.2,0.22,0.25,0.23,0.3,0.2,0.24,0.22,0.21,0.22,0.22,0.23,0.23,0.22,0.21,0.24,0.2,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.22,0.2,0.19,0.17,0.17,0.16,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.15,0.16,0.16,0.15,0.18,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.15,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.12,0.14,0.13,0.12,0.12,0.12,0.17,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.1,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.0,0.1,0.09,0.11,0.1,0.12,0.12,0.11,0.1,0.0,0.09,0.09,0.1,0.1,0.1,0.11,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.1,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.73
