,NOC,RTX,GD,LMT,BA,BAH,LDOS,OSK,SAIC,HII,J,GE,LHX,VEC,VSAT,MSFT,GLDD,FDX,PSN,CI,CSCO,ACM,CACI,MANT,MMM,DUK,KBR,ESLT.TA,TPC,BLL,ASGN,CNDT,CAT,AMRC,TDY,HOLX,IRDM,CMI,AVAV,CAE.TO,GEO,MOG.A,T,AXON,TXT,HON,Futures Collateral - Cash,KVH Industries Inc,IBM,4338.SR,KVHI,SUM
07/09/2021,8.84,8.69,8.04,7.99,7.2,4.17,4.12,4.07,4.04,3.99,3.97,3.94,2.72,2.5,2.08,1.81,1.54,1.51,1.44,1.42,1.2,1.15,1.09,1.06,0.87,0.84,0.82,0.78,0.74,0.7,0.68,0.66,0.64,0.61,0.57,0.51,0.5,0.49,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.03,0.02,0.02,0.0,0.0,100.0
07/12/2021,8.9,8.62,8.11,8.06,7.06,4.29,4.19,4.02,4.11,3.9,4.01,3.84,2.79,2.43,2.06,1.83,1.53,1.48,1.46,1.41,1.19,1.15,1.1,1.06,0.87,0.84,0.82,0.79,0.71,0.71,0.68,0.65,0.63,0.61,0.59,0.52,0.5,0.48,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.00999999999998
07/13/2021,8.9,8.62,8.11,8.06,7.06,4.29,4.19,4.02,4.11,3.9,4.01,3.84,2.79,2.43,2.06,1.83,1.53,1.48,1.46,1.41,1.19,1.15,1.1,1.06,0.87,0.84,0.82,0.79,0.71,0.71,0.68,0.65,0.63,0.61,0.59,0.52,0.5,0.48,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.00999999999998
07/14/2021,8.85,8.61,8.07,7.99,7.25,4.25,4.2,4.02,4.1,3.86,4.01,3.86,2.77,2.39,2.15,1.8,1.55,1.49,1.45,1.39,1.19,1.16,1.1,1.06,0.87,0.84,0.84,0.78,0.71,0.72,0.69,0.65,0.63,0.61,0.59,0.51,0.51,0.49,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.01999999999998
07/15/2021,8.83,8.61,8.05,7.92,7.22,4.26,4.21,4.06,4.11,3.84,4.05,3.85,2.77,2.39,2.13,1.8,1.56,1.5,1.47,1.4,1.18,1.16,1.1,1.07,0.87,0.85,0.84,0.77,0.72,0.72,0.69,0.65,0.63,0.62,0.59,0.51,0.51,0.49,0.48,0.44,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/16/2021,8.83,8.61,8.05,7.92,7.22,4.26,4.21,4.06,4.11,3.84,4.05,3.85,2.77,2.39,2.13,1.8,1.56,1.5,1.47,1.4,1.18,1.16,1.1,1.07,0.87,0.85,0.84,0.77,0.72,0.72,0.69,0.65,0.63,0.62,0.59,0.51,0.51,0.49,0.48,0.44,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/19/2021,8.83,8.62,8.18,8.03,6.86,4.35,4.3,3.97,4.15,3.84,4.03,3.81,2.82,2.39,2.09,1.85,1.54,1.51,1.41,1.42,1.21,1.13,1.12,1.08,0.89,0.88,0.84,0.79,0.73,0.74,0.7,0.64,0.62,0.6,0.61,0.52,0.48,0.49,0.47,0.42,0.4,0.2,0.16,0.09,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.00999999999998
07/20/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/21/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/22/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/23/2021,8.87,8.48,8.2,8.14,6.57,4.41,4.34,3.86,4.17,3.84,4.02,3.7,2.83,2.36,2.15,1.88,1.57,1.55,1.46,1.42,1.24,1.13,1.15,1.09,0.9,0.91,0.85,0.79,0.71,0.75,0.7,0.63,0.62,0.62,0.61,0.55,0.5,0.49,0.48,0.41,0.4,0.19,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.0
07/26/2021,8.7,8.7,8.22,8.06,6.8,4.32,4.28,3.94,4.08,3.85,4.01,3.79,2.84,2.32,2.16,1.88,1.56,1.51,1.43,1.4,1.23,1.15,1.14,1.07,0.88,0.87,0.84,0.77,0.72,0.71,0.7,0.62,0.62,0.66,0.62,0.54,0.54,0.48,0.47,0.45,0.4,0.19,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,99.98
07/27/2021,8.7,8.65,8.23,8.03,6.78,4.34,4.31,3.94,4.11,3.85,4.04,3.77,2.84,2.34,2.16,1.9,1.58,1.51,1.43,1.4,1.24,1.16,1.14,1.08,0.88,0.88,0.84,0.77,0.73,0.69,0.7,0.62,0.61,0.62,0.62,0.54,0.53,0.48,0.47,0.45,0.4,0.19,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.01
07/28/2021,8.7,8.65,8.23,8.03,6.78,4.34,4.31,3.94,4.11,3.85,4.04,3.77,2.84,2.34,2.16,1.9,1.58,1.51,1.43,1.4,1.24,1.16,1.14,1.08,0.88,0.88,0.84,0.77,0.73,0.69,0.7,0.62,0.61,0.62,0.62,0.54,0.53,0.48,0.47,0.45,0.4,0.19,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.01
07/29/2021,8.64,8.68,8.25,7.77,6.92,4.35,4.31,3.96,4.1,3.89,4.02,3.84,2.83,2.34,2.15,1.9,1.59,1.51,1.42,1.37,1.25,1.15,1.14,1.07,0.88,0.88,0.85,0.78,0.74,0.7,0.71,0.62,0.62,0.63,0.62,0.54,0.53,0.48,0.47,0.45,0.4,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.01
07/30/2021,8.64,8.68,8.25,7.77,6.92,4.35,4.31,3.96,4.1,3.89,4.02,3.84,2.83,2.34,2.15,1.9,1.59,1.51,1.42,1.37,1.25,1.15,1.14,1.07,0.88,0.88,0.85,0.78,0.74,0.7,0.71,0.62,0.62,0.63,0.62,0.54,0.53,0.48,0.47,0.45,0.4,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,100.01
08/02/2021,8.61,8.73,8.33,7.81,7.03,4.32,4.28,3.95,4.06,3.85,4.04,3.87,2.82,2.33,2.18,1.86,1.63,1.42,1.41,1.35,1.22,1.15,1.13,1.06,0.86,0.89,0.83,0.81,0.76,0.69,0.7,0.61,0.61,0.64,0.63,0.54,0.53,0.47,0.48,0.45,0.41,0.2,0.15,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,99.99999999999999
