,NOC,RTX,GD,LMT,BA,BAH,LDOS,OSK,SAIC,HII,J,GE,LHX,VEC,VSAT,MSFT,GLDD,FDX,PSN,CI,CSCO,ACM,CACI,MANT,MMM,DUK,KBR,ESLT.TA,TPC,BLL,ASGN,CNDT,CAT,AMRC,TDY,HOLX,IRDM,CMI,AVAV,CAE.TO,GEO,MOG.A,T,AXON,TXT,HON,Futures Collateral - Cash,KVH Industries Inc,IBM,4338.SR,KVHI,n/a,GE.,SUM
07/09/2021,8.84,8.69,8.04,7.99,7.2,4.17,4.12,4.07,4.04,3.99,3.97,3.94,2.72,2.5,2.08,1.81,1.54,1.51,1.44,1.42,1.2,1.15,1.09,1.06,0.87,0.84,0.82,0.78,0.74,0.7,0.68,0.66,0.64,0.61,0.57,0.51,0.5,0.49,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.03,0.02,0.02,0.0,0.0,0.0,0.0,100.0
07/12/2021,8.9,8.62,8.11,8.06,7.06,4.29,4.19,4.02,4.11,3.9,4.01,3.84,2.79,2.43,2.06,1.83,1.53,1.48,1.46,1.41,1.19,1.15,1.1,1.06,0.87,0.84,0.82,0.79,0.71,0.71,0.68,0.65,0.63,0.61,0.59,0.52,0.5,0.48,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.00999999999998
07/13/2021,8.9,8.62,8.11,8.06,7.06,4.29,4.19,4.02,4.11,3.9,4.01,3.84,2.79,2.43,2.06,1.83,1.53,1.48,1.46,1.41,1.19,1.15,1.1,1.06,0.87,0.84,0.82,0.79,0.71,0.71,0.68,0.65,0.63,0.61,0.59,0.52,0.5,0.48,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.00999999999998
07/14/2021,8.85,8.61,8.07,7.99,7.25,4.25,4.2,4.02,4.1,3.86,4.01,3.86,2.77,2.39,2.15,1.8,1.55,1.49,1.45,1.39,1.19,1.16,1.1,1.06,0.87,0.84,0.84,0.78,0.71,0.72,0.69,0.65,0.63,0.61,0.59,0.51,0.51,0.49,0.48,0.45,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.01999999999998
07/15/2021,8.83,8.61,8.05,7.92,7.22,4.26,4.21,4.06,4.11,3.84,4.05,3.85,2.77,2.39,2.13,1.8,1.56,1.5,1.47,1.4,1.18,1.16,1.1,1.07,0.87,0.85,0.84,0.77,0.72,0.72,0.69,0.65,0.63,0.62,0.59,0.51,0.51,0.49,0.48,0.44,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.0
07/16/2021,8.83,8.61,8.05,7.92,7.22,4.26,4.21,4.06,4.11,3.84,4.05,3.85,2.77,2.39,2.13,1.8,1.56,1.5,1.47,1.4,1.18,1.16,1.1,1.07,0.87,0.85,0.84,0.77,0.72,0.72,0.69,0.65,0.63,0.62,0.59,0.51,0.51,0.49,0.48,0.44,0.42,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.0
07/19/2021,8.83,8.62,8.18,8.03,6.86,4.35,4.3,3.97,4.15,3.84,4.03,3.81,2.82,2.39,2.09,1.85,1.54,1.51,1.41,1.42,1.21,1.13,1.12,1.08,0.89,0.88,0.84,0.79,0.73,0.74,0.7,0.64,0.62,0.6,0.61,0.52,0.48,0.49,0.47,0.42,0.4,0.2,0.16,0.09,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.00999999999998
07/20/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.0
07/21/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.0
07/22/2021,8.85,8.53,8.22,8.06,6.75,4.38,4.35,3.88,4.21,3.85,4.03,3.77,2.83,2.39,2.09,1.86,1.56,1.5,1.43,1.42,1.22,1.13,1.14,1.09,0.88,0.9,0.84,0.79,0.71,0.75,0.7,0.62,0.62,0.6,0.61,0.53,0.48,0.49,0.47,0.42,0.39,0.2,0.16,0.1,0.09,0.04,0.0,0.0,0.02,0.03,0.02,0.0,0.0,100.0
