,Cash,Ishares Msci Emerging Markets (Eem) Swap Citibank Na - Cash Offset,Ishares Msci Emerging Markets (Eem) Swap Ubs Ag - Cash Offset,Ishares Msci Emerging Markets (Eem) Swap Goldman Sachs International - Cash,Ishares Msci Emerging Markets (Eem) Swap Societe Generale - Cash Offset,Ishares Msci Emerging Markets (Eem) Swap Societe Generale,Ishares Msci Emerging Markets (Eem) Swap Goldman Sachs International,Ishares Msci Emerging Markets (Eem) Swap Ubs Ag,Ishares Msci Emerging Markets (Eem) Swap Citibank Na,SUM
07/09/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/12/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/13/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/14/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/15/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/16/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/19/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/20/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/21/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/22/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000004
07/23/2021,100.0,78.15,68.46,50.23,3.13,-3.13,-50.23,-68.46,-78.15,100.00000000000003
