,SAVA,ZTS,LLY,CTLT,ELAN,JNJ,BMY,JAZZ,PFE,PRGO,RPRX,MRK,VTRS,ZOM,RETA,PCRX,ARVN,AXSM,NKTR,ITCI,OCUL,ENDP,SUPN,ACRS,PBH,CARA,ZGNX,CORT,RVNC,OMER,TXMD,AERI,PRVB,AMRX,INVA,COLL,NUVB,NGM,OGN,TBPH,MRNS,PHAT,BDSI,ATRS,AMPH,PAHC,RLMD,DURECT Corporation,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,SDA.AX,DRRX,002810.KS,SUM
07/09/2021,5.53,4.89,4.82,4.76,4.74,4.67,4.54,4.51,4.49,4.31,4.25,4.23,4.14,3.78,3.2,2.84,2.52,2.14,1.7,1.66,1.57,1.5,1.41,1.32,1.29,1.29,1.23,1.22,1.21,0.98,0.92,0.89,0.71,0.69,0.68,0.68,0.62,0.54,0.48,0.45,0.39,0.37,0.35,0.34,0.32,0.32,0.25,0.15,0.1,0.0,0.0,0.0,0.0,99.99
07/12/2021,6.32,4.96,4.86,4.75,4.69,4.71,4.55,4.52,4.49,4.29,4.23,4.23,4.02,3.44,3.31,2.78,2.64,2.12,1.69,1.59,1.55,1.27,1.33,1.38,1.27,1.25,1.22,1.21,1.24,0.98,0.92,0.88,0.73,0.63,0.68,0.66,0.61,0.54,0.46,0.45,0.4,0.36,0.35,0.32,0.32,0.28,0.25,0.15,0.14,0.0,0.0,0.0,0.0,100.02
07/13/2021,6.32,4.96,4.86,4.75,4.69,4.71,4.55,4.52,4.49,4.29,4.23,4.23,4.02,3.44,3.31,2.78,2.64,2.12,1.69,1.59,1.55,1.27,1.33,1.38,1.27,1.25,1.22,1.21,1.24,0.98,0.92,0.88,0.73,0.63,0.68,0.66,0.61,0.54,0.46,0.45,0.4,0.36,0.35,0.32,0.32,0.28,0.25,0.15,0.14,0.0,0.0,0.0,0.0,100.02
07/14/2021,5.67,4.97,4.8,4.76,4.71,4.71,4.57,4.53,4.52,4.29,4.26,4.22,4.17,3.56,3.35,2.8,2.67,2.14,1.74,1.6,1.55,1.29,1.33,1.37,1.29,1.25,1.22,1.21,1.25,0.97,0.91,0.91,0.75,0.63,0.67,0.66,0.63,0.55,0.47,0.44,0.4,0.37,0.35,0.32,0.31,0.28,0.26,0.15,0.14,0.0,0.0,0.0,0.0,99.97
07/15/2021,5.91,4.99,4.83,4.77,4.76,4.71,4.59,4.55,4.54,4.27,4.26,4.19,4.13,3.48,3.26,2.8,2.61,2.13,1.73,1.57,1.56,1.26,1.32,1.38,1.3,1.26,1.22,1.2,1.23,0.96,0.92,0.9,0.78,0.64,0.66,0.68,0.62,0.55,0.46,0.45,0.38,0.37,0.35,0.33,0.31,0.3,0.27,0.14,0.14,0.0,0.0,0.0,0.0,100.02
07/16/2021,6.23,5.06,4.86,4.81,4.7,4.74,4.63,4.54,4.57,4.26,4.3,4.23,4.09,3.34,3.19,2.76,2.62,2.09,1.73,1.57,1.52,1.24,1.32,1.33,1.31,1.22,1.23,1.2,1.18,0.96,0.88,0.91,0.8,0.63,0.67,0.7,0.6,0.55,0.45,0.45,0.36,0.36,0.36,0.32,0.31,0.28,0.26,0.14,0.14,0.0,0.0,0.0,0.0,100.0
07/19/2021,5.13,5.27,4.95,4.82,4.87,4.89,4.8,4.59,4.79,4.45,4.28,4.41,4.23,3.08,3.19,2.89,2.48,1.94,1.74,1.54,1.56,1.24,1.3,1.24,1.35,1.22,1.29,1.17,1.16,0.96,0.88,0.92,0.76,0.61,0.68,0.72,0.59,0.54,0.47,0.46,0.35,0.38,0.38,0.32,0.32,0.29,0.25,0.14,0.15,-0.03,0.0,0.0,0.0,100.01
07/20/2021,5.02,5.29,5.01,4.83,4.91,4.92,4.82,4.55,4.85,4.42,4.36,4.44,4.22,3.1,3.19,2.87,2.54,1.87,1.7,1.51,1.51,1.27,1.31,1.19,1.35,1.23,1.23,1.17,1.15,0.95,0.86,0.93,0.75,0.61,0.69,0.74,0.59,0.55,0.47,0.45,0.35,0.38,0.38,0.32,0.33,0.29,0.25,0.0,0.0,0.0,0.15,0.14,0.0,100.01
07/21/2021,5.02,5.29,5.01,4.83,4.91,4.92,4.83,4.55,4.85,4.42,4.36,4.45,4.22,3.1,3.19,2.87,2.54,1.87,1.7,1.51,1.51,1.27,1.31,1.19,1.35,1.23,1.23,1.17,1.15,0.95,0.86,0.93,0.75,0.61,0.69,0.74,0.59,0.55,0.47,0.45,0.35,0.38,0.38,0.32,0.33,0.29,0.25,0.14,0.15,-0.03,0.0,0.0,0.0,100.0
07/22/2021,5.02,5.29,5.01,4.83,4.91,4.92,4.82,4.55,4.85,4.42,4.36,4.44,4.22,3.1,3.19,2.87,2.54,1.87,1.7,1.51,1.51,1.27,1.31,1.19,1.35,1.23,1.23,1.17,1.15,0.95,0.86,0.93,0.75,0.61,0.69,0.74,0.59,0.55,0.47,0.45,0.35,0.38,0.38,0.32,0.33,0.29,0.25,0.0,0.0,0.0,0.15,0.14,0.0,100.01
07/23/2021,5.56,5.18,4.94,4.87,4.97,4.81,4.67,4.44,4.82,4.33,4.33,4.24,4.16,3.23,3.16,2.86,2.57,1.86,1.72,1.49,1.49,1.47,1.3,1.21,1.35,1.19,1.19,1.16,1.19,0.98,0.84,0.93,0.78,0.65,0.68,0.74,0.6,0.55,0.47,0.47,0.35,0.38,0.36,0.33,0.32,0.28,0.24,0.14,0.12,0.0,0.0,0.0,0.0,99.97
07/26/2021,7.53,5.04,4.88,4.84,4.9,4.72,4.62,4.28,4.73,4.21,4.12,4.14,4.03,3.04,3.04,2.86,2.73,1.83,1.64,1.46,1.42,1.66,1.28,1.22,1.31,1.14,1.19,1.12,1.14,0.95,0.86,0.9,0.72,0.64,0.67,0.72,0.57,0.53,0.48,0.44,0.34,0.35,0.35,0.32,0.32,0.27,0.2,0.14,0.12,0.0,0.0,0.0,0.0,100.01000000000002
07/27/2021,7.29,5.09,4.96,4.85,4.93,4.74,4.62,4.25,4.73,4.23,4.09,4.17,4.03,3.02,3.05,2.87,3.07,1.74,1.64,1.41,1.44,1.69,1.27,1.22,1.3,1.07,1.22,1.11,1.12,0.94,0.84,0.89,0.71,0.64,0.66,0.73,0.57,0.52,0.46,0.43,0.34,0.34,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.0,0.14,0.12,100.01
07/28/2021,7.29,5.09,4.96,4.85,4.93,4.74,4.62,4.25,4.73,4.23,4.09,4.17,4.03,3.02,3.05,2.87,3.07,1.74,1.64,1.41,1.44,1.69,1.27,1.22,1.3,1.07,1.22,1.11,1.12,0.94,0.84,0.89,0.71,0.64,0.66,0.73,0.57,0.52,0.46,0.43,0.34,0.34,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.12,0.14,0.0,100.01
07/29/2021,7.18,5.08,5.0,4.78,4.9,4.8,4.63,4.29,4.8,4.27,4.07,4.2,4.05,2.97,3.01,2.92,3.09,1.7,1.64,1.38,1.33,1.73,1.29,1.19,1.33,1.09,1.15,1.12,1.12,0.96,0.87,0.9,0.7,0.65,0.66,0.73,0.6,0.53,0.46,0.44,0.34,0.34,0.35,0.32,0.32,0.27,0.19,0.14,0.12,0.0,0.0,0.0,0.0,100.0
07/30/2021,7.61,5.09,4.99,4.8,4.94,4.81,4.6,4.29,4.82,4.34,4.01,4.22,4.06,2.91,2.95,2.92,3.05,1.73,1.6,1.35,1.33,1.67,1.28,1.15,1.32,1.07,1.13,1.11,1.09,0.95,0.83,0.91,0.71,0.65,0.66,0.73,0.56,0.53,0.45,0.44,0.32,0.33,0.35,0.32,0.32,0.27,0.2,0.0,0.0,0.0,0.12,0.13,0.0,100.02000000000001
