,4SPX  210930C02017760,4XSP  210930C00201790,4SPX  210930P04035520,4SPX  210930P03362910,4XSP  210930P00403590,4XSP  210930P00201790,4XSP  210930P00306020,4XSP  210930P00336300,4SPX  210930P02017760,4XSP  210930C00403590,Cash&Other,4XSP  210930C00397830,4SPX  210930P03060240,4SPX  210930C04035520,4SPX  210930C03978310,SUM
07/09/2021,116.08,1.64,1.4,0.33,0.02,0.0,0.0,0.0,-0.06,-0.12,-0.13,-0.14,-0.2,-8.78,-10.03,100.01
07/12/2021,116.88,2.06,1.27,0.3,0.02,0.0,0.0,0.01,-0.06,-0.16,0.0,-0.19,-0.19,-9.34,-10.6,100.0
07/13/2021,116.88,2.06,1.27,0.3,0.02,0.0,0.0,0.01,-0.06,-0.16,0.0,-0.19,-0.19,-9.34,-10.6,100.0
07/14/2021,116.88,2.06,1.27,0.3,0.02,0.0,0.0,0.01,-0.06,-0.16,0.0,-0.19,-0.19,-9.34,-10.6,100.0
07/15/2021,117.62,2.08,1.18,0.27,0.02,0.0,0.0,0.0,-0.06,-0.17,0.0,-0.19,-0.17,-9.65,-10.94,99.99
07/16/2021,116.91,2.06,1.3,0.3,0.02,0.0,0.0,0.01,-0.06,-0.17,0.0,-0.19,-0.18,-9.37,-10.64,99.98999999999998
07/19/2021,116.29,2.05,1.32,0.28,0.02,0.0,0.0,0.01,-0.05,-0.16,-0.01,-0.18,-0.16,-9.08,-10.33,100.0
07/20/2021,114.82,2.03,1.53,0.33,0.03,0.0,0.0,0.01,-0.06,-0.15,-0.01,-0.17,-0.19,-8.45,-9.7,100.01999999999998
07/21/2021,114.82,2.03,1.53,0.33,0.03,0.0,0.0,0.01,-0.06,-0.15,-0.01,-0.17,-0.19,-8.45,-9.7,100.01999999999998
07/22/2021,112.32,1.98,2.04,0.47,0.04,0.0,0.0,0.01,-0.11,-0.13,-0.02,-0.15,-0.27,-7.5,-8.68,100.0
07/23/2021,115.11,2.03,1.52,0.34,0.03,0.0,0.0,0.01,-0.08,-0.15,-0.02,-0.17,-0.2,-8.58,-9.82,100.02
07/26/2021,116.97,2.03,1.19,0.26,0.02,0.0,0.0,0.0,-0.05,-0.16,0.0,-0.18,-0.15,-9.33,-10.59,100.01
07/27/2021,118.75,2.06,1.03,0.24,0.02,0.0,0.0,0.0,-0.05,-0.18,-0.01,-0.2,-0.15,-10.11,-11.41,99.98999999999998
07/28/2021,118.75,2.06,1.03,0.24,0.02,0.0,0.0,0.0,-0.05,-0.18,-0.01,-0.2,-0.15,-10.11,-11.41,99.98999999999998
07/29/2021,119.42,2.07,0.95,0.22,0.02,0.0,0.0,0.0,-0.04,-0.18,-0.01,-0.2,-0.13,-10.41,-11.7,100.00999999999998
