,CHD,L.TO,ASML,PPG,BLD.AX,NVDA,2875.T,PYPL,6702.T,AAP,ADBE,EMR,CPR.MI,9766.T,CSL.AX,INTU,SNPS,3697.T,RI.PA,SGO.PA,5110.T,LRCX,CAE.TO,6361.T,9533.T,4005.T,HSY,4901.T,7936.T,DHR,2413.T,2897.T,6504.T,COO,HAS,6902.T,MRK.DE,JD.L,GEBN.SW,GGG,BF.B,GPC,ATCO A.ST,GETI B.ST,EA,6301.T,NEM.DE,SIE.DE,6971.T,TMO,DSY.PA,6965.T,4118.T,4543.T,SPX.L,A,ORK.OL,FAST,3391.T,CCH.L,GN.CO,CHKP,3923.T,ENT.L,DSM.AS,DSG.TO,ROG.SW,MASI,9697.T,PH,5929.T,TSCO,ALQ.AX,IMI.L,BIIB,ICL.TA,IP.MI,NVSN.MX,4151.T,QRVO,KDP,HM B.ST,HEI.DE,5332.T,TEL2 B.ST,SNY,PEGA,CON.DE,FB,KRX.IR,2127.T,6448.T,AKAM,4188.T,CTAS,MONC.MI,DOM.ST,CTVA,SAND.ST,SYK,OTEX.TO,HVN.AX,TREL B.ST,4307.T,4021.T,DEMANT.CO,CABO,ADI,9989.T,CRDA.L,LLY,IEL.AX,GLW,2331.T,AI.PA,RAA.DE,2809.T,SMIN.L,4528.T,4676.T,3088.T,SKF B.ST,TEAM,FLTR.L,EL.PA,ML.PA,HUSQ B.ST,EPI A.ST,ETN,BMY,SEK.AX,4751.T,COLO B.CO,7269.T,4967.T,7532.T,IR,JDEP.AS,6113.T,SY1.DE,HUBS,QCOM,9602.T,APH,SNN,4927.T,S58.SI,3099.T,FFIV,Us Dollars,PUM.DE,RKT.L,CAR.AX,7701.T,6592.T,SA.SW,EBAY,2531.T,6754.T,ALXN,CSGP,6988.T,GRF.MC,DNB,ATVI,ILMN,NSY.,RGEN,TNE.AX,9962.T,SMDS.L,SGE.L,TTD,7832.T,8282.T,6952.T,4902.T,3659.T,CTEC.L,TS,4921.T,CSCO,6856.T,4540.T,BIM.PA,6305.T,8056.T,ABMD,DT,9719.T,MGGT.L,3861.T,SPOT,9404.T,TWTR,7733.T,2670.T,STX,FME.DE,4919.T,Tenaris SA ADR,4686.T,EKTA B.ST,DSYA.,RSW.L,6324.T,4527.T,BDX,ADDT B.ST,n/a,AZN,MELI,ALGN,4483.T,7747.T,3197.T,SOLB.BR,4912.T,7731.T,2492.T,RBA.TO,ULTA,QGEN,GILD,INTC,TTWO,5333.T,FBHS,ASC.L,PHM,3401.T,4552.T,5233.T,4612.T,TPR,MU,FND,ON,6460.T,2579.T,GNRC,ETSY,ALB,BBY,2229.T,HIK.L,DLTR,ILCO.TA,ALU.AX,9401.T,FEVR.L,FDX,SUM
07/09/2021,1.48,1.34,1.21,1.08,0.92,0.91,0.83,0.81,0.8,0.8,0.79,0.78,0.76,0.75,0.71,0.7,0.68,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.6,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.67
07/12/2021,1.51,1.34,1.19,1.08,0.92,0.89,0.82,0.83,0.82,0.79,0.81,0.77,0.76,0.74,0.7,0.72,0.68,0.66,0.64,0.66,0.66,0.63,0.64,0.65,0.64,0.61,0.64,0.64,0.6,0.63,0.61,0.61,0.6,0.6,0.6,0.58,0.61,0.56,0.6,0.59,0.56,0.55,0.55,0.56,0.53,0.52,0.55,0.53,0.53,0.54,0.54,0.52,0.53,0.52,0.52,0.51,0.5,0.51,0.49,0.49,0.52,0.51,0.53,0.5,0.49,0.49,0.5,0.51,0.47,0.48,0.46,0.46,0.45,0.46,0.49,0.45,0.46,0.46,0.47,0.44,0.45,0.43,0.46,0.45,0.45,0.44,0.44,0.42,0.43,0.45,0.48,0.43,0.43,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.41,0.4,0.42,0.42,0.41,0.42,0.42,0.39,0.4,0.42,0.41,0.4,0.38,0.39,0.39,0.4,0.39,0.38,0.39,0.38,0.37,0.38,0.39,0.37,0.38,0.37,0.38,0.39,0.38,0.37,0.36,0.36,0.38,0.37,0.36,0.38,0.36,0.36,0.34,0.36,0.36,0.35,0.36,0.35,0.35,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.0,0.28,0.28,0.27,0.27,0.27,0.25,0.27,0.27,0.26,0.26,0.0,0.25,0.24,0.24,0.24,0.26,0.25,0.25,0.24,0.0,0.26,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74
07/13/2021,1.51,1.34,1.19,1.08,0.92,0.89,0.82,0.83,0.82,0.79,0.81,0.77,0.76,0.74,0.7,0.72,0.68,0.66,0.64,0.66,0.66,0.63,0.64,0.65,0.64,0.61,0.64,0.64,0.6,0.63,0.61,0.61,0.6,0.6,0.6,0.58,0.61,0.56,0.6,0.59,0.56,0.55,0.55,0.56,0.53,0.52,0.55,0.53,0.53,0.54,0.54,0.52,0.53,0.52,0.52,0.51,0.5,0.51,0.49,0.49,0.52,0.51,0.53,0.5,0.49,0.49,0.5,0.51,0.47,0.48,0.46,0.46,0.45,0.46,0.49,0.45,0.46,0.46,0.47,0.44,0.45,0.43,0.46,0.45,0.45,0.44,0.44,0.42,0.43,0.45,0.48,0.43,0.43,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.41,0.4,0.42,0.42,0.41,0.42,0.42,0.39,0.4,0.42,0.41,0.4,0.38,0.39,0.39,0.4,0.39,0.38,0.39,0.38,0.37,0.38,0.39,0.37,0.38,0.37,0.38,0.39,0.38,0.37,0.36,0.36,0.38,0.37,0.36,0.38,0.36,0.36,0.34,0.36,0.36,0.35,0.36,0.35,0.35,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.0,0.28,0.28,0.27,0.27,0.27,0.25,0.27,0.27,0.26,0.26,0.0,0.25,0.24,0.24,0.24,0.26,0.25,0.25,0.24,0.0,0.26,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74
07/14/2021,1.52,1.35,1.22,1.09,0.92,0.89,0.81,0.84,0.82,0.81,0.8,0.78,0.76,0.74,0.69,0.71,0.69,0.75,0.64,0.68,0.64,0.63,0.64,0.63,0.64,0.61,0.64,0.64,0.59,0.63,0.59,0.61,0.59,0.6,0.6,0.58,0.61,0.57,0.6,0.59,0.56,0.56,0.56,0.56,0.53,0.51,0.56,0.53,0.52,0.53,0.0,0.51,0.51,0.51,0.52,0.51,0.51,0.52,0.48,0.49,0.49,0.53,0.52,0.52,0.49,0.49,0.5,0.5,0.48,0.48,0.45,0.47,0.44,0.47,0.48,0.44,0.47,0.46,0.46,0.45,0.45,0.44,0.47,0.44,0.45,0.44,0.44,0.42,0.44,0.45,0.47,0.42,0.43,0.43,0.43,0.42,0.43,0.41,0.43,0.42,0.42,0.4,0.43,0.42,0.4,0.38,0.41,0.4,0.4,0.42,0.4,0.4,0.39,0.38,0.39,0.41,0.38,0.39,0.38,0.38,0.37,0.38,0.39,0.37,0.38,0.38,0.38,0.39,0.38,0.37,0.36,0.35,0.37,0.36,0.36,0.37,0.36,0.36,0.34,0.36,0.36,0.35,0.36,0.36,0.35,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.32,0.33,0.32,0.31,0.31,0.32,0.33,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.28,0.29,0.29,0.28,0.27,0.3,0.0,0.27,0.28,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.26,0.24,0.24,0.25,0.24,0.25,0.26,0.24,0.25,0.25,0.0,0.27,0.24,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74
07/15/2021,1.49,1.34,1.23,1.08,0.92,0.91,0.82,0.84,0.82,0.79,0.79,0.78,0.76,0.73,0.69,0.71,0.68,0.8,0.64,0.68,0.64,0.64,0.62,0.63,0.64,0.62,0.64,0.63,0.6,0.63,0.6,0.61,0.61,0.59,0.6,0.58,0.61,0.56,0.6,0.58,0.55,0.55,0.56,0.56,0.53,0.53,0.56,0.53,0.53,0.53,0.0,0.51,0.52,0.51,0.53,0.51,0.51,0.51,0.48,0.49,0.51,0.52,0.53,0.51,0.49,0.48,0.5,0.5,0.48,0.48,0.47,0.46,0.44,0.46,0.46,0.45,0.47,0.46,0.46,0.44,0.45,0.44,0.46,0.45,0.45,0.44,0.43,0.42,0.44,0.45,0.48,0.43,0.42,0.44,0.43,0.42,0.43,0.41,0.43,0.42,0.41,0.4,0.42,0.42,0.41,0.4,0.41,0.4,0.4,0.42,0.4,0.4,0.39,0.39,0.39,0.4,0.38,0.39,0.39,0.38,0.37,0.38,0.38,0.36,0.39,0.38,0.38,0.39,0.38,0.37,0.36,0.36,0.38,0.36,0.36,0.37,0.36,0.35,0.35,0.36,0.35,0.35,0.36,0.35,0.34,0.33,0.34,0.35,0.33,0.33,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.33,0.32,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.3,0.0,0.28,0.27,0.28,0.27,0.26,0.25,0.27,0.26,0.26,0.26,0.24,0.25,0.24,0.25,0.25,0.26,0.25,0.25,0.25,0.0,0.27,0.25,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8
07/16/2021,1.49,1.34,1.23,1.07,0.91,0.9,0.82,0.83,0.82,0.78,0.8,0.78,0.76,0.73,0.69,0.71,0.67,0.8,0.65,0.68,0.64,0.64,0.6,0.64,0.65,0.63,0.64,0.64,0.61,0.62,0.6,0.62,0.61,0.59,0.59,0.58,0.61,0.55,0.6,0.58,0.54,0.54,0.56,0.56,0.54,0.53,0.57,0.54,0.53,0.52,0.0,0.52,0.53,0.51,0.53,0.51,0.51,0.51,0.49,0.5,0.51,0.52,0.52,0.51,0.49,0.48,0.5,0.5,0.48,0.47,0.48,0.46,0.43,0.47,0.46,0.46,0.46,0.46,0.45,0.44,0.45,0.44,0.46,0.45,0.45,0.44,0.43,0.42,0.43,0.45,0.48,0.44,0.42,0.44,0.42,0.42,0.43,0.41,0.43,0.41,0.41,0.4,0.42,0.42,0.42,0.4,0.4,0.4,0.41,0.42,0.4,0.4,0.38,0.39,0.39,0.41,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.35,0.39,0.38,0.37,0.39,0.38,0.37,0.36,0.36,0.38,0.37,0.37,0.38,0.36,0.35,0.37,0.36,0.34,0.35,0.35,0.35,0.34,0.34,0.34,0.35,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.33,0.32,0.29,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.29,0.31,0.29,0.29,0.29,0.3,0.29,0.27,0.3,0.0,0.28,0.27,0.28,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.0,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.0,0.26,0.25,0.0,0.55,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.82
07/19/2021,1.51,1.36,1.24,1.09,0.92,0.85,0.84,0.83,0.8,0.79,0.81,0.79,0.76,0.74,0.69,0.71,0.68,0.78,0.65,0.68,0.62,0.63,0.59,0.63,0.65,0.62,0.66,0.63,0.59,0.64,0.58,0.63,0.6,0.59,0.58,0.57,0.62,0.53,0.61,0.58,0.55,0.55,0.56,0.56,0.54,0.54,0.58,0.52,0.54,0.53,0.0,0.5,0.52,0.5,0.54,0.51,0.47,0.52,0.5,0.5,0.5,0.53,0.48,0.51,0.51,0.48,0.5,0.51,0.47,0.47,0.47,0.47,0.44,0.47,0.44,0.47,0.47,0.46,0.44,0.44,0.46,0.42,0.46,0.44,0.48,0.44,0.42,0.42,0.43,0.46,0.48,0.45,0.43,0.44,0.41,0.43,0.43,0.41,0.43,0.41,0.41,0.4,0.43,0.42,0.41,0.39,0.4,0.39,0.42,0.42,0.4,0.4,0.39,0.4,0.4,0.41,0.38,0.38,0.39,0.39,0.39,0.38,0.38,0.35,0.38,0.38,0.37,0.39,0.38,0.38,0.36,0.36,0.38,0.36,0.36,0.38,0.36,0.35,0.36,0.36,0.33,0.35,0.4,0.35,0.33,0.34,0.33,0.34,0.33,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.34,0.32,0.29,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.28,0.29,0.29,0.29,0.28,0.27,0.3,0.0,0.27,0.28,0.28,0.27,0.26,0.25,0.27,0.25,0.25,0.27,0.0,0.25,0.0,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.26,0.25,0.0,0.55,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.74
07/20/2021,1.53,1.37,1.22,1.09,0.92,0.82,0.83,0.83,0.8,0.78,0.81,0.79,0.76,0.73,0.69,0.71,0.68,0.77,0.66,0.67,0.63,0.61,0.59,0.65,0.64,0.63,0.66,0.62,0.59,0.65,0.58,0.62,0.6,0.59,0.58,0.57,0.62,0.53,0.61,0.58,0.55,0.55,0.57,0.59,0.54,0.54,0.59,0.52,0.53,0.54,0.0,0.5,0.53,0.5,0.53,0.51,0.46,0.52,0.5,0.51,0.51,0.53,0.49,0.51,0.51,0.48,0.51,0.51,0.47,0.47,0.47,0.47,0.44,0.46,0.43,0.47,0.47,0.46,0.45,0.44,0.46,0.42,0.45,0.45,0.49,0.44,0.42,0.41,0.43,0.45,0.49,0.45,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.4,0.41,0.39,0.42,0.43,0.4,0.4,0.38,0.4,0.39,0.42,0.38,0.37,0.39,0.39,0.4,0.37,0.38,0.35,0.38,0.38,0.37,0.39,0.38,0.38,0.35,0.35,0.39,0.36,0.36,0.37,0.36,0.35,0.36,0.37,0.34,0.35,0.39,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.34,0.32,0.29,0.3,0.3,0.3,0.31,0.3,0.31,0.31,0.29,0.3,0.27,0.28,0.29,0.29,0.28,0.27,0.3,0.0,0.27,0.28,0.28,0.27,0.26,0.25,0.27,0.26,0.25,0.26,0.0,0.25,0.0,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.25,0.25,0.0,0.56,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.71
07/21/2021,1.53,1.37,1.22,1.09,0.92,0.82,0.83,0.83,0.8,0.78,0.81,0.79,0.76,0.73,0.69,0.71,0.68,0.77,0.66,0.67,0.63,0.61,0.59,0.65,0.64,0.63,0.66,0.62,0.59,0.65,0.58,0.62,0.6,0.59,0.58,0.57,0.62,0.53,0.61,0.58,0.55,0.55,0.57,0.59,0.54,0.54,0.59,0.52,0.53,0.54,0.0,0.5,0.53,0.5,0.53,0.51,0.46,0.52,0.5,0.51,0.51,0.53,0.49,0.51,0.51,0.48,0.51,0.51,0.47,0.47,0.47,0.47,0.44,0.46,0.43,0.47,0.47,0.46,0.45,0.44,0.46,0.42,0.45,0.45,0.49,0.44,0.42,0.41,0.43,0.45,0.49,0.45,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.4,0.41,0.39,0.42,0.43,0.4,0.4,0.38,0.4,0.39,0.42,0.38,0.37,0.39,0.39,0.4,0.37,0.38,0.35,0.38,0.38,0.37,0.39,0.38,0.38,0.35,0.35,0.39,0.36,0.36,0.37,0.36,0.35,0.36,0.37,0.34,0.35,0.39,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.34,0.32,0.29,0.3,0.3,0.3,0.31,0.3,0.31,0.31,0.29,0.3,0.27,0.28,0.29,0.29,0.28,0.27,0.3,0.0,0.27,0.28,0.28,0.27,0.26,0.25,0.27,0.26,0.25,0.26,0.0,0.25,0.0,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.25,0.25,0.0,0.56,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.71
07/22/2021,1.53,1.37,1.22,1.09,0.92,0.82,0.83,0.83,0.8,0.78,0.81,0.79,0.76,0.73,0.69,0.71,0.68,0.77,0.66,0.67,0.63,0.61,0.59,0.65,0.64,0.63,0.66,0.62,0.59,0.65,0.58,0.62,0.6,0.59,0.58,0.57,0.62,0.53,0.61,0.58,0.55,0.55,0.57,0.59,0.54,0.54,0.59,0.52,0.53,0.54,0.0,0.5,0.53,0.5,0.53,0.51,0.46,0.52,0.5,0.51,0.51,0.53,0.49,0.51,0.51,0.48,0.51,0.51,0.47,0.47,0.47,0.47,0.44,0.46,0.43,0.47,0.47,0.46,0.45,0.44,0.46,0.42,0.45,0.45,0.49,0.44,0.42,0.41,0.43,0.45,0.49,0.45,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.4,0.41,0.39,0.42,0.43,0.4,0.4,0.38,0.4,0.39,0.42,0.38,0.37,0.39,0.39,0.4,0.37,0.38,0.35,0.38,0.38,0.37,0.39,0.38,0.38,0.35,0.35,0.39,0.36,0.36,0.37,0.36,0.35,0.36,0.37,0.34,0.35,0.39,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.34,0.32,0.29,0.3,0.3,0.3,0.31,0.3,0.31,0.31,0.29,0.3,0.27,0.28,0.29,0.29,0.28,0.27,0.3,0.0,0.27,0.28,0.28,0.27,0.26,0.25,0.27,0.26,0.25,0.26,0.0,0.25,0.0,0.25,0.24,0.26,0.24,0.24,0.25,0.24,0.25,0.25,0.0,0.56,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.71
