,PRBM.U,FGXXX,FXFXX,PSTH,GSQD,BACA.U,APACU,RNERU,NAAC,HCCC,KURI,ZNTE,CCAC,PACX,AUS,ACEV,MOTV,MBAC,NXU,SLCR,ADER,MUDS,BTWN,PRPB,HAAC,DRAY,CPUH,PV,HCAQ,HZON,HIII,ACTD,OPA,GACQ,GIG,MAQC,COLI,DWACU,LJAQ,TWNI,ITQ,PUCK,ARGUU,IMAQ,VHAQ,GIW,SCOA,LVRA,NDAC,SPKB,PFDR,HERA,PAQC,SNII,ITHX,DUNE,BRIV,ACQR,TIOA,ACRO,GLBL,KAHC,ROSEU,FOUNU,YSAC,ADF,ENFA,KINZ,SCVX,YAC,GMII,CPSR,ENVI,TREB,EJFA,GCAC,GAPA,CRHC,ASAQ,CCV,XPOA,ISLE,OACB,TWND,CFIV,PDOT,HCAR,MIT,COVA,RMGC,CTAQ,TSIB,VOSO,OSTR,OEPW,ISAA,SV,EQD,PIAI,QFTA,BLNG,EPWR,SPTK,VCXA,CHPM,BTAQ,OXUS,GOAC,RCHG,LHC,AGCB,BENE,KWAC,GLEE,NMMC,WRAC,KLAQ,FLME,DCRD,RXRA,IGAC,TMKR,ADRA,BOAC,TCAC,KAII,IMPX,LFTR,LMAO,NOAC,GNAC,SWET,AGAC,LNFA,VTAQ,BMAQU,ENTFU,SMAPU,FEXDU,n/a,ESACU,ICNC.U,LVACU,PHYT.U,MBSC.U,AXH.U,GOGN.U,GTACU,THACU,USCTU,XFINU,IOACU,PCCTU,FIACU,ADALU,ARCKU,CCTSU,AEAEU,FMAC,JUN.U,MPRAU,SHCAU,FNVTU,LIBYU,DHACU,CNDB.U,SZZL,LGSTU,NCACU,TOACU,TGVCU,ONYXU,TRAQ.U,BCSAU,CBRGU,VMGAU,AFACU,HTAQ.U,RCFA.U,DPCSU,APN.U,OLITU,ACDI.U,BGP.U.NE,IRRX.U,SGIIU,NETC.U,LFACU,SUAC.U,CNGLU,MNTN.U,IFIN.U,LGTOU,NFNT.U,BMAQ,BRD.U,ZINGU,ENCPU,BLEUU,CRECU,PACI.U,MBTC,ATSPT,IXAQU,FHLTU,LIONU,MLAIU,PEPLU,INTEU,SCMAU,IPAXU,BHACU,MACU,SAMAU,WWACU,OTEC,TACA,SEDA.U,MEOA,RAM,OHAAU,GGGV,AHPA,DTRT,OXAC,REVE,CENQ,PEGRU,CDAQU,NFYS.U,SUM
10/15/2021,7.73,6.2,3.98,2.92,2.48,2.21,2.01,1.95,1.92,1.91,1.89,1.83,1.81,1.8,1.8,1.8,1.8,1.8,1.79,1.79,1.76,1.59,1.56,1.49,1.48,1.48,1.48,1.44,1.42,1.4,1.39,1.39,1.38,1.38,1.38,1.32,1.24,1.22,1.21,1.2,1.2,1.15,1.11,1.11,1.01,1.01,0.99,0.99,0.99,0.99,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.83,0.83,0.83,0.82,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/18/2021,7.59,5.99,5.99,2.87,2.44,2.17,1.86,1.91,1.89,1.88,1.86,1.8,1.78,1.77,1.77,1.77,1.76,1.77,1.75,1.76,1.73,1.56,1.54,1.46,1.46,1.46,1.45,1.41,1.39,1.38,1.36,1.36,1.35,1.36,1.35,1.3,1.21,1.21,1.19,1.18,1.18,1.12,1.1,1.09,0.99,0.98,0.97,0.96,0.97,0.97,0.91,0.89,0.89,0.89,0.89,0.89,0.89,0.81,0.81,0.81,0.81,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/19/2021,7.59,5.99,5.99,2.87,2.44,2.17,1.86,1.91,1.89,1.88,1.86,1.8,1.78,1.77,1.77,1.77,1.76,1.77,1.75,1.76,1.73,1.56,1.54,1.46,1.46,1.46,1.45,1.41,1.39,1.38,1.36,1.36,1.35,1.36,1.35,1.3,1.21,1.21,1.19,1.18,1.18,1.12,1.1,1.09,0.99,0.98,0.97,0.96,0.97,0.97,0.91,0.89,0.89,0.89,0.89,0.89,0.89,0.81,0.81,0.81,0.81,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/20/2021,7.59,5.99,5.99,2.87,2.44,2.17,1.86,1.91,1.89,1.88,1.86,1.8,1.78,1.77,1.77,1.77,1.76,1.77,1.75,1.76,1.73,1.56,1.54,1.46,1.46,1.46,1.45,1.41,1.39,1.38,1.36,1.36,1.35,1.36,1.35,1.3,1.21,1.21,1.19,1.18,1.18,1.12,1.1,1.09,0.99,0.98,0.97,0.96,0.97,0.97,0.91,0.89,0.89,0.89,0.89,0.89,0.89,0.81,0.81,0.81,0.81,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/22/2021,5.0,3.93,0.33,1.88,1.6,1.43,1.23,1.27,1.89,1.24,1.88,1.85,1.83,1.16,1.16,0.0,1.81,1.81,1.16,1.15,1.15,1.02,1.01,0.96,0.96,0.96,0.95,0.93,0.92,0.9,0.9,0.9,0.89,1.54,0.89,1.5,0.79,0.79,0.78,1.42,1.41,0.74,0.72,0.71,0.81,0.64,0.64,0.64,0.64,0.64,0.6,0.59,0.59,0.6,0.58,0.59,0.58,0.53,0.53,0.53,1.18,0.08,1.99,1.03,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.46,0.36,0.35,0.35,0.34,0.3,0.29,0.19,0.18,0.18,0.18,0.17,0.17,0.13,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
10/25/2021,4.45,3.51,0.29,1.68,1.43,1.28,1.09,1.13,1.68,1.1,1.68,1.65,1.63,1.04,1.04,0.0,1.61,1.61,1.03,1.03,1.03,0.91,0.9,0.86,0.85,0.86,0.85,0.83,0.82,0.81,0.8,0.8,0.8,1.37,0.8,1.35,0.71,0.71,0.7,1.26,1.26,0.66,0.64,0.64,0.72,0.58,0.57,0.57,0.57,0.57,0.53,0.52,0.52,0.53,0.52,0.52,0.52,0.48,0.48,0.47,1.05,0.08,1.78,0.92,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.55,0.55,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.51,0.41,0.32,0.32,0.31,0.3,0.27,0.26,0.17,0.16,0.16,0.16,0.16,0.15,0.11,0.05,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,2.96,2.94,2.93,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/02/2021,3.68,4.03,0.0,1.38,1.16,1.03,0.9,0.39,1.44,0.9,0.0,1.41,1.4,0.84,0.84,0.0,1.39,1.39,0.84,0.84,0.83,0.74,0.75,0.7,0.69,0.69,0.69,0.67,0.66,0.66,0.65,0.65,0.65,1.19,0.65,0.0,0.57,0.0,0.59,1.1,1.1,0.54,0.02,0.52,0.6,0.47,0.46,0.46,0.46,0.46,0.43,0.42,0.43,0.0,0.42,0.49,0.43,0.39,0.38,0.38,0.93,0.06,1.67,0.86,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.38,0.3,0.0,0.3,0.28,0.25,0.24,0.0,0.0,0.15,0.15,0.15,0.14,0.11,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,2.79,2.78,0.0,3.77,3.77,2.77,1.51,1.51,1.25,1.24,1.01,1.01,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/03/2021,3.68,4.03,0.0,1.38,1.16,1.03,0.9,0.39,1.44,0.9,0.0,1.41,1.4,0.84,0.84,0.0,1.39,1.39,0.84,0.84,0.83,0.74,0.75,0.7,0.69,0.69,0.69,0.67,0.66,0.66,0.65,0.65,0.65,1.19,0.65,0.0,0.57,0.0,0.59,1.1,1.1,0.54,0.02,0.52,0.6,0.47,0.46,0.46,0.46,0.46,0.43,0.42,0.43,0.0,0.42,0.49,0.43,0.39,0.38,0.38,0.93,0.06,1.67,0.86,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.38,0.3,0.0,0.3,0.28,0.25,0.24,0.0,0.0,0.15,0.15,0.15,0.14,0.11,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,2.79,2.78,0.0,3.77,3.77,2.77,1.51,1.51,1.25,1.24,1.01,1.01,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/04/2021,3.48,5.84,0.62,1.3,1.1,0.98,0.86,0.37,1.36,0.85,0.0,1.35,1.33,0.8,0.8,0.0,1.32,1.32,0.8,0.8,0.79,0.7,0.71,0.66,0.66,0.66,0.65,0.64,0.63,0.62,0.62,0.62,0.61,1.13,0.62,0.0,0.55,0.0,0.56,1.04,1.04,0.51,0.02,0.49,0.57,0.44,0.44,0.44,0.44,0.44,0.41,0.4,0.4,0.0,0.4,0.47,0.4,0.37,0.37,0.36,0.88,0.06,1.58,0.82,0.53,0.0,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.52,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.36,0.28,0.0,0.28,0.27,0.24,0.23,0.0,0.0,0.14,0.14,0.14,0.14,0.1,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,2.62,2.62,0.0,3.57,3.58,2.63,1.43,1.43,1.18,0.0,0.96,0.95,0.95,0.95,0.95,0.71,2.38,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/05/2021,3.24,1.51,0.0,1.32,1.12,1.0,0.86,0.38,1.39,0.86,0.0,1.36,1.35,0.81,0.0,0.0,1.34,1.34,0.81,0.81,0.8,0.71,0.71,0.67,0.67,0.66,0.66,0.65,0.64,0.63,0.62,0.63,0.62,1.15,0.63,0.0,0.55,0.0,0.57,1.06,1.06,0.52,0.02,0.5,0.58,0.45,0.45,0.45,0.45,0.45,0.42,0.41,0.41,0.0,0.41,0.48,0.41,0.37,0.37,0.37,0.9,0.06,1.61,0.83,0.54,0.0,0.53,0.53,0.53,0.53,0.0,0.53,0.53,0.53,0.0,0.53,0.52,0.52,1.57,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,1.98,0.5,0.0,0.5,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.37,0.29,0.0,0.28,0.27,0.24,0.23,0.0,0.0,0.15,0.14,0.14,0.14,0.1,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,2.66,2.66,0.0,3.64,1.45,2.67,1.45,1.46,1.2,0.0,0.97,0.97,0.97,0.97,0.97,0.73,2.42,0.97,0.97,3.39,0.97,0.97,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
