,7203.T,6758.T,6861.T,6098.T,9984.T,7974.T,8306.T,4063.T,8035.T,6594.T,6501.T,6367.T,7267.T,4502.T,6981.T,9433.T,7741.T,9983.T,8316.T,6954.T,8001.T,8058.T,4568.T,6273.T,8031.T,3382.T,8411.T,6902.T,6702.T,4661.T,9432.T,9022.T,8766.T,4503.T,2413.T,4452.T,4901.T,4911.T,6503.T,4543.T,5108.T,4523.T,CASH OR CASH COLLATERAL,9020.T,6752.T,7733.T,6301.T,4519.T,7751.T,8267.T,6326.T,8801.T,4578.T,2502.T,8802.T,8591.T,6971.T,7309.T,9434.T,2914.T,8750.T,7269.T,1925.T,4612.T,6869.T,6502.T,8113.T,6201.T,6857.T,6645.T,2503.T,8830.T,8053.T,9735.T,6762.T,5401.T,9843.T,3407.T,7832.T,6920.T,6723.T,8002.T,2802.T,4507.T,8725.T,8630.T,8604.T,6701.T,5020.T,6586.T,6506.T,7532.T,4689.T,1928.T,9143.T,7201.T,2801.T,4684.T,7270.T,6178.T,8309.T,8697.T,4307.T,4188.T,5802.T,8015.T,6988.T,9021.T,6383.T,6479.T,4528.T,3402.T,5713.T,8951.T,7701.T,9064.T,3659.T,9962.T,7011.T,9613.T,4755.T,5201.T,8308.T,9502.T,2267.T,4151.T,6146.T,9007.T,7951.T,6965.T,8952.T,7202.T,9101.T,2269.T,4751.T,4005.T,4324.T,7259.T,8795.T,9042.T,1878.T,2127.T,9503.T,3283.T,8601.T,6963.T,7272.T,5332.T,1605.T,9005.T,5938.T,4062.T,3281.T,7752.T,7276.T,9532.T,3462.T,8953.T,4204.T,9008.T,9531.T,4704.T,1801.T,4185.T,5411.T,6504.T,9041.T,4021.T,4183.T,4613.T,9062.T,1812.T,3436.T,7912.T,1802.T,7911.T,4768.T,6724.T,3003.T,9009.T,9766.T,4042.T,5019.T,8473.T,3626.T,9602.T,3861.T,3064.T,2897.T,8984.T,7261.T,3769.T,4912.T,4385.T,8954.T,6448.T,4922.T,7747.T,4536.T,1803.T,6370.T,9104.T,9001.T,SUM
07/09/2021,4.95,2.82,2.12,1.89,1.87,1.59,1.53,1.48,1.47,1.4,1.26,1.24,1.22,1.16,1.14,1.12,1.11,1.06,1.05,1.02,0.91,0.87,0.85,0.84,0.83,0.83,0.8,0.79,0.78,0.74,0.74,0.72,0.71,0.71,0.68,0.66,0.66,0.65,0.64,0.64,0.63,0.62,0.62,0.61,0.61,0.57,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.49,0.47,0.46,0.46,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,89.62
07/12/2021,4.98,2.84,2.15,1.91,1.9,1.51,1.55,1.44,1.47,1.41,1.3,1.27,1.21,1.16,1.16,1.14,1.12,1.05,1.04,1.01,0.91,0.88,0.83,0.84,0.82,0.81,0.81,0.79,0.8,0.72,0.74,0.73,0.72,0.71,0.67,0.65,0.67,0.64,0.63,0.65,0.62,0.63,0.62,0.62,0.62,0.58,0.52,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.5,0.49,0.47,0.48,0.46,0.46,0.45,0.46,0.45,0.41,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.34,0.34,0.32,0.31,0.32,0.32,0.33,0.31,0.31,0.3,0.3,0.3,0.28,0.3,0.29,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.0,0.0,89.66999999999999
07/13/2021,4.98,2.84,2.15,1.91,1.9,1.51,1.55,1.44,1.47,1.41,1.3,1.27,1.21,1.16,1.16,1.14,1.12,1.05,1.04,1.01,0.91,0.88,0.83,0.84,0.82,0.81,0.81,0.79,0.8,0.72,0.74,0.73,0.72,0.71,0.67,0.65,0.67,0.64,0.63,0.65,0.62,0.63,0.62,0.62,0.62,0.58,0.52,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.5,0.49,0.47,0.48,0.46,0.46,0.45,0.46,0.45,0.41,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.34,0.34,0.32,0.31,0.32,0.32,0.33,0.31,0.31,0.3,0.3,0.3,0.28,0.3,0.29,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.0,0.0,89.66999999999999
07/14/2021,4.98,2.84,2.15,1.91,1.9,1.51,1.55,1.44,1.47,1.41,1.3,1.27,1.21,1.16,1.16,1.14,1.12,1.05,1.04,1.01,0.91,0.88,0.83,0.84,0.82,0.81,0.81,0.79,0.8,0.72,0.74,0.73,0.72,0.71,0.67,0.65,0.67,0.64,0.63,0.65,0.62,0.63,0.62,0.62,0.62,0.58,0.52,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.5,0.49,0.47,0.48,0.46,0.46,0.45,0.46,0.45,0.41,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.34,0.34,0.32,0.31,0.32,0.32,0.33,0.31,0.31,0.3,0.3,0.3,0.28,0.3,0.29,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.21,0.22,0.22,0.22,0.23,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.0,0.0,89.66999999999999
07/15/2021,4.98,2.88,2.18,1.93,1.9,1.5,1.53,1.44,1.47,1.43,1.3,1.28,1.22,1.16,1.16,1.13,1.1,1.04,1.04,1.04,0.91,0.87,0.84,0.86,0.82,0.81,0.81,0.78,0.79,0.72,0.74,0.71,0.71,0.71,0.67,0.65,0.65,0.64,0.64,0.63,0.61,0.62,0.61,0.61,0.62,0.57,0.53,0.54,0.53,0.51,0.52,0.52,0.49,0.49,0.49,0.49,0.48,0.48,0.46,0.46,0.45,0.46,0.45,0.4,0.43,0.42,0.39,0.39,0.39,0.38,0.36,0.36,0.35,0.36,0.35,0.35,0.34,0.34,0.33,0.34,0.33,0.32,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.3,0.3,0.3,0.28,0.27,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.24,0.24,0.23,0.24,0.24,0.21,0.23,0.22,0.23,0.24,0.21,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.19,0.19,0.17,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.13,0.0,0.12,0.12,0.12,0.0,89.62
07/16/2021,5.01,2.89,2.18,1.89,1.91,1.49,1.53,1.43,1.44,1.43,1.31,1.28,1.23,1.16,1.15,1.14,1.1,1.04,1.03,1.05,0.92,0.88,0.85,0.86,0.82,0.82,0.81,0.78,0.78,0.72,0.74,0.69,0.72,0.71,0.65,0.65,0.66,0.64,0.64,0.63,0.61,0.63,0.61,0.6,0.61,0.58,0.53,0.54,0.54,0.51,0.52,0.52,0.5,0.49,0.5,0.49,0.48,0.48,0.46,0.47,0.45,0.46,0.45,0.39,0.43,0.42,0.39,0.38,0.37,0.39,0.37,0.37,0.35,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.34,0.32,0.32,0.32,0.32,0.33,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.3,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.21,0.22,0.22,0.23,0.24,0.22,0.2,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.12,0.12,0.0,89.58999999999999
07/19/2021,5.04,2.87,2.17,1.92,1.9,1.5,1.53,1.42,1.45,1.43,1.24,1.29,1.22,1.19,1.18,1.16,1.1,1.04,1.03,1.02,0.93,0.87,0.83,0.86,0.82,0.81,0.81,0.76,0.77,0.71,0.75,0.68,0.73,0.72,0.64,0.66,0.65,0.62,0.64,0.62,0.58,0.61,0.62,0.6,0.62,0.58,0.54,0.53,0.54,0.51,0.52,0.52,0.5,0.49,0.5,0.49,0.49,0.47,0.47,0.48,0.46,0.45,0.46,0.39,0.44,0.42,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.34,0.33,0.34,0.35,0.32,0.32,0.33,0.33,0.34,0.31,0.31,0.31,0.31,0.29,0.29,0.32,0.3,0.3,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.23,0.24,0.23,0.24,0.24,0.21,0.22,0.21,0.23,0.24,0.21,0.2,0.19,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.15,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.13,0.0,0.13,0.12,0.12,0.12,89.59
07/20/2021,5.07,2.86,2.18,1.92,1.89,1.5,1.52,1.42,1.44,1.44,1.27,1.3,1.22,1.2,1.17,1.15,1.09,1.02,1.03,1.02,0.92,0.88,0.82,0.86,0.82,0.82,0.81,0.77,0.76,0.71,0.75,0.67,0.73,0.72,0.64,0.66,0.64,0.62,0.64,0.62,0.58,0.55,0.62,0.59,0.62,0.57,0.54,0.52,0.54,0.51,0.52,0.53,0.51,0.49,0.5,0.49,0.48,0.48,0.47,0.48,0.46,0.45,0.46,0.4,0.43,0.42,0.39,0.38,0.37,0.38,0.37,0.36,0.35,0.37,0.35,0.35,0.36,0.34,0.32,0.34,0.34,0.32,0.32,0.32,0.33,0.34,0.31,0.31,0.3,0.31,0.29,0.29,0.31,0.3,0.3,0.28,0.28,0.28,0.26,0.28,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.21,0.23,0.24,0.22,0.2,0.19,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.2,0.18,0.19,0.2,0.18,0.17,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.13,0.12,0.12,0.12,89.49
07/21/2021,5.07,2.86,2.18,1.92,1.89,1.5,1.52,1.42,1.44,1.44,1.27,1.3,1.22,1.2,1.17,1.15,1.09,1.02,1.03,1.02,0.92,0.88,0.82,0.86,0.82,0.82,0.81,0.77,0.76,0.71,0.75,0.67,0.73,0.72,0.64,0.66,0.64,0.62,0.64,0.62,0.58,0.55,0.62,0.59,0.62,0.57,0.54,0.52,0.54,0.51,0.52,0.53,0.51,0.49,0.5,0.49,0.48,0.48,0.47,0.48,0.46,0.45,0.46,0.4,0.43,0.42,0.39,0.38,0.37,0.38,0.37,0.36,0.35,0.37,0.35,0.35,0.36,0.34,0.32,0.34,0.34,0.32,0.32,0.32,0.33,0.34,0.31,0.31,0.3,0.31,0.29,0.29,0.31,0.3,0.3,0.28,0.28,0.28,0.26,0.28,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.21,0.23,0.24,0.22,0.2,0.19,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.2,0.18,0.19,0.2,0.18,0.17,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.13,0.12,0.12,0.12,89.49
07/22/2021,5.07,2.81,2.14,1.92,1.88,1.49,1.51,1.41,1.43,1.42,1.25,1.32,1.21,1.21,1.15,1.16,1.1,1.02,1.03,0.99,0.94,0.88,0.83,0.84,0.82,0.82,0.82,0.76,0.77,0.71,0.76,0.67,0.74,0.73,0.65,0.67,0.65,0.63,0.64,0.62,0.58,0.57,0.63,0.59,0.61,0.57,0.54,0.55,0.57,0.52,0.53,0.52,0.51,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.45,0.44,0.46,0.41,0.44,0.42,0.4,0.38,0.37,0.38,0.37,0.36,0.36,0.37,0.35,0.35,0.36,0.33,0.33,0.34,0.33,0.32,0.32,0.33,0.33,0.34,0.32,0.31,0.31,0.32,0.29,0.29,0.32,0.3,0.3,0.27,0.28,0.28,0.26,0.28,0.27,0.28,0.27,0.27,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.21,0.23,0.24,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.2,0.18,0.18,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.15,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.13,0.0,0.13,0.12,0.12,0.12,89.62
