,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,T,KO,PEP,ABBV,NKE,TMO,MRK,ACN,AVGO,LLY,DHR,TXN,COST,MCD,MDT,QCOM,UPS,ORCL,LIN,BMY,UNP,NEE,C,AMGN,LOW,INTU,SBUX,MS,BLK,AMT,IBM,AMAT,GS,TGT,CAT,AMD,GE,AXP,ISRG,NOW,DE,CVS,SCHW,CHTR,SPGI,ANTM,PLD,FIS,ZTS,MU,BKNG,LRCX,MDLZ,SYK,CCI,TMUS,GILD,ADP,TJX,CI,PNC,USB,CME,EL,CSX,ATVI,TFC,EQIX,GM,BDX,CB,MMC,FDX,COF,CL,ILMN,EW,ICE,NSC,SHW,FISV,ADSK,ITW,APD,ADI,BSX,REGN,MCO,ETN,HCA,NXPI,TWTR,IDXX,GPN,EMR,F,HUM,PGR,WM,AON,XTSLA,FCX,NEM,ROP,JCI,DG,VRTX,BIIB,ECL,IQV,KLAC,PSA,DOW,TROW,EXC,APTV,DXCM,SNPS,INFO,DLR,ALGN,CNC,MET,ROST,CMG,KMB,A,SLB,MSCI,EBAY,TT,TEL,AIG,STZ,PH,CARR,ALL,PRU,MCHP,BK,ORLY,EA,ALXN,BAX,APH,SPG,SRE,PPG,CTSH,SBAC,WELL,DFS,TDG,RMD,KMI,HPQ,IFF,GIS,SYY,CDNS,MPC,MAR,TRV,MSI,PSX,OTIS,WMB,CTVA,ROK,MTD,AZO,MNST,FRC,PAYX,SWK,XLNX,AFL,127.HK,YUM,CMI,HLT,FTNT,CTAS,ZBH,ADM,WBA,AVB,GLW,CBRE,SUM
07/09/2021,6.61,6.21,4.67,2.51,2.25,2.19,1.56,1.53,1.51,1.38,1.2,1.15,1.02,1.01,0.99,0.98,0.94,0.9,0.85,0.78,0.71,0.69,0.69,0.67,0.66,0.65,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.53,0.52,0.52,0.52,0.51,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.61
07/12/2021,6.7,6.23,4.77,2.47,2.25,2.19,1.55,1.48,1.5,1.36,1.19,1.15,1.03,1.01,1.0,0.97,0.94,0.87,0.86,0.8,0.7,0.69,0.68,0.67,0.67,0.66,0.63,0.6,0.63,0.62,0.61,0.61,0.61,0.59,0.59,0.57,0.56,0.53,0.52,0.54,0.52,0.51,0.47,0.46,0.46,0.45,0.44,0.43,0.44,0.41,0.42,0.41,0.41,0.41,0.39,0.37,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.34,0.32,0.34,0.33,0.32,0.31,0.3,0.31,0.3,0.28,0.27,0.26,0.28,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.62
07/13/2021,6.7,6.23,4.77,2.47,2.25,2.19,1.55,1.48,1.5,1.36,1.19,1.15,1.03,1.01,1.0,0.97,0.94,0.87,0.86,0.8,0.7,0.69,0.68,0.67,0.67,0.66,0.63,0.6,0.63,0.62,0.61,0.61,0.61,0.59,0.59,0.57,0.56,0.53,0.52,0.54,0.52,0.51,0.47,0.46,0.46,0.45,0.44,0.43,0.44,0.41,0.42,0.41,0.41,0.41,0.39,0.37,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.34,0.32,0.34,0.33,0.32,0.31,0.3,0.31,0.3,0.28,0.27,0.26,0.28,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.62
07/14/2021,6.71,6.17,4.7,2.48,2.23,2.17,1.57,1.47,1.49,1.39,1.19,1.15,1.04,1.01,0.99,0.96,0.95,0.89,0.85,0.78,0.7,0.68,0.67,0.67,0.67,0.65,0.63,0.6,0.62,0.61,0.61,0.6,0.6,0.58,0.59,0.58,0.55,0.52,0.52,0.54,0.52,0.51,0.47,0.46,0.47,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.38,0.37,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.28,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.14,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,85.51
07/15/2021,6.66,6.13,4.68,2.49,2.24,2.18,1.56,1.5,1.55,1.4,1.18,1.15,1.04,1.0,0.99,0.97,0.98,0.9,0.84,0.78,0.7,0.68,0.66,0.67,0.66,0.65,0.62,0.6,0.62,0.61,0.61,0.61,0.59,0.58,0.58,0.58,0.55,0.52,0.52,0.53,0.52,0.51,0.47,0.45,0.46,0.45,0.44,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.32,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.29,0.29,0.28,0.28,0.26,0.28,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.14,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,85.5
07/16/2021,6.74,6.24,4.65,2.49,2.26,2.2,1.56,1.49,1.52,1.39,1.21,1.16,1.04,0.99,0.99,0.99,0.98,0.89,0.85,0.78,0.71,0.68,0.67,0.68,0.66,0.65,0.62,0.6,0.63,0.62,0.61,0.61,0.6,0.58,0.59,0.58,0.55,0.52,0.52,0.53,0.52,0.51,0.47,0.45,0.47,0.44,0.44,0.43,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.29,0.29,0.29,0.27,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,85.71
07/19/2021,6.88,6.25,4.6,2.44,2.26,2.21,1.57,1.4,1.48,1.39,1.24,1.17,1.03,1.01,1.01,1.01,0.99,0.87,0.86,0.78,0.71,0.69,0.65,0.67,0.67,0.66,0.61,0.6,0.65,0.63,0.61,0.61,0.6,0.58,0.59,0.58,0.54,0.53,0.51,0.54,0.52,0.5,0.47,0.45,0.46,0.45,0.45,0.43,0.45,0.42,0.42,0.41,0.41,0.41,0.41,0.37,0.38,0.37,0.36,0.38,0.37,0.34,0.31,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,85.72
07/20/2021,6.88,6.25,4.59,2.44,2.26,2.21,1.57,1.4,1.48,1.39,1.24,1.17,1.03,1.01,1.01,1.01,0.99,0.86,0.86,0.78,0.71,0.69,0.65,0.67,0.67,0.66,0.61,0.6,0.65,0.63,0.61,0.61,0.6,0.58,0.59,0.58,0.54,0.53,0.51,0.54,0.52,0.5,0.47,0.45,0.46,0.45,0.44,0.43,0.45,0.42,0.42,0.41,0.41,0.41,0.41,0.37,0.38,0.37,0.36,0.37,0.37,0.34,0.31,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.28,0.27,0.28,0.25,0.26,0.26,0.27,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.18,0.16,0.17,0.15,0.18,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.14,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71000000000001
07/21/2021,6.83,6.29,4.56,2.43,2.27,2.23,1.57,1.35,1.48,1.37,1.25,1.18,1.03,1.02,1.02,1.01,0.97,0.85,0.86,0.79,0.7,0.7,0.66,0.66,0.67,0.67,0.62,0.6,0.65,0.64,0.62,0.61,0.61,0.59,0.59,0.57,0.55,0.54,0.51,0.54,0.52,0.5,0.47,0.45,0.47,0.45,0.45,0.43,0.46,0.41,0.42,0.41,0.41,0.42,0.4,0.37,0.38,0.37,0.35,0.37,0.37,0.34,0.31,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.29,0.3,0.29,0.28,0.27,0.28,0.25,0.26,0.25,0.27,0.25,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.15,0.18,0.14,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.14,0.13,0.14,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,85.67999999999999
07/22/2021,6.75,6.31,4.6,2.44,2.27,2.22,1.56,1.41,1.51,1.34,1.23,1.17,1.05,1.02,1.04,0.97,0.95,0.84,0.87,0.78,0.71,0.7,0.66,0.67,0.68,0.68,0.64,0.6,0.65,0.65,0.62,0.61,0.62,0.59,0.59,0.57,0.56,0.54,0.52,0.55,0.52,0.5,0.47,0.46,0.48,0.45,0.45,0.43,0.46,0.41,0.43,0.41,0.41,0.41,0.4,0.36,0.39,0.37,0.36,0.36,0.38,0.34,0.32,0.32,0.32,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.28,0.28,0.27,0.28,0.25,0.26,0.25,0.27,0.25,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.15,0.18,0.14,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.11,0.14,0.13,0.14,0.13,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.11,0.11,0.11,0.12,0.1,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.0,85.76
