,BRK.B,JPM,DIS,BAC,JNJ,XOM,VZ,INTC,CSCO,PFE,T,CVX,WMT,UNH,WFC,PG,MDT,V,PM,HON,CMCSA,C,KO,MS,RTX,BA,GS,IBM,PEP,MMM,GE,AXP,CVS,SCHW,MA,MCD,MRK,HD,ANTM,MU,PLD,FIS,MDLZ,MO,ABT,GILD,ACN,NEE,TXN,COST,TJX,COP,CI,PNC,UNP,DUK,USB,CME,NKE,GM,TFC,LLY,BDX,CB,BMY,AMGN,COF,ORCL,SO,LIN,CAT,BSX,AVGO,AMT,D,ETN,SBUX,GPN,F,HCA,BKNG,DHR,NOC,ABBV,NXPI,LMT,JCI,EOG,UPS,ROST,ADP,SYK,MET,EXC,SLB,GD,DLR,CNC,AEP,SRE,SPG,TGT,DD,BAX,AIG,PPG,LOW,BK,ALL,PRU,STZ,SYY,MPC,TRV,BLK,MAR,PXD,NSC,PSX,MMC,IFF,GIS,HPQ,DFS,XEL,KMI,ITW,WELL,CSX,ADI,ILMN,CCI,EMR,WBA,APD,AFL,WM,ZBH,ISRG,CL,SWK,ADM,CTVA,EL,WMB,LUV,EQIX,ICE,VLO,PEG,ATVI,PCAR,MCK,AVB,WLTW,AMP,STT,WEC,KR,EW,CBRE,KMB,ECL,HUM,TEL,DAL,ES,LEN,NUE,DE,EQR,LH,TMUS,PSA,FITB,VFC,VIAC,SYF,AON,FDX,LYB,KHC,ARE,O,OXY,WY,OKE,ED,ZTS,BIIB,NTRS,IP,TT,RSG,DOW,FTV,DLTR,ROP,NEM,HLT,DTE,HIG,STATE STREET INSTITUTIONAL LIQ STATE STR,4970.T,DOV,VTR,MRNA,MLM,GEN.,YUM,TSN,GE.,GVMXX,SUM
07/09/2021,3.07,2.71,1.84,1.76,1.55,1.52,1.36,1.32,1.3,1.28,1.21,1.17,1.12,1.09,1.05,1.01,1.0,0.95,0.9,0.89,0.86,0.82,0.79,0.78,0.76,0.76,0.73,0.72,0.7,0.67,0.66,0.65,0.62,0.62,0.62,0.61,0.6,0.55,0.55,0.53,0.53,0.53,0.51,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
07/12/2021,3.06,2.69,1.85,1.72,1.57,1.5,1.36,1.32,1.32,1.29,1.18,1.17,1.13,1.09,1.03,1.03,1.01,0.94,0.9,0.9,0.88,0.81,0.8,0.77,0.76,0.77,0.72,0.74,0.71,0.68,0.67,0.64,0.62,0.6,0.61,0.61,0.61,0.56,0.55,0.51,0.54,0.52,0.52,0.51,0.51,0.5,0.51,0.49,0.48,0.5,0.47,0.47,0.47,0.46,0.45,0.46,0.44,0.44,0.43,0.42,0.42,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.33,0.32,0.33,0.32,0.33,0.33,0.31,0.3,0.3,0.29,0.27,0.27,0.25,0.26,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/13/2021,3.06,2.69,1.85,1.72,1.57,1.5,1.36,1.32,1.32,1.29,1.18,1.17,1.13,1.09,1.03,1.03,1.01,0.94,0.9,0.9,0.88,0.81,0.8,0.77,0.76,0.77,0.72,0.74,0.71,0.68,0.67,0.64,0.62,0.6,0.61,0.61,0.61,0.56,0.55,0.51,0.54,0.52,0.52,0.51,0.51,0.5,0.51,0.49,0.48,0.5,0.47,0.47,0.47,0.46,0.45,0.46,0.44,0.44,0.43,0.42,0.42,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.33,0.32,0.33,0.32,0.33,0.33,0.31,0.3,0.3,0.29,0.27,0.27,0.25,0.26,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/14/2021,3.08,2.73,1.86,1.75,1.55,1.5,1.34,1.31,1.31,1.28,1.18,1.17,1.12,1.08,1.05,1.01,1.0,0.94,0.9,0.9,0.86,0.82,0.8,0.78,0.76,0.76,0.73,0.73,0.69,0.67,0.67,0.65,0.62,0.61,0.61,0.61,0.6,0.56,0.55,0.51,0.54,0.52,0.51,0.51,0.51,0.5,0.51,0.48,0.48,0.5,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.42,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.34,0.32,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.53999999999999
07/15/2021,3.07,2.76,1.93,1.77,1.54,1.49,1.34,1.32,1.29,1.28,1.17,1.16,1.11,1.09,1.05,1.01,1.0,0.93,0.89,0.9,0.86,0.83,0.79,0.8,0.75,0.76,0.75,0.73,0.69,0.67,0.66,0.65,0.62,0.62,0.61,0.61,0.59,0.55,0.56,0.51,0.54,0.52,0.51,0.51,0.5,0.49,0.5,0.48,0.48,0.49,0.47,0.47,0.47,0.47,0.44,0.45,0.45,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.42,0.41,0.43,0.41,0.38,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.34,0.32,0.33,0.34,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.28,0.27,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5
07/16/2021,3.08,2.74,1.94,1.75,1.55,1.5,1.35,1.33,1.31,1.29,1.17,1.17,1.12,1.1,1.04,1.01,1.0,0.95,0.88,0.9,0.86,0.82,0.81,0.81,0.75,0.73,0.74,0.73,0.71,0.67,0.66,0.65,0.62,0.63,0.62,0.61,0.59,0.55,0.57,0.51,0.54,0.53,0.52,0.5,0.5,0.5,0.51,0.49,0.48,0.49,0.47,0.47,0.47,0.47,0.44,0.45,0.45,0.44,0.43,0.44,0.43,0.42,0.42,0.43,0.42,0.41,0.43,0.41,0.38,0.37,0.36,0.36,0.37,0.36,0.35,0.36,0.34,0.33,0.33,0.34,0.32,0.33,0.32,0.31,0.31,0.29,0.29,0.28,0.27,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.64999999999999
07/19/2021,3.09,2.74,1.95,1.71,1.55,1.45,1.36,1.31,1.32,1.31,1.18,1.14,1.13,1.11,1.08,1.03,0.98,0.98,0.9,0.94,0.87,0.82,0.83,0.8,0.75,0.71,0.74,0.73,0.72,0.68,0.65,0.66,0.63,0.62,0.64,0.62,0.6,0.56,0.56,0.5,0.55,0.54,0.53,0.51,0.49,0.5,0.51,0.5,0.48,0.5,0.48,0.45,0.47,0.47,0.44,0.47,0.47,0.44,0.43,0.42,0.44,0.42,0.42,0.43,0.42,0.41,0.42,0.41,0.39,0.37,0.36,0.35,0.36,0.36,0.36,0.36,0.34,0.33,0.32,0.34,0.32,0.33,0.32,0.31,0.3,0.29,0.29,0.26,0.27,0.26,0.27,0.25,0.26,0.26,0.23,0.25,0.26,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.22,0.22,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.18,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.85
07/20/2021,3.09,2.7,1.91,1.68,1.56,1.42,1.37,1.3,1.33,1.33,1.19,1.12,1.14,1.12,1.07,1.05,0.99,0.99,0.9,0.94,0.87,0.81,0.83,0.8,0.74,0.7,0.73,0.73,0.73,0.68,0.65,0.65,0.63,0.61,0.64,0.62,0.6,0.56,0.56,0.49,0.55,0.54,0.53,0.51,0.5,0.5,0.51,0.51,0.47,0.5,0.48,0.44,0.47,0.46,0.45,0.47,0.46,0.44,0.43,0.41,0.43,0.42,0.42,0.44,0.42,0.42,0.42,0.42,0.39,0.37,0.35,0.35,0.36,0.37,0.37,0.36,0.34,0.34,0.31,0.34,0.32,0.34,0.32,0.32,0.29,0.29,0.29,0.25,0.27,0.25,0.27,0.25,0.25,0.26,0.23,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.23,0.22,0.21,0.19,0.21,0.19,0.21,0.21,0.21,0.19,0.22,0.22,0.2,0.22,0.22,0.2,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.74999999999999
07/21/2021,3.09,2.7,1.91,1.68,1.56,1.42,1.37,1.3,1.33,1.33,1.19,1.12,1.14,1.12,1.07,1.05,0.99,0.99,0.9,0.94,0.87,0.81,0.83,0.8,0.74,0.7,0.73,0.73,0.73,0.68,0.65,0.65,0.63,0.61,0.64,0.62,0.6,0.56,0.56,0.49,0.55,0.54,0.53,0.51,0.5,0.5,0.51,0.51,0.47,0.5,0.48,0.44,0.47,0.46,0.45,0.47,0.46,0.44,0.43,0.41,0.43,0.42,0.42,0.44,0.42,0.42,0.42,0.42,0.39,0.37,0.35,0.35,0.36,0.37,0.37,0.36,0.34,0.34,0.31,0.34,0.32,0.34,0.32,0.32,0.29,0.29,0.29,0.25,0.27,0.25,0.27,0.25,0.25,0.26,0.23,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.23,0.22,0.21,0.19,0.21,0.19,0.21,0.21,0.21,0.19,0.22,0.22,0.2,0.22,0.22,0.2,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.74999999999999
07/22/2021,3.09,2.7,1.91,1.68,1.56,1.42,1.37,1.3,1.33,1.33,1.19,1.12,1.14,1.12,1.07,1.05,0.99,0.99,0.9,0.94,0.87,0.81,0.83,0.8,0.74,0.7,0.73,0.73,0.73,0.68,0.65,0.65,0.63,0.61,0.64,0.62,0.6,0.56,0.56,0.49,0.55,0.54,0.53,0.51,0.5,0.5,0.51,0.51,0.47,0.5,0.48,0.44,0.47,0.46,0.45,0.47,0.46,0.44,0.43,0.41,0.43,0.42,0.42,0.44,0.42,0.42,0.42,0.42,0.39,0.37,0.35,0.35,0.36,0.37,0.37,0.36,0.34,0.34,0.31,0.34,0.32,0.34,0.32,0.32,0.29,0.29,0.29,0.25,0.27,0.25,0.27,0.25,0.25,0.26,0.23,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.23,0.22,0.21,0.19,0.21,0.19,0.21,0.21,0.21,0.19,0.22,0.22,0.2,0.22,0.22,0.2,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.16,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.74999999999999
