,OLN,UNH,MDT,JNJ,UPS,PG,LLY,ETN,ABBV,ADI,OKE,PM,XOM,MXIM,PEP,FE,PAYX,KLAC,EMR,BMY,KMI,AGNC,IP,MMM,CHTR,ABT,ROKU,HUBB,DUK,CSCO,UGI,CVS,CMCSA,EXC,EVRG,CC,NRG,WMB,KO,CF,QCOM,CVX,NLY,PKG,AES,HPE,AM,PGR,TMUS,T,DOW,HPQ,IVZ,PFE,KHC,STWD,IRM,MDLZ,CNP,PEG,STLD,VZ,EMN,SO,SPG,LYB,NI,AEP,NUE,PRU,LNT,NEE,DGX,CL,CMS,ORI,MRK,CLX,D,WRK,KMB,LBRDK,MO,HSY,WEC,LUMN,WPC,AMGN,CHD,WM,CMI,ETR,HRL,OHI,MDU,GIS,VST,ED,CPB,EIX,STZ,SRE,CTVA,K,MKC,KDP,GILD,IBM,TRGP,ABC,PK,ADM,XEL,PNW,KR,PEAK,DISH,INTC,ES,GLPI,AEE,SYY,TSN,JNPR,SJM,NRZ,OGE,SON,PPL,CAG,ANET,LMT,BDX,VER,VLO,BG,WBA,EPR,XRX,SRC,HUN,NNN,NYCB,SIX,KIM,PBCT,DTE,FLO,TAP,MPW,EHC,WELL,MCK,SCCO,NWL,PACW,CAH,ATO,LB,RYN,ATUS,LEG,MSI,BRX,RS,AGR,NFG,HBAN,LAZ,HE,R,LITE,GPC,CAT,HBI,IDA,HOG,WHR,PRGO,GRMN,FHN,PSX,NTAP,XLNX,HRB,CPA,FAST,OMF,BEN,TNL,PFG,CE,VNO,LW,APO,TKR,INGR,CMA,KSS,RPM,JPMORGAN US GOVT MMKT FUN,HAS,WTRG,SUM
07/09/2021,0.73,0.64,0.64,0.64,0.64,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.0,0.0,0.0,96.03
07/12/2021,0.74,0.64,0.64,0.64,0.65,0.63,0.62,0.63,0.62,0.61,0.62,0.62,0.6,0.59,0.6,0.59,0.61,0.59,0.6,0.6,0.6,0.58,0.6,0.59,0.58,0.59,0.58,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.57,0.57,0.57,0.57,0.58,0.57,0.57,0.55,0.56,0.54,0.56,0.57,0.56,0.55,0.54,0.57,0.56,0.55,0.54,0.54,0.55,0.56,0.55,0.56,0.55,0.58,0.54,0.56,0.54,0.55,0.55,0.54,0.53,0.56,0.53,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.54,0.53,0.54,0.52,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.53,0.52,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.51,0.5,0.5,0.5,0.51,0.5,0.51,0.5,0.52,0.52,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.45,0.43,0.45,0.44,0.45,0.43,0.44,0.42,0.42,0.43,0.42,0.44,0.43,0.42,0.41,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.3,0.31,0.28,0.28,0.28,0.26,0.27,0.25,0.27,0.26,0.26,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.0,0.0,0.0,95.91
07/13/2021,0.74,0.64,0.64,0.64,0.65,0.63,0.62,0.63,0.62,0.61,0.62,0.62,0.6,0.59,0.6,0.59,0.61,0.59,0.6,0.6,0.6,0.58,0.6,0.59,0.58,0.59,0.58,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.57,0.57,0.57,0.57,0.58,0.57,0.57,0.55,0.56,0.54,0.56,0.57,0.56,0.55,0.54,0.57,0.56,0.55,0.54,0.54,0.55,0.56,0.55,0.56,0.55,0.58,0.54,0.56,0.54,0.55,0.55,0.54,0.53,0.56,0.53,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.54,0.53,0.54,0.52,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.53,0.52,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.51,0.5,0.5,0.5,0.51,0.5,0.51,0.5,0.52,0.52,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.45,0.43,0.45,0.44,0.45,0.43,0.44,0.42,0.42,0.43,0.42,0.44,0.43,0.42,0.41,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.3,0.31,0.28,0.28,0.28,0.26,0.27,0.25,0.27,0.26,0.26,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.0,0.0,0.0,95.91
07/14/2021,0.74,0.64,0.64,0.64,0.65,0.63,0.62,0.63,0.62,0.61,0.62,0.62,0.6,0.59,0.6,0.59,0.61,0.59,0.6,0.6,0.6,0.58,0.6,0.59,0.58,0.59,0.58,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.57,0.57,0.57,0.57,0.58,0.57,0.57,0.55,0.56,0.54,0.56,0.57,0.56,0.55,0.54,0.57,0.56,0.55,0.54,0.54,0.55,0.56,0.55,0.56,0.55,0.58,0.54,0.56,0.54,0.55,0.55,0.54,0.53,0.56,0.53,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.54,0.53,0.54,0.52,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.53,0.52,0.5,0.5,0.5,0.5,0.53,0.5,0.5,0.51,0.5,0.5,0.5,0.51,0.5,0.51,0.5,0.52,0.52,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.5,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.45,0.43,0.45,0.44,0.45,0.43,0.44,0.42,0.42,0.43,0.42,0.44,0.43,0.42,0.41,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.3,0.31,0.28,0.28,0.28,0.26,0.27,0.25,0.27,0.26,0.26,0.24,0.24,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.19,0.0,0.0,0.0,95.91
07/15/2021,0.74,0.65,0.64,0.63,0.64,0.63,0.62,0.64,0.63,0.61,0.62,0.61,0.6,0.59,0.6,0.59,0.61,0.6,0.61,0.6,0.59,0.58,0.6,0.59,0.57,0.58,0.58,0.61,0.59,0.58,0.58,0.57,0.58,0.57,0.56,0.58,0.56,0.56,0.57,0.57,0.57,0.57,0.55,0.56,0.55,0.56,0.56,0.56,0.55,0.54,0.57,0.54,0.56,0.55,0.54,0.55,0.57,0.55,0.55,0.55,0.59,0.54,0.56,0.55,0.55,0.55,0.54,0.53,0.56,0.54,0.53,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.53,0.54,0.53,0.52,0.52,0.52,0.52,0.51,0.53,0.52,0.52,0.52,0.53,0.52,0.49,0.51,0.5,0.5,0.53,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.51,0.52,0.49,0.5,0.5,0.5,0.49,0.5,0.51,0.49,0.5,0.51,0.5,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.47,0.47,0.47,0.47,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.46,0.44,0.46,0.44,0.45,0.43,0.43,0.42,0.42,0.43,0.42,0.44,0.43,0.42,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.33,0.34,0.32,0.32,0.31,0.3,0.31,0.28,0.29,0.28,0.26,0.27,0.25,0.27,0.26,0.26,0.24,0.24,0.21,0.22,0.22,0.23,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.0,0.0,0.0,95.88
07/16/2021,0.73,0.66,0.64,0.64,0.65,0.63,0.62,0.64,0.64,0.62,0.61,0.61,0.6,0.6,0.63,0.59,0.62,0.6,0.61,0.6,0.59,0.57,0.6,0.6,0.57,0.59,0.58,0.61,0.6,0.59,0.58,0.58,0.58,0.57,0.56,0.57,0.56,0.57,0.58,0.57,0.57,0.58,0.54,0.56,0.53,0.53,0.55,0.56,0.57,0.55,0.57,0.53,0.56,0.55,0.54,0.55,0.57,0.56,0.54,0.55,0.58,0.55,0.56,0.55,0.54,0.55,0.54,0.54,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.53,0.52,0.52,0.54,0.53,0.52,0.52,0.52,0.52,0.51,0.53,0.52,0.52,0.52,0.54,0.52,0.5,0.5,0.51,0.5,0.52,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.51,0.52,0.52,0.49,0.49,0.5,0.5,0.49,0.51,0.51,0.49,0.51,0.52,0.5,0.5,0.47,0.48,0.49,0.49,0.47,0.48,0.5,0.49,0.47,0.48,0.48,0.48,0.48,0.45,0.47,0.46,0.47,0.45,0.46,0.46,0.45,0.45,0.43,0.45,0.44,0.46,0.43,0.43,0.42,0.42,0.44,0.43,0.44,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.34,0.34,0.32,0.32,0.31,0.3,0.3,0.28,0.29,0.28,0.26,0.26,0.25,0.27,0.25,0.26,0.24,0.23,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.0,0.0,0.0,95.98
07/19/2021,0.72,0.66,0.63,0.64,0.65,0.65,0.62,0.64,0.63,0.6,0.6,0.62,0.59,0.59,0.64,0.6,0.63,0.58,0.62,0.61,0.58,0.57,0.58,0.61,0.57,0.58,0.55,0.62,0.62,0.6,0.58,0.59,0.58,0.58,0.58,0.57,0.56,0.55,0.6,0.57,0.57,0.56,0.53,0.56,0.53,0.55,0.54,0.54,0.57,0.55,0.57,0.53,0.55,0.56,0.55,0.54,0.57,0.57,0.56,0.56,0.59,0.55,0.56,0.56,0.54,0.55,0.55,0.55,0.55,0.54,0.55,0.54,0.53,0.54,0.55,0.52,0.53,0.53,0.53,0.52,0.54,0.51,0.53,0.53,0.54,0.51,0.54,0.53,0.53,0.53,0.53,0.53,0.5,0.5,0.51,0.51,0.52,0.52,0.5,0.51,0.5,0.51,0.49,0.51,0.5,0.53,0.51,0.52,0.49,0.49,0.49,0.49,0.51,0.5,0.52,0.52,0.48,0.5,0.54,0.51,0.5,0.47,0.48,0.5,0.5,0.46,0.49,0.5,0.49,0.48,0.47,0.48,0.48,0.48,0.42,0.46,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.42,0.45,0.44,0.46,0.43,0.42,0.43,0.42,0.44,0.42,0.43,0.43,0.41,0.41,0.41,0.39,0.39,0.37,0.37,0.38,0.37,0.38,0.38,0.36,0.37,0.35,0.37,0.35,0.33,0.35,0.31,0.32,0.32,0.29,0.31,0.28,0.29,0.28,0.25,0.26,0.24,0.27,0.25,0.26,0.24,0.22,0.21,0.22,0.23,0.22,0.21,0.2,0.21,0.2,0.21,0.19,0.0,0.24,0.0,0.0,96.16
07/20/2021,0.71,0.67,0.64,0.64,0.65,0.66,0.62,0.64,0.64,0.6,0.59,0.63,0.57,0.59,0.64,0.61,0.62,0.57,0.62,0.61,0.58,0.57,0.58,0.6,0.57,0.58,0.55,0.62,0.62,0.6,0.59,0.59,0.58,0.59,0.6,0.54,0.57,0.55,0.6,0.55,0.57,0.55,0.54,0.56,0.52,0.54,0.53,0.55,0.57,0.55,0.55,0.52,0.53,0.56,0.55,0.54,0.57,0.57,0.57,0.57,0.58,0.56,0.54,0.57,0.54,0.53,0.56,0.56,0.54,0.53,0.56,0.55,0.53,0.55,0.55,0.52,0.53,0.55,0.55,0.51,0.55,0.52,0.53,0.53,0.55,0.49,0.54,0.54,0.53,0.54,0.53,0.54,0.51,0.51,0.51,0.51,0.52,0.52,0.51,0.52,0.5,0.52,0.49,0.52,0.51,0.53,0.52,0.51,0.49,0.49,0.48,0.49,0.52,0.52,0.53,0.53,0.48,0.5,0.55,0.51,0.51,0.46,0.48,0.5,0.51,0.46,0.5,0.5,0.5,0.48,0.47,0.48,0.48,0.49,0.41,0.45,0.45,0.47,0.44,0.46,0.45,0.46,0.45,0.42,0.46,0.43,0.47,0.44,0.42,0.43,0.42,0.45,0.43,0.42,0.43,0.4,0.41,0.41,0.39,0.39,0.38,0.36,0.38,0.37,0.37,0.39,0.36,0.36,0.35,0.37,0.34,0.33,0.34,0.31,0.31,0.33,0.29,0.31,0.28,0.29,0.26,0.24,0.26,0.24,0.27,0.24,0.26,0.23,0.22,0.2,0.22,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,96.12
07/21/2021,0.71,0.67,0.64,0.64,0.65,0.66,0.62,0.64,0.64,0.6,0.59,0.63,0.57,0.59,0.64,0.61,0.62,0.57,0.62,0.61,0.58,0.57,0.58,0.6,0.57,0.58,0.55,0.62,0.62,0.6,0.59,0.59,0.58,0.59,0.6,0.54,0.57,0.55,0.6,0.55,0.57,0.55,0.54,0.56,0.52,0.54,0.53,0.55,0.57,0.55,0.55,0.52,0.53,0.56,0.55,0.54,0.57,0.57,0.57,0.57,0.58,0.56,0.54,0.57,0.54,0.53,0.56,0.56,0.54,0.53,0.56,0.55,0.53,0.55,0.55,0.52,0.53,0.55,0.55,0.51,0.55,0.52,0.53,0.53,0.55,0.49,0.54,0.54,0.53,0.54,0.53,0.54,0.51,0.51,0.51,0.51,0.52,0.52,0.51,0.52,0.5,0.52,0.49,0.52,0.51,0.53,0.52,0.51,0.49,0.49,0.48,0.49,0.52,0.52,0.53,0.53,0.48,0.5,0.55,0.51,0.51,0.46,0.48,0.5,0.51,0.46,0.5,0.5,0.5,0.48,0.47,0.48,0.48,0.49,0.41,0.45,0.45,0.47,0.44,0.46,0.45,0.46,0.45,0.42,0.46,0.43,0.47,0.44,0.42,0.43,0.42,0.45,0.43,0.42,0.43,0.4,0.41,0.41,0.39,0.39,0.38,0.36,0.38,0.37,0.37,0.39,0.36,0.36,0.35,0.37,0.34,0.33,0.34,0.31,0.31,0.33,0.29,0.31,0.28,0.29,0.26,0.24,0.26,0.24,0.27,0.24,0.26,0.23,0.22,0.2,0.22,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,96.12
07/22/2021,0.7,0.66,0.63,0.65,0.66,0.67,0.64,0.64,0.64,0.6,0.57,0.63,0.56,0.59,0.66,0.61,0.62,0.58,0.6,0.61,0.57,0.57,0.58,0.61,0.58,0.6,0.57,0.62,0.63,0.6,0.58,0.59,0.58,0.59,0.6,0.53,0.55,0.55,0.61,0.54,0.58,0.54,0.54,0.56,0.52,0.54,0.53,0.55,0.57,0.55,0.54,0.53,0.53,0.57,0.56,0.54,0.57,0.58,0.56,0.57,0.57,0.56,0.53,0.57,0.52,0.51,0.55,0.56,0.53,0.52,0.56,0.55,0.55,0.56,0.56,0.51,0.54,0.57,0.55,0.51,0.57,0.53,0.53,0.54,0.55,0.5,0.54,0.54,0.54,0.54,0.53,0.54,0.52,0.51,0.51,0.53,0.5,0.52,0.52,0.51,0.5,0.51,0.48,0.53,0.53,0.54,0.52,0.52,0.48,0.5,0.46,0.49,0.52,0.51,0.56,0.53,0.48,0.5,0.55,0.51,0.52,0.47,0.48,0.49,0.52,0.46,0.5,0.5,0.5,0.5,0.48,0.48,0.49,0.49,0.4,0.46,0.45,0.45,0.43,0.46,0.44,0.46,0.45,0.39,0.43,0.41,0.46,0.45,0.43,0.43,0.42,0.43,0.43,0.42,0.43,0.39,0.41,0.41,0.38,0.38,0.38,0.36,0.38,0.36,0.37,0.38,0.36,0.35,0.35,0.37,0.34,0.34,0.35,0.31,0.31,0.33,0.29,0.3,0.28,0.29,0.26,0.23,0.26,0.25,0.27,0.24,0.26,0.23,0.22,0.2,0.22,0.22,0.21,0.2,0.19,0.21,0.2,0.19,0.19,0.19,0.0,0.0,0.0,96.09
