,AAPL,MSFT,AMZN,GOOGL,FB,NVDA,BIIB,LLY,NKE,COP,INTU,REGN,TGT,UPS,ADBE,IDXX,AXP,ANET,WAT,EBAY,PKI,COF,EQIX,MCO,ILMN,MS,TROW,AMD,STLD,OKE,ZTS,HSY,ORCL,EW,FDX,CHH,PAYX,BLK,AKAM,XYL,TMUS,A,SPGI,PLD,CRM,IQV,NFLX,AMT,JLL,TMO,ALL,ROK,RSG,WM,GWW,PNC,CMCSA,ADI,RTX,MTD,COST,TD,CL,AFL,SQ,HRL,TXN,DRI,QCOM,ABBV,MASI,KEYS,GILD,NTRS,ACN,V,HUM,JNJ,EL,PG,OC,PEP,UNP,BMY,PFE,AMAT,WCN,PRU,CVX,KMB,ADP,CBRE,BAC,IFF,JPM,K,BSX,CSCO,PGR,HD,SJM,HLT,EXC,KO,SYK,DUK,LRCX,GM,GIS,MRK,FDS,AWK,DGX,HON,NEM,JKHY,OMC,MA,LOW,SRE,PAYC,BDX,VZ,SBUX,APD,MMM,ROST,USB,CHD,ITW,ABT,CLX,ETR,NEE,C,WDAY,MKC,WEC,INTC,DE,CAT,ECL,VRSK,BKNG,BBY,DIS,MAR,BWA,VFC,WHR,CPB,VRTX,ETSY,CMI,T,MU,AMGN,FFIV,ON,WBA,HIG,LFUS,CTSH,LUV,DISCA,CASH,OGN,WCN.TO,TD.TO,Cash,n/a,LULU,OLED,ISRG,SNPS,CME,TYL,ADSK,SHOP,HUBS,MSI,TTWO,TRMB,EXPD,SYY,AZO,CDW,CHRW,MTN,SHAK,CI,SWK,CE,PYPL,DELL,FISV,ZEN,VMW,SUM
07/09/2021,5.04,4.65,3.23,2.97,1.17,0.68,0.66,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.43,0.4,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,5.1,4.66,3.29,2.95,1.15,0.66,0.71,0.63,0.62,0.6,0.61,0.59,0.61,0.6,0.6,0.59,0.59,0.58,0.6,0.58,0.57,0.57,0.58,0.58,0.57,0.56,0.56,0.55,0.58,0.55,0.57,0.56,0.57,0.56,0.55,0.54,0.56,0.54,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.54,0.53,0.55,0.54,0.53,0.53,0.54,0.53,0.53,0.54,0.52,0.54,0.52,0.53,0.54,0.55,0.5,0.52,0.51,0.5,0.52,0.51,0.5,0.51,0.53,0.53,0.53,0.52,0.51,0.53,0.52,0.51,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.51,0.5,0.52,0.5,0.51,0.52,0.52,0.51,0.5,0.51,0.51,0.52,0.51,0.52,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.51,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.49,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.49,0.49,0.5,0.5,0.49,0.48,0.48,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.46,0.46,0.46,0.47,0.48,0.46,0.46,0.47,0.47,0.46,0.45,0.47,0.46,0.46,0.46,0.47,0.45,0.44,0.47,0.45,0.44,0.44,0.44,0.45,0.44,0.42,0.38,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,5.1,4.66,3.29,2.95,1.15,0.66,0.71,0.63,0.62,0.6,0.61,0.59,0.61,0.6,0.6,0.59,0.59,0.58,0.6,0.58,0.57,0.57,0.58,0.58,0.57,0.56,0.56,0.55,0.58,0.55,0.57,0.56,0.57,0.56,0.55,0.54,0.56,0.54,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.54,0.53,0.55,0.54,0.53,0.53,0.54,0.53,0.53,0.54,0.52,0.54,0.52,0.53,0.54,0.55,0.5,0.52,0.51,0.5,0.52,0.51,0.5,0.51,0.53,0.53,0.53,0.52,0.51,0.53,0.52,0.51,0.51,0.5,0.51,0.5,0.51,0.5,0.51,0.51,0.5,0.52,0.5,0.51,0.52,0.52,0.51,0.5,0.51,0.51,0.52,0.51,0.52,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.51,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.49,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.49,0.49,0.5,0.5,0.49,0.48,0.48,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.46,0.46,0.46,0.47,0.48,0.46,0.46,0.47,0.47,0.46,0.45,0.47,0.46,0.46,0.46,0.47,0.45,0.44,0.47,0.45,0.44,0.44,0.44,0.45,0.44,0.42,0.38,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,5.11,4.62,3.25,2.93,1.16,0.66,0.68,0.62,0.62,0.6,0.61,0.59,0.61,0.6,0.6,0.59,0.59,0.59,0.6,0.58,0.57,0.59,0.57,0.57,0.57,0.57,0.59,0.55,0.59,0.57,0.59,0.56,0.58,0.55,0.55,0.54,0.56,0.55,0.55,0.55,0.55,0.55,0.53,0.54,0.52,0.54,0.53,0.55,0.54,0.53,0.53,0.54,0.53,0.53,0.54,0.53,0.53,0.52,0.53,0.54,0.55,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.52,0.52,0.53,0.53,0.52,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.5,0.52,0.5,0.51,0.52,0.5,0.52,0.51,0.51,0.51,0.52,0.52,0.51,0.51,0.52,0.51,0.51,0.52,0.5,0.5,0.5,0.49,0.51,0.5,0.49,0.5,0.49,0.51,0.5,0.5,0.5,0.51,0.52,0.5,0.48,0.49,0.49,0.48,0.49,0.48,0.48,0.49,0.49,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.48,0.46,0.47,0.47,0.48,0.46,0.47,0.48,0.48,0.47,0.48,0.47,0.48,0.45,0.45,0.47,0.47,0.47,0.49,0.45,0.44,0.45,0.45,0.46,0.44,0.43,0.38,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,5.08,4.6,3.24,2.96,1.16,0.67,0.66,0.62,0.62,0.6,0.61,0.58,0.61,0.59,0.59,0.59,0.6,0.58,0.6,0.58,0.57,0.61,0.57,0.57,0.58,0.58,0.61,0.55,0.6,0.56,0.59,0.56,0.58,0.55,0.55,0.54,0.56,0.56,0.54,0.55,0.55,0.55,0.53,0.55,0.52,0.53,0.53,0.55,0.54,0.52,0.54,0.54,0.53,0.53,0.54,0.54,0.53,0.52,0.53,0.54,0.54,0.5,0.52,0.52,0.51,0.5,0.52,0.52,0.52,0.52,0.52,0.53,0.52,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.5,0.52,0.5,0.51,0.53,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.51,0.52,0.51,0.51,0.51,0.5,0.49,0.5,0.49,0.52,0.5,0.49,0.51,0.5,0.51,0.49,0.5,0.5,0.51,0.53,0.5,0.48,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.49,0.5,0.5,0.49,0.48,0.5,0.49,0.49,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.47,0.46,0.47,0.5,0.48,0.47,0.48,0.47,0.47,0.45,0.45,0.47,0.47,0.47,0.49,0.44,0.45,0.45,0.46,0.46,0.44,0.43,0.38,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,5.14,4.68,3.22,2.98,1.16,0.67,0.67,0.62,0.62,0.6,0.61,0.59,0.62,0.59,0.6,0.59,0.6,0.58,0.6,0.58,0.57,0.6,0.57,0.57,0.58,0.59,0.6,0.54,0.59,0.55,0.59,0.56,0.58,0.55,0.55,0.53,0.56,0.56,0.54,0.55,0.55,0.55,0.53,0.55,0.52,0.54,0.53,0.55,0.54,0.53,0.53,0.54,0.53,0.53,0.54,0.53,0.53,0.53,0.53,0.54,0.54,0.5,0.52,0.51,0.5,0.51,0.52,0.51,0.52,0.52,0.53,0.53,0.52,0.52,0.53,0.53,0.51,0.51,0.51,0.51,0.49,0.54,0.49,0.51,0.53,0.51,0.51,0.51,0.51,0.51,0.52,0.5,0.51,0.5,0.52,0.51,0.5,0.51,0.5,0.49,0.5,0.48,0.51,0.5,0.49,0.51,0.5,0.51,0.49,0.5,0.49,0.51,0.53,0.5,0.48,0.49,0.48,0.49,0.48,0.48,0.46,0.48,0.49,0.51,0.5,0.49,0.48,0.5,0.49,0.5,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.47,0.49,0.47,0.47,0.47,0.48,0.46,0.47,0.5,0.47,0.47,0.47,0.46,0.47,0.45,0.44,0.47,0.47,0.46,0.49,0.44,0.45,0.45,0.46,0.45,0.44,0.42,0.38,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/19/2021,5.25,4.69,3.18,2.98,1.14,0.62,0.62,0.61,0.62,0.57,0.61,0.6,0.62,0.6,0.6,0.59,0.6,0.58,0.61,0.57,0.57,0.59,0.58,0.57,0.56,0.58,0.59,0.52,0.59,0.54,0.6,0.57,0.57,0.55,0.55,0.53,0.57,0.54,0.54,0.55,0.56,0.55,0.53,0.55,0.51,0.53,0.54,0.55,0.54,0.53,0.52,0.55,0.54,0.54,0.54,0.53,0.53,0.51,0.53,0.54,0.55,0.5,0.52,0.52,0.49,0.51,0.51,0.5,0.52,0.53,0.54,0.53,0.52,0.52,0.54,0.54,0.52,0.51,0.52,0.52,0.49,0.55,0.5,0.51,0.53,0.49,0.52,0.51,0.5,0.51,0.53,0.5,0.5,0.5,0.52,0.51,0.49,0.52,0.48,0.5,0.51,0.48,0.52,0.52,0.48,0.52,0.49,0.49,0.5,0.5,0.5,0.52,0.52,0.52,0.48,0.5,0.48,0.5,0.49,0.48,0.46,0.48,0.49,0.51,0.49,0.5,0.48,0.51,0.49,0.5,0.47,0.48,0.49,0.49,0.48,0.46,0.48,0.49,0.48,0.46,0.46,0.48,0.49,0.46,0.48,0.5,0.47,0.46,0.46,0.47,0.47,0.46,0.42,0.47,0.47,0.46,0.49,0.44,0.43,0.44,0.46,0.44,0.44,0.42,0.37,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,5.25,4.69,3.18,2.98,1.14,0.62,0.62,0.61,0.62,0.57,0.61,0.6,0.62,0.6,0.6,0.59,0.6,0.58,0.61,0.57,0.57,0.59,0.58,0.57,0.56,0.58,0.59,0.52,0.59,0.54,0.6,0.57,0.57,0.55,0.55,0.53,0.57,0.54,0.54,0.55,0.56,0.55,0.53,0.55,0.51,0.53,0.54,0.55,0.54,0.53,0.52,0.55,0.54,0.54,0.54,0.53,0.53,0.51,0.53,0.54,0.55,0.5,0.52,0.52,0.49,0.51,0.51,0.5,0.52,0.53,0.54,0.53,0.52,0.52,0.54,0.54,0.52,0.51,0.52,0.52,0.49,0.55,0.5,0.51,0.53,0.49,0.52,0.51,0.5,0.51,0.53,0.5,0.5,0.5,0.52,0.51,0.49,0.52,0.48,0.5,0.51,0.48,0.52,0.52,0.48,0.52,0.49,0.49,0.5,0.5,0.5,0.52,0.52,0.52,0.48,0.5,0.48,0.5,0.49,0.48,0.46,0.48,0.49,0.51,0.49,0.5,0.48,0.51,0.49,0.5,0.47,0.48,0.49,0.49,0.48,0.46,0.48,0.49,0.48,0.46,0.46,0.48,0.49,0.46,0.48,0.5,0.47,0.46,0.46,0.47,0.47,0.46,0.42,0.47,0.47,0.46,0.49,0.44,0.43,0.44,0.46,0.44,0.44,0.42,0.37,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,5.2,4.71,3.15,2.99,1.14,0.6,0.62,0.62,0.62,0.56,0.61,0.6,0.62,0.59,0.6,0.6,0.59,0.57,0.61,0.57,0.57,0.58,0.58,0.58,0.56,0.58,0.59,0.52,0.58,0.53,0.6,0.57,0.59,0.55,0.54,0.52,0.57,0.54,0.55,0.55,0.56,0.55,0.54,0.56,0.51,0.54,0.53,0.56,0.54,0.53,0.52,0.55,0.54,0.54,0.54,0.52,0.53,0.51,0.52,0.55,0.55,0.5,0.53,0.51,0.5,0.52,0.5,0.49,0.52,0.53,0.53,0.53,0.53,0.52,0.54,0.54,0.53,0.51,0.52,0.53,0.48,0.55,0.5,0.51,0.54,0.48,0.52,0.5,0.49,0.53,0.53,0.5,0.49,0.5,0.51,0.52,0.49,0.52,0.49,0.5,0.51,0.47,0.53,0.52,0.48,0.53,0.48,0.48,0.5,0.5,0.5,0.53,0.53,0.52,0.47,0.51,0.48,0.5,0.49,0.49,0.47,0.49,0.5,0.51,0.49,0.5,0.47,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.47,0.46,0.48,0.5,0.48,0.46,0.45,0.48,0.5,0.46,0.47,0.49,0.46,0.45,0.45,0.47,0.48,0.47,0.43,0.47,0.47,0.45,0.5,0.45,0.42,0.44,0.47,0.44,0.44,0.41,0.37,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,5.14,4.71,3.17,2.98,1.14,0.63,0.63,0.63,0.62,0.55,0.61,0.61,0.63,0.6,0.61,0.61,0.58,0.58,0.6,0.59,0.59,0.58,0.59,0.58,0.58,0.58,0.58,0.53,0.57,0.51,0.6,0.58,0.59,0.54,0.56,0.52,0.56,0.53,0.56,0.54,0.55,0.56,0.54,0.56,0.52,0.53,0.54,0.56,0.53,0.54,0.52,0.55,0.54,0.54,0.54,0.51,0.53,0.51,0.51,0.55,0.56,0.49,0.53,0.51,0.5,0.53,0.51,0.48,0.52,0.53,0.54,0.53,0.53,0.5,0.54,0.53,0.53,0.51,0.51,0.53,0.48,0.56,0.49,0.51,0.54,0.49,0.52,0.5,0.48,0.54,0.52,0.5,0.48,0.49,0.5,0.53,0.49,0.52,0.49,0.5,0.53,0.47,0.53,0.52,0.48,0.53,0.48,0.48,0.52,0.5,0.51,0.54,0.54,0.5,0.47,0.51,0.48,0.48,0.49,0.48,0.47,0.49,0.5,0.5,0.49,0.5,0.46,0.49,0.51,0.5,0.49,0.51,0.49,0.5,0.47,0.46,0.49,0.5,0.48,0.45,0.45,0.48,0.5,0.45,0.47,0.48,0.45,0.45,0.45,0.46,0.49,0.47,0.45,0.46,0.47,0.45,0.5,0.45,0.42,0.44,0.46,0.44,0.43,0.4,0.37,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
