,XYL,AWK,ECL,WTRG,PNR,SVT.L,UU.L,AOS,SEV.PA,WMS,PNN LN,WTS,6370.T,021240.KS,270.HK,AQUA,AWR,BMI,CWT,RWC.AX,FELE,SBSP3.SA,MWA,300070 C2,SJW,MSEX,A7RU.SI,371.HK,000598 C2,FRTA,ERII,6254.T,CSMG3.SA,AGUAS-A.SN,6368.T,n/a,9551.T,603360 C1,000544 C2,VOW.OL,VGM NO,PNN.L,300070.SZ,000598.SZ,603360.SS,000544.SZ,FENER.IS,SUM
08/16/2021,9.17,8.64,7.41,7.41,6.89,4.92,4.68,4.3,4.19,4.17,2.92,2.88,2.5,2.49,2.43,2.43,2.13,2.12,2.11,2.08,1.91,1.41,1.41,1.33,1.23,1.13,1.02,0.98,0.56,0.38,0.37,0.37,0.31,0.31,0.26,0.25,0.23,0.23,0.22,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/17/2021,9.18,8.65,7.43,7.43,6.9,4.93,4.69,4.31,4.2,4.18,0.0,2.88,2.5,2.5,2.44,2.43,2.14,2.12,2.11,2.09,1.92,1.41,1.41,0.0,1.24,1.13,1.03,0.98,0.0,0.38,0.37,0.37,0.31,0.31,0.26,0.05,0.23,0.0,0.0,0.18,0.0,2.93,1.33,0.56,0.23,0.22,0.03,99.99
08/18/2021,9.16,8.67,7.45,7.48,6.87,4.94,4.72,4.32,4.19,4.09,2.94,2.87,2.51,2.43,2.38,2.42,2.14,2.11,2.12,2.08,1.91,1.37,1.39,1.33,1.24,1.15,1.02,1.0,0.56,0.38,0.36,0.38,0.32,0.31,0.26,0.24,0.23,0.23,0.22,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,9.22,8.77,7.41,7.5,6.92,4.95,4.68,4.34,4.18,4.02,2.93,2.89,2.45,2.43,2.38,2.42,2.16,2.13,2.14,2.07,1.9,1.38,1.38,1.32,1.24,1.15,1.02,0.98,0.56,0.37,0.36,0.37,0.32,0.3,0.26,0.24,0.23,0.23,0.22,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,9.21,8.83,7.47,7.52,6.85,5.0,4.7,4.27,4.19,3.97,2.95,2.89,2.44,2.45,2.36,2.41,2.17,2.09,2.14,2.12,1.9,1.34,1.39,1.32,1.25,1.14,1.02,0.98,0.56,0.38,0.35,0.34,0.32,0.31,0.27,0.24,0.23,0.22,0.22,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,9.19,8.93,7.51,7.5,6.86,4.9,4.66,4.27,4.21,3.96,2.91,2.88,2.42,2.38,2.39,2.46,2.19,2.08,2.13,2.15,1.9,1.32,1.39,1.34,1.26,1.14,1.03,1.0,0.57,0.38,0.36,0.34,0.32,0.31,0.26,0.24,0.23,0.22,0.22,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,9.19,8.93,7.51,7.5,6.86,4.9,4.66,4.27,4.21,3.96,0.0,2.88,2.42,2.38,2.39,2.46,2.19,2.08,2.13,2.15,1.9,1.32,1.39,1.34,1.26,1.14,1.03,1.0,0.57,0.38,0.36,0.34,0.32,0.31,0.26,0.24,0.23,0.22,0.22,0.17,0.03,2.91,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,9.2,8.96,7.5,7.49,6.84,4.85,4.64,4.28,4.17,4.02,0.0,2.89,2.39,2.36,2.36,2.46,2.2,2.12,2.13,2.12,1.91,1.45,1.39,1.33,1.26,1.15,1.02,0.98,0.57,0.38,0.36,0.33,0.32,0.32,0.26,0.23,0.23,0.22,0.22,0.17,0.03,2.9,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/26/2021,9.22,8.85,7.5,7.36,6.81,4.85,4.62,4.29,4.18,4.13,0.0,2.9,2.49,2.41,2.36,2.45,2.18,2.16,2.11,2.1,1.92,1.44,1.42,1.32,1.25,1.15,1.03,1.0,0.57,0.38,0.37,0.34,0.32,0.34,0.26,0.2,0.23,0.23,0.22,0.18,0.03,2.82,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,9.3,8.74,7.47,7.39,6.82,4.83,4.61,4.31,4.18,4.17,0.0,2.91,2.54,2.43,2.33,2.46,2.15,2.15,2.08,2.04,1.92,1.47,1.42,1.33,1.24,1.15,1.03,1.02,0.58,0.38,0.37,0.34,0.33,0.34,0.26,0.18,0.23,0.24,0.22,0.18,0.04,2.81,0.0,0.0,0.0,0.0,0.0,99.99
