,2SPY  210930C00002680,2QQQ  210930C00278100,2SPY  210930P00334890,Cash&Other,2SPY  210930P00304750,2SPY  210930C00359710,2QQQ  210930C00298710,SUM
07/09/2021,113.1,26.46,0.34,0.23,-0.21,-19.74,-20.19,99.99
07/12/2021,113.83,26.78,0.32,0.22,-0.2,-20.47,-20.5,99.98000000000002
07/13/2021,113.83,26.78,0.32,0.22,-0.2,-20.47,-20.5,99.98000000000002
07/14/2021,113.83,26.78,0.32,0.22,-0.2,-20.47,-20.5,99.98000000000002
07/15/2021,114.23,27.26,0.29,0.22,-0.18,-20.87,-20.95,100.0
07/16/2021,113.86,27.2,0.32,0.22,-0.19,-20.5,-20.91,100.0
07/19/2021,113.58,26.33,0.3,0.21,-0.17,-20.12,-20.12,100.01000000000002
07/20/2021,112.71,25.67,0.35,0.21,-0.2,-19.33,-19.41,100.0
07/21/2021,112.71,25.67,0.35,0.21,-0.2,-19.33,-19.41,100.0
07/22/2021,111.37,24.95,0.49,0.2,-0.28,-18.02,-18.71,100.0
07/23/2021,112.88,26.16,0.36,0.2,-0.22,-19.53,-19.86,99.99
07/26/2021,113.84,27.72,0.27,0.19,-0.16,-20.51,-21.36,99.99
07/27/2021,114.75,28.78,0.25,0.19,-0.15,-21.41,-22.41,100.0
07/28/2021,114.75,28.78,0.25,0.19,-0.15,-21.41,-22.41,100.0
07/29/2021,115.11,28.98,0.22,0.19,-0.14,-21.77,-22.6,99.99
07/30/2021,114.36,27.43,0.27,0.19,-0.16,-20.98,-21.11,100.0
08/02/2021,114.8,27.83,0.21,0.18,-0.13,-21.44,-21.46,99.99
08/03/2021,114.59,27.82,0.22,0.18,-0.14,-21.25,-21.43,99.99
08/04/2021,114.59,27.82,0.22,0.18,-0.14,-21.25,-21.43,99.99
08/05/2021,114.3,27.77,0.23,0.18,-0.14,-20.96,-21.38,100.0
08/06/2021,114.88,28.24,0.19,0.17,-0.11,-21.52,-21.85,99.99999999999996
08/10/2021,115.38,28.65,0.14,0.16,-0.08,-22.04,-22.22,99.98999999999998
08/11/2021,115.38,28.65,0.14,0.16,-0.08,-22.04,-22.22,99.98999999999998
08/13/2021,115.27,28.2,0.13,0.16,-0.07,-21.93,-21.76,100.0
08/16/2021,115.92,28.44,0.1,0.15,-0.06,-22.58,-21.99,99.98000000000002
