,T,JPM,VZ,PM,MO,KO,C,ABBV,PFE,CSCO,AVGO,IBM,MMM,COP,NOVN.SW,SBRCY,939.HK,USB,RIO.L,GILD,PNC,VALE3.SA,GSK.L,FMG.AX,RDSA.AS,CBA.AX,DUK,TFC,BHP.AX,D,BATS.L,SO,DOW,SAN.PA,WMB,ENB.TO,MET,KHC,9434.T,TD.TO,RY.TO,1398.HK,ALV.DE,BX,2317.TW,BNS.TO,EOG,WELL,SIE.DE,GIS,9433.T,PSA,EXC,8306.T,DTE.DE,EQNR.OL,9432.T,BAS.DE,IBE.MC,HPQ,NILSY,BK,LUMN,ENEL.MI,BAYN.DE,VOD.L,ZURN.SW,NAB.AX,PCAR,BMO.TO,AEP,EQR,BHP.L,ANZ.AX,FITB,PPL,8316.T,D05.SI,AVB,CM.TO,RIO.AX,CNQ.TO,OJS1.,IRM,2914.T,CS.PA,2881.TW,PEG,IP,2891.TW,BMW.DE,GLPI,EIX,BCE.TO,O,8058.T,FE,8001.T,TRP.TO,WES.AX,2388.HK,STT,NG.L,4502.T,SYF,ABBN.SW,WPC,4338.SR,PEAK,8411.T,BXP,ED,O39.SI,NUE,11.HK,MTB,MFC.TO,16.HK,BKR,OMC,7751.T,HAL,NTRS,5108.T,U11.SI,ESS,005490.KS,TEL.OL,NTGY.MC,1301.TW,NTAP,VICI,KIM,APO,OMF,TLS.AX,K,BEN,DTE,IPG,AD.AS,MPW,2882.TW,ETR,HOLN.SW,BN.PA,086790.KS,EXR,1101.TW,REG,GWO.TO,2886.TW,EQC,CAH,MUV2.DE,2.HK,T.TO,8725.T,2357.TW,Z74.SI,ELE.MC,UDR,NTR.TO,2412.TW,POWERGRID.NS,1326.TW,ORA.PA,FORTUM.HE,12.HK,OMV.VI,8766.T,ATAD.L,6.HK,NWL,GPC,GMEXICOB.MX,1288.HK,2382.TW,MAA,2890.TW,POW.TO,CUBE,EVRG,CNP,MQG.AX,SAMPO.HE,BBRI.JK,688.HK,MBT,BBAS3.SA,AGR,G.MI,FRT,5876.TW,PBCT,SSE.L,SLF.TO,AM,EMN,FNF,E.ON SE,TSCO.L,NNN,CPT,TELIA.ST,STLD,Tatneft PJSC ADR,BA.L,SCMN.SW,2301.TW,n/a,LSI,DTH,BIDI11.SA,SUM
07/09/2021,5.14,3.71,3.17,3.0,2.44,2.43,2.35,2.01,1.9,1.77,1.39,1.37,1.28,1.09,1.04,0.99,0.85,0.83,0.79,0.78,0.76,0.74,0.73,0.72,0.71,0.71,0.65,0.62,0.61,0.61,0.61,0.61,0.59,0.59,0.57,0.56,0.56,0.54,0.53,0.53,0.51,0.48,0.47,0.46,0.43,0.42,0.4,0.4,0.39,0.38,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.96000000000001
07/12/2021,5.13,3.68,3.21,2.98,2.42,2.46,2.29,2.06,1.9,1.78,1.4,1.38,1.29,1.04,1.05,0.97,0.8,0.82,0.81,0.78,0.74,0.72,0.73,0.72,0.7,0.71,0.66,0.6,0.62,0.63,0.61,0.62,0.58,0.58,0.56,0.56,0.55,0.53,0.54,0.53,0.51,0.48,0.47,0.47,0.45,0.41,0.38,0.4,0.39,0.39,0.38,0.39,0.37,0.36,0.36,0.34,0.35,0.35,0.36,0.34,0.33,0.33,0.32,0.33,0.32,0.3,0.31,0.29,0.28,0.28,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.0,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.2,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93
07/13/2021,5.13,3.68,3.21,2.98,2.42,2.46,2.29,2.06,1.9,1.78,1.4,1.38,1.29,1.04,1.05,0.97,0.8,0.82,0.81,0.78,0.74,0.72,0.73,0.72,0.7,0.71,0.66,0.6,0.62,0.63,0.61,0.62,0.58,0.58,0.56,0.56,0.55,0.53,0.54,0.53,0.51,0.48,0.47,0.47,0.45,0.41,0.38,0.4,0.39,0.39,0.38,0.39,0.37,0.36,0.36,0.34,0.35,0.35,0.36,0.34,0.33,0.33,0.32,0.33,0.32,0.3,0.31,0.29,0.28,0.28,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.0,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.2,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93
07/14/2021,5.03,3.72,3.17,2.99,2.45,2.45,2.3,2.05,1.91,1.79,1.43,1.39,1.29,1.05,1.06,0.98,0.78,0.83,0.82,0.78,0.75,0.71,0.73,0.73,0.71,0.7,0.66,0.61,0.63,0.63,0.6,0.61,0.58,0.59,0.57,0.55,0.54,0.53,0.54,0.51,0.51,0.47,0.48,0.47,0.44,0.4,0.39,0.41,0.39,0.38,0.39,0.39,0.36,0.35,0.36,0.34,0.35,0.36,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.29,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.0,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.2,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.95000000000002
07/15/2021,5.03,3.72,3.17,2.99,2.45,2.45,2.3,2.05,1.91,1.79,1.43,1.39,1.29,1.05,1.06,0.98,0.78,0.83,0.82,0.78,0.75,0.71,0.73,0.73,0.71,0.7,0.66,0.61,0.63,0.63,0.6,0.61,0.58,0.59,0.57,0.55,0.54,0.53,0.54,0.51,0.51,0.47,0.48,0.47,0.44,0.4,0.39,0.41,0.39,0.38,0.39,0.39,0.36,0.35,0.36,0.34,0.35,0.36,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.29,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.0,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.2,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.95000000000002
07/16/2021,5.01,3.75,3.16,2.95,2.44,2.44,2.32,2.06,1.91,1.76,1.44,1.37,1.28,1.04,1.06,0.97,0.77,0.83,0.81,0.77,0.76,0.72,0.73,0.75,0.71,0.7,0.66,0.61,0.64,0.62,0.6,0.61,0.58,0.59,0.56,0.55,0.55,0.53,0.54,0.51,0.51,0.47,0.47,0.48,0.44,0.4,0.39,0.41,0.39,0.38,0.39,0.39,0.36,0.36,0.36,0.34,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.33,0.31,0.3,0.31,0.29,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.21,0.0,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.2,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91
07/19/2021,4.98,3.69,3.17,2.98,2.45,2.53,2.28,2.06,1.92,1.79,1.43,1.37,1.3,1.01,1.08,0.96,0.76,0.83,0.81,0.8,0.74,0.74,0.73,0.76,0.7,0.7,0.67,0.6,0.64,0.62,0.61,0.61,0.58,0.59,0.54,0.54,0.54,0.52,0.55,0.51,0.52,0.46,0.47,0.47,0.45,0.4,0.37,0.42,0.39,0.38,0.4,0.39,0.36,0.36,0.36,0.34,0.36,0.36,0.34,0.32,0.35,0.33,0.31,0.33,0.32,0.3,0.31,0.29,0.28,0.28,0.28,0.29,0.29,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.19,0.2,0.2,0.21,0.19,0.21,0.2,0.0,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.16,0.17,0.16,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.2,0.11,0.11,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.84
07/20/2021,5.02,3.64,3.2,2.98,2.45,2.55,2.25,2.07,1.95,1.79,1.4,1.36,1.28,0.98,1.08,0.96,0.78,0.83,0.79,0.81,0.73,0.74,0.73,0.78,0.68,0.69,0.69,0.61,0.65,0.64,0.62,0.63,0.56,0.59,0.54,0.54,0.53,0.53,0.54,0.5,0.51,0.47,0.47,0.49,0.46,0.4,0.35,0.43,0.38,0.38,0.39,0.4,0.37,0.36,0.37,0.33,0.36,0.35,0.34,0.31,0.34,0.33,0.3,0.33,0.32,0.29,0.31,0.28,0.28,0.27,0.29,0.3,0.29,0.26,0.25,0.27,0.26,0.26,0.28,0.26,0.26,0.22,0.24,0.24,0.25,0.23,0.27,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.21,0.21,0.0,0.21,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.19,0.16,0.17,0.19,0.15,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.14,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.21,0.0,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94000000000001
07/21/2021,5.02,3.64,3.2,2.98,2.45,2.55,2.25,2.07,1.95,1.79,1.4,1.36,1.28,0.98,1.08,0.96,0.78,0.83,0.79,0.81,0.73,0.74,0.73,0.78,0.68,0.69,0.69,0.61,0.65,0.64,0.62,0.63,0.56,0.59,0.54,0.54,0.53,0.53,0.54,0.5,0.51,0.47,0.47,0.49,0.46,0.4,0.35,0.43,0.38,0.38,0.39,0.4,0.37,0.36,0.37,0.33,0.36,0.35,0.34,0.31,0.34,0.33,0.3,0.33,0.32,0.29,0.31,0.28,0.28,0.27,0.29,0.3,0.29,0.26,0.25,0.27,0.26,0.26,0.28,0.26,0.26,0.22,0.24,0.24,0.25,0.23,0.27,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.21,0.21,0.0,0.21,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.19,0.16,0.17,0.19,0.15,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.14,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.21,0.0,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94000000000001
07/22/2021,5.02,3.64,3.2,2.98,2.45,2.55,2.25,2.07,1.95,1.79,1.4,1.36,1.28,0.98,1.08,0.96,0.78,0.83,0.79,0.81,0.73,0.74,0.73,0.78,0.68,0.69,0.69,0.61,0.65,0.64,0.62,0.63,0.56,0.59,0.54,0.54,0.53,0.53,0.54,0.5,0.51,0.47,0.47,0.49,0.46,0.4,0.35,0.43,0.38,0.38,0.39,0.4,0.37,0.36,0.37,0.33,0.36,0.35,0.34,0.31,0.34,0.33,0.3,0.33,0.32,0.29,0.31,0.28,0.28,0.27,0.29,0.3,0.29,0.26,0.25,0.27,0.26,0.26,0.28,0.26,0.26,0.22,0.24,0.24,0.25,0.23,0.27,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.21,0.21,0.0,0.21,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.19,0.16,0.17,0.19,0.15,0.17,0.16,0.17,0.19,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.14,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.21,0.0,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94000000000001
