,LQD,MBB,SPIB,VCSH,LMBS,GOVT,PHB,JNK,HYG,IEI,CEMB,BKLN,iShares Convertible Bond ETF,Us Dollars,ICVT,n/a,SUM
07/09/2021,15.32,14.76,9.99,9.9,9.82,6.98,5.04,5.03,5.02,4.97,4.97,4.95,3.14,0.12,0.0,0.0,100.01
07/12/2021,15.39,14.76,10.0,9.88,9.79,7.03,5.01,5.01,4.99,4.99,4.96,4.92,3.08,0.18,0.0,0.0,99.99
07/13/2021,15.39,14.76,10.0,9.88,9.79,7.03,5.01,5.01,4.99,4.99,4.96,4.92,3.08,0.18,0.0,0.0,99.99
07/14/2021,15.34,14.75,9.99,9.89,9.79,7.01,5.03,5.02,5.0,4.98,4.96,4.93,3.12,0.18,0.0,0.0,99.99
07/15/2021,15.34,14.75,9.99,9.89,9.8,7.01,5.03,5.02,5.0,4.98,4.96,4.94,3.11,0.18,0.0,0.0,100.0
07/16/2021,15.31,14.76,9.99,9.9,9.82,7.0,5.02,5.02,5.0,4.98,4.96,4.95,3.1,0.18,0.0,0.0,99.99
07/19/2021,15.38,14.78,9.99,9.89,9.8,7.03,5.02,5.02,4.99,4.99,4.97,4.93,3.03,0.18,0.0,0.0,100.0
07/20/2021,15.37,14.78,10.01,9.89,9.79,7.03,5.02,5.01,4.99,4.99,4.97,4.94,3.01,0.18,0.0,0.0,99.98
07/21/2021,15.37,14.78,10.01,9.89,9.79,7.03,5.02,5.01,4.99,4.99,4.97,4.94,3.01,0.18,0.0,0.0,99.98
07/22/2021,15.37,14.78,10.01,9.89,9.79,7.03,5.02,5.01,4.99,4.99,4.97,4.94,3.01,0.18,0.0,0.0,99.98
07/23/2021,15.47,14.79,10.02,9.89,9.8,7.07,4.98,4.97,4.95,5.0,4.97,4.91,3.0,0.18,0.0,0.0,100.0
07/26/2021,15.44,14.77,10.01,9.89,9.76,7.04,5.0,5.01,4.99,5.0,4.97,4.92,3.09,0.12,0.0,0.0,100.01
07/27/2021,15.43,14.78,10.01,9.89,9.76,7.03,5.0,5.01,5.0,4.99,4.96,4.92,3.09,0.12,0.0,0.0,99.99
07/28/2021,15.43,14.78,10.01,9.89,9.76,7.03,5.0,5.01,5.0,4.99,4.96,4.92,3.09,0.12,0.0,0.0,99.99
07/29/2021,15.41,14.78,10.02,9.9,9.78,7.03,5.0,5.01,4.99,5.0,4.96,4.92,3.09,0.12,0.0,0.0,100.01
07/30/2021,15.47,14.78,10.02,9.89,9.78,7.04,5.0,5.0,4.98,5.0,4.95,4.91,3.05,0.12,0.0,0.0,99.99
08/02/2021,15.45,14.78,10.02,9.89,9.77,7.04,5.01,5.02,5.0,4.99,4.95,4.91,3.08,0.09,0.0,0.0,100.0
08/03/2021,15.45,14.78,10.02,9.89,9.77,7.04,5.01,5.02,5.0,4.99,4.95,4.91,3.08,0.09,0.0,0.0,100.0
08/04/2021,15.45,14.78,10.02,9.89,9.77,7.04,5.01,5.02,5.0,4.99,4.95,4.91,3.08,0.09,0.0,0.0,100.0
08/05/2021,15.45,14.78,10.02,9.89,9.77,7.04,5.01,5.02,5.0,4.99,4.95,4.91,3.08,0.09,0.0,0.0,100.0
08/06/2021,15.48,14.78,10.03,9.89,9.77,7.06,5.0,4.98,4.96,5.01,4.95,4.9,3.07,0.13,0.0,0.0,100.01
09/07/2021,19.35,19.49,0.0,0.0,0.0,25.86,6.31,6.31,6.3,0.0,6.28,6.32,0.0,0.0,3.64,0.15,100.01
09/08/2021,19.35,19.49,0.0,0.0,0.0,25.86,6.31,6.31,6.3,0.0,6.28,6.32,0.0,0.0,3.64,0.15,100.01
