,EBAY,PII,OMF,BEN,AAP,PM,IP,KSS,BX,GD,UPS,DGX,CF,NVDA,NFLX,AAPL,IRM,AMZN,TSLA,LEG,FB,LHX,SHOP,GILD,EMN,AIG,NWL,TROW,Cash&Other,GOOGL,AVGO,BNTX,TDOC,NVAX,MRNA,HLI,PAG,HRC,FSK,DASH,ABNB,ARCT,JHG,TFC,KMI,ARWR,HPQ,BK,CC,n/a,RE,FNF,LYB,FL,LPX,SCCO,DOW,FE,ABBV,SUM
07/09/2021,5.43,4.69,4.68,4.65,4.48,4.32,4.3,4.27,4.22,4.2,4.07,4.03,3.81,3.38,3.26,3.24,3.23,3.22,3.17,3.14,3.11,2.93,2.87,2.73,2.66,2.02,2.0,1.08,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,5.42,4.73,4.75,4.69,4.54,4.32,4.4,4.23,4.27,4.24,4.09,4.05,3.84,3.25,4.44,4.53,3.3,4.44,0.0,3.14,3.06,2.97,2.77,2.7,2.68,0.0,2.02,1.08,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,5.42,4.73,4.75,4.69,4.54,4.32,4.4,4.23,4.27,4.24,4.09,4.05,3.84,3.25,4.44,4.53,3.3,4.44,0.0,3.14,3.06,2.97,2.77,2.7,2.68,0.0,2.02,1.08,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,5.42,4.73,4.75,4.69,4.54,4.32,4.4,4.23,4.27,4.24,4.09,4.05,3.84,3.25,4.44,4.53,3.3,4.44,0.0,3.14,3.06,2.97,2.77,2.7,2.68,0.0,2.02,1.08,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,5.37,4.7,4.81,4.7,4.5,4.27,4.39,4.24,4.36,4.21,4.07,4.05,3.83,3.32,4.44,4.5,3.35,4.43,0.0,3.13,3.07,2.96,2.76,2.69,2.68,0.0,2.03,1.1,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.42,4.58,4.76,4.53,4.49,4.29,4.39,4.17,4.32,4.25,4.08,4.09,3.81,3.32,4.52,4.6,3.37,4.44,0.0,3.1,3.1,3.01,2.83,2.72,2.67,0.0,2.0,1.09,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,5.41,4.59,4.77,0.0,4.53,4.39,4.3,4.08,4.46,4.29,4.14,4.09,3.78,3.13,4.57,4.72,3.38,4.41,0.0,3.07,3.06,3.02,2.71,2.75,2.68,0.0,2.05,0.0,1.11,3.47,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/20/2021,5.48,4.57,4.78,0.0,4.52,4.43,4.3,4.0,4.51,4.35,4.14,4.15,0.0,3.03,4.52,4.71,3.37,4.4,0.0,3.07,3.07,3.05,2.75,2.8,2.62,0.0,2.08,0.0,4.84,3.51,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,5.48,4.57,4.78,0.0,4.52,4.43,4.3,4.0,4.51,4.35,4.14,4.15,0.0,3.03,4.52,4.71,3.37,4.4,0.0,3.07,3.07,3.05,2.75,2.8,2.62,0.0,2.08,0.0,4.84,3.51,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,5.56,0.0,4.68,0.0,4.56,4.43,4.25,0.0,4.44,4.27,4.2,4.25,0.0,0.0,4.59,4.63,3.36,4.41,0.0,0.0,3.06,3.01,2.83,2.81,0.0,0.0,2.03,0.0,21.98,3.48,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.81000000000002
