,NatWest Group plc 8%,Lloyds Banking Group plc 7.5%,Nordea Bank ABP 6.62%,Credit Agricole S.A. 7.88%,Societe Generale S.A. 7.88%,HSBC Holdings plc 6.38%,ING Groep N.V. 5.75%,UBS Group Funding (Switzerland) AG 7%,Standard Chartered plc 7.5%,AT&T Inc 4.75% PRF PERPETUAL USD 25 - 1/1000th Int Ser C,Huntington Bancshares Incorporated 5.62%,Bank of America Corp Pfd,Discover Financial Services 6.12%,Comerica Incorporated 5.62%,The Charles Schwab Corporation 5.38%,Citizens Financial Group Inc 5.65%,Truist Financial Corporation 4.95%,Bank of Nova Scotia 4.9%,The Bank of New York Mellon Corporation 4.7%,Duke Energy Corp 4.88%,Fifth Third Bancorp 4.5%,Credit Suisse Group AG 7.12%,Voya Financial Inc 6.12%,Morgan Stanley Deposit Shs Repr 1/1000th Non-Cum Pfd Shs Series -I-,Dominion Energy Inc 4.65%,MetLife Inc Series F,Credit Suisse Group AG 6.38%,"Goldman Sachs Group, Inc. 3.8%",Wells Fargo & Company 5.88%,The Charles Schwab Corporation 4%,Wells Fargo & Company 3.9%,Allstate Corp 5.10% PRF PERPETUAL USD 25 - Ser H 1/1000th Int,AT&T Inc 5% PRF PERPETUAL USD 25 1/1000th Int Ser A,Synovus Financial Corp Pfd,State Street Instl US Govt MMkt Premier,M&T Bank Corporation 5.12%,Bank of America Corporation 6.1%,Fulton Financial Corp 5.125% PRF PERPETUAL USD 25 - Ser A,The Bank of New York Mellon Corporation 3.7%,Citigroup Inc. 3.88%,MetLife Inc. 3.85%,American International Group Inc Ser A,Ally Financial Inc FXDFR PRF PERPETUAL USD 1000 - Ser B,Bank of America Corp PRF PERPETUAL USD 25 - Ser NN,SVB Financial Group 4%,JPMorgan Chase & Co. 3.65%,Associated Banc-Corp 5.625% PRF PERPETUAL USD 25 - Ser F 1/40 Int,JPMorgan Chase & Co 6% PRF PERPETUAL USD 25 - Dep rep 1/400 Ser EE,JPMorgan Chase & Co Pfd,U.S. Bancorp Shs Repr 1/1000th Non-Cum Perpetual Pfd Shs Series -B-,688202.SS,Usd,SUM
07/09/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.03,0.0,99.96
07/12/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/13/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/14/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/15/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/16/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/19/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/20/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/21/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/22/2021,4.14,4.1,4.02,3.96,3.92,3.91,3.88,3.86,3.65,3.01,2.71,2.7,2.62,2.59,2.58,2.58,2.57,2.57,2.55,2.48,2.42,2.32,2.02,2.01,1.99,1.89,1.82,1.81,1.62,1.39,1.38,1.32,1.28,1.27,1.16,1.1,1.05,1.0,0.97,0.95,0.94,0.93,0.92,0.47,0.45,0.45,0.24,0.19,0.14,0.03,0.0,0.03,99.96
07/23/2021,4.16,4.09,4.04,3.97,3.93,3.92,3.88,3.88,3.66,2.98,2.75,2.73,2.63,2.6,2.61,2.6,2.57,2.57,2.58,2.51,2.43,2.33,2.02,1.99,1.99,1.87,1.82,1.82,1.63,1.41,1.39,1.3,1.26,1.29,0.89,1.11,1.05,1.0,0.98,0.96,0.93,0.92,0.94,0.47,0.46,0.45,0.24,0.19,0.14,0.03,0.0,0.0,99.97
