,ETR,EVRG,PNW,ED,ATO,PEG,AGR,UGI,DTE,CNP,EXC,OGE,AEP,PPL,SRE,EIX,SO,AEE,XEL,LNT,FE,ES,HE,IDA,WTRG,PCG,D,WEC,NI,NRG,CMS,DUK,AWK,NEE,RSG,WM,SRCL,NFG,VST,CLH,DTM WI,US Dollar,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/09/2021,4.19,4.17,4.16,4.15,4.12,4.12,4.1,4.05,3.33,3.32,3.31,3.3,3.29,3.29,3.29,3.24,2.5,2.49,2.49,2.48,2.48,2.47,2.45,2.45,1.7,1.69,1.67,1.67,1.66,1.66,1.65,1.65,0.85,0.84,0.83,0.83,0.82,0.81,0.81,0.8,0.55,0.28,0.0,0.0,0.0,0.0,100.01
07/12/2021,4.21,4.17,4.16,4.17,4.18,4.13,4.16,4.1,3.42,3.39,3.3,3.29,3.29,3.32,3.27,3.29,2.48,2.5,2.51,2.49,2.47,2.52,2.46,2.49,1.71,1.66,1.67,1.68,1.67,1.7,1.66,1.66,0.86,0.83,0.83,0.83,0.81,0.81,0.85,0.81,0.0,0.19,0.0,0.0,0.0,0.0,100.0
07/13/2021,4.21,4.17,4.16,4.17,4.18,4.13,4.16,4.1,3.42,3.39,3.3,3.29,3.29,3.32,3.27,3.29,2.48,2.5,2.51,2.49,2.47,2.52,2.46,2.49,1.71,1.66,1.67,1.68,1.67,1.7,1.66,1.66,0.86,0.83,0.83,0.83,0.81,0.81,0.85,0.81,0.0,0.19,0.0,0.0,0.0,0.0,100.0
07/14/2021,4.21,4.17,4.17,4.17,4.19,4.13,4.17,4.1,3.42,3.39,3.31,3.29,3.3,3.32,3.28,3.29,2.49,2.51,2.52,2.49,2.47,2.52,2.46,2.49,1.71,1.67,1.68,1.69,1.68,1.7,1.67,1.67,0.86,0.84,0.84,0.83,0.81,0.82,0.85,0.81,0.0,0.0,0.03,0.0,0.0,0.0,100.02
07/15/2021,4.21,4.17,4.17,4.17,4.22,4.14,4.18,4.11,3.43,3.35,3.33,3.29,3.29,3.31,3.28,3.28,2.5,2.53,2.52,2.5,2.46,2.51,2.46,2.49,1.7,1.64,1.67,1.69,1.68,1.67,1.67,1.68,0.86,0.84,0.83,0.83,0.81,0.82,0.85,0.82,0.0,0.0,0.03,0.0,0.0,0.0,99.99
07/16/2021,4.2,4.19,4.17,4.17,4.23,4.12,4.23,4.07,3.43,3.32,3.33,3.26,3.32,3.29,3.29,3.27,2.5,2.55,2.53,2.51,2.46,2.55,2.44,2.49,1.7,1.62,1.67,1.7,1.68,1.66,1.67,1.69,0.87,0.84,0.84,0.84,0.8,0.81,0.84,0.82,0.0,0.0,0.03,0.0,0.0,0.0,100.0
07/19/2021,4.2,4.23,4.17,4.19,4.24,4.14,4.2,4.03,3.4,3.34,3.34,3.27,3.33,3.26,3.24,3.22,2.51,2.55,2.53,2.51,2.44,2.6,2.48,2.55,1.69,1.58,1.67,1.72,1.69,1.61,1.68,1.7,0.87,0.85,0.84,0.84,0.78,0.79,0.82,0.8,0.0,0.0,0.09,0.0,0.0,0.0,99.99
07/20/2021,4.21,4.28,4.22,4.19,4.22,4.14,4.19,3.99,3.4,3.35,3.33,3.26,3.32,3.28,3.25,3.22,2.51,2.56,2.52,2.53,2.44,2.62,2.44,2.56,1.69,1.54,1.68,1.72,1.69,1.61,1.68,1.7,0.88,0.85,0.84,0.83,0.78,0.78,0.81,0.79,0.0,0.0,0.0,0.0,0.09,0.0,99.99
07/21/2021,4.21,4.28,4.22,4.19,4.22,4.14,4.19,3.99,3.4,3.35,3.33,3.26,3.32,3.28,3.25,3.22,2.51,2.56,2.52,2.53,2.44,2.62,2.44,2.56,1.69,1.54,1.68,1.72,1.69,1.61,1.68,1.7,0.88,0.85,0.84,0.83,0.78,0.78,0.81,0.79,0.0,0.0,0.09,0.0,0.0,0.0,99.99
07/22/2021,4.17,4.34,4.2,4.2,4.21,4.12,4.15,3.97,3.38,3.32,3.34,3.24,3.32,3.28,3.2,3.18,2.55,2.57,2.54,2.55,2.46,2.64,2.47,2.59,1.7,1.48,1.69,1.73,1.67,1.58,1.7,1.72,0.89,0.86,0.85,0.84,0.78,0.78,0.78,0.79,0.0,0.19,0.0,0.0,0.0,0.0,100.02
07/23/2021,4.17,4.3,4.2,4.16,4.2,4.12,4.13,4.05,3.42,3.34,3.37,3.27,3.29,3.27,3.23,3.19,2.53,2.55,2.52,2.55,2.46,2.61,2.49,2.6,1.7,1.5,1.67,1.71,1.67,1.59,1.7,1.71,0.88,0.85,0.85,0.84,0.8,0.79,0.8,0.81,0.0,0.0,0.11,0.0,0.0,0.0,100.0
07/26/2021,4.14,4.35,4.16,4.17,4.16,4.13,4.1,4.01,3.41,3.34,3.4,3.23,3.29,3.29,3.19,3.17,2.56,2.53,2.51,2.54,2.59,2.6,2.48,2.59,1.7,1.5,1.66,1.7,1.66,1.65,1.7,1.71,0.87,0.85,0.86,0.85,0.8,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,99.99
07/27/2021,4.17,4.36,4.17,4.18,4.19,4.15,4.07,4.03,3.42,3.32,3.4,3.23,3.29,3.27,3.19,3.15,2.56,2.53,2.52,2.55,2.51,2.61,2.48,2.61,1.72,1.47,1.66,1.71,1.67,1.65,1.7,1.71,0.88,0.85,0.85,0.85,0.79,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,100.01
07/28/2021,4.17,4.36,4.17,4.18,4.19,4.15,4.07,4.03,3.42,3.32,3.4,3.23,3.29,3.27,3.19,3.15,2.56,2.53,2.52,2.55,2.51,2.61,2.48,2.61,1.72,1.47,1.66,1.71,1.67,1.65,1.7,1.71,0.88,0.85,0.85,0.85,0.79,0.79,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,100.01
07/29/2021,4.21,4.36,4.19,4.17,4.19,4.17,4.08,4.03,3.4,3.34,3.39,3.24,3.35,3.28,3.19,3.1,2.56,2.52,2.52,2.55,2.53,2.6,2.48,2.6,1.73,1.39,1.65,1.71,1.67,1.63,1.7,1.71,0.87,0.85,0.85,0.85,0.8,0.8,0.83,0.81,0.0,0.0,0.11,0.0,0.0,0.0,100.01
07/30/2021,4.2,4.37,4.19,4.19,4.19,4.19,4.09,4.0,3.43,3.33,3.39,3.24,3.36,3.27,3.19,3.15,2.55,2.53,2.52,2.56,2.49,2.61,2.47,2.58,1.73,1.41,1.66,1.73,1.66,1.63,1.7,1.71,0.88,0.85,0.84,0.83,0.78,0.8,0.83,0.8,0.0,0.0,0.1,0.0,0.0,0.0,100.03
08/02/2021,4.19,4.33,4.17,4.16,4.17,4.22,4.09,4.01,3.43,3.37,3.42,3.24,3.37,3.27,3.2,3.17,2.56,2.53,2.51,2.54,2.45,2.58,2.49,2.6,1.74,1.43,1.64,1.7,1.65,1.66,1.69,1.71,0.89,0.85,0.84,0.83,0.79,0.8,0.84,0.81,0.0,0.0,0.1,0.0,0.0,0.0,100.04
08/03/2021,4.17,4.35,4.11,4.15,4.14,4.2,4.09,4.01,3.43,3.35,3.41,3.24,3.36,3.27,3.18,3.04,2.56,2.54,2.51,2.54,2.49,2.6,2.48,2.62,1.73,1.39,1.64,1.71,1.63,1.65,1.69,1.72,0.89,0.86,0.87,0.85,0.8,0.79,0.83,0.82,0.0,0.26,0.0,0.0,0.0,0.0,99.97
08/04/2021,4.17,4.35,4.11,4.15,4.14,4.2,4.09,4.01,3.43,3.35,3.41,3.24,3.36,3.27,3.18,3.04,2.56,2.54,2.51,2.54,2.49,2.6,2.48,2.62,1.73,1.39,1.64,1.71,1.63,1.65,1.69,1.72,0.89,0.86,0.87,0.85,0.8,0.79,0.83,0.82,0.0,0.26,0.0,0.0,0.0,0.0,99.97
08/05/2021,4.17,4.37,4.07,4.17,4.15,4.22,4.09,3.97,3.42,3.34,3.41,3.25,3.35,3.26,3.18,3.06,2.55,2.55,2.5,2.55,2.49,2.62,2.49,2.63,1.74,1.41,1.64,1.71,1.65,1.64,1.7,1.73,0.9,0.86,0.86,0.84,0.8,0.79,0.82,0.81,0.0,0.26,0.0,0.0,0.0,0.0,100.02
08/06/2021,4.16,4.38,3.94,4.17,4.14,4.24,4.1,4.01,3.42,3.37,3.41,3.26,3.36,3.26,3.18,3.06,2.54,2.56,2.5,2.58,2.48,2.62,2.48,2.63,1.73,1.41,1.64,1.72,1.65,1.65,1.71,1.72,0.91,0.87,0.87,0.85,0.8,0.8,0.82,0.82,0.0,0.0,0.17,0.0,0.0,0.0,99.99
