,FXFXX,Invitation Homes 2018-Sfr1f 1.33%,AbbVie Inc. 2.3%,General Motors Financial Company Inc 1.46%,Edison International 2.4%,Citigroup Inc. 1.26%,INVITATION HOMES TRUST 1.33%,Federal Farm Credit Banks 0.29%,Invitation Homes Tr 2017-Sfr2 1.23%,Invitation Homes 2015-Sfr3 Trust 1.15%,Occidental Petroleum Corporation 1.61%,"Goldman Sachs Group, Inc. 1.74%",Home Partners Of America Trust 0.98%,"GoldenTree Loan Management US CLO 2, Ltd. 1.34%",Dell International L.L.C. and EMC Corporation 5.45%,"Sabine Pass Liquefaction, LLC 6.25%",Wells Fargo & Company 1.42%,Bunge Limited Finance Corp. 3%,Mizuho Financial Group Inc. 1.26%,Cooperatieve Rabobank U.A. 3.95%,Sumitomo Mitsui Financial Group Inc 1.33%,Invitation Homes Tr 2017-Sfr2 0.93%,Barclays PLC 1.54%,Mizuho Financial Group Inc. 1.08%,General Motors Financial Company Inc 1.74%,General Electric Company 3.45%,General Motors Financial Company Inc 1.18%,Bayer US Finance II LLC 2.75%,INVITATION HOMES TRUST 1.48%,SYMPHONY CLO XXIV LTD 1.42%,Citizens Financial Group Inc 4.15%,Mizuho Financial Group Inc. 1%,Nissan Motor Acceptance Corporation 0.84%,"Sabine Pass Liquefaction, LLC 5.62%","Wells Fargo Bank, National Association 2.08%",NextEra Energy Capital Holdings Inc 0.42%,Carlisle Companies Incorporated 3.75%,VMware Inc 2.95%,JPMorgan Chase & Co. 1.23%,United States Treasury Notes 1.25%,Volkswagen Group of America Finance LLC 1.11%,Bayer US Finance II LLC 2.2%,Vco Clo 2018-1 Llc 1.69%,Ford Motor Credit Company LLC 1.07%,Morgan Stanley 4.88%,SMB Private Education Loan Trust 2017-B 2.82%,Glencore Finance (Canada) Limited 4.95%,Pacific Gas and Electric Company 1.37%,UBS Group Funding (Switzerland) AG 1.37%,Wec Energy Group Incorporation 0.8%,Natwest Markets plc 1.59%,Bbva Usa 2.88%,"BP Capital Markets America, Inc. 2.94%",Atmos Energy Corporation 0.62%,Lloyds Banking Group plc 3.1%,Alibaba Group Holding Ltd 3.12%,Citigroup Inc. 1.2%,Hormel Foods Corp 0.65%,Mitsubishi Hc Capital Inc 2.25%,Morgan Stanley 0.73%,BLUEMOUNTAIN CLO XXX LTD 1.57%,"ONE Gas, Inc. 0.85%",INVITATION HOMES TRUST 1.18%,ING Groep N.V. 3.15%,"Mitsubishi UFJ Financial Group, Inc. 1.18%",Sumitomo Mitsui Banking Corporation 4.85%,ELMWOOD CLO IV LTD 1.42%,Monsanto Company 2.75%,General Motors Financial Company Inc 1.13%,Invitation Homes 2015-Sfr3 Trust 0.97%,MS 4.875 11/01/22,Ford Motor Credit Company LLC 1%,General Motors Financial Company Inc 1.68%,First American Treasury Obligs X,ELMWOOD CLO IV LTD 1.37%,BLUEMOUNTAIN CLO XXX LTD 1.52%,HALSEYPOINT CLO I LTD 1.57%,Sumitomo Mitsui Financial Group Inc 1.27%,Invitation Homes 2018-Sfr1f 1.34%,"GoldenTree Loan Management US CLO 2, Ltd. 1.28%",Invitation Homes Tr 2017-Sfr2 1.24%,HALSEYPOINT CLO I LTD 1.48%,INVITATION HOMES TRUST 1.49%,Invitation Homes Tr 2017-Sfr2 0.94%,Invitation Homes 2015-Sfr3 Trust 0.99%,INVITATION HOMES TRUST 1.19%,INVITATION HOMES TRUST 1.34%,Vco Clo 2018-1 Llc 1.63%,SYMPHONY CLO XXIV LTD 1.34%,Invitation Homes Tr 2017-Sfr2 1.09%,SUM
07/09/2021,14.46,4.79,3.77,3.53,3.27,3.26,3.22,3.21,3.2,2.9,2.87,2.37,2.19,2.13,2.09,2.07,1.95,1.9,1.86,1.68,1.66,1.64,1.42,1.4,1.39,1.39,1.34,1.3,1.28,1.22,1.2,1.11,0.93,0.75,0.74,0.69,0.66,0.66,0.65,0.64,0.64,0.62,0.6,0.58,0.56,0.56,0.52,0.5,0.48,0.48,0.42,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.32,0.32,0.32,0.3,0.3,0.26,0.24,0.22,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,15.12,4.81,3.79,3.55,3.28,3.27,3.24,3.23,3.22,2.91,2.89,2.38,0.0,2.14,2.1,2.08,1.96,1.91,1.87,1.69,1.67,2.01,1.43,1.41,1.39,1.39,0.0,1.31,1.28,1.23,1.21,1.11,0.93,0.75,0.74,0.7,0.67,0.66,0.65,0.65,0.65,0.62,0.6,0.58,0.0,0.56,0.52,0.5,0.48,0.48,0.42,0.4,0.39,0.39,0.0,0.37,0.37,0.36,0.32,0.32,0.32,0.31,0.3,0.26,0.24,0.22,0.19,0.13,1.35,1.15,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,15.12,4.81,3.79,3.55,3.28,3.27,3.24,3.23,3.22,2.91,2.89,2.38,0.0,2.14,2.1,2.08,1.96,1.91,1.87,1.69,1.67,2.01,1.43,1.41,1.39,1.39,0.0,1.31,1.28,1.23,1.21,1.11,0.93,0.75,0.74,0.7,0.67,0.66,0.65,0.65,0.65,0.62,0.6,0.58,0.0,0.56,0.52,0.5,0.48,0.48,0.42,0.4,0.39,0.39,0.0,0.37,0.37,0.36,0.32,0.32,0.32,0.31,0.3,0.26,0.24,0.22,0.19,0.13,1.35,1.15,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,14.81,4.71,3.7,3.47,3.21,3.21,3.17,3.16,3.15,2.85,2.83,2.33,0.0,3.76,2.05,2.04,1.92,1.87,1.83,1.65,1.64,1.96,1.4,1.38,1.37,1.36,0.0,1.28,1.26,1.2,1.18,1.09,0.91,0.74,0.73,0.68,0.65,0.65,0.64,0.63,0.63,0.61,0.59,0.57,0.0,0.55,0.51,0.49,0.47,0.47,0.41,0.39,0.38,0.38,0.0,0.36,0.36,0.35,0.32,0.32,0.32,0.3,0.73,0.26,0.24,0.21,0.19,0.13,1.32,1.12,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,14.81,4.71,3.7,3.47,3.21,3.21,3.17,3.16,3.15,2.85,2.83,2.33,0.0,3.76,2.05,2.04,1.92,1.87,1.83,1.65,1.63,1.97,1.4,1.38,1.37,1.36,0.0,1.28,1.26,1.2,1.18,1.09,0.91,0.74,0.73,0.68,0.65,0.65,0.64,0.63,0.63,0.61,0.59,0.0,0.0,0.55,0.51,0.49,0.47,0.47,0.41,0.39,0.38,0.38,0.0,0.36,0.36,0.35,0.32,0.32,0.32,0.3,0.73,0.26,0.24,0.21,0.19,0.13,1.32,1.12,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,14.81,4.71,3.7,3.47,3.21,3.21,3.17,3.16,3.15,2.85,2.83,2.33,0.0,3.76,2.05,2.04,1.92,1.87,1.83,1.65,1.63,1.97,1.4,1.38,1.37,1.36,0.0,1.28,1.26,1.2,1.18,1.09,0.91,0.74,0.73,0.68,0.65,0.65,0.64,0.63,0.63,0.61,0.59,0.0,0.0,0.55,0.51,0.49,0.47,0.47,0.41,0.39,0.38,0.38,0.0,0.36,0.36,0.35,0.32,0.32,0.32,0.3,0.73,0.26,0.24,0.21,0.19,0.13,1.32,1.12,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,12.98,4.82,3.78,3.55,3.28,3.28,3.24,3.23,3.22,2.91,2.89,2.37,0.0,3.84,2.1,2.08,1.96,1.91,1.87,1.69,1.67,2.01,1.43,1.41,0.0,1.39,0.0,1.31,1.28,1.23,1.21,1.11,0.93,0.75,0.74,0.7,0.67,0.66,0.65,0.65,0.65,0.62,0.6,0.0,0.56,0.56,0.52,0.5,0.48,0.48,0.42,0.4,0.39,0.39,0.0,0.37,0.37,0.36,0.32,0.32,0.32,0.31,0.74,0.26,0.24,0.22,0.19,0.13,1.35,1.15,0.0,0.58,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,4.96,3.89,3.65,3.37,3.37,3.33,3.32,3.32,0.0,2.98,2.45,0.0,3.96,2.16,2.14,2.02,1.96,1.93,1.74,1.72,2.07,1.47,1.45,0.0,1.44,0.0,0.0,1.32,1.26,1.24,1.15,0.96,0.77,0.77,0.72,0.69,0.68,0.67,0.67,0.67,0.64,0.62,0.0,0.58,0.56,0.54,0.52,0.5,0.49,0.43,0.41,0.4,0.4,0.0,0.38,0.38,0.37,0.33,0.33,0.33,0.32,0.76,0.27,0.25,0.23,0.0,0.0,1.39,1.18,0.0,0.6,1.44,14.89,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,0.0,4.82,3.78,3.55,3.28,3.27,3.24,3.23,3.22,0.0,2.89,2.38,0.0,3.84,2.09,2.08,1.96,1.91,1.87,1.69,1.67,2.01,1.43,1.41,0.0,1.37,0.0,0.0,1.28,1.23,1.21,1.11,0.93,0.75,0.74,0.7,0.67,0.66,0.65,0.65,0.65,0.62,0.6,0.0,0.57,0.55,0.52,0.5,0.48,0.48,0.42,0.4,0.39,0.39,0.0,0.37,0.37,0.36,0.32,0.32,0.0,0.31,0.74,0.26,0.24,0.22,0.0,0.0,1.35,1.15,0.0,0.58,1.39,17.37,0.19,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,4.82,3.78,3.55,3.28,3.27,3.24,3.23,3.22,0.0,2.89,2.38,0.0,3.84,2.09,2.08,1.96,1.91,1.87,1.69,1.67,2.01,1.43,1.41,0.0,1.37,0.0,0.0,1.28,1.23,1.21,1.11,0.93,0.75,0.74,0.7,0.67,0.66,0.65,0.65,0.65,0.62,0.6,0.0,0.57,0.55,0.52,0.5,0.48,0.48,0.42,0.4,0.39,0.39,0.0,0.37,0.37,0.36,0.32,0.32,0.0,0.31,0.74,0.26,0.24,0.22,0.0,0.0,1.35,1.15,0.0,0.58,1.39,17.37,0.19,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
