,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,MA,PG,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,INTC,CSCO,CRM,PFE,KO,TMO,ABBV,ABT,PEP,T,CVX,WMT,LLY,MRK,NKE,ACN,AVGO,WFC,TXN,DHR,COST,MCD,MDT,QCOM,PM,UPS,HON,BMY,UNP,NEE,ORCL,C,AMGN,LOW,SBUX,RTX,INTU,BLK,IBM,AMT,MS,AMAT,BA,GS,TGT,CAT,AMD,MMM,GE,ISRG,SCHW,AXP,NOW,CVS,SQ,SPGI,DE,CHTR,ANTM,LMT,ZTS,SYK,BKNG,MU,PLD,FIS,LRCX,CCI,ZM,ADP,GILD,MDLZ,MO,TMUS,TJX,UBER,COP,CI,PNC,GM,MRNA,DUK,USB,CME,CB,ILMN,COF,ITW,BDX,ATVI,FDX,TFC,EQIX,EL,CSX,MMC,ICE,FISV,ADSK,SO,SHW,EW,BX,NSC,CL,D,WM,TWLO,ADI,APD,BSX,PGR,HCA,GPN,F,EMR,REGN,HUM,XTSLA,ETN,MCO,FCX,BIIB,ECL,VRTX,DG,AON,DOCU,IDXX,NOC,NXPI,TWTR,IQV,GD,ALGN,KLAC,EOG,JCI,ROP,ROKU,NEM,TT,DXCM,CNC,DLR,MET,MTCH,EXC,CMG,PINS,WDAY,EBAY,SLB,MSCI,ROST,LHX,KMB,A,TROW,DOW,MRVL,PSA,VEEV,ORLY,AIG,APH,PPG,CDNS,BK,PRU,PH,ALL,MPC,PLTR,SPG,BAX,AEP,LULU,SNPS,INFO,EA,APTV,DD,TRV,MAR,CRWD,ALXN,CARR,DFS,SRE,PANW,GIS,RMD,YUM,CTSH,TEAM,GE.,OTIS,FTNT,IFF,MSI,SBAC,USD,MCHP,SUM
07/09/2021,5.0,4.69,3.58,1.89,1.7,1.65,1.17,1.15,1.11,1.03,0.99,0.91,0.86,0.77,0.77,0.74,0.74,0.71,0.68,0.64,0.59,0.58,0.52,0.52,0.51,0.5,0.5,0.49,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.12
07/12/2021,5.08,4.72,3.66,1.87,1.7,1.65,1.16,1.14,1.07,1.02,1.01,0.9,0.87,0.78,0.77,0.73,0.75,0.71,0.66,0.65,0.6,0.57,0.52,0.52,0.5,0.51,0.49,0.49,0.47,0.46,0.46,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.4,0.39,0.4,0.41,0.39,0.39,0.35,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.31,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.29,0.27,0.28,0.26,0.24,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.21,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.11,0.13,0.14,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23
07/13/2021,5.08,4.72,3.66,1.87,1.7,1.65,1.16,1.14,1.07,1.02,1.01,0.9,0.87,0.78,0.77,0.73,0.75,0.71,0.66,0.65,0.6,0.57,0.52,0.52,0.5,0.51,0.49,0.49,0.47,0.46,0.46,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.4,0.39,0.4,0.41,0.39,0.39,0.35,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.31,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.29,0.27,0.28,0.26,0.24,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.21,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.11,0.13,0.14,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23
07/14/2021,5.08,4.67,3.6,1.87,1.68,1.64,1.17,1.14,1.07,1.04,1.0,0.9,0.86,0.79,0.77,0.73,0.74,0.72,0.67,0.64,0.59,0.58,0.52,0.52,0.5,0.51,0.48,0.49,0.47,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.4,0.39,0.39,0.41,0.39,0.38,0.35,0.34,0.34,0.35,0.34,0.33,0.33,0.34,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.29,0.27,0.28,0.27,0.24,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.08
07/15/2021,5.08,4.67,3.6,1.87,1.68,1.64,1.17,1.14,1.07,1.04,1.0,0.9,0.86,0.79,0.77,0.73,0.74,0.72,0.67,0.64,0.59,0.58,0.52,0.52,0.5,0.51,0.48,0.49,0.47,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.4,0.39,0.39,0.41,0.39,0.38,0.35,0.34,0.34,0.35,0.34,0.33,0.33,0.34,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.29,0.27,0.28,0.27,0.24,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.08
07/16/2021,5.11,4.73,3.57,1.88,1.71,1.66,1.17,1.16,1.08,1.05,1.0,0.92,0.88,0.79,0.76,0.75,0.75,0.75,0.67,0.65,0.59,0.58,0.52,0.52,0.51,0.5,0.48,0.49,0.48,0.45,0.47,0.46,0.47,0.45,0.45,0.45,0.45,0.44,0.45,0.44,0.43,0.4,0.39,0.39,0.4,0.39,0.38,0.36,0.34,0.34,0.35,0.34,0.32,0.33,0.34,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.43
07/19/2021,5.24,4.76,3.54,1.85,1.72,1.67,1.18,1.13,1.02,1.05,1.0,0.95,0.89,0.78,0.78,0.77,0.76,0.75,0.66,0.65,0.59,0.56,0.53,0.53,0.51,0.51,0.47,0.5,0.49,0.45,0.47,0.45,0.48,0.46,0.44,0.46,0.44,0.44,0.45,0.45,0.43,0.42,0.39,0.4,0.41,0.4,0.38,0.36,0.35,0.35,0.36,0.34,0.33,0.34,0.34,0.32,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.28,0.29,0.27,0.27,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.21,0.21,0.2,0.19,0.17,0.2,0.19,0.2,0.2,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.2,0.18,0.18,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.69
07/20/2021,5.24,4.76,3.54,1.85,1.72,1.67,1.18,1.13,1.02,1.05,1.0,0.95,0.89,0.78,0.78,0.77,0.76,0.75,0.66,0.65,0.59,0.56,0.53,0.53,0.51,0.51,0.47,0.5,0.49,0.45,0.47,0.45,0.48,0.46,0.44,0.46,0.44,0.44,0.45,0.45,0.43,0.42,0.39,0.4,0.41,0.4,0.38,0.36,0.35,0.35,0.36,0.34,0.33,0.34,0.34,0.32,0.32,0.31,0.31,0.29,0.29,0.28,0.28,0.28,0.29,0.27,0.27,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.21,0.21,0.2,0.19,0.17,0.2,0.19,0.2,0.2,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.2,0.18,0.18,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.69
07/21/2021,5.2,4.79,3.51,1.85,1.73,1.69,1.18,1.13,0.98,1.03,1.0,0.95,0.89,0.78,0.78,0.77,0.77,0.74,0.65,0.66,0.59,0.55,0.52,0.53,0.5,0.51,0.48,0.51,0.5,0.46,0.47,0.46,0.49,0.46,0.43,0.46,0.45,0.45,0.45,0.45,0.42,0.41,0.39,0.41,0.41,0.4,0.38,0.36,0.35,0.34,0.36,0.34,0.33,0.35,0.34,0.31,0.32,0.32,0.32,0.29,0.29,0.28,0.28,0.29,0.29,0.27,0.26,0.27,0.28,0.26,0.23,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.21,0.23,0.22,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.21,0.21,0.19,0.2,0.17,0.2,0.2,0.2,0.2,0.2,0.18,0.17,0.17,0.18,0.18,0.17,0.22,0.18,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.15,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.09,0.1,0.0,0.1,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.71000000000001
07/22/2021,5.14,4.8,3.54,1.85,1.72,1.68,1.17,1.15,1.03,1.02,1.01,0.94,0.88,0.8,0.79,0.73,0.79,0.72,0.64,0.66,0.59,0.54,0.53,0.53,0.51,0.52,0.48,0.51,0.5,0.47,0.47,0.47,0.49,0.46,0.43,0.46,0.46,0.45,0.45,0.45,0.43,0.41,0.4,0.41,0.42,0.39,0.38,0.36,0.35,0.35,0.35,0.34,0.33,0.35,0.35,0.31,0.33,0.32,0.31,0.28,0.29,0.28,0.28,0.29,0.28,0.27,0.25,0.27,0.29,0.26,0.24,0.26,0.24,0.25,0.24,0.24,0.25,0.24,0.21,0.23,0.22,0.21,0.22,0.21,0.22,0.2,0.19,0.19,0.21,0.2,0.19,0.2,0.17,0.2,0.2,0.21,0.2,0.2,0.18,0.17,0.17,0.18,0.17,0.17,0.24,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.15,0.14,0.14,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.0,0.11,0.12,0.11,0.11,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77000000000001
