,NVDA,IT,TGT,BIIB,ADBE,ANET,DHR,SEE,UPS,BLK,FB,GOOGL,AMT,LLY,ORCL,AMZN,COF,COST,CRM,TMO,PYPL,NTAP,AXP,ACN,AKAM,KMI,MSFT,UNH,STX,PRGO,F,CHTR,AIZ,AAPL,FDX,HSIC,ALL,HD,TYL,PM,IPG,SLB,DVA,PEP,NKE,BR,LOW,SPG,FRT,JKHY,LMT,MS,PFE,RTX,BRK.B,UHS,WFC,TXN,DISH,GS,V,MDLZ,QRVO,EA,TAP,IBM,EMR,CVS,CL,BMY,UNP,BK,SLG,QCOM,MDT,MCD,LDOS,GILD,LEG,GD,DUK,COP,CSCO,BAC,MMM,JNPR,PG,WMT,USB,JNJ,KO,PNW,ABBV,SBUX,KHC,GPS,FTI,HON,OMC,NWL,NFLX,XOM,EXC,AMGN,CF,MRK,PVH,VZ,JPM,UNM,SO,MET,NEE,GM,ABT,DD,CMCSA,XRAY,AIG,DOW,FLS,LYV,MA,WDC,GE,T,CVX,IPGP,TSLA,NWS,RL,FFIV,LUMN,MO,CAT,C,NCLH,BKNG,BA,WU,XRX,UAA,HPE,DIS,HBI,INTC,WBA,CTXS,FOXA,US Dollar,DISCA,OGN,Morgan Stanley Instl Lqudty Trs Instl,GE.,n/a,688101.SS,SUM
07/09/2021,0.97,0.85,0.84,0.83,0.82,0.81,0.8,0.8,0.8,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.75,0.75,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.53,0.51,0.41,0.25,0.03,0.0,0.0,0.0,0.0,99.96
07/12/2021,0.94,0.85,0.85,0.86,0.82,0.81,0.79,0.79,0.8,0.78,0.77,0.76,0.77,0.76,0.81,0.76,0.77,0.77,0.7,0.72,0.75,0.73,0.74,0.73,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.71,0.7,0.71,0.71,0.7,0.69,0.69,0.7,0.68,0.69,0.68,0.68,0.7,0.69,0.68,0.69,0.68,0.68,0.67,0.68,0.68,0.68,0.69,0.69,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.68,0.68,0.67,0.67,0.67,0.67,0.64,0.66,0.65,0.65,0.66,0.66,0.68,0.66,0.66,0.66,0.66,0.65,0.67,0.65,0.66,0.67,0.65,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.65,0.64,0.64,0.63,0.64,0.64,0.63,0.63,0.62,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.62,0.63,0.62,0.6,0.61,0.62,0.66,0.59,0.6,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.56,0.57,0.58,0.58,0.56,0.57,0.56,0.55,0.53,0.53,0.53,0.51,0.43,0.24,0.03,0.0,0.0,0.0,0.0,99.94
07/13/2021,0.94,0.85,0.85,0.86,0.82,0.81,0.79,0.79,0.8,0.78,0.77,0.76,0.77,0.76,0.81,0.76,0.77,0.77,0.7,0.72,0.75,0.73,0.74,0.73,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.71,0.7,0.71,0.71,0.7,0.69,0.69,0.7,0.68,0.69,0.68,0.68,0.7,0.69,0.68,0.69,0.68,0.68,0.67,0.68,0.68,0.68,0.69,0.69,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.68,0.68,0.67,0.67,0.67,0.67,0.64,0.66,0.65,0.65,0.66,0.66,0.68,0.66,0.66,0.66,0.66,0.65,0.67,0.65,0.66,0.67,0.65,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.65,0.64,0.64,0.63,0.64,0.64,0.63,0.63,0.62,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.62,0.63,0.62,0.6,0.61,0.62,0.66,0.59,0.6,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.56,0.57,0.58,0.58,0.56,0.57,0.56,0.55,0.53,0.53,0.53,0.51,0.43,0.24,0.03,0.0,0.0,0.0,0.0,99.94
07/14/2021,0.94,0.85,0.85,0.86,0.83,0.81,0.79,0.79,0.8,0.78,0.77,0.76,0.77,0.76,0.81,0.76,0.77,0.77,0.71,0.72,0.75,0.73,0.74,0.73,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.72,0.7,0.71,0.71,0.7,0.69,0.7,0.7,0.68,0.7,0.68,0.68,0.71,0.69,0.68,0.69,0.68,0.68,0.67,0.68,0.68,0.69,0.69,0.69,0.66,0.66,0.67,0.66,0.67,0.66,0.66,0.68,0.68,0.67,0.67,0.67,0.67,0.65,0.66,0.65,0.65,0.67,0.66,0.68,0.66,0.66,0.67,0.66,0.65,0.67,0.66,0.66,0.67,0.65,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.65,0.64,0.64,0.63,0.64,0.64,0.63,0.64,0.62,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.62,0.63,0.62,0.6,0.61,0.62,0.66,0.59,0.6,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.57,0.56,0.58,0.58,0.58,0.56,0.57,0.57,0.55,0.53,0.53,0.53,0.51,0.0,0.24,0.03,0.33,0.0,0.0,0.0,99.98
07/15/2021,0.96,0.84,0.86,0.83,0.82,0.79,0.79,0.79,0.8,0.79,0.78,0.77,0.77,0.76,0.8,0.76,0.79,0.76,0.7,0.72,0.75,0.73,0.75,0.72,0.71,0.71,0.71,0.72,0.73,0.7,0.71,0.69,0.7,0.71,0.7,0.71,0.71,0.7,0.69,0.69,0.7,0.68,0.7,0.68,0.69,0.7,0.69,0.68,0.7,0.68,0.67,0.69,0.68,0.68,0.68,0.69,0.69,0.67,0.66,0.68,0.65,0.67,0.66,0.66,0.67,0.68,0.68,0.67,0.67,0.67,0.64,0.67,0.66,0.65,0.66,0.66,0.68,0.66,0.66,0.66,0.67,0.65,0.66,0.66,0.66,0.66,0.65,0.64,0.66,0.65,0.65,0.65,0.65,0.65,0.63,0.63,0.62,0.65,0.64,0.65,0.63,0.63,0.64,0.63,0.63,0.62,0.63,0.62,0.63,0.62,0.62,0.62,0.61,0.63,0.62,0.63,0.62,0.61,0.62,0.62,0.66,0.6,0.61,0.62,0.61,0.58,0.59,0.6,0.61,0.6,0.59,0.57,0.59,0.59,0.59,0.58,0.56,0.56,0.57,0.57,0.57,0.56,0.56,0.59,0.55,0.54,0.53,0.52,0.51,0.0,0.24,0.03,0.34,0.0,0.0,0.0,99.94
07/16/2021,0.95,0.85,0.86,0.85,0.83,0.8,0.79,0.78,0.8,0.79,0.78,0.78,0.77,0.77,0.81,0.76,0.79,0.77,0.71,0.72,0.75,0.72,0.75,0.73,0.71,0.71,0.73,0.73,0.73,0.69,0.71,0.69,0.7,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.67,0.7,0.7,0.69,0.71,0.69,0.67,0.69,0.69,0.68,0.7,0.69,0.67,0.69,0.69,0.68,0.67,0.65,0.68,0.67,0.67,0.66,0.67,0.66,0.68,0.68,0.67,0.67,0.68,0.64,0.67,0.64,0.65,0.67,0.67,0.69,0.66,0.65,0.66,0.67,0.65,0.67,0.66,0.66,0.67,0.65,0.65,0.66,0.65,0.66,0.65,0.66,0.66,0.63,0.62,0.61,0.65,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.63,0.61,0.62,0.63,0.62,0.62,0.61,0.61,0.64,0.62,0.64,0.62,0.6,0.61,0.62,0.65,0.58,0.63,0.62,0.61,0.58,0.6,0.6,0.6,0.59,0.59,0.57,0.59,0.58,0.59,0.58,0.54,0.56,0.55,0.59,0.56,0.55,0.54,0.59,0.55,0.54,0.53,0.52,0.5,0.0,0.24,0.03,0.35,0.0,0.0,0.0,100.02
07/19/2021,0.89,0.85,0.87,0.79,0.84,0.8,0.81,0.78,0.81,0.77,0.77,0.78,0.78,0.76,0.8,0.75,0.78,0.78,0.69,0.73,0.74,0.71,0.75,0.74,0.72,0.69,0.73,0.74,0.71,0.7,0.69,0.68,0.71,0.74,0.7,0.7,0.7,0.71,0.69,0.7,0.68,0.64,0.69,0.72,0.69,0.72,0.7,0.67,0.69,0.7,0.68,0.7,0.7,0.67,0.69,0.69,0.71,0.66,0.64,0.68,0.69,0.69,0.66,0.67,0.66,0.68,0.69,0.68,0.68,0.68,0.65,0.65,0.65,0.66,0.66,0.67,0.69,0.67,0.64,0.67,0.69,0.63,0.67,0.64,0.68,0.68,0.67,0.66,0.68,0.65,0.68,0.66,0.66,0.66,0.64,0.59,0.57,0.68,0.64,0.65,0.64,0.62,0.65,0.64,0.62,0.63,0.59,0.63,0.63,0.62,0.63,0.62,0.63,0.62,0.61,0.64,0.62,0.6,0.63,0.61,0.65,0.57,0.64,0.6,0.6,0.59,0.58,0.6,0.59,0.58,0.58,0.57,0.58,0.59,0.58,0.58,0.51,0.56,0.54,0.59,0.56,0.54,0.55,0.59,0.55,0.54,0.52,0.53,0.5,0.0,0.23,0.03,0.37,0.0,0.0,0.0,99.94
07/20/2021,0.86,0.85,0.87,0.79,0.84,0.8,0.83,0.78,0.81,0.77,0.77,0.79,0.8,0.77,0.82,0.75,0.77,0.78,0.7,0.74,0.75,0.7,0.75,0.74,0.73,0.69,0.74,0.75,0.71,0.7,0.68,0.7,0.71,0.74,0.7,0.7,0.7,0.72,0.7,0.7,0.68,0.62,0.69,0.73,0.69,0.72,0.7,0.67,0.69,0.72,0.68,0.69,0.71,0.67,0.69,0.69,0.71,0.66,0.64,0.67,0.7,0.7,0.65,0.68,0.66,0.68,0.69,0.68,0.7,0.69,0.65,0.67,0.64,0.66,0.67,0.67,0.7,0.68,0.64,0.67,0.71,0.62,0.68,0.63,0.67,0.68,0.68,0.66,0.67,0.66,0.69,0.68,0.67,0.67,0.64,0.57,0.57,0.68,0.63,0.66,0.64,0.61,0.66,0.65,0.6,0.64,0.58,0.64,0.62,0.61,0.65,0.61,0.65,0.61,0.62,0.62,0.62,0.6,0.63,0.6,0.64,0.57,0.64,0.58,0.6,0.59,0.57,0.6,0.59,0.57,0.57,0.58,0.57,0.6,0.58,0.57,0.49,0.56,0.53,0.59,0.55,0.52,0.55,0.58,0.54,0.53,0.52,0.54,0.5,0.0,0.23,0.03,0.38,0.0,0.0,0.0,100.04
07/21/2021,0.86,0.85,0.87,0.79,0.84,0.8,0.83,0.78,0.81,0.77,0.77,0.79,0.8,0.77,0.82,0.75,0.77,0.78,0.7,0.74,0.75,0.7,0.75,0.74,0.73,0.69,0.74,0.75,0.71,0.7,0.68,0.7,0.71,0.74,0.7,0.7,0.7,0.72,0.7,0.7,0.68,0.62,0.69,0.73,0.69,0.72,0.7,0.67,0.69,0.72,0.68,0.69,0.71,0.67,0.69,0.69,0.71,0.66,0.64,0.67,0.7,0.7,0.65,0.68,0.66,0.68,0.69,0.68,0.7,0.69,0.65,0.67,0.64,0.66,0.67,0.67,0.7,0.68,0.64,0.67,0.71,0.62,0.68,0.63,0.67,0.68,0.68,0.66,0.67,0.66,0.69,0.68,0.67,0.67,0.64,0.57,0.57,0.68,0.63,0.66,0.64,0.61,0.66,0.65,0.6,0.64,0.58,0.64,0.62,0.61,0.65,0.61,0.65,0.61,0.62,0.62,0.62,0.6,0.63,0.6,0.64,0.57,0.64,0.58,0.6,0.59,0.57,0.6,0.59,0.57,0.57,0.58,0.57,0.6,0.58,0.57,0.49,0.56,0.53,0.59,0.55,0.52,0.55,0.58,0.54,0.53,0.52,0.54,0.5,0.0,0.23,0.03,0.38,0.0,0.0,0.0,100.04
07/22/2021,0.91,0.87,0.89,0.8,0.85,0.81,0.84,0.78,0.82,0.76,0.77,0.79,0.8,0.79,0.83,0.76,0.76,0.8,0.71,0.76,0.76,0.71,0.73,0.75,0.75,0.69,0.74,0.74,0.72,0.71,0.67,0.71,0.7,0.73,0.72,0.7,0.7,0.72,0.72,0.71,0.68,0.61,0.69,0.74,0.7,0.72,0.7,0.64,0.68,0.72,0.68,0.69,0.72,0.66,0.69,0.68,0.7,0.67,0.65,0.66,0.69,0.7,0.66,0.68,0.67,0.69,0.67,0.68,0.7,0.69,0.65,0.65,0.63,0.66,0.66,0.67,0.7,0.68,0.63,0.67,0.71,0.61,0.68,0.63,0.68,0.67,0.69,0.67,0.65,0.66,0.69,0.68,0.67,0.66,0.65,0.56,0.55,0.66,0.64,0.64,0.65,0.6,0.67,0.66,0.6,0.64,0.57,0.64,0.61,0.6,0.65,0.6,0.65,0.6,0.64,0.6,0.62,0.61,0.61,0.58,0.63,0.55,0.61,0.58,0.58,0.59,0.57,0.6,0.6,0.57,0.55,0.58,0.57,0.6,0.57,0.56,0.47,0.55,0.52,0.58,0.54,0.52,0.55,0.57,0.54,0.54,0.53,0.54,0.5,0.47,0.23,0.03,0.0,0.0,0.0,0.0,100.03
