,BABA,3690.HK,700.HK,JD,PDD,035420.KS,NTES,035720.KS,MELI,NPN.JO,BILI,BIDU,YNDX,TCOM,TME,EDU,MGLU3.SA,VIPS,WB,036570.KS,STNE,PAGS,241.HK,268.HK,IQ,696.HK,ATHM,1833.HK,3888.HK,FALABELLA.SN,YY,772.HK,VVAR3.SA,2013.HK,CDR.WA,TOTS3.SA,MOMO,LAME3 BZ,HUYA,BZUN,BTOW3.SA,780.HK,DAO,JOBS,MCG.JO,AFYA,ARCE,CASH,1797 HK,AMER3 BZ,AMER3.SA,B 08/12/21,1797.HK,n/a,VIIA3 BZ,VIIA3.SA,OZON,XP,SUM
07/09/2021,8.61,8.22,8.17,7.46,6.39,5.25,4.82,4.71,4.58,4.07,3.98,3.18,3.08,2.44,2.18,1.65,1.57,1.51,1.42,1.39,1.29,1.2,1.01,0.97,0.92,0.79,0.77,0.74,0.69,0.6,0.59,0.53,0.48,0.46,0.44,0.4,0.38,0.37,0.36,0.36,0.35,0.3,0.29,0.28,0.24,0.23,0.15,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,8.46,7.9,8.03,7.6,6.39,5.56,4.82,5.01,4.68,4.15,3.82,3.12,3.25,2.36,2.04,1.4,1.67,1.53,1.53,1.42,1.26,1.14,1.01,0.95,0.86,0.8,0.84,0.72,0.69,0.63,0.58,0.53,0.48,0.44,0.45,0.41,0.38,0.38,0.35,0.35,0.37,0.31,0.29,0.29,0.24,0.23,0.15,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,8.46,7.9,8.03,7.6,6.39,5.56,4.82,5.01,4.68,4.15,3.82,3.12,3.25,2.36,2.04,1.4,1.67,1.53,1.53,1.42,1.26,1.14,1.01,0.95,0.86,0.8,0.84,0.72,0.69,0.63,0.58,0.53,0.48,0.44,0.45,0.41,0.38,0.38,0.35,0.35,0.37,0.31,0.29,0.29,0.24,0.23,0.15,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,8.56,8.09,8.04,7.74,6.41,5.35,4.87,4.82,4.68,4.08,4.0,3.15,3.13,2.33,2.04,1.45,1.65,1.56,1.51,1.33,1.23,1.16,1.03,0.98,0.86,0.74,0.81,0.72,0.68,0.63,0.59,0.55,0.47,0.45,0.45,0.4,0.37,0.38,0.34,0.35,0.37,0.31,0.3,0.29,0.24,0.23,0.15,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,8.54,8.26,7.98,7.7,6.37,5.4,4.89,4.87,4.59,4.1,4.01,3.14,3.15,2.3,1.95,1.42,1.68,1.55,1.52,1.29,1.21,1.12,1.06,1.02,0.86,0.73,0.81,0.74,0.72,0.62,0.56,0.57,0.48,0.45,0.48,0.41,0.36,0.39,0.34,0.34,0.38,0.32,0.3,0.29,0.25,0.23,0.15,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,8.5,8.35,8.1,7.86,6.31,5.56,4.92,4.74,4.55,4.0,4.04,3.13,3.07,2.27,2.01,1.47,1.68,1.59,1.53,1.27,1.17,1.1,1.04,0.98,0.84,0.71,0.81,0.72,0.72,0.6,0.59,0.56,0.47,0.43,0.47,0.41,0.36,0.39,0.35,0.35,0.38,0.31,0.31,0.29,0.23,0.23,0.14,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.69,8.2,8.22,7.88,6.22,5.67,5.01,4.7,4.43,4.18,4.02,3.14,3.02,2.23,1.91,1.46,1.79,1.59,1.54,1.31,1.09,1.07,1.04,0.99,0.81,0.69,0.8,0.73,0.7,0.59,0.59,0.56,0.47,0.39,0.45,0.42,0.36,0.39,0.35,0.35,0.36,0.31,0.3,0.29,0.23,0.22,0.14,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,8.69,8.2,8.22,7.88,6.22,5.67,5.01,4.7,4.43,4.18,4.02,3.14,3.02,2.23,1.91,1.46,1.79,1.59,1.54,1.31,1.09,1.07,1.04,0.99,0.81,0.69,0.8,0.73,0.7,0.59,0.59,0.56,0.47,0.39,0.45,0.42,0.36,0.39,0.35,0.35,0.36,0.31,0.3,0.29,0.23,0.22,0.14,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,8.69,8.31,8.31,7.85,6.11,5.73,4.97,4.69,4.49,4.29,4.03,3.08,3.05,2.16,1.83,1.4,1.83,1.52,1.5,1.39,1.08,1.1,1.02,0.99,0.8,0.69,0.79,0.71,0.69,0.6,0.59,0.57,0.48,0.38,0.45,0.42,0.35,0.4,0.35,0.34,0.39,0.31,0.32,0.29,0.24,0.22,0.14,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,8.77,8.08,8.29,7.89,6.1,5.77,5.1,4.68,4.56,4.31,4.1,3.1,3.07,2.11,1.82,1.29,1.77,1.49,1.54,1.39,1.08,1.11,1.05,1.03,0.81,0.7,0.79,0.73,0.68,0.62,0.57,0.56,0.46,0.37,0.44,0.41,0.34,0.15,0.33,0.34,0.0,0.32,0.31,0.3,0.24,0.22,0.15,0.05,0.04,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
