,AAPL,AMZN,MSFT,FB,GOOGL,GOOG,NVDA,V,PYPL,MA,ADBE,NFLX,CRM,INTC,CSCO,ACN,AVGO,TXN,SHOP,QCOM,ORCL,INTU,AMAT,IBM,AMD,NOW,SQ,MU,FIS,LRCX,ADP,ZM,ATVI,ADSK,SNAP,FISV,TWLO,ADI,GPN,DOCU,TWTR,NXPI,CRWD,KLAC,MRVL,WDAY,TEL,EBAY,PINS,MTCH,SNPS,APH,MCHP,EA,CDNS,PANW,MSI,CTSH,HPQ,XLNX,PAYX,FTNT,TTD,OKTA,SWKS,GLW,ANSS,EPAM,ZBRA,KEYS,MXIM,HUBS,ENPH,RNG,CDW,DELL,ETSY,DDOG,SPLK,VRSN,WORK,W,WDC,TER,NET,FLT,QRVO,IT,GIB.A.TO,MDB,TRMB,TTWO,ANET,COUP,AKAM,NTAP,HPE,BR,Z,TYL,PAYC,ZEN,STX,XTSLA,ZS,ENTG,PTC,NUAN,ON,NLOK,SSNC,MPWR,GDDY,CGNX,FICO,SNOW,CTXS,AVLR,OTEX.TO,SEDG,CDAY,FIVN,VMW,BKI,IAC,FFIV,PLTR,CREE,ZNGA,BILL,JKHY,DT,DXC,AZPN,PFPT,MANH,ESTC,GWRE,WU,WEX,PLAN,G,ARW,DBX,JNPR,SMAR,CIEN,OLED,MKSI,PCTY,CNXC,BRKS,SLAB,CHWY,EEFT,FSLR,LSCC,LSPD.TO,JBL,IIVI,NTNX,VMEO,IPGP,EVBG,VNT,QTWO,APPN,ZI,TDC,RPD,APPS,MMS,ADS,WK,SYNA,LFUS,PEGA,BB.TO,NATI,DLB,COHR,LITE,VRNS,DSG.TO,NCR,JCOM,CDK,BL,AMBA,VIAV,ENV,BOX,AVT,ALRM,XRX,TRIP,OSTK,SPSC,FOUR,ROG,FEYE,LPSN,SFIX,CVLT,SABR,STMP,AEIS,NEWR,ZG,SKLZ,EXLS,SMTC,CRUS,POWI,NOVT,SNX,PSTG,AYX,QRTEA,FSLY,SAIL,ACIW,MSTR,CLDR,127.HK,USD,CRNC,COMM,ITRI,CCMP,KLIC,DIOD,LSPD.NE,ONTO,VSAT,QLYS,DDD,FN,PRFT,MIME,MARA,AFRM,SUM
07/09/2021,8.97,8.74,8.6,5.86,4.17,4.06,3.58,2.81,2.38,2.28,1.98,1.66,1.61,1.57,1.55,1.35,1.34,1.22,1.2,1.1,1.05,0.95,0.87,0.86,0.8,0.76,0.67,0.63,0.62,0.61,0.59,0.59,0.51,0.45,0.45,0.45,0.44,0.43,0.39,0.39,0.39,0.39,0.37,0.33,0.33,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64
07/12/2021,9.13,8.95,8.67,5.79,4.17,4.08,3.47,2.8,2.42,2.26,2.03,1.65,1.59,1.56,1.57,1.37,1.34,1.22,1.16,1.09,1.09,0.97,0.85,0.88,0.76,0.77,0.65,0.6,0.62,0.6,0.6,0.58,0.5,0.45,0.41,0.45,0.44,0.42,0.39,0.39,0.37,0.38,0.37,0.33,0.32,0.31,0.31,0.31,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.12,0.12,0.09,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.67
07/13/2021,9.13,8.95,8.67,5.79,4.17,4.08,3.47,2.8,2.42,2.26,2.03,1.65,1.59,1.56,1.57,1.37,1.34,1.22,1.16,1.09,1.09,0.97,0.85,0.88,0.76,0.77,0.65,0.6,0.62,0.6,0.6,0.58,0.5,0.45,0.41,0.45,0.44,0.42,0.39,0.39,0.37,0.38,0.37,0.33,0.32,0.31,0.31,0.31,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.12,0.12,0.09,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.67
07/14/2021,9.16,8.84,8.6,5.82,4.15,4.05,3.46,2.79,2.44,2.26,2.0,1.65,1.57,1.57,1.57,1.38,1.36,1.22,1.17,1.11,1.1,0.95,0.86,0.88,0.77,0.77,0.66,0.61,0.62,0.61,0.6,0.57,0.5,0.45,0.43,0.45,0.44,0.42,0.39,0.39,0.38,0.38,0.36,0.33,0.32,0.31,0.32,0.31,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.12,0.12,0.09,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.12,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.04,0.03,0.03,0.0,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.65
07/15/2021,9.16,8.84,8.6,5.82,4.15,4.05,3.46,2.79,2.44,2.26,2.0,1.65,1.57,1.57,1.57,1.38,1.36,1.22,1.17,1.11,1.1,0.95,0.86,0.88,0.77,0.77,0.66,0.61,0.62,0.61,0.6,0.57,0.5,0.45,0.43,0.45,0.44,0.42,0.39,0.39,0.38,0.38,0.36,0.33,0.32,0.31,0.32,0.31,0.29,0.3,0.3,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.25,0.23,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.12,0.12,0.09,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.12,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.04,0.03,0.03,0.0,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.65
07/16/2021,9.19,8.74,8.69,5.84,4.2,4.09,3.49,2.84,2.45,2.32,2.0,1.66,1.56,1.59,1.56,1.38,1.37,1.22,1.18,1.1,1.1,0.96,0.87,0.87,0.76,0.76,0.66,0.61,0.63,0.62,0.6,0.56,0.5,0.45,0.42,0.45,0.44,0.43,0.39,0.38,0.38,0.39,0.36,0.33,0.32,0.3,0.31,0.31,0.27,0.31,0.29,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.23,0.23,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.14,0.12,0.13,0.13,0.11,0.12,0.09,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.73
07/19/2021,9.46,8.71,8.78,5.77,4.23,4.14,3.3,2.94,2.43,2.39,2.03,1.68,1.54,1.58,1.58,1.4,1.36,1.22,1.14,1.12,1.1,0.96,0.85,0.88,0.74,0.77,0.64,0.6,0.64,0.61,0.62,0.53,0.49,0.45,0.4,0.46,0.42,0.42,0.4,0.38,0.38,0.38,0.35,0.33,0.32,0.3,0.32,0.31,0.27,0.31,0.3,0.29,0.26,0.29,0.27,0.26,0.26,0.25,0.24,0.22,0.25,0.24,0.22,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.12,0.13,0.12,0.13,0.14,0.12,0.14,0.13,0.11,0.12,0.09,0.11,0.11,0.1,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.03,0.04,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.82
07/20/2021,9.46,8.71,8.78,5.77,4.23,4.14,3.3,2.94,2.43,2.39,2.03,1.68,1.54,1.58,1.58,1.4,1.36,1.22,1.14,1.12,1.1,0.96,0.85,0.88,0.74,0.77,0.64,0.6,0.64,0.61,0.62,0.53,0.49,0.45,0.4,0.46,0.42,0.42,0.4,0.38,0.38,0.38,0.35,0.33,0.32,0.3,0.32,0.31,0.27,0.31,0.3,0.29,0.26,0.29,0.27,0.26,0.26,0.25,0.24,0.22,0.25,0.24,0.22,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.12,0.13,0.12,0.13,0.14,0.12,0.14,0.13,0.11,0.12,0.09,0.11,0.11,0.1,0.11,0.11,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.03,0.04,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.82
07/21/2021,9.41,8.65,8.85,5.76,4.27,4.2,3.19,2.96,2.44,2.39,2.04,1.66,1.56,1.57,1.6,1.4,1.35,1.21,1.15,1.11,1.12,0.97,0.83,0.88,0.74,0.77,0.66,0.59,0.65,0.59,0.62,0.54,0.5,0.46,0.39,0.47,0.43,0.42,0.41,0.39,0.37,0.37,0.35,0.32,0.31,0.3,0.31,0.31,0.27,0.31,0.3,0.29,0.26,0.29,0.27,0.27,0.26,0.25,0.23,0.22,0.25,0.25,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.2,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.11,0.13,0.12,0.13,0.14,0.12,0.14,0.13,0.11,0.12,0.09,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.83
07/22/2021,9.25,8.68,8.82,5.75,4.23,4.16,3.33,2.9,2.47,2.28,2.05,1.68,1.57,1.57,1.59,1.4,1.35,1.23,1.18,1.12,1.13,0.97,0.84,0.88,0.75,0.78,0.65,0.6,0.63,0.6,0.61,0.54,0.5,0.45,0.4,0.45,0.44,0.42,0.39,0.4,0.38,0.37,0.36,0.32,0.32,0.3,0.31,0.32,0.28,0.3,0.3,0.29,0.26,0.29,0.27,0.27,0.26,0.25,0.24,0.23,0.25,0.25,0.22,0.22,0.22,0.22,0.21,0.21,0.19,0.2,0.18,0.17,0.16,0.15,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.12,0.14,0.12,0.13,0.14,0.12,0.14,0.13,0.11,0.12,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.03,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.81
