,EQNR.OL,DNB.OL,TEL.OL,MOWI.OL,YAR.OL,NHY.OL,ORK.OL,TOM.OL,ADE.OL,GJF.OL,BAKKA.OL,SCHB.OL,STB.OL,NOD.OL,SCHA.OL,SALM.OL,NEL.OL,SCATC.OL,ENTRA.OL,LSG.OL,KOG.OL,SRBNK.OL,SUBC.OL,BRG.OL,AKER.OL,MING.OL,ATEA.OL,TGS.OL,NOFI.OL,VEI.OL,GOGL,AUSS.OL,NOK,EPR.OL,NONG.OL,ELK.OL,FRO.OL,KAHOT.OL,PROT.OL,CRAYN.OL,BONHR.OL,PEXIP.OL,FKRFT.OL,SPOL.OL,DNO.OL,GSF.OL,BWLPG.OL,HEX.OL,FLNG.OL,SNI.OL,WAWI.OL,BWO.OL,SBO.OL,XXL.OL,NRS.OL,VACC.OL,ACC.OL,HAFNI.OL,AKSO.OL,OCY.OL,ASA.OL,HPUR.OL,AKH.OL,VOLUE.OL,BWE.OL,RECSI.OL,QFUEL.OL,AKBM.OL,MWTR.OL,LINK.OL,XTSLA,EUR,DKK,MARGIN_USD,EUR.1,MARGIN_EUR,DNB,BANO.OL,SGAFT,VGU1,USD,SUM
07/09/2021,11.24,11.03,6.54,6.37,5.19,4.4,4.3,3.48,2.65,2.49,2.47,2.47,2.39,2.35,2.18,2.15,1.84,1.84,1.68,1.53,1.32,1.32,1.2,1.17,1.14,0.98,0.92,0.84,0.82,0.79,0.75,0.65,0.62,0.59,0.52,0.5,0.49,0.46,0.41,0.39,0.35,0.34,0.33,0.32,0.31,0.3,0.27,0.27,0.24,0.22,0.2,0.19,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,11.01,11.0,6.73,6.38,5.33,4.3,4.43,3.52,2.69,2.56,2.45,2.56,2.34,2.33,2.24,2.13,1.72,1.85,1.73,1.52,1.38,1.33,1.21,1.17,1.09,0.99,0.93,0.77,0.82,0.81,0.76,0.65,0.63,0.6,0.53,0.51,0.48,0.34,0.42,0.4,0.35,0.29,0.33,0.33,0.29,0.29,0.27,0.26,0.23,0.21,0.2,0.18,0.17,0.16,0.15,0.14,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/13/2021,11.01,11.0,6.73,6.38,5.33,4.3,4.43,3.52,2.69,2.56,2.45,2.56,2.34,2.33,2.24,2.13,1.72,1.85,1.73,1.52,1.38,1.33,1.21,1.17,1.09,0.99,0.93,0.77,0.82,0.81,0.76,0.65,0.63,0.6,0.53,0.51,0.48,0.34,0.42,0.4,0.35,0.29,0.33,0.33,0.29,0.29,0.27,0.26,0.23,0.21,0.2,0.18,0.17,0.16,0.15,0.14,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/14/2021,10.99,11.01,6.7,6.32,5.37,4.46,4.38,3.5,2.7,2.62,2.43,2.55,2.38,2.31,2.2,2.1,1.7,1.8,1.75,1.5,1.38,1.34,1.24,1.18,1.08,1.0,0.91,0.78,0.83,0.79,0.75,0.64,0.62,0.59,0.52,0.52,0.48,0.34,0.46,0.4,0.35,0.3,0.32,0.32,0.29,0.28,0.27,0.26,0.24,0.21,0.2,0.18,0.16,0.17,0.15,0.14,0.12,0.13,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,10.99,11.01,6.7,6.32,5.37,4.46,4.38,3.5,2.7,2.62,2.43,2.55,2.38,2.31,2.2,2.1,1.7,1.8,1.75,1.5,1.38,1.34,1.24,1.18,1.08,1.0,0.91,0.78,0.83,0.79,0.75,0.64,0.62,0.59,0.52,0.52,0.48,0.34,0.46,0.4,0.35,0.3,0.32,0.32,0.29,0.28,0.27,0.26,0.24,0.21,0.2,0.18,0.16,0.17,0.15,0.14,0.12,0.13,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.09,0.1,0.09,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,10.91,10.93,6.65,6.3,5.37,4.44,4.43,3.57,2.71,2.6,2.41,2.55,2.38,2.47,2.22,2.09,1.72,1.82,1.75,1.48,1.39,1.37,1.19,1.19,1.07,1.03,0.94,0.75,0.82,0.79,0.73,0.63,0.62,0.61,0.53,0.52,0.46,0.34,0.46,0.45,0.35,0.32,0.33,0.32,0.28,0.28,0.27,0.25,0.24,0.21,0.2,0.17,0.16,0.17,0.14,0.13,0.12,0.13,0.11,0.12,0.09,0.12,0.11,0.11,0.11,0.1,0.09,0.1,0.08,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,10.7,10.77,6.65,6.29,5.51,4.54,4.09,3.59,2.84,2.64,2.44,2.56,2.37,2.59,2.24,2.14,1.67,1.72,1.68,1.5,1.45,1.39,1.18,1.31,1.07,1.06,0.92,0.76,0.86,0.8,0.75,0.65,0.62,0.65,0.54,0.53,0.45,0.33,0.44,0.45,0.37,0.33,0.33,0.32,0.27,0.28,0.27,0.25,0.23,0.21,0.19,0.17,0.16,0.18,0.14,0.13,0.11,0.13,0.11,0.12,0.09,0.11,0.1,0.1,0.11,0.1,0.09,0.08,0.08,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,10.7,10.77,6.65,6.29,5.51,4.54,4.09,3.59,2.84,2.64,2.44,2.56,2.37,2.59,2.24,2.14,1.67,1.72,1.68,1.5,1.45,1.39,1.18,1.31,1.07,1.06,0.92,0.76,0.86,0.8,0.75,0.65,0.62,0.65,0.54,0.53,0.45,0.33,0.44,0.45,0.37,0.33,0.33,0.32,0.27,0.28,0.27,0.25,0.23,0.21,0.19,0.17,0.16,0.18,0.14,0.13,0.11,0.13,0.11,0.12,0.09,0.11,0.1,0.1,0.11,0.1,0.09,0.08,0.08,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,10.66,10.57,6.8,6.41,5.37,4.34,4.06,3.64,3.01,2.67,2.51,2.63,2.28,2.64,2.28,2.18,1.58,1.77,1.73,1.54,1.44,1.35,1.15,1.34,1.06,1.04,0.89,0.74,0.9,0.8,0.72,0.66,0.65,0.64,0.53,0.54,0.45,0.31,0.44,0.45,0.38,0.33,0.32,0.32,0.26,0.28,0.26,0.24,0.22,0.2,0.19,0.17,0.16,0.17,0.18,0.13,0.11,0.12,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.09,0.08,0.08,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,10.67,0.0,6.95,6.45,5.43,4.43,4.03,3.64,2.9,2.65,2.51,2.61,2.27,2.64,2.29,2.19,1.61,1.74,1.71,1.56,1.44,1.36,1.14,1.33,1.04,1.04,0.9,0.74,0.88,0.79,0.71,0.67,0.64,0.65,0.53,0.55,0.45,0.31,0.44,0.43,0.39,0.31,0.32,0.33,0.26,0.29,0.27,0.24,0.23,0.21,0.19,0.17,0.16,0.17,0.18,0.12,0.11,0.12,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.07,0.08,0.09,0.02,0.0,0.0,0.0,0.0,0.0,10.42,0.0,0.0,0.0,0.0,99.97
