,TSLA,SQ,AAPL,SLB,NVDA,JPM,AMZN,MSFT,V,PYPL,COIN,SOFI,AMD,ADSK,UNH,CAT,TWLO,FISV,CRWD,RTX,PENN,STNE,PLTR,XOM,CRM,DVN,DKNG,VIAC,KMI,SI,FB,NFLX,CSL,JCI,AMGN,TDOC,JNJ,WDC,SUM
11/03/2021,5.32,4.17,4.06,4.01,3.88,3.85,3.81,3.81,3.79,3.39,3.39,3.15,3.13,3.08,3.07,3.05,3.02,3.0,3.0,3.0,2.99,2.98,2.98,2.97,2.95,2.93,2.88,2.82,2.8,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/04/2021,5.32,4.17,4.06,4.01,3.88,3.85,3.81,3.81,3.79,3.39,3.39,3.15,3.13,3.08,3.07,3.05,3.02,3.0,3.0,3.0,2.99,2.98,2.98,2.97,2.95,2.93,2.88,2.82,2.8,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/05/2021,5.32,4.17,4.06,4.01,3.88,3.85,3.81,3.81,3.79,3.39,3.39,3.15,3.13,3.08,3.07,3.05,3.02,3.0,3.0,3.0,2.99,2.98,2.98,2.97,2.95,2.93,2.88,2.82,2.8,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,5.4,3.75,3.95,3.73,4.91,3.68,3.71,3.97,3.31,3.07,3.75,3.37,3.47,3.09,3.05,2.96,5.14,2.68,2.85,0.0,0.0,2.29,3.07,2.94,3.02,3.01,0.0,0.0,2.58,3.81,3.0,2.81,1.83,1.81,0.0,0.0,0.0,0.0,100.01
11/09/2021,5.43,3.64,4.01,0.1,4.96,3.72,3.8,4.01,3.48,2.05,3.71,3.3,3.48,3.18,3.09,3.03,3.07,2.67,2.82,0.0,0.0,2.27,3.05,3.0,3.05,3.14,0.0,0.0,2.64,3.84,3.09,2.75,1.88,1.85,2.96,2.89,0.0,0.0,99.96
11/10/2021,5.43,3.64,4.01,0.1,4.96,3.72,3.8,4.01,3.48,2.05,3.71,3.3,3.48,3.18,3.09,3.03,3.07,2.67,2.82,0.0,0.0,2.27,3.05,3.0,3.05,3.14,0.0,0.0,2.64,3.84,3.09,2.75,1.88,1.85,2.96,2.89,0.0,0.0,99.96
11/11/2021,5.43,3.64,4.01,0.1,4.96,3.72,3.8,4.01,3.48,2.05,3.71,3.3,3.48,3.18,3.09,3.03,3.07,2.67,2.82,0.0,0.0,2.27,3.05,3.0,3.05,3.14,0.0,0.0,2.64,3.84,3.09,2.75,1.88,1.85,2.96,2.89,0.0,0.0,99.96
11/12/2021,5.11,3.59,3.94,0.0,5.08,3.7,3.73,3.98,3.5,2.06,5.04,4.41,3.79,3.19,3.1,3.12,3.06,2.63,2.88,0.0,0.0,0.0,3.11,3.0,3.04,3.14,0.0,0.0,2.6,3.84,3.03,2.74,1.89,1.83,2.89,2.95,0.0,0.0,99.96999999999998
11/15/2021,4.57,3.56,4.02,0.0,5.14,3.74,3.89,4.03,3.44,1.88,5.17,4.37,3.82,3.25,3.16,3.1,3.09,2.66,3.04,0.0,0.0,0.0,2.86,3.08,3.09,3.18,0.0,0.0,2.64,3.66,3.05,2.81,1.91,1.91,2.94,2.94,0.0,0.0,100.0
11/16/2021,4.57,3.56,4.02,0.0,5.14,3.74,3.89,4.03,3.44,1.88,5.17,4.37,3.82,3.25,3.16,3.1,3.09,2.66,3.04,0.0,0.0,0.0,2.86,3.08,3.09,3.18,0.0,0.0,2.64,3.66,3.05,2.81,1.91,1.91,2.94,2.94,0.0,0.0,100.0
11/17/2021,4.57,3.56,4.02,0.0,5.14,3.74,3.89,4.03,3.44,1.88,5.17,4.37,3.82,3.25,3.16,3.1,3.09,2.66,3.04,0.0,0.0,0.0,2.86,3.08,3.09,3.18,0.0,0.0,2.64,3.66,3.05,2.81,1.91,1.91,2.94,2.94,0.0,0.0,100.0
11/18/2021,4.64,3.53,4.02,0.0,5.13,3.74,3.85,4.07,3.44,1.91,4.99,4.52,3.82,3.27,3.14,3.11,3.04,2.71,2.96,0.0,0.0,0.0,2.71,2.98,3.08,3.1,0.0,0.0,2.63,3.83,3.12,2.94,1.96,1.96,2.96,2.82,0.0,0.0,99.97999999999996
11/19/2021,3.56,3.58,3.98,0.0,4.03,3.7,3.84,4.02,3.41,2.96,4.98,4.51,3.75,3.21,3.06,3.06,3.01,2.71,2.62,0.0,0.0,0.0,3.74,2.98,3.04,3.11,0.0,0.0,0.0,3.72,3.15,2.89,1.94,1.95,2.87,2.76,1.94,1.9,99.98
11/22/2021,3.69,3.66,4.0,0.0,4.04,3.66,3.82,4.05,3.45,3.0,4.92,4.25,3.89,3.27,3.04,3.02,3.07,2.71,2.7,0.0,0.0,0.0,3.69,3.0,3.05,3.12,0.0,0.0,0.0,3.53,3.1,2.92,1.93,1.98,2.84,2.78,1.92,1.88,99.98
