,SAP.DE,SIE.DE,ALV.DE,DAI.DE,BAS.DE,ADS.DE,DTE.DE,DPW.DE,BAYN.DE,IFX.DE,VOW3.DE,MUV2.DE,VNA.DE,BMW.DE,DB1.DE,ZAL.DE,DHER.DE,DBK.DE,EOAN.DE,MRK.DE,RWE.DE,FRE.DE,DWNI.DE,HEN3.DE,SY1.DE,SHL.DE,FME.DE,PAH3.DE,CON.DE,HFG.DE,BNR.DE,SRT3.,MTX.DE,HEI.DE,BEI.DE,PUM.DE,ENR.DE,1COV.DE,QGEN,LEG.DE,VOW.,HNR1.DE,HEK.SW,AT1.DE,KGX.DE,G24.DE,AFX.DE,CBK.DE,KBX.DE,G1A.DE,—,EVT.DE,EVK.DE,TMV.DE,LXS.DE,BMW3.,BC8.DE,TKA.DE,UTDI.DE,NEM.DE,RHM.DE,EVD.DE,LHA.DE,FPE3.DE,UN01.DE,PSM.DE,HLE.DE,RAA.DE,AG1.DE,FRA.DE,RRTL.,TLX.DE,WCH.DE,VAR1.DE,FIE.DE,O2D.DE,B4B.DE,DWS.DE,8TRA.DE,HOT.DE,FPE.,1U1.DE,MZSU1,DWN.,DWNEUR,n/a,FPE1.,FPE3.,777.DE,SUM
07/09/2021,9.56,7.13,6.23,4.39,4.33,4.29,4.12,4.09,3.57,3.1,2.67,2.32,2.31,1.98,1.94,1.61,1.61,1.55,1.54,1.53,1.42,1.27,1.27,1.11,1.08,1.04,0.99,0.97,0.93,0.91,0.87,0.82,0.79,0.77,0.74,0.73,0.73,0.69,0.67,0.67,0.62,0.62,0.57,0.56,0.51,0.44,0.44,0.44,0.44,0.4,0.4,0.39,0.38,0.36,0.36,0.31,0.31,0.29,0.27,0.26,0.25,0.24,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,9.84,7.1,6.15,4.28,4.33,4.33,4.14,4.05,3.58,3.05,2.65,2.28,2.31,1.95,1.92,1.59,1.65,1.5,1.57,1.57,1.42,1.27,1.28,1.1,1.1,1.07,1.0,0.96,0.91,0.89,0.89,0.84,0.79,0.78,0.74,0.73,0.71,0.7,0.68,0.67,0.61,0.62,0.57,0.56,0.52,0.43,0.44,0.42,0.46,0.41,0.41,0.39,0.39,0.32,0.35,0.3,0.31,0.29,0.27,0.26,0.25,0.23,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.15,0.13,0.14,0.13,0.13,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,9.84,7.1,6.15,4.28,4.33,4.33,4.14,4.05,3.58,3.05,2.65,2.28,2.31,1.95,1.92,1.59,1.65,1.5,1.57,1.57,1.42,1.27,1.28,1.1,1.1,1.07,1.0,0.96,0.91,0.89,0.89,0.84,0.79,0.78,0.74,0.73,0.71,0.7,0.68,0.67,0.61,0.62,0.57,0.56,0.52,0.43,0.44,0.42,0.46,0.41,0.41,0.39,0.39,0.32,0.35,0.3,0.31,0.29,0.27,0.26,0.25,0.23,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.15,0.13,0.14,0.13,0.13,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,9.81,7.09,6.18,4.35,4.41,4.34,4.12,4.04,3.54,3.06,2.76,2.3,2.31,2.0,1.88,1.57,1.59,1.52,1.55,1.55,1.4,1.27,1.26,1.09,1.08,1.05,0.99,1.01,0.91,0.86,0.89,0.81,0.8,0.79,0.72,0.73,0.69,0.72,0.67,0.67,0.64,0.62,0.56,0.57,0.52,0.43,0.44,0.42,0.45,0.41,0.4,0.39,0.39,0.32,0.36,0.31,0.31,0.3,0.26,0.26,0.25,0.23,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.15,0.13,0.14,0.13,0.13,0.11,0.12,0.1,0.1,0.1,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,9.83,7.07,6.14,4.34,4.39,4.34,4.15,4.05,3.51,3.02,2.82,2.29,2.33,2.01,1.89,1.56,1.63,1.52,1.56,1.55,1.42,1.28,1.25,1.07,1.08,1.06,1.0,1.02,0.9,0.88,0.89,0.82,0.78,0.78,0.72,0.72,0.69,0.71,0.65,0.68,0.65,0.63,0.55,0.57,0.51,0.43,0.44,0.42,0.45,0.42,0.4,0.39,0.39,0.32,0.35,0.31,0.31,0.29,0.26,0.26,0.25,0.23,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.1,0.1,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,9.93,7.13,6.14,4.32,4.37,4.34,4.18,4.02,3.5,3.02,2.78,2.28,2.33,1.99,1.89,1.57,1.64,1.49,1.55,1.56,1.4,1.27,1.24,1.07,1.08,1.05,1.01,1.0,0.9,0.88,0.9,0.83,0.77,0.78,0.72,0.73,0.69,0.72,0.62,0.68,0.64,0.62,0.56,0.55,0.51,0.43,0.44,0.41,0.45,0.41,0.4,0.39,0.39,0.33,0.35,0.31,0.31,0.28,0.26,0.27,0.24,0.23,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.14,0.13,0.14,0.13,0.13,0.11,0.12,0.1,0.1,0.1,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/19/2021,9.9,6.97,6.18,4.38,4.39,4.32,4.19,4.05,3.53,3.03,2.75,2.29,2.33,2.0,1.88,1.53,1.64,1.51,1.59,1.57,1.37,1.29,1.26,1.08,1.09,1.06,1.0,1.0,0.9,0.87,0.91,0.86,0.77,0.78,0.72,0.72,0.61,0.73,0.63,0.68,0.65,0.62,0.56,0.55,0.51,0.44,0.44,0.42,0.45,0.42,0.4,0.39,0.4,0.33,0.36,0.31,0.31,0.28,0.26,0.27,0.25,0.22,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.14,0.13,0.14,0.13,0.14,0.11,0.12,0.1,0.1,0.1,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,9.98,6.95,6.06,4.29,4.33,4.3,4.15,4.09,3.56,2.94,2.71,2.23,2.4,1.94,1.92,1.55,1.67,1.48,1.62,1.61,1.34,1.3,1.3,1.1,1.13,1.08,1.02,0.99,0.89,0.91,0.92,0.89,0.75,0.77,0.74,0.74,0.61,0.71,0.67,0.7,0.64,0.61,0.57,0.55,0.5,0.45,0.47,0.41,0.47,0.41,0.42,0.38,0.4,0.33,0.37,0.3,0.32,0.26,0.27,0.28,0.24,0.23,0.21,0.2,0.2,0.18,0.18,0.2,0.19,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.08,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,9.98,6.95,6.06,4.29,4.33,4.3,4.15,4.09,3.56,2.94,2.71,2.23,2.4,1.94,1.92,1.55,1.67,1.48,1.62,1.61,1.34,1.3,1.3,1.1,1.13,1.08,1.02,0.99,0.89,0.91,0.92,0.89,0.75,0.77,0.74,0.74,0.61,0.71,0.67,0.7,0.64,0.61,0.57,0.55,0.5,0.45,0.47,0.41,0.47,0.41,0.42,0.38,0.4,0.33,0.37,0.3,0.32,0.26,0.27,0.28,0.24,0.23,0.21,0.2,0.2,0.18,0.18,0.2,0.19,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.08,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,9.46,7.23,6.15,4.3,4.37,4.3,4.09,4.11,3.61,2.95,2.68,2.28,2.41,1.93,1.92,1.56,1.73,1.53,1.6,1.57,1.34,1.31,0.0,1.07,1.11,1.09,1.01,1.01,0.89,0.88,0.93,0.88,0.77,0.79,0.72,0.75,0.62,0.72,0.69,0.7,0.63,0.61,0.56,0.56,0.5,0.44,0.48,0.41,0.45,0.42,0.36,0.38,0.4,0.34,0.37,0.3,0.33,0.27,0.27,0.28,0.25,0.24,0.21,0.2,0.2,0.19,0.18,0.21,0.19,0.14,0.13,0.14,0.13,0.14,0.12,0.12,0.1,0.1,0.09,0.09,0.08,0.08,0.0,1.27,0.0,0.0,0.0,0.0,0.0,100.02
