,MRVL,PINS,DXCM,ALXN,CDNS,PANW,MSI,MPC,PXD,PSX,IFF,RMD,TDG,DFS,KKR,HLT,WELL,SBAC,XLNX,PAYX,YUM,FTNT,ZBH,AFL,AZO,FRC,SWK,PTON,ADM,OTIS,MTD,ROK,CTVA,CSGP,TTD,WMB,SWKS,GLW,OKTA,ANSS,LUV,SIVB,AME,PEG,VLO,AVB,DHI,WLTW,EFX,FAST,PCAR,MCK,EPAM,ZBRA,AWK,AJG,VRSK,KEYS,ES,KR,WEC,CPRT,STT,CBRE,AMP,LH,BLL,GNRC,EQR,LEN,WST,NUE,DAL,MXIM,VFC,HUBS,FITB,ARE,ETSY,OKE,WY,O,ENPH,OXY,HSY,KSU,LYB,SYF,VIAC,ED,BBY,CDW,DELL,RNG,RSG,EXPE,FTV,SPLK,DDOG,NTRS,CERN,ODFL,IP,VMC,CLX,URI,W,WORK,EXR,VRSN,DLTR,HES,EIX,VTR,KMX,DOV,PPL,XYL,MLM,ABNB,MKC,DTE,QRVO,HIG,IT,GRMN,INVH,WAT,BURL,WDC,TRMB,AEE,EXAS,CHD,TER,NET,FLT,TDOC,TSCO,TSN,TRU,HZNP,EXPD,COUP,MAA,CCL,ESS,TTWO,COO,NDAQ,LNG,FE,CZR,ANET,STE,HBAN,ALNY,ETR,CVNA,CTLT,CRL,PODD,AKAM,PAYC,BR,Z,TYL,ULTA,CFG,TFX,KEY,DRI,MDB,GWW,TDY,SUI,ALB,HAL,SGEN,PEAK,DRE,RCL,MTB,NTAP,DPZ,ALLY,GPC,POOL,HPE,AVTR,RF,CINF,CAG,CMS,LB,AES,DGX,MKTX,PKI,ZEN,TECH,IR,HOLX,ZS,AVY,STX,J,NVR,VTRS,CE,DVN,AMCR,IEX,ABC,MPWR,VICI,4282.T,XTSLA,ELAN,CAH,SSNC,ON,BBWI WI,SUM
07/09/2021,0.53,0.5,0.48,0.46,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.74
07/12/2021,0.53,0.48,0.5,0.46,0.44,0.43,0.43,0.42,0.42,0.41,0.42,0.42,0.41,0.4,0.39,0.39,0.41,0.41,0.38,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.39,0.38,0.37,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.33,0.33,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.3,0.29,0.28,0.29,0.3,0.27,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.28,0.28,0.28,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.25,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.0,0.0,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.85000000000001
07/13/2021,0.53,0.48,0.5,0.46,0.44,0.43,0.43,0.42,0.42,0.41,0.42,0.42,0.41,0.4,0.39,0.39,0.41,0.41,0.38,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.39,0.38,0.37,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.33,0.33,0.34,0.35,0.34,0.34,0.33,0.33,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.31,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.3,0.29,0.28,0.29,0.3,0.27,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.26,0.27,0.27,0.28,0.28,0.28,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.25,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.0,0.0,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.85000000000001
07/14/2021,0.53,0.48,0.48,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.42,0.39,0.4,0.41,0.41,0.38,0.4,0.4,0.39,0.37,0.38,0.38,0.39,0.38,0.36,0.38,0.38,0.38,0.38,0.36,0.38,0.38,0.37,0.35,0.36,0.35,0.35,0.35,0.36,0.35,0.35,0.33,0.35,0.33,0.33,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.31,0.31,0.32,0.31,0.31,0.33,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.3,0.29,0.28,0.29,0.29,0.28,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.25,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.690000000000005
07/15/2021,0.53,0.48,0.48,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.42,0.39,0.4,0.41,0.41,0.38,0.4,0.4,0.39,0.37,0.38,0.38,0.39,0.38,0.36,0.38,0.38,0.38,0.38,0.36,0.38,0.38,0.37,0.35,0.36,0.35,0.35,0.35,0.36,0.35,0.35,0.33,0.35,0.33,0.33,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.31,0.31,0.32,0.31,0.31,0.33,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.3,0.29,0.28,0.29,0.29,0.28,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.25,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.23,0.23,0.22,0.21,0.21,0.21,0.0,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.690000000000005
07/16/2021,0.53,0.45,0.49,0.47,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.44,0.39,0.39,0.41,0.41,0.38,0.41,0.4,0.4,0.37,0.38,0.38,0.4,0.38,0.37,0.38,0.38,0.38,0.39,0.36,0.38,0.38,0.36,0.36,0.36,0.36,0.35,0.35,0.37,0.36,0.35,0.33,0.35,0.32,0.33,0.34,0.35,0.35,0.34,0.35,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.31,0.32,0.32,0.32,0.3,0.31,0.33,0.3,0.31,0.3,0.29,0.3,0.3,0.27,0.28,0.3,0.29,0.28,0.29,0.29,0.28,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.27,0.25,0.26,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.24,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.26,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.22,0.24,0.24,0.23,0.24,0.23,0.25,0.24,0.24,0.24,0.25,0.22,0.24,0.21,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.24,0.22,0.22,0.0,0.21,0.21,0.22,0.2,0.22,0.21,0.22,0.22,0.22,0.22,0.21,0.23,0.23,0.23,0.25,0.22,0.21,0.21,0.21,0.2,0.21,0.0,0.22,0.22,0.21,0.22,0.0,0.21,0.22,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.21,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.78000000000001
07/19/2021,0.53,0.44,0.49,0.46,0.44,0.43,0.43,0.4,0.39,0.39,0.41,0.42,0.4,0.43,0.39,0.39,0.43,0.42,0.37,0.42,0.4,0.4,0.37,0.39,0.4,0.41,0.39,0.34,0.38,0.4,0.39,0.39,0.36,0.4,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.38,0.36,0.36,0.31,0.36,0.33,0.33,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.33,0.31,0.32,0.33,0.3,0.31,0.3,0.28,0.31,0.3,0.27,0.28,0.3,0.3,0.26,0.26,0.3,0.28,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.25,0.28,0.26,0.27,0.25,0.26,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.24,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.23,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.25,0.24,0.23,0.25,0.22,0.24,0.24,0.23,0.25,0.22,0.25,0.24,0.25,0.24,0.25,0.0,0.24,0.2,0.24,0.22,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.24,0.23,0.24,0.23,0.22,0.22,0.2,0.22,0.21,0.23,0.0,0.22,0.22,0.22,0.2,0.23,0.22,0.21,0.23,0.23,0.24,0.25,0.21,0.21,0.22,0.22,0.0,0.21,0.2,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.21,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.940000000000005
07/20/2021,0.53,0.44,0.49,0.46,0.44,0.43,0.43,0.4,0.39,0.39,0.41,0.42,0.4,0.43,0.39,0.39,0.43,0.42,0.37,0.42,0.4,0.4,0.37,0.39,0.4,0.41,0.39,0.34,0.38,0.4,0.39,0.39,0.36,0.4,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.38,0.36,0.36,0.31,0.36,0.33,0.33,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.31,0.33,0.31,0.32,0.33,0.3,0.31,0.3,0.28,0.31,0.3,0.27,0.28,0.3,0.3,0.26,0.26,0.3,0.28,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.25,0.28,0.26,0.27,0.25,0.26,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.24,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.25,0.25,0.26,0.23,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.25,0.24,0.23,0.25,0.22,0.24,0.24,0.23,0.25,0.22,0.25,0.24,0.25,0.24,0.25,0.0,0.24,0.2,0.24,0.22,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.24,0.23,0.24,0.23,0.22,0.22,0.2,0.22,0.21,0.23,0.0,0.22,0.22,0.22,0.2,0.23,0.22,0.21,0.23,0.23,0.24,0.25,0.21,0.21,0.22,0.22,0.0,0.21,0.2,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.21,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.940000000000005
07/21/2021,0.51,0.44,0.5,0.46,0.44,0.44,0.43,0.39,0.38,0.38,0.41,0.43,0.4,0.43,0.39,0.39,0.43,0.42,0.37,0.42,0.4,0.41,0.37,0.39,0.4,0.4,0.38,0.35,0.38,0.4,0.39,0.4,0.36,0.4,0.35,0.36,0.36,0.36,0.34,0.35,0.34,0.37,0.37,0.36,0.31,0.37,0.33,0.33,0.36,0.36,0.35,0.35,0.35,0.32,0.35,0.33,0.35,0.33,0.35,0.35,0.35,0.34,0.34,0.32,0.33,0.31,0.33,0.31,0.33,0.31,0.32,0.32,0.3,0.3,0.29,0.28,0.3,0.31,0.27,0.28,0.3,0.3,0.26,0.25,0.31,0.28,0.29,0.29,0.28,0.3,0.29,0.28,0.27,0.26,0.28,0.26,0.27,0.26,0.26,0.27,0.27,0.28,0.27,0.27,0.27,0.26,0.24,0.26,0.27,0.26,0.26,0.24,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.23,0.25,0.26,0.24,0.26,0.25,0.26,0.26,0.27,0.25,0.23,0.23,0.25,0.23,0.25,0.23,0.23,0.25,0.22,0.25,0.24,0.26,0.24,0.25,0.0,0.25,0.0,0.25,0.23,0.23,0.24,0.22,0.24,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.21,0.22,0.21,0.23,0.0,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.23,0.23,0.24,0.24,0.21,0.22,0.22,0.22,0.0,0.2,0.2,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.0,0.21,0.22,0.0,0.2,0.2,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.07000000000001
07/22/2021,0.53,0.46,0.5,0.47,0.45,0.45,0.43,0.38,0.37,0.36,0.41,0.44,0.39,0.42,0.39,0.38,0.42,0.43,0.37,0.41,0.4,0.41,0.37,0.39,0.4,0.39,0.38,0.38,0.38,0.4,0.39,0.4,0.36,0.4,0.36,0.35,0.36,0.36,0.36,0.35,0.34,0.35,0.36,0.36,0.3,0.37,0.34,0.33,0.36,0.36,0.35,0.35,0.36,0.32,0.36,0.33,0.35,0.34,0.35,0.37,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.32,0.32,0.29,0.3,0.29,0.29,0.29,0.31,0.28,0.26,0.29,0.3,0.26,0.25,0.31,0.28,0.28,0.29,0.28,0.3,0.29,0.28,0.27,0.24,0.28,0.25,0.27,0.26,0.27,0.26,0.27,0.28,0.27,0.27,0.27,0.25,0.25,0.27,0.27,0.27,0.27,0.24,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.23,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.25,0.23,0.25,0.23,0.24,0.24,0.23,0.25,0.25,0.25,0.24,0.25,0.0,0.25,0.0,0.25,0.23,0.23,0.24,0.22,0.24,0.22,0.23,0.23,0.23,0.24,0.24,0.24,0.22,0.22,0.21,0.23,0.21,0.23,0.2,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.23,0.23,0.24,0.25,0.0,0.22,0.22,0.22,0.0,0.2,0.0,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.22,0.0,0.21,0.21,0.0,0.0,0.21,0.0,0.21,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.040000000000006
