,MRNA,GNRC,BIIB,COF,LNG,NVAX,CNC,OXY,ALL,CINF,ZBRA,ALLY,DELL,SIVB,VICI,PINS,PNC,ROKU,LH,FTNT,CVS,HUM,BRK.B,LRCX,CMCSA,ENTG,BEN,GME,HUBS,PTC,SNAP,BK,TSCO,LOW,EXC,DGX,PGR,GD,KR,ETR,AFL,AMAT,CRL,ADM,AGR,PEG,TRV,SJM,SRE,DHI,CFG,CE,ACGL,AEP,GM,LEN,W,TSN,SO,TGT,STT,PPL,GIS,ETSY,EIX,ED,CI,GOOGL,FTV,MET,VZ,VIAC,CAG,TECH,BBY,AVB,C,NET,DE,F,KLAC,MS,SYF,TMUS,NOC,GS,NUE,HIG,NTAP,FRC,EBAY,BXP,MU,EL,TWTR,WFC,NVR,EQR,CERN,AZO,ANTM,FE,INTC,MKL,PFE,SQ,QRVO,WDC,TRMB,TER,SWKS,HZNP,MDLZ,TXG,IT,FDX,DTE,LDOS,PFG,XEL,WAB,VTRS,UI,FOXA,PKG,JPM,EMN,DUK,STZ,CB,KEY,LUMN,BX,FITB,CMS,AEE,EPAM,T,IQV,LYB,RF,URI,WEC,PCAR,TFC,MTB,KKR,ES,CAH,AVTR,BLK,CMI,HPE,HBAN,NDAQ,PYPL,PCG,TROW,EOG,TWLO,ORLY,EXPD,APTV,ENPH,DLTR,DISCA,CARR,UNH,WMB,STX,RSG,OKE,KMI,IP,GRMN,DVA,CZR,AJG,ALGN,VTR,O,MOH,OMC,NTRS,RJF,LHX,DOV,CBRE,PEAK,EMR,GH,MMM,BDX,IBM,JNJ,LMT,MLM,NVDA,ODFL,SWK,WAT,POOL,CRWD,DD,NVCR,EFX,IDXX,MTD,WST,WY,INTU,OTIS,FB,A,DHR,DOCU,DPZ,LLY,PKI,CTSH,ORCL,CVNA,ZS,MSCI,KMX,ALNY,ANET,MCO,MSI,PH,PSA,HD,GLW,DFS,CHTR,HAS,JBHT,NSC,USB,HRL,K,CSX,AMD,ZM,PRU,CTVA,BAC,DOW,SUM
07/09/2021,0.74,0.55,0.51,0.51,0.51,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.34
07/12/2021,0.44,0.46,0.36,0.46,0.45,0.39,0.36,0.43,0.45,0.45,0.36,0.45,0.44,0.46,0.45,0.26,0.35,0.41,0.45,0.47,0.43,0.36,0.44,0.41,0.36,0.34,0.44,0.39,0.46,0.0,0.43,0.34,0.35,0.35,0.36,0.45,0.45,0.36,0.35,0.45,0.44,0.42,0.46,0.44,0.36,0.45,0.36,0.44,0.44,0.44,0.44,0.45,0.44,0.36,0.44,0.44,0.42,0.44,0.36,0.27,0.36,0.27,0.35,0.0,0.36,0.45,0.44,0.45,0.45,0.0,0.44,0.42,0.44,0.36,0.34,0.28,0.43,0.45,0.0,0.34,0.0,0.35,0.27,0.27,0.36,0.35,0.45,0.44,0.36,0.27,0.35,0.0,0.41,0.0,0.0,0.34,0.36,0.0,0.36,0.37,0.27,0.36,0.44,0.46,0.36,0.35,0.35,0.0,0.0,0.0,0.26,0.27,0.27,0.0,0.47,0.44,0.31,0.27,0.35,0.36,0.27,0.0,0.0,0.43,0.27,0.35,0.0,0.27,0.0,0.45,0.34,0.35,0.45,0.35,0.36,0.36,0.45,0.35,0.46,0.44,0.35,0.35,0.27,0.35,0.35,0.35,0.44,0.36,0.0,0.45,0.36,0.35,0.44,0.0,0.44,0.36,0.36,0.37,0.0,0.0,0.37,0.27,0.0,0.0,0.44,0.42,0.0,0.27,0.27,0.0,0.27,0.27,0.45,0.27,0.27,0.27,0.33,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.44,0.0,0.36,0.47,0.46,0.46,0.45,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.34
07/13/2021,0.44,0.46,0.36,0.46,0.45,0.39,0.36,0.43,0.45,0.45,0.36,0.45,0.44,0.46,0.45,0.26,0.35,0.41,0.45,0.47,0.43,0.36,0.44,0.41,0.36,0.34,0.44,0.39,0.46,0.0,0.43,0.34,0.35,0.35,0.36,0.45,0.45,0.36,0.35,0.45,0.44,0.42,0.46,0.44,0.36,0.45,0.36,0.44,0.44,0.44,0.44,0.45,0.44,0.36,0.44,0.44,0.42,0.44,0.36,0.27,0.36,0.27,0.35,0.0,0.36,0.45,0.44,0.45,0.45,0.0,0.44,0.42,0.44,0.36,0.34,0.28,0.43,0.45,0.0,0.34,0.0,0.35,0.27,0.27,0.36,0.35,0.45,0.44,0.36,0.27,0.35,0.0,0.41,0.0,0.0,0.34,0.36,0.0,0.36,0.37,0.27,0.36,0.44,0.46,0.36,0.35,0.35,0.0,0.0,0.0,0.26,0.27,0.27,0.0,0.47,0.44,0.31,0.27,0.35,0.36,0.27,0.0,0.0,0.43,0.27,0.35,0.0,0.27,0.0,0.45,0.34,0.35,0.45,0.35,0.36,0.36,0.45,0.35,0.46,0.44,0.35,0.35,0.27,0.35,0.35,0.35,0.44,0.36,0.0,0.45,0.36,0.35,0.44,0.0,0.44,0.36,0.36,0.37,0.0,0.0,0.37,0.27,0.0,0.0,0.44,0.42,0.0,0.27,0.27,0.0,0.27,0.27,0.45,0.27,0.27,0.27,0.33,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.44,0.0,0.36,0.47,0.46,0.46,0.45,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.34
07/14/2021,0.44,0.46,0.36,0.46,0.45,0.39,0.36,0.43,0.45,0.45,0.36,0.45,0.44,0.46,0.45,0.0,0.35,0.41,0.45,0.48,0.43,0.36,0.44,0.42,0.36,0.34,0.44,0.39,0.46,0.0,0.43,0.34,0.35,0.36,0.36,0.45,0.45,0.36,0.35,0.46,0.44,0.42,0.46,0.44,0.36,0.45,0.36,0.45,0.44,0.44,0.44,0.45,0.44,0.36,0.44,0.44,0.42,0.44,0.36,0.27,0.36,0.27,0.35,0.0,0.36,0.45,0.44,0.45,0.45,0.0,0.44,0.42,0.44,0.36,0.34,0.28,0.43,0.45,0.0,0.34,0.0,0.35,0.27,0.27,0.36,0.35,0.45,0.44,0.36,0.27,0.35,0.0,0.41,0.0,0.27,0.34,0.36,0.0,0.36,0.37,0.27,0.36,0.44,0.46,0.36,0.35,0.35,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.47,0.44,0.31,0.27,0.35,0.36,0.27,0.26,0.0,0.43,0.27,0.35,0.0,0.27,0.0,0.45,0.34,0.35,0.45,0.35,0.36,0.36,0.46,0.35,0.46,0.44,0.35,0.35,0.27,0.35,0.35,0.35,0.44,0.36,0.0,0.45,0.36,0.35,0.44,0.0,0.44,0.36,0.36,0.37,0.0,0.0,0.37,0.27,0.0,0.0,0.44,0.42,0.0,0.27,0.27,0.26,0.27,0.27,0.45,0.27,0.27,0.27,0.33,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.44,0.0,0.36,0.47,0.46,0.46,0.45,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.41
07/15/2021,0.45,0.47,0.35,0.47,0.44,0.39,0.36,0.42,0.45,0.45,0.36,0.46,0.43,0.47,0.45,0.0,0.35,0.41,0.45,0.47,0.43,0.36,0.44,0.42,0.36,0.34,0.44,0.39,0.44,0.0,0.42,0.35,0.35,0.35,0.36,0.45,0.45,0.35,0.35,0.45,0.44,0.42,0.46,0.44,0.36,0.45,0.36,0.44,0.44,0.43,0.44,0.45,0.43,0.36,0.44,0.44,0.42,0.43,0.36,0.28,0.36,0.27,0.34,0.0,0.35,0.45,0.44,0.46,0.44,0.0,0.44,0.42,0.43,0.35,0.34,0.28,0.43,0.45,0.26,0.35,0.0,0.36,0.27,0.27,0.36,0.35,0.45,0.45,0.35,0.28,0.35,0.0,0.41,0.0,0.27,0.34,0.35,0.0,0.36,0.37,0.27,0.35,0.44,0.45,0.36,0.35,0.35,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.47,0.44,0.31,0.27,0.35,0.36,0.27,0.0,0.0,0.44,0.27,0.36,0.0,0.27,0.0,0.46,0.35,0.35,0.46,0.35,0.36,0.36,0.46,0.35,0.45,0.44,0.35,0.35,0.27,0.35,0.35,0.35,0.45,0.36,0.0,0.45,0.37,0.35,0.44,0.27,0.45,0.37,0.35,0.38,0.0,0.0,0.37,0.27,0.27,0.0,0.44,0.42,0.27,0.27,0.0,0.27,0.27,0.27,0.45,0.27,0.27,0.27,0.33,0.0,0.28,0.0,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.45,0.0,0.36,0.47,0.46,0.46,0.45,0.38,0.36,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.0,0.28,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37
07/16/2021,0.44,0.48,0.36,0.47,0.43,0.38,0.36,0.43,0.45,0.45,0.36,0.46,0.42,0.46,0.45,0.0,0.35,0.41,0.45,0.48,0.43,0.37,0.45,0.43,0.36,0.34,0.43,0.37,0.44,0.0,0.42,0.35,0.36,0.36,0.36,0.45,0.44,0.36,0.35,0.45,0.44,0.42,0.46,0.43,0.36,0.44,0.36,0.44,0.44,0.42,0.43,0.45,0.43,0.36,0.44,0.43,0.41,0.43,0.36,0.28,0.36,0.27,0.34,0.0,0.35,0.45,0.44,0.46,0.45,0.0,0.44,0.42,0.41,0.36,0.34,0.28,0.43,0.45,0.26,0.34,0.0,0.36,0.27,0.27,0.36,0.35,0.44,0.45,0.35,0.28,0.35,0.0,0.41,0.0,0.27,0.34,0.34,0.0,0.36,0.37,0.28,0.35,0.45,0.45,0.36,0.35,0.35,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.47,0.44,0.31,0.28,0.35,0.36,0.27,0.0,0.0,0.43,0.27,0.36,0.0,0.27,0.0,0.46,0.35,0.35,0.46,0.35,0.36,0.37,0.47,0.35,0.46,0.44,0.35,0.35,0.28,0.35,0.35,0.34,0.45,0.37,0.0,0.45,0.37,0.35,0.42,0.0,0.45,0.37,0.35,0.37,0.0,0.0,0.37,0.27,0.27,0.0,0.44,0.42,0.27,0.28,0.0,0.27,0.27,0.27,0.44,0.27,0.27,0.27,0.33,0.0,0.28,0.0,0.0,0.27,0.0,0.0,0.27,0.28,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.45,0.0,0.36,0.47,0.46,0.46,0.45,0.38,0.36,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.37,0.36,0.35,0.35,0.3,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.0,0.28,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.35000000000002
07/19/2021,0.49,0.46,0.34,0.46,0.43,0.38,0.36,0.39,0.45,0.45,0.35,0.46,0.42,0.47,0.45,0.0,0.35,0.39,0.45,0.48,0.44,0.38,0.45,0.42,0.36,0.33,0.42,0.35,0.42,0.0,0.4,0.34,0.36,0.36,0.37,0.45,0.43,0.36,0.36,0.46,0.45,0.42,0.46,0.43,0.37,0.46,0.37,0.45,0.45,0.43,0.44,0.46,0.43,0.37,0.43,0.43,0.4,0.43,0.37,0.28,0.36,0.27,0.35,0.0,0.36,0.46,0.44,0.46,0.45,0.0,0.45,0.41,0.42,0.36,0.35,0.29,0.43,0.43,0.0,0.34,0.0,0.36,0.0,0.27,0.36,0.35,0.44,0.46,0.35,0.29,0.35,0.0,0.4,0.0,0.0,0.35,0.35,0.0,0.36,0.38,0.28,0.36,0.44,0.45,0.37,0.34,0.35,0.0,0.0,0.0,0.27,0.27,0.27,0.0,0.47,0.44,0.32,0.28,0.35,0.37,0.27,0.0,0.0,0.43,0.27,0.36,0.0,0.28,0.0,0.47,0.35,0.35,0.47,0.35,0.37,0.37,0.47,0.35,0.45,0.44,0.35,0.35,0.28,0.35,0.36,0.35,0.44,0.38,0.0,0.46,0.36,0.35,0.43,0.27,0.45,0.36,0.35,0.37,0.0,0.0,0.38,0.27,0.0,0.0,0.44,0.41,0.27,0.28,0.0,0.0,0.28,0.0,0.44,0.0,0.28,0.27,0.32,0.0,0.27,0.0,0.0,0.28,0.0,0.0,0.27,0.28,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.42,0.0,0.36,0.48,0.45,0.44,0.46,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.37,0.35,0.36,0.37,0.35,0.37,0.36,0.35,0.35,0.3,0.28,0.27,0.28,0.27,0.27,0.27,0.28,0.27,0.27,0.28,0.27,0.27,0.28,0.0,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,73.47
07/20/2021,0.55,0.46,0.34,0.46,0.43,0.39,0.36,0.37,0.45,0.46,0.35,0.45,0.42,0.45,0.45,0.0,0.34,0.39,0.45,0.49,0.44,0.38,0.45,0.41,0.36,0.33,0.41,0.35,0.43,0.0,0.39,0.35,0.36,0.36,0.37,0.46,0.44,0.36,0.37,0.47,0.44,0.4,0.47,0.43,0.38,0.46,0.37,0.46,0.45,0.43,0.42,0.45,0.44,0.37,0.42,0.43,0.4,0.43,0.37,0.28,0.37,0.28,0.35,0.0,0.36,0.47,0.44,0.47,0.45,0.0,0.45,0.4,0.43,0.37,0.35,0.29,0.42,0.43,0.0,0.33,0.0,0.36,0.0,0.28,0.36,0.34,0.43,0.46,0.34,0.28,0.35,0.0,0.4,0.0,0.0,0.35,0.35,0.0,0.36,0.39,0.28,0.36,0.44,0.46,0.37,0.35,0.34,0.0,0.0,0.0,0.26,0.27,0.28,0.0,0.47,0.44,0.32,0.28,0.35,0.38,0.27,0.0,0.0,0.43,0.27,0.35,0.0,0.29,0.0,0.47,0.34,0.34,0.47,0.34,0.38,0.38,0.46,0.35,0.46,0.42,0.34,0.34,0.29,0.35,0.35,0.34,0.44,0.39,0.0,0.46,0.36,0.35,0.43,0.0,0.46,0.36,0.35,0.37,0.0,0.0,0.38,0.27,0.0,0.0,0.44,0.41,0.27,0.28,0.0,0.0,0.28,0.0,0.43,0.0,0.28,0.27,0.31,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.27,0.28,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.41,0.0,0.36,0.48,0.45,0.45,0.44,0.37,0.38,0.38,0.38,0.37,0.35,0.37,0.37,0.35,0.36,0.38,0.36,0.37,0.36,0.36,0.35,0.3,0.28,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.26,0.28,0.27,0.26,0.27,0.26,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.0,0.0,0.0,0.0,0.0,0.0,73.44
07/21/2021,0.55,0.46,0.34,0.46,0.43,0.39,0.36,0.37,0.45,0.46,0.35,0.45,0.42,0.45,0.45,0.0,0.34,0.39,0.45,0.49,0.44,0.38,0.45,0.41,0.36,0.33,0.41,0.35,0.43,0.0,0.39,0.35,0.36,0.36,0.37,0.46,0.44,0.36,0.37,0.47,0.44,0.4,0.47,0.43,0.38,0.46,0.37,0.46,0.45,0.43,0.42,0.45,0.44,0.37,0.42,0.43,0.4,0.43,0.37,0.28,0.37,0.28,0.35,0.0,0.36,0.47,0.44,0.47,0.45,0.0,0.45,0.4,0.43,0.37,0.35,0.29,0.42,0.43,0.0,0.33,0.0,0.36,0.0,0.28,0.36,0.34,0.43,0.46,0.34,0.28,0.35,0.0,0.4,0.0,0.0,0.35,0.35,0.0,0.36,0.39,0.28,0.36,0.44,0.46,0.37,0.35,0.34,0.0,0.0,0.0,0.26,0.27,0.28,0.0,0.47,0.44,0.32,0.28,0.35,0.38,0.27,0.0,0.0,0.43,0.27,0.35,0.0,0.29,0.0,0.47,0.34,0.34,0.47,0.34,0.38,0.38,0.46,0.35,0.46,0.42,0.34,0.34,0.29,0.35,0.35,0.34,0.44,0.39,0.0,0.46,0.36,0.35,0.43,0.0,0.46,0.36,0.35,0.37,0.0,0.0,0.38,0.27,0.0,0.0,0.44,0.41,0.27,0.28,0.0,0.0,0.28,0.0,0.43,0.0,0.28,0.27,0.31,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.27,0.28,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.27,0.0,0.41,0.0,0.36,0.48,0.45,0.45,0.44,0.37,0.38,0.38,0.38,0.37,0.35,0.37,0.37,0.35,0.36,0.38,0.36,0.37,0.36,0.36,0.35,0.3,0.28,0.28,0.29,0.27,0.28,0.27,0.28,0.27,0.26,0.28,0.27,0.26,0.27,0.26,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.0,0.0,0.0,0.0,0.0,0.0,73.44
07/22/2021,0.61,0.48,0.34,0.45,0.42,0.45,0.36,0.36,0.44,0.44,0.35,0.44,0.42,0.44,0.44,0.0,0.34,0.4,0.45,0.49,0.44,0.38,0.45,0.41,0.36,0.33,0.41,0.37,0.43,0.0,0.4,0.34,0.35,0.36,0.37,0.47,0.44,0.36,0.39,0.46,0.44,0.41,0.46,0.43,0.37,0.46,0.37,0.47,0.45,0.44,0.41,0.44,0.43,0.37,0.42,0.44,0.42,0.44,0.38,0.28,0.35,0.27,0.36,0.0,0.35,0.47,0.44,0.46,0.45,0.0,0.45,0.4,0.44,0.37,0.34,0.29,0.42,0.45,0.0,0.32,0.0,0.35,0.0,0.27,0.36,0.34,0.43,0.45,0.34,0.27,0.35,0.0,0.4,0.0,0.26,0.35,0.35,0.0,0.36,0.39,0.27,0.36,0.44,0.45,0.37,0.35,0.35,0.0,0.0,0.0,0.27,0.27,0.28,0.0,0.48,0.45,0.32,0.28,0.34,0.38,0.26,0.26,0.0,0.42,0.27,0.34,0.0,0.29,0.0,0.46,0.33,0.34,0.47,0.33,0.38,0.38,0.48,0.35,0.45,0.41,0.33,0.34,0.29,0.35,0.34,0.33,0.44,0.39,0.0,0.46,0.35,0.35,0.43,0.0,0.46,0.37,0.33,0.36,0.0,0.26,0.38,0.27,0.0,0.0,0.45,0.41,0.27,0.28,0.0,0.26,0.28,0.0,0.43,0.0,0.28,0.27,0.31,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.26,0.28,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.28,0.27,0.0,0.43,0.0,0.36,0.48,0.45,0.45,0.43,0.38,0.38,0.39,0.38,0.38,0.35,0.37,0.37,0.35,0.36,0.38,0.38,0.37,0.37,0.36,0.35,0.3,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.0,0.28,0.27,0.0,0.27,0.27,0.26,0.27,0.0,0.26,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.45000000000002
