,DCP,OXY,WES,COP,PXD,FANG,EOG,DVN,MRO,HES,CPE,OVV,COG,APA,AR,EQT,MTDR,RRC,SWN,SM,MUR,PDCE,HESM,MGY,CNX,WLL,TELL,CDEV,OAS,LPI,ERF.TO,VET.TO,BCEI,CRK,WTI,MCF,TALO,ESTE,US Dollar,W&T Offshore Inc,MISXX,018000.KQ,Morgan Stanley Instl Lqudty Trs Instl,n/a,SUM
07/09/2021,5.0,4.8,4.42,4.41,4.32,4.27,4.25,4.2,3.95,3.94,3.56,3.52,3.49,3.45,3.26,3.2,3.03,2.98,2.91,2.65,2.47,2.22,2.02,1.98,1.89,1.87,1.82,1.79,1.47,1.36,1.23,1.13,0.86,0.73,0.65,0.37,0.27,0.15,0.1,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/12/2021,4.92,4.72,4.35,4.37,4.21,4.16,4.17,4.29,3.94,3.86,3.45,3.54,3.59,3.43,3.48,3.34,3.12,3.21,2.96,2.59,2.51,2.18,1.96,2.0,1.96,1.87,1.81,1.82,1.48,1.28,1.22,1.09,0.84,0.73,0.62,0.38,0.26,0.15,0.16,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,4.92,4.72,4.35,4.37,4.21,4.16,4.17,4.29,3.94,3.86,3.45,3.54,3.59,3.43,3.48,3.34,3.12,3.21,2.96,2.59,2.51,2.18,1.96,2.0,1.96,1.87,1.81,1.82,1.48,1.28,1.22,1.09,0.84,0.73,0.62,0.38,0.26,0.15,0.16,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,4.93,4.72,4.36,4.38,4.21,4.16,4.17,4.3,3.94,3.86,3.46,3.54,3.59,3.43,3.48,3.34,3.12,3.21,2.96,2.59,2.51,2.19,1.96,2.0,1.96,1.87,1.82,1.82,1.48,1.29,1.22,1.09,0.84,0.73,0.0,0.38,0.26,0.15,0.0,0.62,0.08,0.0,0.0,0.0,100.02000000000002
07/15/2021,4.89,4.72,4.35,4.38,4.22,4.21,4.24,4.34,3.99,3.92,3.43,3.56,3.63,3.43,3.36,3.32,3.14,3.18,2.95,2.55,2.49,2.18,1.95,2.05,1.94,1.85,1.85,1.86,1.44,1.23,1.23,1.07,0.84,0.72,0.0,0.39,0.26,0.15,0.0,0.61,0.08,0.0,0.0,0.0,100.0
07/16/2021,4.76,4.78,4.27,4.4,4.26,4.26,4.25,4.42,3.96,3.92,3.41,3.55,3.66,3.42,3.4,3.35,3.18,3.22,3.01,2.52,2.46,2.18,1.96,2.04,1.94,1.86,1.69,1.83,1.48,1.2,1.22,1.06,0.83,0.74,0.0,0.39,0.26,0.16,0.0,0.62,0.08,0.0,0.0,0.0,100.0
07/19/2021,4.94,4.66,4.43,4.55,4.3,4.17,4.21,4.38,3.98,3.95,3.19,3.51,3.68,3.38,3.53,3.36,3.14,3.22,3.01,2.46,2.44,2.22,2.08,2.04,2.01,1.79,1.77,1.7,1.44,1.13,1.23,1.07,0.81,0.73,0.0,0.37,0.25,0.15,0.0,0.6,0.11,0.0,0.0,0.0,99.99
07/20/2021,5.03,4.63,4.54,4.61,4.29,4.16,4.26,4.41,3.99,4.01,3.0,3.45,3.76,3.42,3.46,3.33,3.19,3.22,3.0,2.39,2.43,2.17,2.13,2.03,2.03,1.78,1.72,1.68,1.46,1.1,1.23,1.07,0.81,0.74,0.59,0.38,0.24,0.15,0.0,0.0,0.0,0.0,0.11,0.0,100.0
07/21/2021,5.03,4.63,4.54,4.61,4.29,4.16,4.26,4.41,3.99,4.01,3.0,3.45,3.76,3.42,3.46,3.33,3.19,3.22,3.0,2.39,2.43,2.17,2.13,2.03,2.03,1.78,1.72,1.68,1.46,1.1,1.23,1.07,0.81,0.74,0.0,0.38,0.24,0.15,0.0,0.59,0.11,0.0,0.0,0.0,100.0
07/22/2021,5.03,4.63,4.54,4.61,4.29,4.16,4.26,4.41,3.99,4.01,3.0,3.45,3.76,3.42,3.46,3.33,3.19,3.22,3.0,2.39,2.43,2.17,2.13,2.03,2.03,1.78,1.72,1.68,1.46,1.1,1.23,1.07,0.81,0.74,0.59,0.38,0.24,0.15,0.0,0.0,0.0,0.0,0.11,0.0,100.0
