,VCSH,PULS,CMBS,VCLT,EMLC,VTV,SCHP,TLH,SPHY,NFRA,BCI,GQRE,ACWV,VCIT,BAR,VYMI,SMMV,MXI,VIGI,RYT,DVYE,LOW,SUSC,LDEM,HD,JEPI,SHW,ZG,SWK,CARR,n/a,TOL,LEN.B,WSM,MAS,OC,FND,WHR,TREX,PHM,GBTC,ETHE,SUM
10/15/2021,10.95,9.56,8.63,6.96,6.88,5.49,5.1,4.95,3.66,3.35,3.27,2.93,2.83,2.01,2.0,1.99,1.98,1.93,1.9,1.42,1.13,1.04,1.0,0.98,0.97,0.86,0.72,0.72,0.57,0.48,0.46,0.45,0.45,0.43,0.37,0.37,0.34,0.33,0.26,0.18,0.05,0.04,99.99
10/18/2021,10.84,9.46,8.52,6.99,6.86,5.52,5.08,4.94,3.64,3.38,3.29,2.97,2.85,2.0,2.02,1.99,1.99,1.97,1.92,1.45,1.12,1.06,1.0,0.99,0.98,0.87,0.71,0.73,0.58,0.5,0.46,0.46,0.46,0.44,0.38,0.37,0.35,0.33,0.26,0.18,0.05,0.04,100.0
10/19/2021,10.82,9.45,8.52,6.96,6.87,5.56,5.07,4.9,3.63,3.38,3.29,2.97,2.85,1.99,1.98,2.0,1.98,1.97,1.93,1.45,1.12,1.07,1.0,1.0,1.0,0.87,0.72,0.73,0.59,0.5,0.46,0.45,0.45,0.44,0.39,0.37,0.35,0.34,0.27,0.18,0.06,0.04,99.97
10/20/2021,10.82,9.45,8.52,6.96,6.87,5.56,5.07,4.9,3.63,3.38,3.29,2.97,2.85,1.99,1.98,2.0,1.98,1.97,1.93,1.45,1.12,1.07,1.0,1.0,1.0,0.87,0.72,0.73,0.59,0.5,0.46,0.45,0.45,0.44,0.39,0.37,0.35,0.34,0.27,0.18,0.06,0.04,99.97
10/21/2021,10.82,9.46,8.53,6.97,6.84,5.55,5.06,4.92,3.63,3.38,3.26,2.98,2.85,1.99,1.98,2.0,1.98,1.97,1.93,1.47,1.13,1.08,1.0,1.0,1.01,0.87,0.73,0.66,0.6,0.51,0.46,0.46,0.47,0.45,0.39,0.38,0.36,0.34,0.27,0.18,0.06,0.04,100.02
10/22/2021,10.8,9.45,8.54,6.9,6.85,5.59,5.04,4.86,3.63,3.4,3.27,2.97,2.87,1.98,1.99,2.01,1.98,1.97,1.94,1.48,1.13,1.09,0.99,1.01,1.02,0.87,0.73,0.69,0.6,0.51,0.46,0.46,0.47,0.45,0.39,0.37,0.36,0.33,0.28,0.18,0.06,0.04,100.01
10/25/2021,10.78,9.42,8.47,6.85,6.84,5.63,5.04,4.83,3.62,3.44,3.31,2.99,2.87,1.97,2.0,2.01,1.99,1.97,1.94,1.47,1.12,1.1,0.99,1.01,1.02,0.88,0.73,0.69,0.61,0.5,0.46,0.47,0.47,0.46,0.39,0.37,0.36,0.34,0.27,0.18,0.06,0.05,99.97
10/26/2021,10.75,9.42,8.45,6.88,6.77,5.64,5.06,4.85,3.61,3.45,3.26,3.0,2.88,1.97,2.01,2.0,1.99,1.95,1.94,1.48,1.11,1.11,0.99,1.0,1.04,0.88,0.75,0.72,0.61,0.51,0.46,0.47,0.47,0.46,0.4,0.36,0.39,0.35,0.27,0.18,0.06,0.05,100.0
10/27/2021,10.75,9.42,8.45,6.88,6.77,5.64,5.06,4.85,3.61,3.45,3.26,3.0,2.88,1.97,2.01,2.0,1.99,1.95,1.94,1.48,1.11,1.11,0.99,1.0,1.04,0.88,0.75,0.72,0.61,0.51,0.46,0.47,0.47,0.46,0.4,0.36,0.39,0.35,0.27,0.18,0.06,0.05,100.0
10/28/2021,10.74,9.4,8.45,6.87,6.77,5.63,5.06,4.84,3.61,3.42,3.31,3.0,2.87,1.97,2.02,2.0,1.99,1.96,1.94,1.48,1.11,1.13,0.99,1.0,1.05,0.88,0.75,0.74,0.61,0.51,0.46,0.47,0.47,0.45,0.4,0.37,0.39,0.34,0.28,0.18,0.06,0.05,100.02
