,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,HD,PYPL,PG,MA,DIS,BAC,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CSCO,CRM,PFE,KO,T,ABT,CVX,PEP,ABBV,TMO,NKE,MRK,WMT,AVGO,ACN,WFC,LLY,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,LIN,UPS,UNP,BMY,C,ORCL,NEE,AMGN,LOW,MS,INTU,SBUX,BA,IBM,RTX,GS,AMAT,BLK,TGT,AMT,CAT,GE,MMM,AMD,DE,SCHW,ISRG,AXP,CVS,NOW,CHTR,SPGI,ANTM,LMT,BKNG,LRCX,ZTS,MU,FIS,MO,PLD,MDLZ,GILD,SYK,ADP,COP,TMUS,CI,CCI,TJX,PNC,USB,CME,DUK,TFC,GM,CSX,FDX,CB,ATVI,MMC,COF,EL,BDX,EQIX,CL,ILMN,NSC,SHW,ICE,EW,SO,ADSK,ITW,FISV,APD,ADI,BSX,REGN,ETN,D,MCO,F,EMR,PGR,HUM,NOC,GPN,HCA,NXPI,WM,IDXX,FCX,TWTR,AON,DG,BIIB,VRTX,ECL,NEM,ROP,EOG,4338.SR,KLAC,DOW,SLB,PSA,IQV,JCI,TROW,MET,TEL,KMB,EBAY,A,ALGN,LHX,ROST,TT,MSCI,CMG,EXC,GD,SPG,SNPS,APTV,CNC,BK,DD,AEP,INFO,DLR,APH,AIG,BAX,PRU,DXCM,EA,ALXN,CARR,SRE,PPG,PH,ALL,ORLY,STZ,MPC,MCHP,SYY,PXD,CDNS,TRV,HPQ,DFS,ELPE.AT,MSI,WELL,GIS,RMD,MRNA,MAR,FTNT,YUM,CTSH,SUM
07/09/2021,5.89,5.58,4.02,2.32,2.01,1.97,1.46,1.43,1.38,1.3,1.19,1.09,1.04,0.94,0.92,0.91,0.89,0.88,0.86,0.76,0.73,0.72,0.64,0.63,0.62,0.61,0.61,0.6,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.48,0.48,0.47,0.47,0.46,0.44,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31
07/12/2021,6.15,5.71,4.29,2.28,2.06,2.01,1.44,1.35,1.38,1.26,1.2,1.1,1.05,0.94,0.94,0.91,0.89,0.85,0.82,0.78,0.69,0.72,0.64,0.63,0.61,0.61,0.62,0.59,0.57,0.56,0.57,0.54,0.56,0.56,0.56,0.55,0.54,0.52,0.52,0.53,0.48,0.51,0.47,0.48,0.47,0.48,0.47,0.43,0.42,0.41,0.41,0.42,0.41,0.41,0.38,0.43,0.4,0.38,0.38,0.37,0.37,0.37,0.35,0.34,0.35,0.34,0.33,0.35,0.33,0.33,0.32,0.31,0.31,0.29,0.3,0.28,0.3,0.3,0.29,0.3,0.28,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52000000000001
07/13/2021,6.15,5.71,4.29,2.28,2.06,2.01,1.44,1.35,1.38,1.26,1.2,1.1,1.05,0.94,0.94,0.91,0.89,0.85,0.82,0.78,0.69,0.72,0.64,0.63,0.61,0.61,0.62,0.59,0.57,0.56,0.57,0.54,0.56,0.56,0.56,0.55,0.54,0.52,0.52,0.53,0.48,0.51,0.47,0.48,0.47,0.48,0.47,0.43,0.42,0.41,0.41,0.42,0.41,0.41,0.38,0.43,0.4,0.38,0.38,0.37,0.37,0.37,0.35,0.34,0.35,0.34,0.33,0.35,0.33,0.33,0.32,0.31,0.31,0.29,0.3,0.28,0.3,0.3,0.29,0.3,0.28,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52000000000001
07/14/2021,6.15,5.65,4.3,2.27,2.04,2.0,1.44,1.37,1.35,1.27,1.2,1.09,1.05,0.93,0.95,0.91,0.88,0.87,0.82,0.78,0.7,0.71,0.64,0.63,0.61,0.61,0.61,0.6,0.57,0.55,0.57,0.54,0.56,0.55,0.55,0.55,0.53,0.52,0.53,0.53,0.49,0.5,0.47,0.49,0.47,0.47,0.47,0.43,0.42,0.42,0.41,0.42,0.4,0.41,0.39,0.44,0.4,0.38,0.37,0.37,0.37,0.37,0.36,0.34,0.35,0.34,0.33,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.3,0.28,0.3,0.3,0.29,0.3,0.28,0.27,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.41000000000001
07/15/2021,6.11,5.62,4.29,2.28,2.05,2.01,1.43,1.42,1.38,1.29,1.2,1.08,1.06,0.93,0.95,0.91,0.88,0.9,0.83,0.77,0.7,0.72,0.64,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.57,0.54,0.55,0.56,0.54,0.55,0.53,0.52,0.53,0.53,0.49,0.5,0.47,0.48,0.47,0.47,0.46,0.43,0.41,0.42,0.41,0.41,0.4,0.41,0.39,0.43,0.4,0.38,0.37,0.37,0.37,0.37,0.35,0.34,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.35000000000001
07/16/2021,6.11,5.62,4.29,2.28,2.05,2.01,1.43,1.42,1.38,1.29,1.2,1.08,1.06,0.93,0.95,0.91,0.88,0.9,0.83,0.77,0.7,0.72,0.64,0.62,0.62,0.6,0.6,0.6,0.57,0.55,0.57,0.54,0.55,0.56,0.54,0.55,0.53,0.52,0.53,0.53,0.49,0.5,0.47,0.48,0.47,0.47,0.46,0.43,0.41,0.42,0.41,0.41,0.4,0.41,0.39,0.43,0.4,0.38,0.37,0.37,0.37,0.37,0.35,0.34,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.3,0.29,0.3,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.35000000000001
07/19/2021,6.32,5.74,4.25,2.25,2.08,2.04,1.43,1.36,1.34,1.27,1.21,1.12,1.06,0.93,0.95,0.91,0.92,0.9,0.8,0.79,0.68,0.71,0.65,0.63,0.62,0.61,0.6,0.6,0.59,0.54,0.56,0.53,0.57,0.56,0.54,0.55,0.53,0.53,0.53,0.54,0.5,0.51,0.47,0.49,0.48,0.47,0.46,0.44,0.42,0.43,0.41,0.41,0.4,0.41,0.38,0.44,0.4,0.38,0.37,0.37,0.37,0.38,0.33,0.34,0.35,0.35,0.34,0.34,0.34,0.34,0.31,0.3,0.32,0.29,0.29,0.28,0.3,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.24,0.26,0.24,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.21,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.11,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.66000000000001
07/20/2021,6.31,5.73,4.21,2.24,2.06,2.03,1.44,1.36,1.28,1.27,1.2,1.14,1.07,0.94,0.94,0.93,0.92,0.9,0.8,0.78,0.68,0.72,0.65,0.63,0.61,0.61,0.59,0.6,0.59,0.55,0.56,0.53,0.58,0.56,0.55,0.56,0.53,0.53,0.53,0.54,0.5,0.5,0.47,0.49,0.48,0.48,0.46,0.43,0.42,0.44,0.41,0.41,0.4,0.41,0.39,0.43,0.41,0.38,0.38,0.38,0.37,0.38,0.33,0.34,0.35,0.35,0.33,0.34,0.34,0.34,0.31,0.3,0.32,0.28,0.29,0.29,0.3,0.31,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.24,0.26,0.23,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.21,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.14,0.12,0.0,0.13,0.12,0.11,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.1,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.66000000000001
07/21/2021,6.27,5.76,4.17,2.23,2.08,2.05,1.44,1.36,1.24,1.25,1.2,1.15,1.08,0.94,0.94,0.94,0.92,0.89,0.78,0.79,0.66,0.72,0.64,0.64,0.61,0.62,0.6,0.61,0.6,0.55,0.57,0.52,0.59,0.56,0.56,0.55,0.54,0.53,0.52,0.54,0.5,0.5,0.47,0.49,0.48,0.49,0.46,0.43,0.42,0.44,0.41,0.41,0.4,0.41,0.38,0.44,0.42,0.39,0.38,0.37,0.37,0.38,0.33,0.34,0.35,0.34,0.32,0.34,0.34,0.34,0.31,0.3,0.31,0.28,0.29,0.28,0.3,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.23,0.26,0.23,0.25,0.24,0.26,0.25,0.23,0.23,0.24,0.2,0.24,0.22,0.24,0.22,0.21,0.21,0.2,0.22,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.14,0.16,0.15,0.16,0.15,0.16,0.16,0.14,0.15,0.16,0.13,0.14,0.14,0.15,0.13,0.14,0.15,0.13,0.14,0.12,0.0,0.12,0.12,0.11,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,83.60000000000002
07/22/2021,6.27,5.76,4.17,2.23,2.08,2.05,1.44,1.36,1.24,1.25,1.2,1.15,1.08,0.94,0.94,0.94,0.92,0.89,0.78,0.79,0.66,0.72,0.64,0.64,0.61,0.62,0.6,0.61,0.6,0.55,0.57,0.52,0.59,0.56,0.56,0.55,0.54,0.53,0.52,0.54,0.5,0.5,0.47,0.49,0.48,0.49,0.46,0.43,0.42,0.44,0.41,0.41,0.4,0.41,0.38,0.44,0.42,0.39,0.38,0.37,0.37,0.38,0.33,0.34,0.35,0.34,0.32,0.34,0.34,0.34,0.31,0.3,0.31,0.28,0.29,0.28,0.3,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.24,0.23,0.26,0.23,0.25,0.24,0.26,0.25,0.23,0.23,0.24,0.2,0.24,0.22,0.24,0.22,0.21,0.21,0.2,0.22,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.14,0.16,0.15,0.16,0.15,0.16,0.16,0.14,0.15,0.16,0.13,0.14,0.14,0.15,0.13,0.14,0.15,0.13,0.14,0.12,0.0,0.12,0.12,0.11,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,83.60000000000002
