,857 HK,386 HK,1088 HK,1171 HK,2883 HK,000983 C2,601699 C1,002353 C2,WPL.AX,600256 C1,900948.SZ,601872 C1,601225 C1,934.HK,000723 C2,600026 C1,600583 C1,600188 C1,CASH,601857 C1,601088 C1,600028 C1,900948.SS,857.HK,1171.HK,SNPMF,1088.HK,2883.HK,601699.SS,000983.SZ,000723.SZ,600256.SS,002353.SZ,601225.SS,601872.SS,600583.SS,600026.SS,600188.SS,601857.SS,600028.SS,601088.SS,7342.T,Cash,B 08/12/21,n/a,SUM
07/09/2021,10.36,8.17,7.54,6.79,6.7,5.51,5.4,5.23,4.6,4.6,4.45,4.45,4.37,4.23,4.1,3.93,3.89,2.79,1.59,0.47,0.42,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,10.24,8.43,7.93,6.94,6.67,5.32,5.02,5.29,4.8,4.74,0.0,4.52,4.08,4.48,4.24,4.11,4.06,2.73,0.3,0.49,0.44,0.44,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,10.24,8.43,7.93,6.94,6.67,5.32,5.02,5.29,4.8,4.74,0.0,4.52,4.08,4.48,4.24,4.11,4.06,2.73,0.3,0.49,0.44,0.44,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,10.13,8.32,7.87,7.06,6.62,5.29,5.05,5.43,4.77,4.74,0.0,4.38,4.14,4.4,4.32,4.14,4.04,2.92,0.31,0.49,0.4,0.43,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/15/2021,10.05,8.28,7.82,6.98,6.68,5.37,5.11,5.29,4.8,4.77,0.0,4.29,4.12,4.43,4.42,4.21,4.09,2.86,0.3,0.49,0.39,0.43,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,9.9,8.25,7.76,7.19,6.89,5.59,5.47,5.04,4.59,4.75,0.0,4.17,4.15,4.38,4.4,4.14,3.99,3.01,0.29,0.48,0.38,0.43,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,9.69,8.19,7.79,7.69,6.84,5.49,5.58,4.78,4.51,4.73,0.0,4.07,4.32,4.3,4.27,3.94,3.87,3.33,0.48,0.46,0.38,0.42,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,9.69,8.19,7.79,7.69,6.84,5.49,5.58,4.78,4.51,4.73,0.0,4.07,4.32,4.3,4.27,3.94,3.87,3.33,0.48,0.46,0.38,0.42,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,9.49,8.13,7.79,7.99,6.54,5.66,5.67,4.64,4.44,4.93,0.0,4.03,4.31,4.25,4.32,3.91,3.84,3.46,0.46,0.46,0.39,0.42,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/22/2021,9.5,7.99,7.83,8.2,6.4,5.54,5.76,4.6,4.34,5.02,0.0,4.02,4.31,4.29,4.41,3.93,3.8,3.55,0.45,0.45,0.39,0.41,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
