,PAPR,PMAY,PJAN,PMAR,PFEB,PDEC,PJUN,PSEP,PNOV,POCT,PJUL,Innovator S&P 500 Power Buffer ETF - Aug,605277.SS,U.S. Bank Money Market Deposit Account,PAUG,Innovator S&P 500 Power Buffer ETF July,n/a,603087.SS,SUM
07/09/2021,8.38,8.36,8.36,8.36,8.35,8.34,8.33,8.33,8.31,8.31,8.29,8.28,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,8.39,8.37,8.35,8.37,8.35,8.34,8.34,8.32,8.31,8.29,8.3,8.27,0.0,0.01,0.0,0.0,0.0,0.0,100.01
07/13/2021,8.39,8.37,8.35,8.37,8.35,8.34,8.34,8.32,8.31,8.29,8.3,8.27,0.0,0.01,0.0,0.0,0.0,0.0,100.01
07/14/2021,8.36,8.39,8.35,8.37,8.34,8.34,8.32,8.33,8.32,8.3,0.0,0.0,0.0,0.01,8.29,8.28,0.0,0.0,100.0
07/15/2021,8.39,8.39,8.35,8.39,8.35,8.34,8.34,8.31,8.28,8.28,8.3,8.26,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/16/2021,8.39,8.39,8.35,8.39,8.35,8.34,8.34,8.31,8.28,8.28,8.3,8.26,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/19/2021,8.38,8.39,8.35,8.36,8.35,8.34,8.34,8.32,8.32,8.29,8.3,8.27,0.0,0.01,0.0,0.0,0.0,0.0,100.02
07/20/2021,8.38,8.39,8.34,8.37,8.36,8.35,8.33,8.33,8.3,8.3,8.29,8.28,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/21/2021,8.36,8.34,8.34,8.35,8.34,8.33,8.32,8.34,8.31,8.32,0.0,0.0,0.0,0.1,8.29,8.27,0.0,0.0,100.00999999999998
07/22/2021,8.36,8.34,8.34,8.35,8.34,8.33,8.32,8.34,8.31,8.32,0.0,0.0,0.0,0.1,8.29,8.27,0.0,0.0,100.00999999999998
07/23/2021,8.36,8.34,8.34,8.35,8.34,8.33,8.32,8.34,8.31,8.32,0.0,0.0,0.0,0.1,8.29,8.27,0.0,0.0,100.00999999999998
07/26/2021,8.38,8.36,8.34,8.35,8.35,8.35,8.32,8.32,8.28,8.3,8.29,8.26,0.0,0.1,0.0,0.0,0.0,0.0,100.0
07/27/2021,8.38,8.36,8.34,8.35,8.35,8.35,8.32,8.32,8.28,8.3,8.29,8.26,0.0,0.1,0.0,0.0,0.0,0.0,100.0
07/28/2021,8.39,8.38,8.33,8.36,8.35,8.33,8.34,8.31,8.28,8.29,8.29,8.26,0.0,0.1,0.0,0.0,0.0,0.0,100.01
07/29/2021,8.38,8.38,8.34,8.36,8.35,8.32,8.34,8.31,8.27,8.29,8.31,8.26,0.0,0.1,0.0,0.0,0.0,0.0,100.01
07/30/2021,8.38,8.38,8.34,8.36,8.35,8.32,8.34,8.31,8.27,8.29,8.31,8.26,0.0,0.1,0.0,0.0,0.0,0.0,100.01
08/02/2021,8.38,8.39,8.35,8.34,8.35,8.32,8.34,8.31,8.28,8.28,8.3,8.27,0.0,0.1,0.0,0.0,0.0,0.0,100.01
08/03/2021,8.38,8.39,8.35,8.34,8.35,8.32,8.34,8.31,8.28,8.28,8.3,8.27,0.0,0.1,0.0,0.0,0.0,0.0,100.01
08/04/2021,8.38,8.39,8.35,8.34,8.35,8.32,8.34,8.31,8.28,8.28,8.3,8.27,0.0,0.1,0.0,0.0,0.0,0.0,100.01
08/05/2021,8.38,8.39,8.35,8.34,8.35,8.32,8.34,8.31,8.28,8.28,8.3,8.27,0.0,0.1,0.0,0.0,0.0,0.0,100.01
08/06/2021,8.38,8.41,8.34,8.35,8.33,8.32,8.34,8.3,8.28,8.28,8.3,8.27,0.0,0.1,0.0,0.0,0.0,0.0,100.0
08/25/2021,8.37,8.39,8.33,8.35,8.34,8.33,8.35,8.32,0.0,8.29,8.29,0.0,0.0,0.0,8.28,0.0,8.27,0.08,99.98999999999998
08/26/2021,8.37,8.39,8.33,8.35,8.34,8.33,8.35,8.32,0.0,8.29,8.29,0.0,0.0,0.0,8.28,0.0,8.27,0.08,99.98999999999998
08/30/2021,8.38,8.39,8.33,8.36,8.34,8.33,8.36,8.3,8.27,0.0,8.3,0.0,0.0,0.0,8.29,0.0,8.26,0.08,99.99
08/31/2021,8.38,8.39,8.33,8.36,8.34,8.33,8.36,8.3,8.27,0.0,8.3,0.0,0.0,0.0,8.29,0.0,8.26,0.08,99.99
09/01/2021,8.38,8.4,8.33,8.36,8.34,8.32,8.36,8.29,8.27,0.0,8.32,0.0,0.0,0.0,8.3,0.0,8.24,0.08,99.99
09/03/2021,8.39,8.42,8.34,8.36,8.35,8.31,8.37,8.28,8.26,0.0,8.32,0.0,0.0,0.0,8.29,0.0,8.24,0.08,100.01
09/06/2021,8.39,8.42,8.34,8.36,8.35,8.3,8.37,8.29,8.26,0.0,8.32,0.0,0.0,0.0,8.28,0.0,8.24,0.08,100.0
09/07/2021,8.39,8.41,8.34,8.36,8.35,8.3,8.37,8.3,8.24,8.24,8.32,0.0,0.0,0.0,8.29,0.0,0.08,0.0,99.99
