,NIO,ENPH,TSLA,ALB,PLUG,XPEV,SEDG,RUN,CREE,ON,BEP.UN.TO,OLED,FSLR,AYI,LFUS,NEP,BLDP.TO,SPWR,POWI,HASI,ITRI,NOVA,AY,AEIS,ENS,DQ,ORA,BE,VICR,REGI,LTHM,FCEL,CSIQ,SQM,AMRC,CWEN,JKS,ARRY,TPIC,WKHS,BLNK,NIU,AZRE,MAXN,AMSC,CBAT,GPV.V,SOL,US Dollar,IEA,OIIM,LYTS,OESX,FLUX,018000.KQ,Flux Power Holdings Inc,SUM
07/09/2021,9.43,7.78,7.64,5.98,5.67,4.97,3.86,3.66,3.53,3.46,3.37,3.27,3.08,1.93,1.93,1.87,1.71,1.62,1.6,1.44,1.41,1.39,1.35,1.34,1.31,1.24,1.23,1.19,1.09,0.93,0.89,0.86,0.83,0.79,0.69,0.69,0.69,0.64,0.55,0.54,0.5,0.43,0.38,0.28,0.16,0.12,0.12,0.11,0.1,0.09,0.07,0.06,0.05,0.04,0.0,0.0,99.95999999999998
07/12/2021,8.8,7.81,7.85,6.42,5.23,4.64,3.87,3.51,3.54,3.52,3.42,3.36,3.22,2.03,2.03,1.87,1.65,1.58,1.64,1.45,1.43,1.34,1.35,1.34,1.36,1.29,1.28,1.09,1.11,1.01,0.95,0.85,0.8,0.86,0.69,0.72,0.74,0.66,0.54,0.52,0.49,0.49,0.41,0.27,0.15,0.12,0.12,0.11,0.1,0.1,0.07,0.06,0.05,0.04,0.0,0.0,99.95
07/13/2021,8.8,7.81,7.85,6.42,5.23,4.64,3.87,3.51,3.54,3.52,3.42,3.36,3.22,2.03,2.03,1.87,1.65,1.58,1.64,1.45,1.43,1.34,1.35,1.34,1.36,1.29,1.28,1.09,1.11,1.01,0.95,0.85,0.8,0.86,0.69,0.72,0.74,0.66,0.54,0.52,0.49,0.49,0.41,0.27,0.15,0.12,0.12,0.11,0.1,0.1,0.07,0.06,0.05,0.04,0.0,0.0,99.95
07/14/2021,8.81,7.81,7.85,6.42,5.23,4.64,3.87,3.51,3.54,3.52,3.42,3.36,3.22,2.03,2.03,1.87,1.65,1.58,1.64,1.45,1.44,1.34,1.35,1.34,1.36,1.29,1.28,1.09,1.11,1.01,0.95,0.85,0.8,0.86,0.69,0.72,0.74,0.66,0.54,0.52,0.49,0.49,0.41,0.27,0.15,0.12,0.12,0.11,0.0,0.1,0.07,0.06,0.05,0.0,0.08,0.04,99.95
07/15/2021,8.82,7.77,8.06,6.75,5.08,4.55,3.83,3.59,3.5,3.53,3.35,3.32,3.23,2.01,2.0,1.84,1.63,1.61,1.61,1.46,1.42,1.36,1.35,1.33,1.36,1.28,1.25,1.06,1.1,0.99,0.99,0.83,0.83,0.89,0.7,0.7,0.79,0.65,0.54,0.51,0.47,0.46,0.4,0.27,0.15,0.12,0.12,0.11,0.0,0.1,0.07,0.07,0.05,0.0,0.08,0.04,99.97999999999998
07/16/2021,8.7,7.83,7.99,6.77,4.96,4.56,3.84,3.56,3.56,3.54,3.38,3.32,3.23,1.98,2.02,1.85,1.58,1.59,1.63,1.45,1.43,1.37,1.37,1.34,1.35,1.38,1.28,1.05,1.12,0.98,1.05,0.8,0.83,0.9,0.7,0.71,0.81,0.65,0.56,0.5,0.45,0.47,0.42,0.26,0.14,0.12,0.13,0.1,0.0,0.1,0.07,0.06,0.05,0.0,0.08,0.04,100.01
07/19/2021,8.86,7.37,8.15,7.13,5.0,4.69,3.66,3.3,3.46,3.55,3.48,3.38,3.12,2.06,2.07,1.96,1.55,1.39,1.67,1.45,1.47,1.29,1.4,1.32,1.39,1.38,1.32,1.02,1.16,1.04,1.09,0.77,0.8,0.93,0.7,0.74,0.82,0.6,0.51,0.49,0.45,0.44,0.39,0.24,0.14,0.12,0.13,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,99.98
07/20/2021,8.86,7.37,8.15,7.13,5.0,4.69,3.66,3.3,3.46,3.55,3.48,3.38,3.12,2.06,2.07,1.96,1.55,1.39,1.67,1.45,1.47,1.29,1.4,1.32,1.39,1.38,1.32,1.02,1.16,1.04,1.09,0.77,0.8,0.93,0.7,0.74,0.82,0.6,0.51,0.49,0.45,0.44,0.39,0.24,0.14,0.12,0.13,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,99.98
07/21/2021,8.84,7.42,8.22,7.06,4.95,4.85,3.66,3.31,3.43,3.5,3.54,3.37,3.1,2.07,2.06,1.98,1.58,1.37,1.66,1.48,1.42,1.3,1.44,1.29,1.39,1.35,1.36,1.02,1.17,1.07,1.01,0.74,0.79,0.91,0.71,0.75,0.81,0.6,0.52,0.48,0.45,0.43,0.39,0.24,0.13,0.12,0.12,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,99.98999999999998
07/22/2021,8.84,7.42,8.22,7.06,4.95,4.85,3.66,3.31,3.43,3.5,3.54,3.37,3.1,2.07,2.06,1.98,1.58,1.37,1.66,1.48,1.42,1.3,1.44,1.29,1.39,1.35,1.36,1.02,1.17,1.07,1.01,0.74,0.79,0.91,0.71,0.75,0.81,0.6,0.52,0.48,0.45,0.43,0.39,0.24,0.13,0.12,0.12,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,99.98999999999998
07/23/2021,8.86,7.59,8.18,7.1,4.96,4.91,3.69,3.5,3.42,3.44,3.48,3.4,2.99,2.04,2.05,1.92,1.6,1.41,1.65,1.49,1.41,1.33,1.42,1.3,1.39,1.31,1.3,1.03,1.17,1.03,1.01,0.74,0.78,0.89,0.74,0.73,0.76,0.61,0.51,0.47,0.46,0.42,0.41,0.23,0.13,0.12,0.12,0.1,0.0,0.1,0.07,0.07,0.05,0.0,0.1,0.04,100.02999999999996
