,IDXX,FTNT,CRL,SNPS,MSI,TECH,DVN,CDW,PXD,POOL,IQV,WST,RMD,QRVO,AM,KEYS,GRMN,NUAN,TSCO,ENTG,TT,ENPH,ALB,BIO,WMB,MXIM,LH,ALXN,LEN,MOH,EQT,NVST,HZNP,UTHR,MANH,EPAM,TTC,DKS,VEEV,HAL,EVRG,ANET,CTVA,PPG,BR,IPG,FAST,AJG,IP,EXR,CDNS,ESI,ROKU,MRVL,AVY,STLD,STE,WELL,CF,AWK,CC,SJM,PEG,AN,STT,HSY,WSM,RUN,SWKS,MPWR,NRG,GGG,ANSS,EMN,RSG,DISH,VVV,IVZ,XLNX,BBY,CE,TER,DVA,NUE,WHR,MAA,AES,SSNC,DOX,XEL,AEE,APH,CMI,CNP,HOLX,AME,LYB,JEF,XRAY,OLN,RS,SPG,KR,HUN,PKI,CAG,CHD,RPM,IEX,UGI,NFG,WLK,PNW,FBHS,WEC,TOL,DRE,STWD,SNA,HRC,IDA,DGX,LUMN,VST,LSI,A,BRKR,IRM,GNTX,TRGP,TTWO,CLX,PPL,ABC,ES,ED,CIEN,GWW,FE,MRO,COG,CUBE,JAZZ,PEAK,CBRE,MCK,UHS,VTR,ROK,TSN,COMM,HIG,SMG,ADM,OGE,FMC,AOS,DTE,JNPR,CABO,TAP,LNT,UI,GRA,AGR,JLL,MKC,HBAN,LAMR,CPB,EHC,FUO.,LITE,VICI,K,KIM,CLR,AMED,BRO,DAR,NI,ASH,WY,LSTR,ETR,SC,CHE,PWR,GMED,WTRG,FLO,MPW,YUMC,VER,CSGP,LDOS,TPL,RGLD,ATUS,GLW,GLPI,HE,BKR,FL,CMS,XEC,MASI,MAS,ODFL,TYL,HAIN,BF.B,HRL,SUM
07/09/2021,0.49,0.47,0.45,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69
07/12/2021,0.49,0.48,0.46,0.45,0.45,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.41,0.42,0.42,0.39,0.42,0.41,0.41,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.39,0.41,0.39,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.39,0.4,0.39,0.39,0.41,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.4,0.4,0.38,0.39,0.35,0.38,0.38,0.39,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.34,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.36,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.36,0.37,0.34,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.34,0.36,0.35,0.36,0.34,0.34,0.34,0.34,0.35,0.34,0.34,0.35,0.35,0.34,0.35,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.32,0.33,0.31,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.0,0.0,0.3,0.3,0.31,0.0,0.3,0.31,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.32,0.3,0.0,0.0,0.29,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,71.88999999999999
07/13/2021,0.49,0.48,0.46,0.45,0.45,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.41,0.42,0.42,0.39,0.42,0.41,0.41,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.39,0.41,0.39,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.39,0.4,0.39,0.39,0.41,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.4,0.4,0.38,0.39,0.35,0.38,0.38,0.39,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.34,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.36,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.36,0.37,0.34,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.34,0.36,0.35,0.36,0.34,0.34,0.34,0.34,0.35,0.34,0.34,0.35,0.35,0.34,0.35,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.32,0.33,0.31,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.0,0.0,0.3,0.3,0.31,0.0,0.3,0.31,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.32,0.3,0.0,0.0,0.29,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,71.88999999999999
07/14/2021,0.49,0.48,0.46,0.45,0.45,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.41,0.42,0.42,0.39,0.42,0.41,0.41,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.39,0.41,0.39,0.4,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.39,0.4,0.39,0.39,0.41,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.4,0.4,0.38,0.39,0.35,0.38,0.38,0.39,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.34,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.36,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.35,0.36,0.37,0.34,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.34,0.36,0.35,0.36,0.34,0.34,0.34,0.34,0.35,0.34,0.34,0.35,0.35,0.34,0.35,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.32,0.33,0.31,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.32,0.32,0.32,0.31,0.0,0.0,0.3,0.3,0.31,0.0,0.3,0.31,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.32,0.3,0.0,0.0,0.29,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.0,0.0,0.0,0.0,0.0,71.88999999999999
07/15/2021,0.49,0.47,0.46,0.44,0.44,0.44,0.44,0.42,0.41,0.44,0.42,0.44,0.43,0.42,0.42,0.43,0.42,0.41,0.41,0.42,0.42,0.39,0.45,0.41,0.41,0.4,0.41,0.41,0.4,0.4,0.41,0.4,0.4,0.4,0.38,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.39,0.4,0.39,0.38,0.41,0.39,0.38,0.38,0.4,0.37,0.38,0.38,0.38,0.39,0.39,0.38,0.41,0.4,0.38,0.39,0.37,0.38,0.39,0.38,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.34,0.37,0.37,0.37,0.37,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.37,0.38,0.36,0.35,0.36,0.37,0.34,0.36,0.37,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.34,0.36,0.36,0.36,0.33,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.33,0.33,0.32,0.33,0.32,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.32,0.32,0.31,0.32,0.33,0.31,0.32,0.32,0.33,0.32,0.33,0.32,0.32,0.33,0.31,0.3,0.3,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.32,0.31,0.32,0.32,0.31,0.0,0.3,0.3,0.3,0.31,0.0,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.0,0.3,0.31,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.29,0.0,0.0,0.0,0.0,71.88
07/16/2021,0.49,0.48,0.46,0.45,0.45,0.44,0.45,0.42,0.42,0.44,0.43,0.44,0.44,0.42,0.42,0.43,0.43,0.42,0.42,0.42,0.42,0.39,0.45,0.41,0.41,0.4,0.42,0.42,0.39,0.41,0.41,0.4,0.4,0.4,0.38,0.41,0.4,0.41,0.4,0.39,0.39,0.38,0.38,0.39,0.4,0.39,0.4,0.39,0.4,0.39,0.39,0.4,0.39,0.38,0.38,0.4,0.37,0.39,0.38,0.39,0.38,0.39,0.38,0.41,0.4,0.39,0.39,0.36,0.38,0.39,0.38,0.38,0.36,0.37,0.37,0.35,0.36,0.37,0.34,0.37,0.38,0.38,0.37,0.38,0.37,0.38,0.36,0.38,0.37,0.38,0.38,0.38,0.38,0.36,0.35,0.36,0.37,0.34,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.33,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.34,0.36,0.35,0.35,0.34,0.34,0.35,0.34,0.35,0.34,0.34,0.35,0.35,0.34,0.35,0.34,0.32,0.32,0.32,0.34,0.33,0.33,0.34,0.32,0.33,0.35,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.32,0.31,0.32,0.33,0.31,0.32,0.31,0.33,0.32,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.31,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.29,0.29,0.0,72.09
07/19/2021,0.49,0.48,0.46,0.45,0.45,0.44,0.41,0.43,0.39,0.43,0.43,0.44,0.44,0.42,0.41,0.43,0.43,0.42,0.42,0.41,0.43,0.36,0.45,0.42,0.4,0.4,0.41,0.41,0.4,0.42,0.39,0.39,0.39,0.4,0.38,0.42,0.41,0.41,0.4,0.36,0.4,0.38,0.37,0.4,0.4,0.39,0.4,0.39,0.39,0.4,0.39,0.41,0.37,0.38,0.38,0.4,0.37,0.4,0.37,0.4,0.38,0.4,0.39,0.41,0.39,0.4,0.38,0.32,0.38,0.38,0.38,0.38,0.36,0.37,0.38,0.35,0.36,0.37,0.33,0.37,0.38,0.37,0.37,0.38,0.38,0.39,0.35,0.38,0.38,0.38,0.39,0.37,0.38,0.37,0.35,0.36,0.37,0.36,0.36,0.35,0.36,0.35,0.36,0.36,0.35,0.34,0.36,0.35,0.37,0.35,0.35,0.35,0.36,0.36,0.37,0.34,0.37,0.35,0.36,0.33,0.36,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.35,0.34,0.33,0.34,0.33,0.31,0.32,0.34,0.33,0.35,0.33,0.34,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.32,0.32,0.33,0.32,0.33,0.34,0.31,0.32,0.32,0.3,0.31,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.3,0.0,0.3,0.31,0.31,0.3,0.3,0.31,0.32,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.31,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,72.09
07/20/2021,0.5,0.49,0.47,0.45,0.45,0.45,0.4,0.43,0.38,0.43,0.43,0.44,0.45,0.41,0.4,0.43,0.43,0.43,0.43,0.41,0.43,0.35,0.44,0.42,0.4,0.39,0.42,0.41,0.4,0.41,0.37,0.38,0.39,0.41,0.38,0.41,0.41,0.4,0.4,0.36,0.41,0.38,0.37,0.4,0.41,0.38,0.4,0.4,0.39,0.4,0.39,0.4,0.36,0.37,0.38,0.39,0.38,0.4,0.36,0.4,0.36,0.4,0.39,0.41,0.41,0.4,0.37,0.32,0.38,0.39,0.38,0.38,0.36,0.36,0.38,0.35,0.35,0.36,0.33,0.37,0.38,0.36,0.37,0.37,0.38,0.4,0.35,0.38,0.38,0.39,0.39,0.37,0.38,0.38,0.36,0.37,0.35,0.36,0.36,0.35,0.36,0.35,0.37,0.35,0.35,0.34,0.36,0.35,0.37,0.35,0.35,0.34,0.37,0.35,0.37,0.33,0.37,0.35,0.35,0.34,0.37,0.35,0.33,0.35,0.35,0.34,0.35,0.35,0.33,0.33,0.34,0.34,0.34,0.32,0.36,0.34,0.32,0.34,0.33,0.3,0.32,0.34,0.32,0.35,0.33,0.34,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.32,0.33,0.32,0.32,0.34,0.33,0.32,0.32,0.33,0.3,0.31,0.32,0.31,0.31,0.31,0.31,0.32,0.31,0.31,0.3,0.32,0.32,0.32,0.0,0.3,0.3,0.0,0.31,0.3,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.33,0.31,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.31,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,72.08
07/21/2021,0.5,0.49,0.47,0.45,0.45,0.45,0.4,0.43,0.38,0.43,0.43,0.44,0.45,0.41,0.4,0.43,0.43,0.43,0.43,0.41,0.43,0.35,0.44,0.42,0.4,0.39,0.42,0.41,0.4,0.41,0.37,0.38,0.39,0.41,0.38,0.41,0.41,0.4,0.4,0.36,0.41,0.38,0.37,0.4,0.41,0.38,0.4,0.4,0.39,0.4,0.39,0.4,0.36,0.37,0.38,0.39,0.38,0.4,0.36,0.4,0.36,0.4,0.39,0.41,0.41,0.4,0.37,0.32,0.38,0.39,0.38,0.38,0.36,0.36,0.38,0.35,0.35,0.36,0.33,0.37,0.38,0.36,0.37,0.37,0.38,0.4,0.35,0.38,0.38,0.39,0.39,0.37,0.38,0.38,0.36,0.37,0.35,0.36,0.36,0.35,0.36,0.35,0.37,0.35,0.35,0.34,0.36,0.35,0.37,0.35,0.35,0.34,0.37,0.35,0.37,0.33,0.37,0.35,0.35,0.34,0.37,0.35,0.33,0.35,0.35,0.34,0.35,0.35,0.33,0.33,0.34,0.34,0.34,0.32,0.36,0.34,0.32,0.34,0.33,0.3,0.32,0.34,0.32,0.35,0.33,0.34,0.34,0.33,0.33,0.31,0.31,0.33,0.31,0.32,0.33,0.32,0.32,0.34,0.33,0.32,0.32,0.33,0.3,0.31,0.32,0.31,0.31,0.31,0.31,0.32,0.31,0.31,0.3,0.32,0.32,0.32,0.0,0.3,0.3,0.0,0.31,0.3,0.3,0.3,0.31,0.31,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.31,0.33,0.31,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.31,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,72.08
07/22/2021,0.51,0.49,0.47,0.45,0.45,0.46,0.4,0.43,0.37,0.43,0.43,0.45,0.46,0.42,0.4,0.43,0.43,0.43,0.42,0.41,0.43,0.36,0.44,0.43,0.4,0.4,0.42,0.41,0.41,0.41,0.37,0.38,0.39,0.41,0.39,0.42,0.41,0.4,0.41,0.35,0.42,0.38,0.37,0.39,0.4,0.38,0.41,0.39,0.38,0.4,0.4,0.39,0.38,0.38,0.38,0.39,0.38,0.39,0.36,0.41,0.36,0.41,0.39,0.43,0.39,0.4,0.38,0.33,0.39,0.39,0.37,0.38,0.36,0.35,0.38,0.35,0.36,0.35,0.34,0.37,0.37,0.37,0.37,0.37,0.37,0.4,0.35,0.38,0.38,0.39,0.4,0.37,0.38,0.37,0.37,0.37,0.34,0.35,0.36,0.35,0.36,0.33,0.39,0.34,0.36,0.35,0.37,0.35,0.37,0.35,0.35,0.32,0.36,0.36,0.38,0.34,0.38,0.35,0.35,0.34,0.37,0.36,0.33,0.34,0.35,0.34,0.35,0.35,0.33,0.32,0.34,0.35,0.33,0.33,0.36,0.34,0.32,0.34,0.34,0.0,0.31,0.34,0.32,0.35,0.32,0.34,0.33,0.33,0.33,0.31,0.3,0.33,0.32,0.32,0.32,0.32,0.32,0.34,0.33,0.32,0.32,0.33,0.31,0.31,0.32,0.3,0.32,0.3,0.3,0.32,0.31,0.31,0.31,0.32,0.33,0.3,0.0,0.31,0.3,0.0,0.31,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.31,0.32,0.31,0.3,0.31,0.33,0.3,0.0,0.0,0.0,0.0,0.3,0.31,0.0,0.0,0.32,0.0,0.3,0.0,0.0,0.31,0.31,0.0,0.3,72.21
