,TSM,BABA,HDB,INFY,VALE,NIO,JD,BIDU,IBN,NTES,PDD,ITUB,PBR/A,PKX,BILI,BBD,UMC,PBR,KB,SHG,AMX,TCOM,FMX,CHT,ABEV,ASX,LFC,ZTO,BGNE,SNP,CX,ZLAB,EDU,SBSW,WIT,PTR,TLK,SKM,NTCO,RDY,SSL,GDS,TAL,GFI,SUZ,AU,HTHT,TTM,VIPS,BEKE,BVXB.,PJX.,POSCO ADR,KBIA.,America Movil SAB de CV ADR,Chunghwa Telecom Co Ltd ADR,Fomento Economico Mexicano SAB de CV ADR,ASE Technology Holding Co Ltd ADR,Interest/Overdraft,China Life Insurance Co Ltd ADR repr Class H,Cemex SAB de CV ADR,China Petroleum & Chemical Corp ADR,Sibanye Stillwater Ltd ADR,PT Telkom Indonesia (Persero) Tbk ADR,PetroChina Co Ltd ADR,Sasol Ltd ADR,Suzano SA ADR,Gold Fields Ltd ADR,EDG.,Vale SA ADR,Itau Unibanco Holding SA ADR,Petroleo Brasileiro SA Petrobras ADR,Shinhan Financial Group Co Ltd ADR,Ambev SA ADR,Natura &Co Holding SA ADR,Anglogold Ashanti Ltd ADR,New Oriental Education & Technology Group Inc ADR,SK Telecom Co Ltd ADR,TAL Education Group ADR,SUM
07/09/2021,20.81,19.87,5.16,4.2,4.09,3.72,3.53,2.77,2.4,2.38,2.15,1.46,1.32,1.3,1.28,1.23,1.18,1.12,1.0,0.98,0.95,0.86,0.85,0.84,0.8,0.76,0.75,0.75,0.69,0.68,0.67,0.66,0.63,0.63,0.59,0.55,0.54,0.53,0.52,0.49,0.48,0.47,0.45,0.44,0.44,0.44,0.42,0.42,0.4,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,21.13,19.55,5.15,4.29,4.23,3.4,3.62,2.71,2.44,2.38,2.14,0.0,1.32,1.32,1.27,1.25,1.21,1.11,0.97,0.96,0.95,0.82,0.85,0.86,0.81,0.77,0.74,0.75,0.71,0.67,0.7,0.68,0.55,0.64,0.6,0.53,0.57,0.54,0.53,0.49,0.5,0.44,0.47,0.45,0.45,0.45,0.4,0.42,0.41,0.36,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,21.13,19.55,5.15,4.29,4.23,3.4,3.62,2.71,2.44,2.38,2.14,0.0,1.32,1.32,1.27,1.25,1.21,1.11,0.97,0.96,0.95,0.82,0.85,0.86,0.81,0.77,0.74,0.75,0.71,0.67,0.7,0.68,0.55,0.64,0.6,0.53,0.57,0.54,0.53,0.49,0.5,0.44,0.47,0.45,0.45,0.45,0.4,0.42,0.41,0.36,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,20.98,19.41,5.11,4.26,4.19,3.38,3.59,2.69,2.42,2.36,2.12,0.0,0.0,0.0,1.26,1.24,1.2,1.1,0.0,0.95,0.0,0.81,0.0,0.0,0.81,0.0,0.0,0.75,0.71,0.0,0.0,0.68,0.54,0.0,0.59,0.0,0.0,0.54,0.53,0.49,0.0,0.44,0.46,0.0,0.0,0.44,0.39,0.42,0.41,0.36,1.46,1.31,1.31,0.96,0.95,0.85,0.85,0.76,0.73,0.73,0.69,0.67,0.64,0.56,0.52,0.49,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,21.41,19.43,5.11,4.21,4.19,3.45,3.59,2.69,2.47,2.39,2.12,0.0,1.34,1.33,1.27,1.28,1.22,1.12,0.98,0.97,0.96,0.8,0.86,0.85,0.82,0.77,0.72,0.74,0.71,0.66,0.69,0.69,0.53,0.64,0.59,0.52,0.56,0.55,0.54,0.49,0.49,0.44,0.45,0.44,0.45,0.44,0.4,0.42,0.41,0.33,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,21.42,19.62,5.05,4.17,4.16,3.31,3.72,2.72,2.47,2.43,2.13,1.5,1.33,1.3,1.3,1.26,1.23,1.11,0.96,0.96,0.95,0.8,0.84,0.84,0.82,0.77,0.72,0.75,0.71,0.67,0.65,0.68,0.56,0.63,0.58,0.52,0.54,0.54,0.53,0.48,0.47,0.46,0.47,0.44,0.44,0.44,0.4,0.42,0.42,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000004
07/19/2021,20.4,20.19,5.2,4.21,4.21,3.23,3.75,2.75,2.5,2.49,2.11,0.0,1.32,1.31,1.3,1.27,1.19,1.1,0.97,0.95,1.01,0.79,0.86,0.84,0.81,0.78,0.73,0.75,0.71,0.67,0.66,0.68,0.56,0.64,0.63,0.5,0.55,0.54,0.53,0.48,0.45,0.46,0.48,0.46,0.43,0.46,0.41,0.42,0.42,0.34,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/20/2021,20.25,20.1,5.21,4.18,4.15,3.19,3.71,2.68,2.47,2.46,2.06,0.0,0.0,0.0,1.3,1.26,1.19,1.09,0.0,0.95,0.0,0.76,0.0,0.0,0.82,0.0,0.0,0.75,0.7,0.0,0.0,0.63,0.53,0.0,0.64,0.0,0.0,0.54,0.54,0.48,0.0,0.45,0.43,0.0,0.0,0.45,0.4,0.42,0.4,0.34,1.5,1.31,1.29,0.97,1.03,0.85,0.87,0.78,0.81,0.73,0.65,0.66,0.61,0.57,0.49,0.45,0.43,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/21/2021,20.25,20.1,5.21,4.18,4.15,3.19,3.71,2.68,2.47,2.46,2.06,0.0,0.0,0.0,1.3,1.26,1.19,1.09,0.0,0.95,0.0,0.76,0.0,0.0,0.82,0.0,0.0,0.75,0.7,0.0,0.0,0.63,0.53,0.0,0.64,0.0,0.0,0.54,0.54,0.48,0.0,0.45,0.43,0.0,0.0,0.45,0.4,0.42,0.4,0.34,1.5,1.31,1.29,0.97,1.03,0.85,0.87,0.78,0.81,0.73,0.65,0.66,0.61,0.57,0.49,0.45,0.43,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/22/2021,20.73,20.34,4.97,4.26,4.13,3.32,3.75,2.71,2.48,2.53,2.07,0.0,1.29,1.29,1.33,1.24,1.21,1.07,0.96,0.95,1.03,0.75,0.87,0.87,0.8,0.81,0.73,0.76,0.71,0.67,0.65,0.64,0.5,0.59,0.65,0.5,0.59,0.56,0.53,0.49,0.45,0.47,0.42,0.46,0.42,0.46,0.4,0.43,0.4,0.33,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
