,VCSH,CMBS,PULS,EMLC,VTV,SCHP,VCLT,TLH,ACWV,NFRA,SPHY,BCI,VCIT,GQRE,SMMV,JEPI,BAR,VYMI,MXI,VIGI,RYT,AMZN,DVYE,SUSC,LDEM,WMT,n/a,VZ,NKE,DIS,DKS,EA,CL,MSFT,AAPL,KR,GBTC,ETHE,TDV,SUM
10/15/2021,11.78,9.58,9.52,6.85,5.19,5.08,4.95,4.92,3.49,3.33,3.28,3.26,3.0,2.92,2.47,2.26,1.99,1.99,1.92,1.89,1.41,1.33,1.12,1.0,0.98,0.91,0.53,0.46,0.44,0.43,0.38,0.28,0.28,0.24,0.23,0.21,0.05,0.04,0.0,99.99
10/18/2021,11.68,9.48,9.43,6.84,5.22,5.06,4.98,4.93,3.52,3.37,3.27,3.28,2.99,2.96,2.48,2.28,2.01,1.99,1.96,1.92,1.44,1.34,1.12,1.0,0.99,0.91,0.52,0.46,0.45,0.42,0.39,0.28,0.28,0.25,0.23,0.21,0.05,0.04,0.0,100.03
10/19/2021,11.65,9.48,9.42,6.84,5.26,5.05,4.96,4.89,3.52,3.37,3.26,3.29,2.97,2.96,2.47,2.28,1.98,2.0,1.96,1.93,1.45,1.38,1.12,0.99,1.0,0.91,0.52,0.47,0.45,0.43,0.39,0.27,0.28,0.25,0.23,0.2,0.06,0.04,0.0,99.98000000000002
10/20/2021,11.65,9.48,9.42,6.84,5.26,5.05,4.96,4.89,3.52,3.37,3.26,3.29,2.97,2.96,2.47,2.28,1.98,2.0,1.96,1.93,1.45,1.38,1.12,0.99,1.0,0.91,0.52,0.47,0.45,0.43,0.39,0.27,0.28,0.25,0.23,0.2,0.06,0.04,0.0,99.98000000000002
10/21/2021,11.65,9.48,9.42,6.84,5.26,5.05,4.96,4.89,3.52,3.37,3.26,3.29,2.97,2.96,2.47,2.28,1.98,2.0,1.96,1.93,1.45,1.38,1.12,0.99,1.0,0.91,0.52,0.47,0.45,0.43,0.39,0.27,0.28,0.25,0.23,0.2,0.06,0.04,0.0,99.98000000000002
10/22/2021,11.64,9.49,9.42,6.83,5.29,5.03,4.91,4.85,3.54,3.39,3.26,3.26,2.96,2.96,2.47,2.29,1.98,2.0,1.97,1.94,1.47,1.4,1.12,0.99,1.01,0.94,0.52,0.47,0.45,0.42,0.39,0.28,0.27,0.25,0.24,0.21,0.06,0.04,0.0,100.01
10/25/2021,11.62,9.45,9.42,6.77,5.33,5.05,4.89,4.81,3.55,3.43,3.26,3.25,2.95,2.99,2.48,2.31,2.0,2.0,1.95,1.94,1.48,1.39,1.1,0.98,1.01,0.95,0.52,0.48,0.46,0.42,0.4,0.29,0.27,0.25,0.24,0.21,0.06,0.05,0.0,100.00999999999998
10/26/2021,11.6,9.41,9.41,6.76,5.34,5.05,4.91,4.85,3.57,3.45,3.25,3.26,2.95,3.0,2.48,2.31,2.0,2.0,1.95,1.94,1.48,1.35,1.11,0.99,1.0,0.96,0.52,0.47,0.46,0.41,0.41,0.29,0.28,0.25,0.24,0.21,0.06,0.05,0.0,100.03
10/27/2021,11.6,9.41,9.41,6.76,5.34,5.05,4.91,4.85,3.57,3.45,3.25,3.26,2.95,3.0,2.48,2.31,2.0,2.0,1.95,1.94,1.48,1.35,1.11,0.99,1.0,0.96,0.52,0.47,0.46,0.41,0.41,0.29,0.28,0.25,0.24,0.21,0.06,0.05,0.0,100.03
10/28/2021,11.6,9.41,9.41,6.76,5.34,5.05,4.91,4.85,3.57,3.45,3.25,3.26,2.95,3.0,2.48,2.31,2.0,2.0,1.95,1.94,1.48,1.35,1.11,0.99,1.0,0.96,0.52,0.47,0.46,0.41,0.41,0.29,0.28,0.25,0.24,0.21,0.06,0.05,0.0,100.03
