,LLY,PKI,WST,CTLT,ISRG,PODD,EW,SGEN,BSX,AZN.L,VEEV,GMAB,NBIX,7741.T,NOVT,CSL.AX,DHR,ALNY,ARE,GH,LONN.SW,ILMN,IDXX,ALGN,MTD,DXCM,BEAM,DIM.PA,ARGX,HALO,ZBH,4519.T,COO,AGIO,2269.HK,4151.T,TNDM,TWST,SWAV,QTRX,RGEN,RARE,PACB,ONT.L,AXNX,BMY,NEOG,CERT,ALLO,EXEL,RPID,BIIB,STVN,SONX,TPTX,ARNA,MXCT.L,MASS,PHVS,YMAB,TECH,FIGS,OLK,RANI,n/a,SUM
12/06/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/07/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/08/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/09/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/10/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/13/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/14/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/15/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/16/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
12/17/2021,5.01,4.14,4.01,3.84,3.73,3.43,3.33,3.17,3.07,3.04,2.9,2.83,2.74,2.4,2.33,2.32,2.24,2.24,2.24,2.05,1.98,1.94,1.85,1.8,1.71,1.61,1.51,1.51,1.5,1.48,1.25,1.24,1.21,1.19,1.0,0.99,0.97,0.91,0.9,0.9,0.86,0.82,0.8,0.72,0.67,0.64,0.6,0.56,0.55,0.53,0.52,0.51,0.49,0.46,0.45,0.44,0.42,0.37,0.26,0.26,0.26,0.22,0.18,0.06,-0.11,100.05
