,FB,AAPL,MSFT,GOOGL,UNH,JNJ,INTC,WMT,CSCO,PFE,AVGO,T,TXN,MRK,MDT,WFC,QCOM,HD,XOM,ORCL,AMAT,TGT,CAT,C,CVS,IBM,INTU,AMGN,UNP,MU,LRCX,ANTM,MMM,PNC,CI,CVX,COF,NSC,MO,GM,DUK,ADI,GILD,ETN,F,BDX,JCI,CMCSA,EBAY,HUM,EMR,KLAC,RTX,TFC,MET,LHX,XLNX,MRVL,TT,DG,BK,EXC,PH,HPQ,NOC,DHI,LEN,PRU,SWK,SWKS,WBA,CMI,KMI,NXPI,MXIM,MCHP,GIS,BBY,VIAC,ROP,CTSH,GRMN,CNC,TER,GD,KR,NUE,QRVO,KHC,CDW,DGX,FITB,DOV,SNPS,ENTG,RF,SO,OMC,GLW,APH,KEY,LYB,STT,AAP,PCAR,CFG,WELL,ALXN,TSN,WDC,LKQ,PHM,GPC,IPG,VLO,PFG,WSM,CSL,LAD,ON,FOXA,MHK,PNR,HAS,TSCO,WHR,HPE,PII,SYF,NWL,KSS,SCI,HUBB,OC,NTAP,SNA,ED,DISH,DOX,CAG,NLSN,WMB,PM,BIIB,ALLY,HOG,CERN,DKS,PPL,LUMN,BMY,LDOS,OSK,GNTX,SJM,NXST,DELL,GPS,AKAM,PKG,BWA,EQR,NLOK,MAN,LEG,FL,SLG,RS,THO,WRK,AN,UHS,TOL,AGCO,DISCA,OKE,CPB,QRTEA,XRX,SSNC,ZBH,IVZ,NVT,INGR,TAP,BPOP,AGNC,RBC,LSXMK,NLY,HBI,VER,PEG,FAF,IT,PAG,TNL,MSM,MPWR,HRB,IP,CR,SNX,JEF,MPW,DLTR,HRC,PKI,AGO,RHI,GPK,KIM,FFIV,DXC,ACI,AVT,HIG,LNC,ORI,n/a,TDC,NYCB,CRM,MTB,CMA,SPG,PNW,FHN,OMF,LH,FNB,DTE,R,SUM
07/09/2021,2.13,1.98,1.94,1.94,1.81,1.74,1.22,1.11,1.08,1.06,1.03,1.02,0.98,0.97,0.94,0.9,0.87,0.81,0.8,0.78,0.77,0.76,0.7,0.67,0.64,0.64,0.64,0.63,0.62,0.61,0.59,0.58,0.56,0.56,0.56,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.38,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.97
07/12/2021,2.09,2.01,1.93,1.92,1.8,1.75,1.2,1.1,1.08,1.06,1.04,1.0,0.97,0.96,0.94,0.9,0.86,0.81,0.79,0.82,0.75,0.77,0.7,0.67,0.64,0.65,0.63,0.62,0.61,0.59,0.58,0.58,0.57,0.56,0.55,0.51,0.52,0.49,0.51,0.5,0.49,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.4,0.38,0.36,0.32,0.34,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.34,0.33,0.33,0.31,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.29,0.29,0.3,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.27,0.27,0.26,0.27,0.25,0.24,0.25,0.25,0.25,0.26,0.24,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.0,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.0,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.01
07/13/2021,2.09,2.01,1.93,1.92,1.8,1.75,1.2,1.1,1.08,1.06,1.04,1.0,0.97,0.96,0.94,0.9,0.86,0.81,0.79,0.82,0.75,0.77,0.7,0.67,0.64,0.65,0.63,0.62,0.61,0.59,0.58,0.58,0.57,0.56,0.55,0.51,0.52,0.49,0.51,0.5,0.49,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.4,0.38,0.36,0.32,0.34,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.34,0.33,0.33,0.31,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.29,0.29,0.3,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.27,0.27,0.26,0.27,0.25,0.24,0.25,0.25,0.25,0.26,0.24,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.0,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.0,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.01
07/14/2021,2.09,2.01,1.93,1.92,1.8,1.75,1.2,1.1,1.08,1.06,1.04,1.0,0.97,0.96,0.94,0.9,0.86,0.81,0.79,0.82,0.75,0.77,0.7,0.67,0.64,0.65,0.63,0.62,0.61,0.59,0.58,0.58,0.57,0.56,0.55,0.51,0.52,0.49,0.51,0.5,0.49,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.42,0.41,0.42,0.4,0.41,0.4,0.38,0.36,0.32,0.34,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.34,0.33,0.33,0.31,0.31,0.32,0.32,0.31,0.32,0.31,0.31,0.29,0.29,0.3,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.27,0.27,0.26,0.27,0.25,0.24,0.25,0.25,0.25,0.26,0.24,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.0,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.0,0.2,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.01
07/15/2021,2.1,1.99,1.92,1.93,1.82,1.74,1.22,1.09,1.07,1.06,1.05,0.99,0.97,0.95,0.94,0.9,0.86,0.81,0.79,0.81,0.76,0.78,0.7,0.68,0.64,0.64,0.63,0.62,0.6,0.6,0.59,0.59,0.57,0.57,0.55,0.51,0.54,0.48,0.51,0.5,0.49,0.47,0.48,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.4,0.41,0.38,0.36,0.32,0.34,0.36,0.34,0.35,0.35,0.36,0.34,0.34,0.33,0.33,0.34,0.34,0.33,0.32,0.34,0.32,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.3,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.28,0.26,0.26,0.25,0.27,0.27,0.26,0.27,0.25,0.23,0.25,0.25,0.25,0.26,0.24,0.25,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.24,0.23,0.22,0.23,0.22,0.21,0.2,0.21,0.21,0.0,0.0,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.99000000000001
07/16/2021,2.12,2.03,1.96,1.96,1.84,1.75,1.23,1.11,1.08,1.07,1.06,1.0,0.98,0.96,0.94,0.89,0.86,0.8,0.79,0.82,0.76,0.78,0.7,0.67,0.64,0.64,0.64,0.63,0.6,0.59,0.59,0.6,0.57,0.56,0.56,0.51,0.53,0.49,0.5,0.5,0.49,0.48,0.48,0.46,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.4,0.38,0.36,0.32,0.34,0.36,0.35,0.35,0.35,0.36,0.33,0.34,0.33,0.33,0.34,0.34,0.33,0.32,0.34,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.28,0.26,0.26,0.25,0.27,0.27,0.25,0.26,0.25,0.23,0.25,0.25,0.25,0.26,0.24,0.24,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.24,0.23,0.21,0.22,0.21,0.0,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.02
07/19/2021,2.08,2.08,1.97,1.96,1.86,1.75,1.22,1.12,1.1,1.09,1.04,1.01,0.97,0.97,0.93,0.93,0.87,0.82,0.77,0.82,0.75,0.79,0.69,0.68,0.65,0.65,0.64,0.63,0.61,0.58,0.59,0.6,0.58,0.57,0.56,0.5,0.53,0.49,0.51,0.49,0.51,0.47,0.48,0.46,0.43,0.44,0.44,0.43,0.42,0.43,0.43,0.4,0.4,0.41,0.38,0.36,0.31,0.34,0.36,0.35,0.34,0.36,0.36,0.33,0.34,0.33,0.33,0.34,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.3,0.32,0.32,0.31,0.32,0.31,0.31,0.3,0.29,0.3,0.31,0.31,0.3,0.3,0.3,0.29,0.3,0.3,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.25,0.26,0.26,0.27,0.25,0.27,0.25,0.22,0.25,0.24,0.26,0.25,0.24,0.24,0.25,0.26,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.25,0.25,0.23,0.23,0.24,0.25,0.23,0.24,0.24,0.22,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.21,0.23,0.24,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.24,0.23,0.21,0.22,0.21,0.2,0.0,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17
07/20/2021,2.09,2.07,1.99,1.98,1.88,1.77,1.21,1.14,1.11,1.11,1.04,1.01,0.96,0.98,0.94,0.92,0.87,0.83,0.76,0.84,0.73,0.79,0.69,0.67,0.65,0.65,0.64,0.64,0.61,0.57,0.57,0.6,0.58,0.55,0.56,0.49,0.52,0.49,0.52,0.48,0.52,0.46,0.49,0.47,0.43,0.44,0.44,0.43,0.42,0.44,0.42,0.39,0.4,0.41,0.38,0.37,0.31,0.33,0.36,0.36,0.35,0.36,0.35,0.33,0.34,0.33,0.33,0.34,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.3,0.33,0.32,0.3,0.33,0.31,0.31,0.3,0.28,0.3,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.28,0.27,0.27,0.28,0.26,0.27,0.27,0.26,0.27,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.25,0.27,0.25,0.27,0.25,0.22,0.25,0.24,0.26,0.25,0.23,0.24,0.25,0.26,0.25,0.27,0.26,0.24,0.23,0.23,0.24,0.22,0.25,0.25,0.23,0.23,0.24,0.25,0.23,0.25,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.24,0.22,0.24,0.24,0.22,0.22,0.24,0.23,0.22,0.21,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.24,0.23,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.0,0.0,0.2,0.21,0.21,0.21,0.0,0.21,0.0,0.2,0.2,0.0,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17999999999999
07/21/2021,2.09,2.07,1.99,1.98,1.88,1.77,1.21,1.14,1.11,1.11,1.04,1.01,0.96,0.98,0.94,0.92,0.87,0.83,0.76,0.84,0.73,0.79,0.69,0.67,0.65,0.65,0.64,0.64,0.61,0.57,0.57,0.6,0.58,0.55,0.56,0.49,0.52,0.49,0.52,0.48,0.52,0.46,0.49,0.47,0.43,0.44,0.44,0.43,0.42,0.44,0.42,0.39,0.4,0.41,0.38,0.37,0.31,0.33,0.36,0.36,0.35,0.36,0.35,0.33,0.34,0.33,0.33,0.34,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.3,0.33,0.32,0.3,0.33,0.31,0.31,0.3,0.28,0.3,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.28,0.27,0.27,0.28,0.26,0.27,0.27,0.26,0.27,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.25,0.27,0.25,0.27,0.25,0.22,0.25,0.24,0.26,0.25,0.23,0.24,0.25,0.26,0.25,0.27,0.26,0.24,0.23,0.23,0.24,0.22,0.25,0.25,0.23,0.23,0.24,0.25,0.23,0.25,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.24,0.22,0.24,0.24,0.22,0.22,0.24,0.23,0.22,0.21,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.24,0.23,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.0,0.0,0.2,0.21,0.21,0.21,0.0,0.21,0.0,0.2,0.2,0.0,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17999999999999
07/22/2021,2.1,2.05,2.0,1.97,1.86,1.79,1.23,1.15,1.12,1.13,1.05,1.01,0.98,0.98,0.94,0.91,0.88,0.83,0.75,0.85,0.74,0.81,0.68,0.67,0.66,0.65,0.65,0.65,0.61,0.58,0.59,0.6,0.58,0.55,0.56,0.49,0.52,0.49,0.52,0.48,0.52,0.47,0.5,0.46,0.42,0.45,0.44,0.43,0.43,0.44,0.42,0.4,0.4,0.4,0.37,0.36,0.32,0.34,0.37,0.37,0.35,0.37,0.35,0.33,0.34,0.34,0.34,0.33,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.3,0.34,0.32,0.3,0.33,0.31,0.32,0.3,0.29,0.3,0.34,0.3,0.3,0.31,0.3,0.31,0.28,0.3,0.28,0.27,0.26,0.28,0.27,0.27,0.27,0.26,0.26,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.27,0.26,0.27,0.25,0.21,0.24,0.24,0.26,0.25,0.24,0.24,0.24,0.26,0.25,0.26,0.26,0.25,0.24,0.23,0.24,0.22,0.26,0.25,0.23,0.24,0.24,0.25,0.24,0.25,0.25,0.22,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.24,0.22,0.24,0.24,0.22,0.23,0.25,0.22,0.23,0.21,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.22,0.22,0.22,0.25,0.22,0.22,0.22,0.21,0.0,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.2,0.21,0.21,0.0,0.21,0.21,0.0,0.2,0.21,0.21,0.21,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.52000000000001
