,912810SU3,91282CBL4,91282CBZ3,91282CBW0,91282CBV2,EFA   211217C00063000,91282CBX8,EFA   220617C00072000,Cash&Other,T 1.875 02/15/51,T 1.125 02/15/31,T 1.25 04/30/28,T 0.75 04/30/26,T 0.375 04/15/24,T 0.125 04/30/23,SUM
07/09/2021,18.46,16.26,16.1,15.96,15.9,7.43,4.9,4.61,0.39,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/13/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/14/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/15/2021,0.0,0.0,0.0,0.0,0.0,7.68,0.0,4.7,0.39,18.41,16.19,16.04,15.89,15.82,4.87,99.99
07/16/2021,18.29,16.18,16.05,15.92,15.87,7.62,0.0,4.79,0.4,0.0,0.0,0.0,0.0,0.0,4.89,100.01
07/19/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,4.59,0.42,18.68,16.27,16.07,15.88,15.81,4.86,99.99
07/20/2021,18.73,16.34,16.14,15.96,15.88,7.26,4.88,4.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,18.73,16.34,16.14,15.96,15.88,7.26,0.0,4.38,0.43,0.0,0.0,0.0,0.0,0.0,4.88,100.0
07/22/2021,0.0,0.0,0.0,0.0,0.0,6.58,0.0,4.22,0.43,19.22,16.51,16.25,16.02,15.89,4.88,100.0
07/23/2021,0.0,0.0,0.0,0.0,0.0,6.59,0.0,4.42,0.43,18.99,16.48,16.26,16.04,15.91,4.88,100.0
07/26/2021,0.0,0.0,0.0,0.0,0.0,6.89,0.0,4.36,0.43,18.86,16.41,16.22,16.02,15.92,4.89,100.0
07/27/2021,0.0,0.0,0.0,0.0,0.0,7.46,0.0,4.66,0.44,18.62,16.25,16.07,15.88,15.79,4.85,100.02
07/28/2021,0.0,0.0,0.0,0.0,0.0,7.46,0.0,4.66,0.44,18.62,16.25,16.07,15.88,15.79,4.85,100.02000000000001
