,912810SU3,91282CBL4,91282CBZ3,91282CBW0,91282CBV2,EFA   211217C00063000,91282CBX8,EFA   220617C00072000,Cash&Other,T 1.875 02/15/51,T 1.125 02/15/31,T 1.25 04/30/28,T 0.75 04/30/26,T 0.375 04/15/24,T 0.125 04/30/23,SUM
07/09/2021,18.46,16.26,16.1,15.96,15.9,7.43,4.9,4.61,0.39,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/13/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/14/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,5.18,0.39,18.39,16.15,16.0,15.85,15.78,4.86,100.01
07/15/2021,0.0,0.0,0.0,0.0,0.0,7.68,0.0,4.7,0.39,18.41,16.19,16.04,15.89,15.82,4.87,99.99
07/16/2021,18.29,16.18,16.05,15.92,15.87,7.62,0.0,4.79,0.4,0.0,0.0,0.0,0.0,0.0,4.89,100.01
07/19/2021,0.0,0.0,0.0,0.0,0.0,7.41,0.0,4.59,0.42,18.68,16.27,16.07,15.88,15.81,4.86,99.99
07/20/2021,18.73,16.34,16.14,15.96,15.88,7.26,4.88,4.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,18.73,16.34,16.14,15.96,15.88,7.26,0.0,4.38,0.43,0.0,0.0,0.0,0.0,0.0,4.88,100.0
07/22/2021,0.0,0.0,0.0,0.0,0.0,6.58,0.0,4.22,0.43,19.22,16.51,16.25,16.02,15.89,4.88,100.0
07/23/2021,0.0,0.0,0.0,0.0,0.0,6.59,0.0,4.42,0.43,18.99,16.48,16.26,16.04,15.91,4.88,100.0
07/26/2021,0.0,0.0,0.0,0.0,0.0,6.89,0.0,4.36,0.43,18.86,16.41,16.22,16.02,15.92,4.89,100.0
07/27/2021,0.0,0.0,0.0,0.0,0.0,7.46,0.0,4.66,0.44,18.62,16.25,16.07,15.88,15.79,4.85,100.02
07/28/2021,0.0,0.0,0.0,0.0,0.0,7.46,0.0,4.66,0.44,18.62,16.25,16.07,15.88,15.79,4.85,100.02
07/29/2021,0.0,0.0,0.0,0.0,0.0,7.34,0.0,4.71,0.44,18.62,16.27,16.08,15.9,15.79,4.85,100.0
07/30/2021,0.0,0.0,0.0,0.0,0.0,7.21,0.0,4.53,0.44,18.77,16.34,16.13,15.92,15.81,4.85,100.0
08/02/2021,0.0,0.0,0.0,0.0,0.0,7.69,0.0,4.94,0.47,18.51,16.16,15.96,15.78,15.68,4.82,100.01
08/03/2021,0.0,0.0,0.0,0.0,0.0,7.53,0.0,4.78,0.48,18.63,16.22,16.02,15.82,15.71,4.82,100.01
08/04/2021,0.0,0.0,0.0,0.0,0.0,7.53,0.0,4.78,0.48,18.63,16.22,16.02,15.82,15.71,4.82,100.01
08/05/2021,0.0,0.0,0.0,0.0,0.0,7.65,0.0,5.07,0.48,18.64,16.17,15.93,15.71,15.57,4.78,100.0
08/06/2021,0.0,0.0,0.0,0.0,0.0,7.69,0.0,5.13,0.48,18.62,16.15,15.91,15.69,15.55,4.77,99.99
08/10/2021,0.0,0.0,0.0,0.0,0.0,7.85,0.0,4.85,0.49,18.45,16.15,15.95,15.77,15.68,4.82,100.01
08/11/2021,0.0,0.0,0.0,0.0,0.0,7.85,0.0,4.85,0.49,18.45,16.15,15.95,15.77,15.68,4.82,100.00999999999999
