,PAGS,EXAS,JAZZ,NVCR,CINF,WAL,HBAN,FITB,RGA,GIL,EME,AYI,HEI,TS,ESNT,ROLL,PACW,LOPE,GKOS,AMBA,HP,SHOO,PRG,YELP,JJSF,RVLV,BLUE,CORE,MOMO,NMIH,KALU,STRA,MCY,HOPE,IPAR,INGN,EIG,DRQ,SAFT,PI,VNDA,AAN,BANF,DNOW,TBI,MNRL,MGPI,PRDO,PUMP,ANIK,EGRX,DREYFUS GOVT CASH MGMT,n/a,LVS,GDS,COUP,NVTA,SPLK,SRPT,CTXS,MKC,IONS,FSLY,AYX,IQ,TPTX,HAE,PTCT,FOLD,VNET,SAGE,BAND,GO,YPF,SILK,TREE,RLAY,INO,GBT,ALLO,NG,MPLN,TVTX,CHRS,KURA,GBIO,WKHS,ADCT,MODN,CERS,QURE,HYLN,FMTX,KDMN,ITOS,TRHC,ARKO,GOEV,SLP,ORIC,XL,GOSS,OTRK,SUM
07/09/2021,6.08,5.64,5.01,4.99,4.7,4.6,4.4,4.39,4.11,3.72,3.45,3.2,3.16,2.62,2.6,2.6,2.43,2.22,1.96,1.92,1.77,1.77,1.65,1.5,1.37,1.33,1.1,1.03,1.0,0.98,0.98,0.97,0.92,0.86,0.67,0.67,0.63,0.59,0.59,0.59,0.58,0.56,0.55,0.53,0.5,0.48,0.45,0.45,0.36,0.33,0.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.93
07/12/2021,5.73,5.51,5.02,5.2,4.78,4.83,4.48,4.47,4.07,3.68,3.5,3.26,3.18,2.66,2.57,2.61,2.48,2.23,1.81,1.87,1.78,1.76,1.64,1.48,1.35,1.34,1.08,1.05,0.94,0.97,1.01,0.93,0.89,0.87,0.68,0.72,0.62,0.59,0.58,0.55,0.59,0.55,0.56,0.55,0.49,0.48,0.45,0.44,0.37,0.33,0.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/13/2021,5.73,5.51,5.02,5.2,4.78,4.83,4.48,4.47,4.07,3.68,3.5,3.26,3.18,2.66,2.57,2.61,2.48,2.23,1.81,1.87,1.78,1.76,1.64,1.48,1.35,1.34,1.08,1.05,0.94,0.97,1.01,0.93,0.89,0.87,0.68,0.72,0.62,0.59,0.58,0.55,0.59,0.55,0.56,0.55,0.49,0.48,0.45,0.44,0.37,0.33,0.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/14/2021,5.73,5.51,5.02,5.2,4.78,4.83,4.48,4.47,4.07,3.68,3.5,3.26,3.18,2.66,2.57,2.61,2.48,2.23,1.81,1.87,1.78,1.76,1.64,1.48,1.35,1.34,1.08,1.05,0.94,0.97,1.01,0.93,0.89,0.87,0.68,0.72,0.62,0.59,0.58,0.55,0.59,0.55,0.56,0.55,0.49,0.48,0.45,0.44,0.37,0.33,0.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/15/2021,5.54,5.35,5.04,5.12,4.82,4.89,4.54,4.5,4.2,3.66,3.53,3.28,3.12,2.65,2.62,2.63,2.49,2.25,1.82,1.89,1.77,1.76,1.61,1.48,1.35,1.36,1.05,1.04,0.94,0.98,1.02,0.93,0.91,0.87,0.68,0.74,0.63,0.6,0.58,0.55,0.57,0.55,0.56,0.55,0.49,0.48,0.45,0.45,0.36,0.33,0.29,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/16/2021,5.66,5.36,5.07,5.12,4.85,4.86,4.52,4.48,4.19,3.67,3.55,3.23,3.11,2.64,2.61,2.61,2.47,2.27,1.77,1.87,1.76,1.78,1.63,1.45,1.35,1.37,1.04,1.05,0.97,0.98,1.01,0.94,0.92,0.86,0.68,0.74,0.63,0.59,0.58,0.54,0.57,0.54,0.55,0.55,0.5,0.48,0.45,0.45,0.36,0.33,0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/19/2021,5.63,5.32,5.05,5.06,4.94,5.02,4.65,4.6,4.26,3.64,3.62,3.27,3.12,2.62,2.7,2.69,2.51,2.26,1.38,1.81,1.7,1.76,1.63,1.47,1.38,1.27,1.01,1.05,0.99,1.0,1.0,0.95,0.91,0.89,0.68,0.71,0.64,0.56,0.61,0.53,0.57,0.52,0.57,0.54,0.5,0.47,0.44,0.43,0.33,0.32,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,5.78,5.52,5.03,5.13,5.01,4.91,4.57,4.49,4.21,3.6,3.59,3.26,3.16,2.61,2.7,2.7,2.43,2.29,1.42,1.77,1.68,1.75,1.61,1.46,1.39,1.32,0.99,1.06,0.95,1.01,0.99,0.95,0.92,0.87,0.68,0.72,0.65,0.55,0.61,0.51,0.57,0.53,0.55,0.57,0.5,0.46,0.44,0.44,0.32,0.33,0.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,5.78,5.52,5.03,5.13,5.01,4.91,4.57,4.49,4.21,3.6,3.59,3.26,3.16,2.61,2.7,2.7,2.43,2.29,1.42,1.77,1.68,1.75,1.61,1.46,1.39,1.32,0.99,1.06,0.95,1.01,0.99,0.95,0.92,0.87,0.68,0.72,0.65,0.55,0.61,0.51,0.57,0.53,0.55,0.57,0.5,0.46,0.44,0.44,0.32,0.33,0.3,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,5.87,5.68,5.04,5.27,4.94,4.8,4.47,4.37,4.11,3.63,3.59,3.27,3.15,2.6,2.67,2.74,2.39,2.37,1.44,1.79,1.66,1.74,1.62,1.45,1.41,1.31,1.01,1.06,0.93,0.98,0.97,0.97,0.91,0.85,0.69,0.74,0.65,0.55,0.62,0.5,0.57,0.53,0.55,0.55,0.51,0.46,0.45,0.45,0.31,0.33,0.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
