,CROX,TXRH,JCOM,SAIA,STAA,AEO,LSCC,LHCG,HELE,TTEK,MSTR,EXPO,AMN,NOVT,MMS,QTS,SSD,ALRM,M,WING,KFY,ESNT,POWI,NEOG,WDFC,SIG,CBRL,WTS,MED,SFIX,PNM,QLYS,BKH,SPSC,UFPI,LANC,SWX,ABG,RCII,CNMD,HLI,SXT,TGNA,AIT,WERN,EYE,SHOO,FELE,CVLT,LXP,SONO,STMP,JBT,ATRC,HR,BPMC,ANF,CCOI,KTB,NSP,NSIT,MUSA,FHI,BIG,AWR,LGIH,BRC,PSB,AVA,WK,MMSI,BMI,KNSL,RLI,YELP,LCII,UNF,CWT,SNBR,ALTR,PZZA,MLHR,BJ,NWE,HI,ABM,MGEE,MIME,SBH,CAKE,KWR,GPI,DORM,CWST,BLMN,PDCO,SSTK,FWRD,VSH,WWW,IRBT,PBH,CORT,ODP,HCSG,OMI,EVTC,MANT,TRTN,BXS,IBP,CARG,APPF,EBS,BNL,DLX,PSMT,PRGS,HNI,CELH,SCL,CALX,BCPC,PDM,VGR,TRNO,GNW,COKE,RPAI,VICR,CENTA,CORE,DOC,MNRO,FIX,ENV,KAI,GOLF,BXMT,SYKE,LILAK,MD,BGS,OXM,STRA,MGRC,KLIC,CWEN,CYH,MNR,XPER,SKT,UMBF,CMPR,GMS,BLKB,CSII,IRWD,VSTO,NSA,AMCX,BKE,TTGT,MDP,MEI,LZB,NUS,HIBB,CMC,SJW,ETRN,GEF,AAT,NWBI,CSGS,NARI,ICFI,PCH,BCC,KFRC,CSWI,SUPN,RGR,SFM,PD,UVV,OFC,PFS,AVID,OSIS,WOR,ASB,TNC,XPEL,KRG,DDS,MFA,CMP,BIGC,TUP,JYNT,IPAR,KNL,AAWW,STC,ALG,LRN,VCRA,MATX,JW.A,SAH,MBUU,NBTB,NNI,CRVL,PLUS,WABC,SCS,FIZZ,SUM
07/09/2021,1.06,0.95,0.92,0.91,0.87,0.79,0.78,0.77,0.77,0.75,0.74,0.71,0.7,0.69,0.69,0.69,0.68,0.63,0.63,0.63,0.63,0.63,0.61,0.61,0.6,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.98
07/12/2021,1.08,0.94,0.95,0.89,0.87,0.76,0.77,0.8,0.73,0.74,0.73,0.72,0.71,0.7,0.71,0.7,0.69,0.63,0.61,0.65,0.63,0.63,0.6,0.61,0.62,0.54,0.56,0.57,0.55,0.53,0.57,0.56,0.55,0.54,0.53,0.53,0.54,0.54,0.52,0.51,0.51,0.5,0.5,0.5,0.48,0.48,0.47,0.48,0.48,0.48,0.45,0.47,0.48,0.49,0.47,0.46,0.44,0.46,0.44,0.46,0.46,0.47,0.45,0.43,0.45,0.45,0.42,0.44,0.43,0.44,0.44,0.42,0.41,0.41,0.4,0.41,0.41,0.42,0.4,0.4,0.42,0.39,0.41,0.39,0.39,0.38,0.39,0.39,0.36,0.36,0.38,0.4,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.33,0.34,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.31,0.28,0.29,0.28,0.29,0.26,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.25,0.23,0.26,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.23,0.22,0.21,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.07000000000002
07/13/2021,1.08,0.94,0.95,0.89,0.87,0.76,0.77,0.8,0.73,0.74,0.73,0.72,0.71,0.7,0.71,0.7,0.69,0.63,0.61,0.65,0.63,0.63,0.6,0.61,0.62,0.54,0.56,0.57,0.55,0.53,0.57,0.56,0.55,0.54,0.53,0.53,0.54,0.54,0.52,0.51,0.51,0.5,0.5,0.5,0.48,0.48,0.47,0.48,0.48,0.48,0.45,0.47,0.48,0.49,0.47,0.46,0.44,0.46,0.44,0.46,0.46,0.47,0.45,0.43,0.45,0.45,0.42,0.44,0.43,0.44,0.44,0.42,0.41,0.41,0.4,0.41,0.41,0.42,0.4,0.4,0.42,0.39,0.41,0.39,0.39,0.38,0.39,0.39,0.36,0.36,0.38,0.4,0.36,0.36,0.35,0.35,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.33,0.34,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.31,0.28,0.29,0.28,0.29,0.26,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.25,0.23,0.26,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.23,0.22,0.21,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.07000000000002
07/14/2021,1.09,0.95,0.93,0.89,0.85,0.77,0.77,0.77,0.7,0.74,0.73,0.71,0.7,0.68,0.7,0.68,0.68,0.63,0.64,0.64,0.64,0.62,0.6,0.59,0.59,0.55,0.56,0.56,0.55,0.53,0.56,0.55,0.55,0.53,0.53,0.52,0.54,0.55,0.53,0.5,0.5,0.49,0.5,0.5,0.47,0.48,0.48,0.48,0.47,0.47,0.46,0.75,0.47,0.48,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.47,0.45,0.44,0.44,0.44,0.42,0.43,0.42,0.43,0.43,0.42,0.41,0.41,0.41,0.42,0.41,0.42,0.4,0.4,0.43,0.38,0.41,0.39,0.4,0.37,0.38,0.39,0.36,0.36,0.37,0.42,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.33,0.33,0.32,0.34,0.32,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.28,0.29,0.28,0.29,0.26,0.28,0.28,0.28,0.28,0.26,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.26,0.24,0.26,0.23,0.26,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.25,0.24,0.23,0.24,0.22,0.23,0.24,0.23,0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.23,0.23,0.22,0.21,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.04
07/15/2021,1.09,0.97,0.92,0.89,0.84,0.78,0.76,0.76,0.69,0.74,0.68,0.7,0.71,0.69,0.7,0.68,0.69,0.62,0.65,0.63,0.64,0.63,0.6,0.6,0.59,0.55,0.56,0.57,0.55,0.52,0.55,0.54,0.55,0.52,0.54,0.52,0.54,0.56,0.52,0.5,0.5,0.49,0.5,0.5,0.47,0.48,0.48,0.49,0.47,0.48,0.46,0.74,0.48,0.49,0.47,0.44,0.45,0.46,0.45,0.45,0.45,0.47,0.46,0.42,0.44,0.44,0.42,0.44,0.42,0.43,0.43,0.42,0.4,0.41,0.41,0.42,0.4,0.42,0.4,0.4,0.43,0.39,0.41,0.39,0.4,0.38,0.38,0.38,0.36,0.38,0.37,0.41,0.36,0.35,0.36,0.34,0.36,0.35,0.34,0.35,0.33,0.34,0.32,0.33,0.32,0.34,0.32,0.33,0.31,0.31,0.3,0.32,0.29,0.3,0.3,0.3,0.3,0.28,0.29,0.28,0.29,0.26,0.28,0.29,0.28,0.28,0.26,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.27,0.24,0.25,0.27,0.24,0.26,0.24,0.25,0.26,0.24,0.23,0.25,0.24,0.25,0.23,0.23,0.24,0.23,0.25,0.25,0.24,0.24,0.22,0.23,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.22,0.23,0.23,0.21,0.21,0.19,0.21,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.08000000000001
07/16/2021,1.11,0.97,0.91,0.91,0.82,0.78,0.76,0.77,0.7,0.75,0.68,0.71,0.7,0.69,0.71,0.7,0.69,0.63,0.65,0.65,0.63,0.64,0.6,0.6,0.59,0.55,0.57,0.57,0.54,0.53,0.57,0.54,0.55,0.53,0.54,0.54,0.55,0.57,0.52,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.48,0.49,0.46,0.48,0.47,0.75,0.48,0.48,0.46,0.44,0.45,0.46,0.45,0.47,0.45,0.48,0.46,0.42,0.45,0.43,0.42,0.44,0.42,0.44,0.43,0.41,0.41,0.41,0.4,0.43,0.4,0.43,0.43,0.4,0.44,0.39,0.41,0.39,0.39,0.38,0.38,0.39,0.36,0.38,0.37,0.41,0.36,0.35,0.37,0.34,0.36,0.35,0.35,0.35,0.33,0.35,0.32,0.33,0.32,0.33,0.33,0.33,0.31,0.3,0.29,0.32,0.3,0.3,0.3,0.3,0.31,0.28,0.29,0.28,0.29,0.26,0.28,0.29,0.28,0.28,0.25,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.24,0.25,0.27,0.24,0.26,0.24,0.26,0.25,0.25,0.23,0.24,0.24,0.26,0.23,0.23,0.24,0.24,0.24,0.25,0.23,0.24,0.22,0.23,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.22,0.22,0.2,0.19,0.21,0.22,0.2,0.19,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.21,0.19,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.36000000000001
07/19/2021,1.11,0.95,0.92,0.9,0.79,0.75,0.75,0.78,0.73,0.76,0.64,0.72,0.7,0.67,0.71,0.71,0.7,0.6,0.62,0.64,0.64,0.65,0.59,0.6,0.6,0.52,0.56,0.57,0.54,0.49,0.57,0.52,0.57,0.52,0.53,0.56,0.58,0.57,0.53,0.48,0.5,0.49,0.5,0.5,0.5,0.49,0.47,0.5,0.46,0.5,0.45,0.77,0.48,0.46,0.48,0.44,0.42,0.47,0.45,0.47,0.45,0.49,0.46,0.42,0.46,0.43,0.42,0.45,0.44,0.42,0.42,0.41,0.43,0.42,0.41,0.44,0.4,0.44,0.42,0.39,0.44,0.38,0.41,0.41,0.4,0.41,0.4,0.39,0.37,0.37,0.37,0.41,0.37,0.36,0.35,0.35,0.35,0.36,0.35,0.34,0.33,0.35,0.31,0.33,0.32,0.33,0.33,0.34,0.31,0.31,0.3,0.32,0.3,0.31,0.31,0.31,0.3,0.28,0.29,0.25,0.29,0.26,0.28,0.29,0.28,0.29,0.26,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.23,0.25,0.25,0.24,0.25,0.24,0.26,0.24,0.25,0.23,0.24,0.25,0.26,0.23,0.23,0.21,0.24,0.24,0.25,0.22,0.23,0.22,0.24,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.19,0.23,0.23,0.21,0.22,0.2,0.19,0.21,0.22,0.19,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27000000000001
07/20/2021,1.08,0.96,0.93,0.88,0.8,0.74,0.74,0.78,0.74,0.76,0.62,0.73,0.71,0.69,0.71,0.71,0.7,0.6,0.61,0.65,0.63,0.65,0.59,0.6,0.6,0.5,0.57,0.57,0.53,0.47,0.58,0.53,0.58,0.53,0.52,0.56,0.59,0.57,0.53,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.47,0.5,0.47,0.5,0.44,0.77,0.49,0.47,0.49,0.45,0.42,0.47,0.45,0.47,0.45,0.5,0.46,0.42,0.48,0.43,0.42,0.45,0.44,0.43,0.42,0.41,0.44,0.43,0.4,0.44,0.41,0.46,0.42,0.38,0.43,0.37,0.41,0.41,0.4,0.41,0.41,0.39,0.36,0.36,0.37,0.4,0.36,0.37,0.35,0.35,0.36,0.35,0.34,0.34,0.33,0.35,0.31,0.32,0.32,0.34,0.32,0.34,0.31,0.31,0.3,0.33,0.31,0.32,0.31,0.3,0.31,0.28,0.29,0.25,0.3,0.26,0.28,0.3,0.28,0.29,0.26,0.3,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.25,0.24,0.25,0.23,0.26,0.24,0.25,0.23,0.23,0.24,0.27,0.23,0.23,0.21,0.24,0.24,0.25,0.22,0.22,0.21,0.23,0.23,0.22,0.22,0.22,0.22,0.24,0.21,0.22,0.22,0.22,0.23,0.2,0.23,0.22,0.2,0.22,0.2,0.19,0.21,0.22,0.19,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.23,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.32000000000001
07/21/2021,1.08,0.96,0.93,0.88,0.8,0.74,0.74,0.78,0.74,0.76,0.62,0.73,0.71,0.69,0.71,0.71,0.7,0.6,0.61,0.65,0.63,0.65,0.59,0.6,0.6,0.5,0.57,0.57,0.53,0.47,0.58,0.53,0.58,0.53,0.52,0.56,0.59,0.57,0.53,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.47,0.5,0.47,0.5,0.44,0.77,0.49,0.47,0.49,0.45,0.42,0.47,0.45,0.47,0.45,0.5,0.46,0.42,0.48,0.43,0.42,0.45,0.44,0.43,0.42,0.41,0.44,0.43,0.4,0.44,0.41,0.46,0.42,0.38,0.43,0.37,0.41,0.41,0.4,0.41,0.41,0.39,0.36,0.36,0.37,0.4,0.36,0.37,0.35,0.35,0.36,0.35,0.34,0.34,0.33,0.35,0.31,0.32,0.32,0.34,0.32,0.34,0.31,0.31,0.3,0.33,0.31,0.32,0.31,0.3,0.31,0.28,0.29,0.25,0.3,0.26,0.28,0.3,0.28,0.29,0.26,0.3,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.25,0.24,0.25,0.23,0.26,0.24,0.25,0.23,0.23,0.24,0.27,0.23,0.23,0.21,0.24,0.24,0.25,0.22,0.22,0.21,0.23,0.23,0.22,0.22,0.22,0.22,0.24,0.21,0.22,0.22,0.22,0.23,0.2,0.23,0.22,0.2,0.22,0.2,0.19,0.21,0.22,0.19,0.2,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.23,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.32000000000001
07/22/2021,1.1,0.92,0.93,0.88,0.83,0.75,0.75,0.8,0.76,0.76,0.6,0.75,0.71,0.69,0.71,0.72,0.7,0.6,0.59,0.65,0.62,0.64,0.59,0.61,0.61,0.47,0.55,0.58,0.53,0.5,0.59,0.54,0.57,0.53,0.53,0.56,0.58,0.58,0.53,0.49,0.52,0.48,0.48,0.49,0.49,0.49,0.46,0.5,0.48,0.5,0.45,0.78,0.48,0.47,0.49,0.47,0.41,0.48,0.45,0.47,0.45,0.5,0.44,0.42,0.48,0.44,0.42,0.45,0.45,0.45,0.42,0.41,0.42,0.43,0.39,0.44,0.41,0.45,0.42,0.4,0.45,0.48,0.42,0.41,0.4,0.4,0.4,0.4,0.36,0.35,0.37,0.41,0.37,0.37,0.33,0.35,0.36,0.35,0.34,0.34,0.35,0.36,0.32,0.33,0.32,0.36,0.32,0.34,0.3,0.3,0.3,0.33,0.31,0.34,0.31,0.3,0.3,0.28,0.29,0.25,0.3,0.27,0.28,0.29,0.28,0.29,0.25,0.29,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.24,0.26,0.24,0.24,0.25,0.24,0.26,0.24,0.25,0.23,0.23,0.24,0.26,0.23,0.23,0.22,0.25,0.24,0.25,0.21,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.24,0.21,0.22,0.21,0.22,0.22,0.2,0.23,0.22,0.2,0.21,0.2,0.2,0.21,0.22,0.2,0.19,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.2,0.0,0.18,0.19,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.51000000000002
