,EAGG,ESGU,ESGD,ESGE,ESML,XTSLA,127.HK,SUM
07/09/2021,69.67,17.11,7.37,3.59,2.12,0.18,0.0,100.04000000000002
07/12/2021,69.92,17.03,7.3,3.52,2.09,0.18,0.0,100.04
07/13/2021,69.92,17.03,7.3,3.52,2.09,0.18,0.0,100.04
07/14/2021,69.57,17.17,7.42,3.57,2.13,0.0,0.15,100.01
07/15/2021,69.57,17.17,7.42,3.57,2.13,0.0,0.15,100.01
07/16/2021,69.54,17.21,7.42,3.58,2.1,0.0,0.0,99.85
07/19/2021,69.72,17.13,7.35,3.6,2.05,0.0,0.0,99.84999999999998
07/20/2021,69.87,17.05,7.32,3.58,2.03,0.0,0.15,100.0
07/21/2021,69.87,17.05,7.32,3.58,2.03,0.0,0.15,100.0
07/22/2021,70.32,16.82,7.2,3.52,2.0,0.0,0.0,99.86
07/23/2021,70.03,17.02,7.23,3.53,2.06,0.0,0.0,99.87
07/26/2021,69.77,17.15,7.32,3.55,2.06,0.0,0.15,100.0
07/27/2021,69.64,17.3,7.36,3.49,2.07,0.0,0.15,100.01
07/28/2021,69.64,17.3,7.36,3.49,2.07,0.0,0.15,100.01
07/29/2021,69.62,17.36,7.38,3.42,2.07,0.0,0.0,99.85
07/30/2021,69.83,17.27,7.34,3.35,2.06,0.0,0.0,99.85
08/02/2021,69.61,17.29,7.41,3.46,2.09,0.0,0.0,99.86
08/03/2021,69.78,17.2,7.37,3.42,2.09,0.0,0.0,99.86
08/04/2021,69.78,17.2,7.37,3.42,2.09,0.0,0.0,99.86
08/05/2021,69.78,17.2,7.37,3.42,2.09,0.0,0.0,99.86
08/06/2021,69.63,17.25,7.43,3.46,2.08,0.0,0.0,99.85
08/09/2021,69.52,17.31,7.47,3.47,2.09,0.0,0.0,99.86
08/10/2021,69.46,17.38,7.46,3.45,2.1,0.0,0.0,99.84999999999998
08/11/2021,69.46,17.38,7.46,3.45,2.1,0.0,0.0,99.84999999999998
08/13/2021,69.38,17.4,7.49,3.48,2.1,0.0,0.0,99.85
08/16/2021,69.32,17.46,7.52,3.44,2.11,0.0,0.0,99.85
08/17/2021,69.34,17.44,7.55,3.43,2.09,0.0,0.0,99.85
08/18/2021,69.34,17.44,7.55,3.43,2.09,0.0,0.0,99.85
08/19/2021,69.4,17.48,7.51,3.39,2.07,0.0,0.0,99.85000000000001
