,AGZ,IEI,STIP,SJNK,SHYG,iShares TIPS Bond ETF,Blackrock Federal Fd 30 Instl,Cash,TIP,SHV,BKLN,SHY,iShares CMBS ETF,iShares 0-5 Year High Yield Corp Bd ETF,SUM
07/09/2021,29.93,21.88,18.97,15.59,6.67,5.92,0.92,0.11,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,29.98,0.0,0.0,0.0,0.0,0.0,1.09,0.23,29.12,19.62,16.02,2.55,1.38,0.0,99.99
07/13/2021,29.98,0.0,0.0,0.0,0.0,0.0,1.09,0.23,29.12,19.62,16.02,2.55,1.38,0.0,99.99
07/14/2021,29.96,0.0,0.0,0.0,0.0,0.0,1.22,0.0,29.17,19.65,16.07,2.56,1.38,0.0,100.01
07/15/2021,29.93,0.0,0.0,0.0,0.0,0.0,1.22,0.0,29.23,19.63,16.06,2.55,1.38,0.0,100.0
07/16/2021,29.91,0.0,0.0,0.0,0.0,0.0,1.22,0.0,29.23,19.64,16.08,2.55,1.37,0.0,100.0
07/19/2021,29.92,0.0,0.0,0.0,0.0,0.0,1.23,0.0,29.33,19.59,16.01,2.55,1.37,0.0,100.0
07/20/2021,29.93,0.0,0.0,0.0,0.0,0.0,1.23,0.0,29.32,19.59,16.02,2.55,1.37,0.0,100.01
07/21/2021,29.93,0.0,0.0,0.0,0.0,0.0,1.23,0.0,29.32,19.59,16.02,2.55,1.37,0.0,100.01
07/22/2021,29.93,0.0,0.0,0.0,0.0,0.0,1.23,0.0,29.32,19.59,16.02,2.55,1.37,0.0,100.01
07/23/2021,29.98,21.8,29.46,5.43,0.0,0.0,1.23,0.0,0.0,3.74,6.01,0.0,0.0,2.35,100.0
07/26/2021,29.99,21.8,29.55,5.45,0.0,0.0,1.08,0.0,0.0,3.75,6.03,0.0,0.0,2.35,100.0
07/27/2021,29.96,21.77,29.6,5.45,0.0,0.0,1.08,0.0,0.0,3.74,6.04,0.0,0.0,2.36,100.0
07/28/2021,29.96,21.77,29.6,5.45,0.0,0.0,1.08,0.0,0.0,3.74,6.04,0.0,0.0,2.36,100.0
07/29/2021,29.95,21.76,29.64,5.44,0.0,0.0,1.08,0.0,0.0,3.74,6.03,0.0,0.0,2.35,99.99
07/30/2021,29.95,21.78,29.63,5.44,0.0,0.0,1.08,0.0,0.0,3.74,6.02,0.0,0.0,2.35,99.99
08/02/2021,29.95,21.76,29.66,5.45,0.0,0.0,1.08,0.0,0.0,3.74,6.02,0.0,0.0,2.35,100.01
08/03/2021,29.95,21.76,29.66,5.45,0.0,0.0,1.08,0.0,0.0,3.74,6.02,0.0,0.0,2.35,100.01
