,FXFXX,FGXXX,United States Treasury Bills 0%,CBOE MAR PUT OPT 5/21 20,First American Government Obligs X,B 0 05/20/21,B 0 04/21/22,ESU1 INDEX,SUM
07/09/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/12/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/13/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/14/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/15/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/16/2021,38.67,0.0,0.0,0.13,38.67,22.53,0.0,0.0,100.0
07/19/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/20/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/21/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/22/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/23/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/26/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/27/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/28/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/29/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
07/30/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
08/02/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
08/03/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
08/04/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
08/05/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
08/06/2021,38.67,38.67,22.53,0.13,0.0,0.0,0.0,0.0,100.0
09/03/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/06/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/07/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/08/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/09/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/10/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/13/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/14/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/15/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/16/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/17/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/20/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/21/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/22/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/23/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/24/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/27/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/28/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/29/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
09/30/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
10/01/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
10/04/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
10/05/2021,30.73,30.73,0.0,0.0,0.0,0.0,24.5,0.0,85.96000000000001
