,MSFT,GOOG,GOOGL,NVDA,TSLA,JNJ,V,HD,MA,PG,DIS,ADBE,VZ,CRM,INTC,CSCO,KO,PEP,TMO,NKE,MRK,ACN,LLY,TXN,MCD,UPS,LIN,UNP,BMY,LOW,AMGN,INTU,BLK,SBUX,MS,AMAT,IBM,TGT,AMT,CAT,AXP,MMM,DE,SCHW,SPGI,ZTS,BKNG,PLD,LRCX,GILD,CCI,ADP,CI,TJX,USB,PNC,CME,CSX,EL,TFC,EQIX,ATVI,CB,MMC,ITW,MELI,SHW,ILMN,NSC,EW,ICE,CL,ADSK,MCO,WM,ETN,HUM,HCA,PGR,IDXX,ECL,AON,BIIB,VRTX,NEM,ROP,JCI,EBAY,TROW,LULU,KMB,A,ALGN,TT,SLB,INFO,CNC,DXCM,APTV,SRE,WDAY,BK,EA,DD,AIG,PRU,BAX,PPG,ALL,CDNS,MPC,TRV,HPQ,PSX,MSI,GIS,IFF,RMD,DFS,WELL,HLT,AFL,CMI,MTD,ROK,FRC,SWK,WMB,ANSS,VLO,SIVB,PCAR,FAST,OKTA,WLTW,AWK,STT,KEYS,ZBRA,CBRE,AMP,CPRT,ES,Cash & Cash Equivalents,WST,VFC,LYB,EQR,BLL,GNRC,KR,LH,AJG,BBY,WY,OKE,KSU,ED,CERN,KDP,WAT,XYL,TSCO,MKC,FTV,DOV,HIG,GRMN,CLX,TDOC,TRMB,URI,NTRS,IP,LNG,KMX,STE,BURL,GWW,HBAN,EXPD,EIX,KEY,HZNP,RF,HPE,TTWO,PEAK,NVR,ALLY,TDY,ABC,CTLT,DRI,NDAQ,GPC,MTB,TFX,PODD,CFG,POOL,BXP,DPZ,IEX,DGX,HOLX,PFG,BON.PA,n/a,MKTX,TECH,AMCR,042660.KS,688185.SS,SUM
07/09/2021,10.21,3.94,3.89,2.63,2.6,2.26,2.09,1.77,1.72,1.71,1.62,1.46,1.2,1.18,1.17,1.15,1.14,1.06,1.05,1.05,1.02,1.0,0.98,0.91,0.89,0.78,0.78,0.77,0.77,0.73,0.72,0.71,0.7,0.7,0.65,0.65,0.64,0.63,0.63,0.6,0.6,0.59,0.53,0.53,0.51,0.48,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.03
07/12/2021,10.18,3.92,3.85,2.54,2.58,2.28,2.07,1.78,1.7,1.71,1.65,1.48,1.19,1.15,1.17,1.16,1.14,1.06,1.05,1.05,1.01,1.02,0.98,0.9,0.9,0.79,0.79,0.76,0.77,0.73,0.73,0.71,0.71,0.71,0.65,0.64,0.65,0.64,0.63,0.61,0.6,0.6,0.53,0.52,0.51,0.48,0.46,0.48,0.45,0.44,0.44,0.44,0.42,0.42,0.42,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.01
07/13/2021,10.18,3.92,3.85,2.54,2.58,2.28,2.07,1.78,1.7,1.71,1.65,1.48,1.19,1.15,1.17,1.16,1.14,1.06,1.05,1.05,1.01,1.02,0.98,0.9,0.9,0.79,0.79,0.76,0.77,0.73,0.73,0.71,0.71,0.71,0.65,0.64,0.65,0.64,0.63,0.61,0.6,0.6,0.53,0.52,0.51,0.48,0.46,0.48,0.45,0.44,0.44,0.44,0.42,0.42,0.42,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.28,0.27,0.28,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.01
07/15/2021,10.12,3.93,3.88,2.58,2.68,2.26,2.06,1.77,1.7,1.71,1.71,1.46,1.19,1.14,1.18,1.15,1.14,1.05,1.04,1.05,1.0,1.01,0.98,0.9,0.9,0.78,0.78,0.76,0.77,0.73,0.72,0.71,0.71,0.71,0.66,0.64,0.64,0.64,0.64,0.61,0.61,0.59,0.53,0.53,0.51,0.48,0.46,0.48,0.46,0.44,0.44,0.44,0.42,0.42,0.42,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.37,0.37,0.35,0.36,0.36,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.31,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.23,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.08
07/16/2021,10.27,3.95,3.9,2.56,2.62,2.27,2.1,1.74,1.74,1.71,1.71,1.47,1.19,1.15,1.18,1.15,1.15,1.08,1.04,1.05,1.01,1.02,0.98,0.9,0.9,0.78,0.77,0.75,0.77,0.73,0.72,0.71,0.71,0.72,0.67,0.64,0.64,0.64,0.63,0.6,0.6,0.59,0.53,0.53,0.5,0.49,0.46,0.48,0.46,0.44,0.44,0.44,0.42,0.41,0.41,0.41,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.37,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.31,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.23,0.25,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.11
07/19/2021,10.29,3.97,3.9,2.4,2.55,2.26,2.16,1.78,1.77,1.74,1.71,1.48,1.2,1.12,1.16,1.16,1.18,1.1,1.04,1.05,1.01,1.03,0.96,0.89,0.9,0.78,0.78,0.75,0.77,0.73,0.73,0.71,0.69,0.72,0.66,0.63,0.64,0.65,0.64,0.59,0.61,0.6,0.52,0.52,0.51,0.49,0.45,0.48,0.45,0.44,0.44,0.45,0.42,0.42,0.43,0.41,0.39,0.37,0.39,0.39,0.38,0.36,0.38,0.37,0.37,0.35,0.36,0.34,0.34,0.34,0.34,0.35,0.33,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.2,0.18,0.2,0.18,0.17,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.14,0.17,0.16,0.16,0.15,0.14,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.17,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.09,0.09,0.09,0.1,0.1,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1
07/22/2021,10.34,3.98,3.9,2.42,2.59,2.28,2.13,1.79,1.69,1.79,1.64,1.5,1.21,1.14,1.16,1.17,1.19,1.12,1.08,1.05,1.02,1.03,0.99,0.9,0.89,0.79,0.78,0.75,0.78,0.74,0.74,0.71,0.67,0.71,0.65,0.62,0.64,0.66,0.65,0.58,0.58,0.6,0.52,0.5,0.51,0.49,0.44,0.49,0.44,0.45,0.45,0.45,0.42,0.41,0.41,0.39,0.39,0.37,0.38,0.37,0.39,0.37,0.38,0.37,0.37,0.35,0.38,0.36,0.33,0.34,0.34,0.35,0.33,0.33,0.32,0.31,0.31,0.31,0.29,0.3,0.28,0.27,0.26,0.27,0.25,0.26,0.25,0.24,0.23,0.24,0.25,0.24,0.23,0.24,0.19,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.17,0.2,0.18,0.16,0.19,0.19,0.18,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.16,0.15,0.16,0.13,0.16,0.16,0.16,0.15,0.14,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.18,0.15,0.13,0.13,0.15,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15
07/23/2021,10.28,3.98,3.89,2.37,2.61,2.27,2.12,1.8,1.71,1.75,1.65,1.49,1.18,1.14,1.16,1.17,1.18,1.11,1.06,1.05,0.99,1.02,0.98,0.89,0.9,0.79,0.78,0.74,0.77,0.73,0.74,0.72,0.69,0.71,0.66,0.62,0.64,0.66,0.65,0.58,0.6,0.6,0.53,0.51,0.52,0.49,0.45,0.49,0.45,0.45,0.45,0.44,0.42,0.41,0.41,0.39,0.39,0.37,0.38,0.38,0.38,0.37,0.39,0.37,0.37,0.36,0.37,0.36,0.33,0.34,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.35,0.29,0.3,0.28,0.27,0.25,0.26,0.25,0.27,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.2,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.17,0.19,0.18,0.16,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.16,0.15,0.16,0.13,0.16,0.16,0.16,0.15,0.14,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.18,0.14,0.13,0.13,0.15,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.01
07/26/2021,10.42,4.01,3.92,2.47,2.54,2.27,2.11,1.79,1.73,1.71,1.62,1.52,1.18,1.23,1.16,1.17,1.18,1.09,1.06,1.06,0.99,1.02,0.99,0.86,0.91,0.78,0.79,0.75,0.78,0.73,0.72,0.73,0.68,0.74,0.68,0.64,0.64,0.66,0.64,0.58,0.6,0.59,0.53,0.49,0.51,0.49,0.46,0.48,0.46,0.44,0.42,0.44,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.38,0.38,0.37,0.36,0.37,0.36,0.34,0.34,0.35,0.34,0.35,0.33,0.31,0.32,0.31,0.34,0.28,0.3,0.28,0.27,0.25,0.26,0.24,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.24,0.24,0.2,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.19,0.18,0.16,0.18,0.18,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.16,0.15,0.16,0.13,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.13,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.13
07/27/2021,10.43,4.1,4.01,2.43,2.48,2.27,2.13,1.81,1.76,1.72,1.61,1.5,1.16,1.21,1.09,1.18,1.18,1.09,1.06,1.07,0.99,1.02,1.0,0.87,0.91,0.77,0.79,0.74,0.77,0.74,0.72,0.73,0.67,0.75,0.67,0.64,0.64,0.66,0.64,0.58,0.6,0.59,0.53,0.49,0.51,0.49,0.45,0.48,0.46,0.44,0.42,0.44,0.41,0.41,0.4,0.39,0.38,0.38,0.39,0.37,0.38,0.36,0.38,0.38,0.36,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.35,0.32,0.31,0.31,0.31,0.34,0.28,0.3,0.28,0.26,0.25,0.26,0.24,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.24,0.24,0.2,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.16,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.16,0.13,0.16,0.15,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.0,0.14,0.14,0.13,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,95.1
