,XOM,CVX,COP,EOG,SLB,MPC,PXD,PSX,KMI,WMB,VLO,OXY,OKE,HES,LNG,HAL,DVN,FANG,BKR,TPL,MRO,TRGP,OVV,APA,FSLR,XEC,OGE,COG,EQT,NOV,HFC,FTI,ETRN,DTM WI,XTSLA,CLR,WFFUT,IXPU1,USD,SUM
07/09/2021,23.26,17.99,7.28,4.37,3.9,3.36,3.34,3.31,3.21,2.87,2.73,2.29,2.25,2.09,1.82,1.77,1.48,1.48,1.46,1.08,0.93,0.9,0.71,0.69,0.69,0.65,0.61,0.61,0.52,0.51,0.42,0.33,0.31,0.31,0.25,0.21,0.01,0.0,0.0,100.0
07/12/2021,23.28,18.13,7.31,4.26,3.9,3.35,3.33,3.23,3.24,2.91,2.63,2.28,2.26,2.07,1.84,1.76,1.51,1.46,1.46,1.04,0.93,0.91,0.71,0.69,0.7,0.68,0.62,0.64,0.54,0.51,0.42,0.33,0.33,0.35,0.22,0.21,0.01,0.0,0.0,100.04999999999998
07/13/2021,23.28,18.13,7.31,4.26,3.9,3.35,3.33,3.23,3.24,2.91,2.63,2.28,2.26,2.07,1.84,1.76,1.51,1.46,1.46,1.04,0.93,0.91,0.71,0.69,0.7,0.68,0.62,0.64,0.54,0.51,0.42,0.33,0.33,0.35,0.22,0.21,0.01,0.0,0.0,100.04999999999998
07/14/2021,23.23,18.03,7.27,4.32,3.91,3.35,3.28,3.25,3.26,2.91,2.65,2.28,2.3,2.07,1.82,1.78,1.53,1.45,1.48,1.05,0.94,0.92,0.71,0.7,0.71,0.68,0.61,0.63,0.54,0.53,0.42,0.33,0.32,0.35,0.16,0.22,0.01,0.0,0.01,100.01
07/16/2021,23.31,18.17,7.26,4.37,3.87,3.31,3.29,3.23,3.22,2.88,2.6,2.29,2.25,2.08,1.75,1.78,1.56,1.47,1.47,1.07,0.94,0.92,0.71,0.69,0.71,0.68,0.6,0.64,0.54,0.53,0.42,0.32,0.32,0.36,0.16,0.22,0.01,0.0,0.01,100.01
07/19/2021,23.58,18.5,7.28,4.2,3.8,3.27,3.23,3.19,3.29,2.93,2.58,2.16,2.29,2.03,1.81,1.74,1.5,1.4,1.46,1.06,0.91,0.91,0.68,0.66,0.69,0.66,0.64,0.62,0.53,0.51,0.42,0.31,0.32,0.38,0.17,0.21,0.01,0.0,0.07,100.0
07/20/2021,23.58,18.5,7.28,4.2,3.8,3.27,3.23,3.19,3.29,2.93,2.58,2.16,2.29,2.03,1.81,1.74,1.5,1.4,1.46,1.06,0.91,0.91,0.68,0.66,0.69,0.66,0.64,0.62,0.53,0.51,0.42,0.31,0.32,0.38,0.17,0.21,0.01,0.0,0.07,100.0
07/22/2021,23.59,18.67,7.29,4.13,3.75,3.26,3.19,3.11,3.37,3.02,2.55,2.1,2.25,2.03,1.88,1.73,1.49,1.33,1.44,1.09,0.88,0.92,0.65,0.65,0.71,0.66,0.67,0.63,0.53,0.52,0.42,0.31,0.32,0.4,0.17,0.2,0.02,0.0,0.06,99.99
07/23/2021,23.49,18.5,7.29,4.14,3.78,3.29,3.19,3.09,3.37,3.02,2.54,2.11,2.31,2.02,1.91,1.77,1.5,1.34,1.45,1.15,0.89,0.94,0.66,0.66,0.7,0.64,0.67,0.62,0.54,0.52,0.41,0.31,0.33,0.4,0.16,0.2,0.02,0.0,0.07,100.0
07/27/2021,23.43,18.51,7.41,4.17,3.79,3.3,3.23,3.07,3.3,2.97,2.52,2.2,2.29,2.0,1.89,1.77,1.5,1.38,1.4,1.13,0.89,0.95,0.7,0.67,0.69,0.64,0.64,0.61,0.55,0.52,0.41,0.3,0.32,0.39,0.15,0.21,0.02,0.0,0.07,99.98999999999998
07/29/2021,23.52,18.54,7.29,4.11,3.91,3.31,3.18,3.09,3.3,2.95,2.55,2.16,2.28,1.98,1.87,1.75,1.51,1.38,1.44,1.1,0.89,0.94,0.7,0.68,0.66,0.65,0.64,0.61,0.55,0.53,0.41,0.3,0.33,0.38,0.17,0.21,0.03,0.0,0.1,99.99999999999996
07/30/2021,23.51,18.67,7.3,4.08,3.92,3.32,3.17,3.13,3.32,2.95,2.57,2.12,2.26,1.95,1.88,1.76,1.48,1.36,1.44,1.07,0.86,0.92,0.68,0.67,0.66,0.64,0.66,0.61,0.54,0.53,0.42,0.3,0.32,0.39,0.15,0.21,0.02,0.0,0.13,99.96999999999998
08/02/2021,23.53,18.7,7.27,4.06,3.91,3.36,3.21,3.09,3.29,2.92,2.61,2.12,2.26,2.01,1.89,1.78,1.5,1.36,1.45,1.07,0.88,0.93,0.64,0.68,0.67,0.63,0.64,0.6,0.49,0.53,0.42,0.3,0.32,0.4,0.15,0.2,0.02,0.0,0.13,100.02
08/03/2021,23.36,18.86,7.25,4.08,3.86,3.37,3.23,3.08,3.24,2.92,2.62,2.1,2.22,2.01,1.88,1.76,1.48,1.34,1.48,1.11,0.88,0.92,0.64,0.68,0.7,0.64,0.65,0.61,0.49,0.52,0.42,0.29,0.32,0.39,0.19,0.21,0.02,0.0,0.18,100.0
08/04/2021,23.36,18.86,7.25,4.08,3.86,3.37,3.23,3.08,3.24,2.92,2.62,2.1,2.22,2.01,1.88,1.76,1.48,1.34,1.48,1.11,0.88,0.92,0.64,0.68,0.7,0.64,0.65,0.61,0.49,0.52,0.42,0.29,0.32,0.39,0.19,0.21,0.02,0.0,0.18,100.0
