,B 0 05/27/21,B 0 08/19/21,WIB 0 09/02/21,B 0 08/05/21,B 0 04/29/21,B 0 07/08/21,B 0 07/29/21,B 0 05/20/21,WIB 0 08/26/21,B 0 04/22/21,B 0 06/17/21,B 0 07/15/21,B 0 04/08/21,B 0 04/15/21,B 0 09/09/21,B 0 09/23/21,B 0 04/01/21,B 0 05/13/21,B 0 07/22/21,TBILL,B 0 09/16/21,B 0 06/03/21,CMB 0 04/27/21,CMB 0 06/29/21,B 0 06/24/21,CMB 0 05/11/21,B 0 08/12/21,NQM1 INDEX,USM1 COMDTY,TUM1 COMDTY,RTYM1 INDEX,FAM1 INDEX,MFSM1 INDEX,MESM1 INDEX,JYM1 CURNCY,EDU2 COMDTY,ECM1 CURNCY,DXM1 CURNCY,CDM1 CURNCY,BPM1 CURNCY,WNM1 COMDTY,SUM
07/09/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/12/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/13/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/14/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/15/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/16/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/19/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/20/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/21/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/22/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
